prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - 中文: ""五""
Русский: ""cœur"" - 中文: ""心""
Русский: ""partie"" - 中文: ""部""
Русский: ""trois"" - 中文: ""三""
Русский: ""nuage"" - 中文: ""","[31784, 231]",云,"[274, 9570, 1067, 23642, 15126, 9274, 17184, 29883, 695]",cloud,nuage
"Русский: ""vallée"" - 中文: ""谷""
Русский: ""tribu"" - 中文: ""族""
Русский: ""vertu"" - 中文: ""德""
Русский: ""œil"" - 中文: ""目""
Русский: ""sac"" - 中文: ""","[31473, 232]",包,"[29890, 19548, 289, 2291, 9922, 23156]",bag,sac
"Русский: ""école"" - 中文: ""校""
Русский: ""version"" - 中文: ""版""
Русский: ""point"" - 中文: ""点""
Русский: ""mille"" - 中文: ""千""
Русский: ""bouche"" - 中文: ""","[30856, 232]",口,"[29885, 2730, 29442, 4346, 13394, 21026, 286]",mouth,bouche
"Русский: ""champ"" - 中文: ""场""
Русский: ""nord"" - 中文: ""北""
Русский: ""fleur"" - 中文: ""花""
Русский: ""tour"" - 中文: ""塔""
Русский: ""sol"" - 中文: ""","[31181, 232]",土,"[578, 22473, 29879, 269, 577]",soil,sol
"Русский: ""temps"" - 中文: ""时""
Русский: ""porte"" - 中文: ""门""
Русский: ""vallée"" - 中文: ""谷""
Русский: ""rue"" - 中文: ""街""
Русский: ""montagne"" - 中文: ""","[30329, 232]",山,"[5766, 29885, 2730, 14378, 29442, 4346, 286, 16476]",mountain,montagne
"Русский: ""paire"" - 中文: ""双""
Русский: ""gauche"" - 中文: ""左""
Русский: ""été"" - 中文: ""夏""
Русский: ""sept"" - 中文: ""七""
Русский: ""cœur"" - 中文: ""","[30869, 232]",心,"[29882, 298, 8293, 354, 540, 23057, 5192]",heart,cœur
"Русский: ""bande"" - 中文: ""条""
Русский: ""un"" - 中文: ""一""
Русский: ""jour"" - 中文: ""日""
Русский: ""enfant"" - 中文: ""子""
Русский: ""main"" - 中文: ""","[30880, 233]",手,"[447, 3179, 29882, 298, 5403, 5905, 2350, 1361]",hand,main
"Русский: ""quatre"" - 中文: ""四""
Русский: ""bois"" - 中文: ""木""
Русский: ""rouge"" - 中文: ""红""
Русский: ""gauche"" - 中文: ""左""
Русский: ""jour"" - 中文: ""","[30325, 233]",日,"[1388, 2462, 270, 1146, 3250, 29881]",day,jour
"Русский: ""source"" - 中文: ""源""
Русский: ""neuf"" - 中文: ""九""
Русский: ""main"" - 中文: ""手""
Русский: ""ligne"" - 中文: ""线""
Русский: ""étoile"" - 中文: ""","[30900, 233]",星,"[303, 8508, 5810, 29879, 9523, 5173, 269, 380]",star,étoile
"Русский: ""loi"" - 中文: ""法""
Русский: ""tribu"" - 中文: ""族""
Русский: ""bouche"" - 中文: ""口""
Русский: ""gauche"" - 中文: ""左""
Русский: ""ressort"" - 中文: ""","[31031, 233]",春,"[7689, 15099, 1028, 6709, 29879, 269, 4278, 805]",spring,ressort
"Русский: ""siège"" - 中文: ""座""
Русский: ""sud"" - 中文: ""南""
Русский: ""quatre"" - 中文: ""四""
Русский: ""or"" - 中文: ""金""
Русский: ""lune"" - 中文: ""","[30534, 233]",月,"[29885, 2730, 4346, 286, 18786]",moon,lune
"Русский: ""bouche"" - 中文: ""口""
Русский: ""mille"" - 中文: ""千""
Русский: ""ménage"" - 中文: ""户""
Русский: ""été"" - 中文: ""夏""
Русский: ""bois"" - 中文: ""","[30710, 233]",木,"[8112, 8879, 281, 6115, 827, 29893]",wood,bois
"Русский: ""forêt"" - 中文: ""林""
Русский: ""cravate"" - 中文: ""结""
Русский: ""six"" - 中文: ""六""
Русский: ""dix"" - 中文: ""十""
Русский: ""village"" - 中文: ""","[30402, 233]",村,"[3516, 4213, 1403, 28765, 11928, 325, 5720, 21031, 29894, 17191]",village,village
"Русский: ""tête"" - 中文: ""头""
Русский: ""génération"" - 中文: ""代""
Русский: ""océan"" - 中文: ""洋""
Русский: ""quatre"" - 中文: ""四""
Русский: ""forêt"" - 中文: ""","[30853, 233]",林,"[1454, 29888, 363, 1181, 13569, 1079, 1701, 26839, 285]",forest,forêt
"Русский: ""défaite"" - 中文: ""败""
Русский: ""bande"" - 中文: ""条""
Русский: ""bouche"" - 中文: ""口""
Русский: ""sud"" - 中文: ""南""
Русский: ""fruit"" - 中文: ""","[30801, 233]",果,"[285, 29888, 1424, 1341, 15774]",fruit,fruit
"Русский: ""trois"" - 中文: ""三""
Русский: ""montagne"" - 中文: ""山""
Русский: ""milieu"" - 中文: ""中""
Русский: ""tentative"" - 中文: ""试""
Русский: ""grille"" - 中文: ""","[31168, 233]",格,"[867, 7720, 29887, 330, 629, 6856]",grid,grille
"Русский: ""avancer"" - 中文: ""进""
Русский: ""enfant"" - 中文: ""子""
Русский: ""sept"" - 中文: ""七""
Русский: ""groupe"" - 中文: ""群""
Русский: ""chanson"" - 中文: ""","[31173, 233]",歌,"[1487, 578, 1100, 29879, 4823, 21453, 269, 577]",song,chanson
"Русский: ""école"" - 中文: ""校""
Русский: ""groupe"" - 中文: ""群""
Русский: ""grille"" - 中文: ""格""
Русский: ""pouvoir"" - 中文: ""力""
Русский: ""étang"" - 中文: ""","[31853, 233]",池,"[1112, 2818, 282, 12509, 29886, 1129, 772]",pond,étang
"Русский: ""roche"" - 中文: ""岩""
Русский: ""maison"" - 中文: ""屋""
Русский: ""visage"" - 中文: ""面""
Русский: ""cheval"" - 中文: ""马""
Русский: ""sable"" - 中文: ""","[31476, 233]",沙,"[872, 4977, 29879, 28455, 9753, 11982, 269]",sand,sable
"Русский: ""œil"" - 中文: ""目""
Русский: ""ligne"" - 中文: ""线""
Русский: ""histoire"" - 中文: ""史""
Русский: ""porte"" - 中文: ""门""
Русский: ""loi"" - 中文: ""","[30545, 233]",法,"[301, 29880, 433, 425, 4307, 10653]",law,loi
"Русский: ""six"" - 中文: ""六""
Русский: ""ressort"" - 中文: ""春""
Русский: ""main"" - 中文: ""手""
Русский: ""école"" - 中文: ""校""
Русский: ""onde"" - 中文: ""","[31529, 233]",波,"[281, 11324, 10742, 27766, 29893, 2766]",wave,onde
"Русский: ""nuage"" - 中文: ""云""
Русский: ""champ"" - 中文: ""场""
Русский: ""neuf"" - 中文: ""九""
Русский: ""quatre"" - 中文: ""四""
Русский: ""océan"" - 中文: ""","[31534, 233]",洋,"[25802, 23474, 29877, 12954, 288, 542]",ocean,océan
"Русский: ""forêt"" - 中文: ""林""
Русский: ""été"" - 中文: ""夏""
Русский: ""juge"" - 中文: ""判""
Русский: ""filet"" - 中文: ""网""
Русский: ""grotte"" - 中文: ""","[31886, 233]",洞,"[18346, 5777, 274, 1113, 24230, 29883]",cave,grotte
"Русский: ""siège"" - 中文: ""座""
Русский: ""supprimer"" - 中文: ""删""
Русский: ""nord"" - 中文: ""北""
Русский: ""pied"" - 中文: ""足""
Русский: ""mer"" - 中文: ""","[30581, 233]",海,"[409, 7205, 344, 29879, 269]",sea,mer
"Русский: ""bois"" - 中文: ""木""
Русский: ""jour"" - 中文: ""日""
Русский: ""cheval"" - 中文: ""马""
Русский: ""structure"" - 中文: ""构""
Русский: ""lac"" - 中文: ""","[31496, 233]",湖,"[24591, 301, 29880, 425, 433, 18170, 19437]",lake,lac
"Русский: ""siège"" - 中文: ""座""
Русский: ""village"" - 中文: ""村""
Русский: ""machine"" - 中文: ""机""
Русский: ""gauche"" - 中文: ""左""
Русский: ""source"" - 中文: ""","[31193, 233]",源,"[3669, 2752, 578, 4993, 29879, 269, 577]",source,source
"Русский: ""supprimer"" - 中文: ""删""
Русский: ""champ"" - 中文: ""场""
Русский: ""position"" - 中文: ""位""
Русский: ""gare"" - 中文: ""站""
Русский: ""point"" - 中文: ""","[30940, 234]",点,"[282, 1298, 29886, 11899, 3149, 1129, 772]",point,point
"Русский: ""rouge"" - 中文: ""红""
Русский: ""sac"" - 中文: ""包""
Русский: ""visage"" - 中文: ""面""
Русский: ""mot"" - 中文: ""字""
Русский: ""version"" - 中文: ""","[30845, 234]",版,"[1873, 345, 874, 1147, 325, 1224, 2453, 369, 3259, 29894]",version,version
"Русский: ""neuf"" - 中文: ""九""
Русский: ""montagne"" - 中文: ""山""
Русский: ""mille"" - 中文: ""千""
Русский: ""bureau"" - 中文: ""局""
Русский: ""ballon"" - 中文: ""","[31539, 234]",球,"[5521, 29890, 289, 2135, 9922, 8287, 2291, 6411]",ball,ballon
"Русский: ""mer"" - 中文: ""海""
Русский: ""océan"" - 中文: ""洋""
Русский: ""mère"" - 中文: ""母""
Русский: ""machine"" - 中文: ""机""
Русский: ""gare"" - 中文: ""","[31433, 234]",站,"[23436, 303, 6112, 5073, 19569, 29879, 9523, 1002, 5173, 269, 380]",station,gare
"Русский: ""bande"" - 中文: ""条""
Русский: ""sol"" - 中文: ""地""
Русский: ""bureau"" - 中文: ""局""
Русский: ""nuage"" - 中文: ""云""
Русский: ""riz"" - 中文: ""","[31902, 234]",米,"[2200, 10107, 9597, 374, 364, 11674, 19408, 29878]",rice,riz
"Русский: ""structure"" - 中文: ""构""
Русский: ""fleur"" - 中文: ""花""
Русский: ""bourse"" - 中文: ""交""
Русский: ""cœur"" - 中文: ""心""
Русский: ""rouge"" - 中文: ""","[31869, 234]",红,"[276, 1127, 2654, 337, 364, 29878]",red,rouge
"Русский: ""enfant"" - 中文: ""子""
Русский: ""sept"" - 中文: ""七""
Русский: ""quatre"" - 中文: ""四""
Русский: ""vertu"" - 中文: ""德""
Русский: ""ligne"" - 中文: ""","[31532, 234]",线,"[619, 301, 1220, 29880, 492, 1196, 1915, 6276]",line,ligne
"Русский: ""ménage"" - 中文: ""户""
Русский: ""pouvoir"" - 中文: ""力""
Русский: ""ville"" - 中文: ""城""
Русский: ""loi"" - 中文: ""法""
Русский: ""filet"" - 中文: ""","[31222, 234]",网,"[302, 484, 7787, 29876, 452, 1212]",net,filet
"Русский: ""vertu"" - 中文: ""德""
Русский: ""siège"" - 中文: ""座""
Русский: ""neige"" - 中文: ""雪""
Русский: ""supprimer"" - 中文: ""删""
Русский: ""fleur"" - 中文: ""","[30830, 235]",花,"[28149, 29888, 1731, 1579, 1652, 4972, 5685, 285]",flower,fleur
"Русский: ""mille"" - 中文: ""千""
Русский: ""bureau"" - 中文: ""局""
Русский: ""fleur"" - 中文: ""花""
Русский: ""vallée"" - 中文: ""谷""
Русский: ""thé"" - 中文: ""","[31954, 235]",茶,"[23429, 29873, 734, 371, 260]",tea,thé
"Русский: ""carré"" - 中文: ""方""
Русский: ""quatre"" - 中文: ""四""
Русский: ""temps"" - 中文: ""时""
Русский: ""fleur"" - 中文: ""花""
Русский: ""pied"" - 中文: ""","[31722, 235]",足,"[29888, 7953, 6661, 1181, 5431, 1701, 3661, 285]",foot,pied
"Русский: ""deux"" - 中文: ""二""
Русский: ""carré"" - 中文: ""方""
Русский: ""lumière"" - 中文: ""光""
Русский: ""personne"" - 中文: ""人""
Русский: ""or"" - 中文: ""","[30659, 236]",金,"[29887, 7684, 330, 1484, 748, 15192]",gold,or
