prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - 中文: ""五""
English: ""heart"" - 中文: ""心""
English: ""part"" - 中文: ""部""
English: ""three"" - 中文: ""三""
English: ""cloud"" - 中文: ""","[31784, 231]",云,"[9274, 9570, 695, 274, 15126, 1067, 17184, 23642, 29883]",cloud,cloud
"English: ""valley"" - 中文: ""谷""
English: ""tribe"" - 中文: ""族""
English: ""virtue"" - 中文: ""德""
English: ""eye"" - 中文: ""目""
English: ""bag"" - 中文: ""","[31473, 232]",包,"[9922, 19548, 289, 2291, 23156, 29890]",bag,bag
"English: ""school"" - 中文: ""校""
English: ""version"" - 中文: ""版""
English: ""point"" - 中文: ""点""
English: ""thousand"" - 中文: ""千""
English: ""mouth"" - 中文: ""","[30856, 232]",口,"[21026, 13394, 286, 29885, 2730, 4346, 29442]",mouth,mouth
"English: ""field"" - 中文: ""场""
English: ""north"" - 中文: ""北""
English: ""flower"" - 中文: ""花""
English: ""tower"" - 中文: ""塔""
English: ""soil"" - 中文: ""","[31181, 232]",土,"[269, 22473, 577, 578, 29879]",soil,soil
"English: ""time"" - 中文: ""时""
English: ""door"" - 中文: ""门""
English: ""valley"" - 中文: ""谷""
English: ""street"" - 中文: ""街""
English: ""mountain"" - 中文: ""","[30329, 232]",山,"[14378, 16476, 286, 29885, 2730, 4346, 5766, 29442]",mountain,mountain
"English: ""pair"" - 中文: ""双""
English: ""left"" - 中文: ""左""
English: ""summer"" - 中文: ""夏""
English: ""seven"" - 中文: ""七""
English: ""heart"" - 中文: ""","[30869, 232]",心,"[540, 354, 5192, 29882, 298, 23057, 8293]",heart,heart
"English: ""strip"" - 中文: ""条""
English: ""one"" - 中文: ""一""
English: ""day"" - 中文: ""日""
English: ""child"" - 中文: ""子""
English: ""hand"" - 中文: ""","[30880, 233]",手,"[3179, 5905, 447, 5403, 1361, 2350, 29882, 298]",hand,hand
"English: ""four"" - 中文: ""四""
English: ""wood"" - 中文: ""木""
English: ""red"" - 中文: ""红""
English: ""left"" - 中文: ""左""
English: ""day"" - 中文: ""","[30325, 233]",日,"[1388, 29881, 270, 2462, 1146, 3250]",day,day
"English: ""source"" - 中文: ""源""
English: ""nine"" - 中文: ""九""
English: ""hand"" - 中文: ""手""
English: ""line"" - 中文: ""线""
English: ""star"" - 中文: ""","[30900, 233]",星,"[5173, 5810, 8508, 269, 303, 380, 29879, 9523]",star,star
"English: ""law"" - 中文: ""法""
English: ""tribe"" - 中文: ""族""
English: ""mouth"" - 中文: ""口""
English: ""left"" - 中文: ""左""
English: ""spring"" - 中文: ""","[31031, 233]",春,"[1028, 6709, 269, 4278, 15099, 7689, 29879, 805]",spring,spring
"English: ""seat"" - 中文: ""座""
English: ""south"" - 中文: ""南""
English: ""four"" - 中文: ""四""
English: ""gold"" - 中文: ""金""
English: ""moon"" - 中文: ""","[30534, 233]",月,"[286, 29885, 2730, 18786, 4346]",moon,moon
