prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - 中文: ""五""
Русский: ""cœur"" - 中文: ""心""
Русский: ""partie"" - 中文: ""部""
Русский: ""trois"" - 中文: ""三""
Русский: ""nuage"" - 中文: ""","[31784, 231]",云,"[1067, 15126, 23642, 274, 695, 9274, 29883, 17184, 9570]",cloud,nuage
"Русский: ""vallée"" - 中文: ""谷""
Русский: ""tribu"" - 中文: ""族""
Русский: ""vertu"" - 中文: ""德""
Русский: ""œil"" - 中文: ""目""
Русский: ""sac"" - 中文: ""","[31473, 232]",包,"[19548, 2291, 289, 29890, 9922, 23156]",bag,sac
"Русский: ""école"" - 中文: ""校""
Русский: ""version"" - 中文: ""版""
Русский: ""point"" - 中文: ""点""
Русский: ""mille"" - 中文: ""千""
Русский: ""bouche"" - 中文: ""","[30856, 232]",口,"[286, 4346, 29442, 29885, 13394, 21026, 2730]",mouth,bouche
"Русский: ""champ"" - 中文: ""场""
Русский: ""nord"" - 中文: ""北""
Русский: ""fleur"" - 中文: ""花""
Русский: ""tour"" - 中文: ""塔""
Русский: ""sol"" - 中文: ""","[31181, 232]",土,"[577, 22473, 578, 29879, 269]",soil,sol
"Русский: ""temps"" - 中文: ""时""
Русский: ""porte"" - 中文: ""门""
Русский: ""vallée"" - 中文: ""谷""
Русский: ""rue"" - 中文: ""街""
Русский: ""montagne"" - 中文: ""","[30329, 232]",山,"[286, 16476, 4346, 29442, 29885, 14378, 5766, 2730]",mountain,montagne
"Русский: ""paire"" - 中文: ""双""
Русский: ""gauche"" - 中文: ""左""
Русский: ""été"" - 中文: ""夏""
Русский: ""sept"" - 中文: ""七""
Русский: ""cœur"" - 中文: ""","[30869, 232]",心,"[540, 298, 23057, 8293, 5192, 29882, 354]",heart,cœur
"Русский: ""bande"" - 中文: ""条""
Русский: ""un"" - 中文: ""一""
Русский: ""jour"" - 中文: ""日""
Русский: ""enfant"" - 中文: ""子""
Русский: ""main"" - 中文: ""","[30880, 233]",手,"[2350, 5905, 298, 5403, 3179, 1361, 447, 29882]",hand,main
"Русский: ""quatre"" - 中文: ""四""
Русский: ""bois"" - 中文: ""木""
Русский: ""rouge"" - 中文: ""红""
Русский: ""gauche"" - 中文: ""左""
Русский: ""jour"" - 中文: ""","[30325, 233]",日,"[270, 2462, 3250, 1388, 1146, 29881]",day,jour
"Русский: ""source"" - 中文: ""源""
Русский: ""neuf"" - 中文: ""九""
Русский: ""main"" - 中文: ""手""
Русский: ""ligne"" - 中文: ""线""
Русский: ""étoile"" - 中文: ""","[30900, 233]",星,"[5173, 380, 29879, 5810, 269, 8508, 9523, 303]",star,étoile
"Русский: ""loi"" - 中文: ""法""
Русский: ""tribu"" - 中文: ""族""
Русский: ""bouche"" - 中文: ""口""
Русский: ""gauche"" - 中文: ""左""
Русский: ""ressort"" - 中文: ""","[31031, 233]",春,"[7689, 6709, 29879, 269, 15099, 805, 4278, 1028]",spring,ressort
"Русский: ""siège"" - 中文: ""座""
Русский: ""sud"" - 中文: ""南""
Русский: ""quatre"" - 中文: ""四""
Русский: ""or"" - 中文: ""金""
Русский: ""lune"" - 中文: ""","[30534, 233]",月,"[286, 4346, 29885, 18786, 2730]",moon,lune
"Русский: ""bouche"" - 中文: ""口""
Русский: ""mille"" - 中文: ""千""
Русский: ""ménage"" - 中文: ""户""
Русский: ""été"" - 中文: ""夏""
Русский: ""bois"" - 中文: ""","[30710, 233]",木,"[8112, 29893, 8879, 6115, 281, 827]",wood,bois
"Русский: ""forêt"" - 中文: ""林""
Русский: ""cravate"" - 中文: ""结""
Русский: ""six"" - 中文: ""六""
Русский: ""dix"" - 中文: ""十""
Русский: ""village"" - 中文: ""","[30402, 233]",村,"[17191, 11928, 29894, 325, 5720, 1403, 28765, 4213, 3516, 21031]",village,village
"Русский: ""tête"" - 中文: ""头""
Русский: ""génération"" - 中文: ""代""
Русский: ""océan"" - 中文: ""洋""
Русский: ""quatre"" - 中文: ""四""
Русский: ""forêt"" - 中文: ""","[30853, 233]",林,"[285, 29888, 1454, 363, 1701, 1181, 13569, 26839, 1079]",forest,forêt
