prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""example"" - English: ""example""
English: ""south"" - English: ""south""
English: ""wood"" - English: ""wood""
English: ""cave"" - English: ""cave""
English: ""book"" - English: ""","[1045, 29890, 2909, 833, 3143, 289]",book,"[1045, 29890, 2909, 833, 3143, 289]",book,book
"English: ""dance"" - English: ""dance""
English: ""net"" - English: ""net""
English: ""friend"" - English: ""friend""
English: ""flower"" - English: ""flower""
English: ""cloud"" - English: ""","[17184, 1067, 29883, 9570, 274, 15126, 9274, 23642, 695]",cloud,"[17184, 1067, 29883, 9570, 274, 15126, 9274, 23642, 695]",cloud,cloud
"English: ""sound"" - English: ""sound""
English: ""forest"" - English: ""forest""
English: ""mountain"" - English: ""mountain""
English: ""line"" - English: ""line""
English: ""bag"" - English: ""","[29890, 2291, 19548, 23156, 289, 9922]",bag,"[29890, 2291, 19548, 23156, 289, 9922]",bag,bag
"English: ""song"" - English: ""song""
English: ""thousand"" - English: ""thousand""
English: ""gold"" - English: ""gold""
English: ""school"" - English: ""school""
English: ""mouth"" - English: ""","[29442, 13394, 286, 4346, 21026, 29885, 2730]",mouth,"[29442, 13394, 286, 4346, 21026, 29885, 2730]",mouth,mouth
"English: ""office"" - English: ""office""
English: ""seven"" - English: ""seven""
English: ""site"" - English: ""site""
English: ""square"" - English: ""square""
English: ""soil"" - English: ""","[577, 29879, 22473, 578, 269]",soil,"[577, 29879, 22473, 578, 269]",soil,soil
"English: ""tea"" - English: ""tea""
English: ""language"" - English: ""language""
English: ""foot"" - English: ""foot""
English: ""speed"" - English: ""speed""
English: ""mountain"" - English: ""","[29442, 286, 14378, 5766, 4346, 16476, 29885, 2730]",mountain,"[29442, 286, 14378, 5766, 4346, 16476, 29885, 2730]",mountain,mountain
"English: ""beauty"" - English: ""beauty""
English: ""exchange"" - English: ""exchange""
English: ""meeting"" - English: ""meeting""
English: ""law"" - English: ""law""
English: ""cloth"" - English: ""","[13950, 17184, 1067, 29883, 274, 15126, 695]",cloth,"[13950, 17184, 1067, 29883, 274, 15126, 695]",cloth,cloth
"English: ""fruit"" - English: ""fruit""
English: ""sun"" - English: ""sun""
English: ""nine"" - English: ""nine""
English: ""rise"" - English: ""rise""
English: ""heart"" - English: ""","[540, 29882, 354, 8293, 298, 23057, 5192]",heart,"[540, 29882, 354, 8293, 298, 23057, 5192]",heart,heart
"English: ""site"" - English: ""site""
English: ""gold"" - English: ""gold""
English: ""mouth"" - English: ""mouth""
English: ""village"" - English: ""village""
English: ""hand"" - English: ""","[447, 29882, 5403, 3179, 5905, 1361, 298, 2350]",hand,"[447, 29882, 5403, 3179, 5905, 1361, 298, 2350]",hand,hand
"English: ""forest"" - English: ""forest""
English: ""talent"" - English: ""talent""
English: ""word"" - English: ""word""
English: ""middle"" - English: ""middle""
English: ""day"" - English: ""","[2462, 270, 1146, 1388, 29881, 3250]",day,"[2462, 270, 1146, 1388, 29881, 3250]",day,day
"English: ""red"" - English: ""red""
English: ""rice"" - English: ""rice""
English: ""south"" - English: ""south""
English: ""three"" - English: ""three""
English: ""star"" - English: ""","[5810, 29879, 9523, 8508, 303, 5173, 269, 380]",star,"[5810, 29879, 9523, 8508, 303, 5173, 269, 380]",star,star
