prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""snow"" - Русский: ""снег""
English: ""bridge"" - Русский: ""мост""
English: ""item"" - Русский: ""предмет""
English: ""red"" - Русский: ""красный""
English: ""attempt"" - Русский: ""","[1268, 733, 29964, 469, 211]",попытка,"[31787, 235]",试,attempt
"English: ""grid"" - Русский: ""сетка""
English: ""platform"" - Русский: ""платформа""
English: ""summer"" - Русский: ""лето""
English: ""sea"" - Русский: ""море""
English: ""bag"" - Русский: ""","[2937, 531, 29935, 3404, 212]",сумка,"[31473, 232]",包,bag
"English: ""point"" - Русский: ""точка""
English: ""color"" - Русский: ""цвет""
English: ""ocean"" - Русский: ""океан""
English: ""pair"" - Русский: ""пара""
English: ""ball"" - Русский: ""","[29959, 27693, 5010, 757, 211]",мяч,"[31539, 234]",球,ball
"English: ""virtue"" - Русский: ""добродетель""
English: ""shop"" - Русский: ""магазин""
English: ""pair"" - Русский: ""пара""
English: ""part"" - Русский: ""часть""
English: ""beauty"" - Русский: ""","[1186, 3360, 29951, 6697, 211]",красота,"[30630, 234]",美,beauty
"English: ""shop"" - Русский: ""магазин""
English: ""return"" - Русский: ""возврат""
English: ""sun"" - Русский: ""солнце""
English: ""wave"" - Русский: ""волна""
English: ""book"" - Русский: ""","[1186, 13024, 29951, 211]",книга,"[31900, 231]",书,book
"English: ""water"" - Русский: ""вода""
English: ""power"" - Русский: ""власть""
English: ""lake"" - Русский: ""озеро""
English: ""part"" - Русский: ""часть""
English: ""bridge"" - Русский: ""","[29959, 2569, 1630, 757, 211]",мост,"[31749, 233]",桥,bridge
"English: ""mountain"" - Русский: ""гора""
English: ""strip"" - Русский: ""полоса""
English: ""field"" - Русский: ""поле""
English: ""seven"" - Русский: ""семь""
English: ""cave"" - Русский: ""","[6414, 29964, 2100, 469, 211]",пещера,"[31886, 233]",洞,cave
"English: ""group"" - Русский: ""группа""
English: ""position"" - Русский: ""позиция""
English: ""delete"" - Русский: ""удалить""
English: ""power"" - Русский: ""власть""
English: ""child"" - Русский: ""","[1909, 587, 29927, 8201, 212]",ребенок,"[30319, 232]",子,child
"English: ""return"" - Русский: ""возврат""
English: ""seven"" - Русский: ""семь""
English: ""painting"" - Русский: ""картина""
English: ""ground"" - Русский: ""земля""
English: ""city"" - Русский: ""","[19051, 29969, 17310, 1084, 1214, 24856, 12816, 588, 9546, 211]",город,"[30626, 232]",城,city
"English: ""law"" - Русский: ""закон""
English: ""wave"" - Русский: ""волна""
English: ""six"" - Русский: ""шесть""
English: ""eight"" - Русский: ""восемь""
English: ""cloud"" - Русский: ""","[4389, 614, 29904, 5055, 1604, 211]",облако,"[31784, 231]",云,cloud
"English: ""street"" - Русский: ""улица""
English: ""platform"" - Русский: ""платформа""
English: ""pair"" - Русский: ""пара""
English: ""province"" - Русский: ""провинция""
English: ""color"" - Русский: ""","[3716, 29996, 212]",цвет,"[31085, 235]",色,color
"English: ""forest"" - Русский: ""лес""
English: ""part"" - Русский: ""часть""
English: ""grid"" - Русский: ""сетка""
English: ""red"" - Русский: ""красный""
English: ""dance"" - Русский: ""","[1937, 7951, 676, 20395, 29932, 1710, 212]",танец,"[31939, 235]",舞,dance
"English: ""item"" - Русский: ""предмет""
English: ""power"" - Русский: ""власть""
English: ""beauty"" - Русский: ""красота""
English: ""exchange"" - Русский: ""биржа""
English: ""defeat"" - Русский: ""","[733, 29964, 20263, 21463, 469, 28227, 1268, 211]",поражение,"[31955, 235]",败,defeat
"English: ""five"" - Русский: ""пять""
English: ""school"" - Русский: ""школа""
English: ""sea"" - Русский: ""море""
English: ""tail"" - Русский: ""хвост""
English: ""delete"" - Русский: ""","[19871, 863, 29960, 212]",удалить,"[31916, 232]",删,delete
"English: ""line"" - Русский: ""линия""
English: ""return"" - Русский: ""возврат""
English: ""virtue"" - Русский: ""добродетель""
English: ""province"" - Русский: ""провинция""
English: ""door"" - Русский: ""","[20880, 662, 29957, 211]",дверь,"[31649, 236]",门,door
"English: ""nine"" - Русский: ""девять""
English: ""city"" - Русский: ""город""
English: ""language"" - Русский: ""язык""
English: ""pair"" - Русский: ""пара""
English: ""east"" - Русский: ""","[25896, 29942, 16335, 26170, 490, 984, 1786, 211]",восток,"[30979, 231]",东,east
"English: ""song"" - Русский: ""песня""
English: ""attempt"" - Русский: ""попытка""
English: ""foot"" - Русский: ""нога""
English: ""friend"" - Русский: ""друг""
English: ""eight"" - Русский: ""","[29942, 16335, 490, 984, 1786, 211]",восемь,"[31044, 232]",八,eight
"English: ""mother"" - Русский: ""мать""
English: ""tea"" - Русский: ""чай""
English: ""kind"" - Русский: ""вид""
English: ""red"" - Русский: ""красный""
English: ""example"" - Русский: ""","[12781, 7104, 25390, 29964, 21550, 469, 1695, 211]",пример,"[31507, 231]",例,example
"English: ""foot"" - Русский: ""нога""
English: ""six"" - Русский: ""шесть""
English: ""seat"" - Русский: ""сиденье""
English: ""summer"" - Русский: ""лето""
English: ""exchange"" - Русский: ""","[29975, 836, 2384, 5660, 211]",биржа,"[31398, 231]",交,exchange
"English: ""version"" - Русский: ""версия""
English: ""village"" - Русский: ""деревня""
English: ""street"" - Русский: ""улица""
English: ""language"" - Русский: ""язык""
English: ""face"" - Русский: ""","[3550, 29944, 644, 211]",лицо,"[30806, 236]",面,face
"English: ""part"" - Русский: ""часть""
English: ""kind"" - Русский: ""вид""
English: ""source"" - Русский: ""источник""
English: ""east"" - Русский: ""восток""
English: ""field"" - Русский: ""","[733, 7372, 29964, 29235, 9518, 469, 1268, 211]",поле,"[31632, 232]",场,field
"English: ""machine"" - Русский: ""машина""
English: ""village"" - Русский: ""деревня""
English: ""exchange"" - Русский: ""биржа""
English: ""hundred"" - Русский: ""сотня""
English: ""fire"" - Русский: ""","[1186, 551, 29951, 1046, 211]",костер,"[31313, 234]",火,fire
"English: ""forest"" - Русский: ""лес""
English: ""office"" - Русский: ""офис""
English: ""dance"" - Русский: ""танец""
English: ""line"" - Русский: ""линия""
English: ""five"" - Русский: ""","[29964, 24200, 469, 211]",пять,"[30904, 231]",五,five
"English: ""village"" - Русский: ""деревня""
English: ""north"" - Русский: ""север""
English: ""tail"" - Русский: ""хвост""
English: ""mouth"" - Русский: ""рот""
English: ""flower"" - Русский: ""","[3716, 29996, 212]",цветок,"[30830, 235]",花,flower
"English: ""square"" - Русский: ""квадрат""
English: ""moon"" - Русский: ""луна""
English: ""star"" - Русский: ""звезда""
English: ""horse"" - Русский: ""лошадь""
English: ""foot"" - Русский: ""","[4228, 570, 29921, 6968, 18211, 211]",нога,"[31722, 235]",足,foot
"English: ""fruit"" - Русский: ""фрукт""
English: ""sand"" - Русский: ""песок""
English: ""five"" - Русский: ""пять""
English: ""mother"" - Русский: ""мать""
English: ""forest"" - Русский: ""","[753, 4674, 29944, 211]",лес,"[30853, 233]",林,forest
"English: ""seat"" - Русский: ""сиденье""
English: ""defeat"" - Русский: ""поражение""
English: ""ten"" - Русский: ""десять""
English: ""language"" - Русский: ""язык""
English: ""four"" - Русский: ""","[2493, 2950, 1093, 29981, 24998, 212]",четыре,"[30928, 232]",四,four
"English: ""spring"" - Русский: ""пружина""
English: ""star"" - Русский: ""звезда""
English: ""point"" - Русский: ""точка""
English: ""tail"" - Русский: ""хвост""
English: ""friend"" - Русский: ""","[4849, 9433, 662, 29957, 211]",друг,"[31373, 232]",友,friend
"English: ""flower"" - Русский: ""цветок""
English: ""cloud"" - Русский: ""облако""
English: ""speed"" - Русский: ""скорость""
English: ""tribe"" - Русский: ""племя""
English: ""fruit"" - Русский: ""","[30011, 1606, 23692, 212]",фрукт,"[30801, 233]",果,fruit
"English: ""summer"" - Русский: ""лето""
English: ""valley"" - Русский: ""долина""
English: ""ten"" - Русский: ""десять""
English: ""structure"" - Русский: ""структура""
English: ""generation"" - Русский: ""","[733, 29964, 469, 1268, 211]",поколение,"[30690, 231]",代,generation
"English: ""province"" - Русский: ""провинция""
English: ""city"" - Русский: ""город""
English: ""grid"" - Русский: ""сетка""
English: ""tie"" - Русский: ""галстук""
English: ""gold"" - Русский: ""","[25687, 26467, 4734, 754, 29972, 211]",золото,"[30659, 236]",金,gold
