prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - Русский: ""五""
English: ""heart"" - Русский: ""心""
English: ""part"" - Русский: ""部""
English: ""three"" - Русский: ""三""
English: ""cloud"" - Русский: ""","[31784, 231]",云,"[29883, 9570, 695, 23642, 17184, 15126, 9274, 1067, 274]",cloud,cloud
"English: ""valley"" - Русский: ""谷""
English: ""tribe"" - Русский: ""族""
English: ""virtue"" - Русский: ""德""
English: ""eye"" - Русский: ""目""
English: ""bag"" - Русский: ""","[31473, 232]",包,"[29890, 289, 2291, 9922, 19548, 23156]",bag,bag
"English: ""school"" - Русский: ""校""
English: ""version"" - Русский: ""版""
English: ""point"" - Русский: ""点""
English: ""thousand"" - Русский: ""千""
English: ""mouth"" - Русский: ""","[30856, 232]",口,"[13394, 2730, 4346, 286, 29885, 29442, 21026]",mouth,mouth
"English: ""field"" - Русский: ""场""
English: ""north"" - Русский: ""北""
English: ""flower"" - Русский: ""花""
English: ""tower"" - Русский: ""塔""
English: ""soil"" - Русский: ""","[31181, 232]",土,"[29879, 22473, 577, 269, 578]",soil,soil
"English: ""time"" - Русский: ""时""
English: ""door"" - Русский: ""门""
English: ""valley"" - Русский: ""谷""
English: ""street"" - Русский: ""街""
English: ""mountain"" - Русский: ""","[30329, 232]",山,"[5766, 2730, 4346, 16476, 29885, 286, 29442, 14378]",mountain,mountain
"English: ""pair"" - Русский: ""双""
English: ""left"" - Русский: ""左""
English: ""summer"" - Русский: ""夏""
English: ""seven"" - Русский: ""七""
English: ""heart"" - Русский: ""","[30869, 232]",心,"[354, 23057, 5192, 298, 8293, 29882, 540]",heart,heart
"English: ""strip"" - Русский: ""条""
English: ""one"" - Русский: ""一""
English: ""day"" - Русский: ""日""
English: ""child"" - Русский: ""子""
English: ""hand"" - Русский: ""","[30880, 233]",手,"[3179, 447, 1361, 298, 2350, 29882, 5403, 5905]",hand,hand
"English: ""four"" - Русский: ""四""
English: ""wood"" - Русский: ""木""
English: ""red"" - Русский: ""红""
English: ""left"" - Русский: ""左""
English: ""day"" - Русский: ""","[30325, 233]",日,"[270, 2462, 1146, 3250, 1388, 29881]",day,day
"English: ""source"" - Русский: ""源""
English: ""nine"" - Русский: ""九""
English: ""hand"" - Русский: ""手""
English: ""line"" - Русский: ""线""
English: ""star"" - Русский: ""","[30900, 233]",星,"[8508, 29879, 380, 303, 269, 9523, 5173, 5810]",star,star
"English: ""law"" - Русский: ""法""
English: ""tribe"" - Русский: ""族""
English: ""mouth"" - Русский: ""口""
English: ""left"" - Русский: ""左""
English: ""spring"" - Русский: ""","[31031, 233]",春,"[29879, 4278, 6709, 15099, 805, 269, 7689, 1028]",spring,spring
"English: ""seat"" - Русский: ""座""
English: ""south"" - Русский: ""南""
English: ""four"" - Русский: ""四""
English: ""gold"" - Русский: ""金""
English: ""moon"" - Русский: ""","[30534, 233]",月,"[2730, 4346, 286, 18786, 29885]",moon,moon
"English: ""mouth"" - Русский: ""口""
English: ""thousand"" - Русский: ""千""
English: ""household"" - Русский: ""户""
English: ""summer"" - Русский: ""夏""
English: ""wood"" - Русский: ""","[30710, 233]",木,"[827, 6115, 281, 29893, 8879, 8112]",wood,wood
"English: ""forest"" - Русский: ""林""
English: ""tie"" - Русский: ""结""
English: ""six"" - Русский: ""六""
English: ""ten"" - Русский: ""十""
English: ""village"" - Русский: ""","[30402, 233]",村,"[4213, 1403, 3516, 29894, 11928, 21031, 5720, 325, 28765, 17191]",village,village
"English: ""head"" - Русский: ""头""
English: ""generation"" - Русский: ""代""
English: ""ocean"" - Русский: ""洋""
English: ""four"" - Русский: ""四""
English: ""forest"" - Русский: ""","[30853, 233]",林,"[1454, 1181, 363, 26839, 285, 13569, 1701, 1079, 29888]",forest,forest
"English: ""defeat"" - Русский: ""败""
English: ""strip"" - Русский: ""条""
English: ""mouth"" - Русский: ""口""
English: ""south"" - Русский: ""南""
English: ""fruit"" - Русский: ""","[30801, 233]",果,"[1424, 285, 1341, 15774, 29888]",fruit,fruit
