prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""例"" - Русский: ""例""
Русский: ""南"" - Русский: ""南""
Русский: ""木"" - Русский: ""木""
Русский: ""洞"" - Русский: ""洞""
Русский: ""书"" - Русский: ""","[31900, 231]",书,"[2909, 3143, 1045, 29890, 833, 289]",book,书
"Русский: ""舞"" - Русский: ""舞""
Русский: ""网"" - Русский: ""网""
Русский: ""友"" - Русский: ""友""
Русский: ""花"" - Русский: ""花""
Русский: ""云"" - Русский: ""","[31784, 231]",云,"[1067, 695, 9570, 15126, 9274, 29883, 23642, 17184, 274]",cloud,云
"Русский: ""音"" - Русский: ""音""
Русский: ""林"" - Русский: ""林""
Русский: ""山"" - Русский: ""山""
Русский: ""线"" - Русский: ""线""
Русский: ""包"" - Русский: ""","[31473, 232]",包,"[29890, 289, 19548, 2291, 9922, 23156]",bag,包
"Русский: ""歌"" - Русский: ""歌""
Русский: ""千"" - Русский: ""千""
Русский: ""金"" - Русский: ""金""
Русский: ""校"" - Русский: ""校""
Русский: ""口"" - Русский: ""","[30856, 232]",口,"[29885, 4346, 21026, 29442, 286, 2730, 13394]",mouth,口
"Русский: ""局"" - Русский: ""局""
Русский: ""七"" - Русский: ""七""
Русский: ""址"" - Русский: ""址""
Русский: ""方"" - Русский: ""方""
Русский: ""土"" - Русский: ""","[31181, 232]",土,"[22473, 29879, 269, 578, 577]",soil,土
"Русский: ""茶"" - Русский: ""茶""
Русский: ""语"" - Русский: ""语""
Русский: ""足"" - Русский: ""足""
Русский: ""速"" - Русский: ""速""
Русский: ""山"" - Русский: ""","[30329, 232]",山,"[29885, 4346, 14378, 29442, 5766, 16476, 286, 2730]",mountain,山
"Русский: ""美"" - Русский: ""美""
Русский: ""交"" - Русский: ""交""
Русский: ""会"" - Русский: ""会""
Русский: ""法"" - Русский: ""法""
Русский: ""布"" - Русский: ""","[31454, 232]",布,"[1067, 13950, 695, 15126, 29883, 17184, 274]",cloth,布
"Русский: ""果"" - Русский: ""果""
Русский: ""阳"" - Русский: ""阳""
Русский: ""九"" - Русский: ""九""
Русский: ""起"" - Русский: ""起""
Русский: ""心"" - Русский: ""","[30869, 232]",心,"[23057, 8293, 29882, 540, 354, 5192, 298]",heart,心
"Русский: ""址"" - Русский: ""址""
Русский: ""金"" - Русский: ""金""
Русский: ""口"" - Русский: ""口""
Русский: ""村"" - Русский: ""村""
Русский: ""手"" - Русский: ""","[30880, 233]",手,"[2350, 3179, 447, 29882, 5905, 5403, 298, 1361]",hand,手
"Русский: ""林"" - Русский: ""林""
Русский: ""才"" - Русский: ""才""
Русский: ""字"" - Русский: ""字""
Русский: ""中"" - Русский: ""中""
Русский: ""日"" - Русский: ""","[30325, 233]",日,"[29881, 2462, 3250, 1388, 270, 1146]",day,日
"Русский: ""红"" - Русский: ""红""
Русский: ""米"" - Русский: ""米""
Русский: ""南"" - Русский: ""南""
Русский: ""三"" - Русский: ""三""
Русский: ""星"" - Русский: ""","[30900, 233]",星,"[9523, 5173, 29879, 269, 8508, 380, 303, 5810]",star,星
"Русский: ""沙"" - Русский: ""沙""
Русский: ""布"" - Русский: ""布""
Русский: ""二"" - Русский: ""二""
Русский: ""址"" - Русский: ""址""
Русский: ""春"" - Русский: ""","[31031, 233]",春,"[6709, 29879, 1028, 805, 269, 15099, 4278, 7689]",spring,春
"Русский: ""心"" - Русский: ""心""
Русский: ""发"" - Русский: ""发""
Русский: ""种"" - Русский: ""种""
Русский: ""歌"" - Русский: ""歌""
Русский: ""月"" - Русский: ""","[30534, 233]",月,"[29885, 4346, 286, 2730, 18786]",moon,月
"Русский: ""友"" - Русский: ""友""
Русский: ""书"" - Русский: ""书""
Русский: ""段"" - Русский: ""段""
Русский: ""岩"" - Русский: ""岩""
Русский: ""木"" - Русский: ""","[30710, 233]",木,"[8879, 281, 827, 8112, 29893, 6115]",wood,木
"Русский: ""败"" - Русский: ""败""
Русский: ""址"" - Русский: ""址""
Русский: ""布"" - Русский: ""布""
Русский: ""水"" - Русский: ""水""
Русский: ""村"" - Русский: ""","[30402, 233]",村,"[4213, 17191, 11928, 21031, 1403, 325, 29894, 28765, 5720, 3516]",village,村
"Русский: ""尾"" - Русский: ""尾""
Русский: ""汉"" - Русский: ""汉""
Русский: ""茶"" - Русский: ""茶""
Русский: ""交"" - Русский: ""交""
Русский: ""林"" - Русский: ""","[30853, 233]",林,"[29888, 285, 13569, 1181, 1454, 1701, 1079, 363, 26839]",forest,林
"Русский: ""九"" - Русский: ""九""
Русский: ""才"" - Русский: ""才""
Русский: ""百"" - Русский: ""百""
Русский: ""户"" - Русский: ""户""
Русский: ""果"" - Русский: ""","[30801, 233]",果,"[285, 29888, 1424, 1341, 15774]",fruit,果
"Русский: ""二"" - Русский: ""二""
Русский: ""例"" - Русский: ""例""
Русский: ""双"" - Русский: ""双""
Русский: ""花"" - Русский: ""花""
Русский: ""格"" - Русский: ""","[31168, 233]",格,"[6856, 7720, 330, 29887, 629, 867]",grid,格
"Русский: ""五"" - Русский: ""五""
Русский: ""山"" - Русский: ""山""
Русский: ""场"" - Русский: ""场""
Русский: ""构"" - Русский: ""构""
Русский: ""歌"" - Русский: ""","[31173, 233]",歌,"[1100, 29879, 269, 4823, 578, 21453, 1487, 577]",song,歌
"Русский: ""球"" - Русский: ""球""
Русский: ""五"" - Русский: ""五""
Русский: ""米"" - Русский: ""米""
Русский: ""八"" - Русский: ""八""
Русский: ""水"" - Русский: ""","[30716, 233]",水,"[4094, 11324, 281, 16699, 29893, 2766, 13405]",water,水
"Русский: ""局"" - Русский: ""局""
Русский: ""心"" - Русский: ""心""
Русский: ""网"" - Русский: ""网""
Русский: ""户"" - Русский: ""户""
Русский: ""汉"" - Русский: ""","[31593, 233]",汉,"[5952, 7169, 24704, 29950, 379]",Han,汉
"Русский: ""二"" - Русский: ""二""
Русский: ""三"" - Русский: ""三""
Русский: ""星"" - Русский: ""星""
Русский: ""址"" - Русский: ""址""
Русский: ""池"" - Русский: ""","[31853, 233]",池,"[1112, 772, 282, 12509, 29886, 2818, 1129]",pond,池
"Русский: ""米"" - Русский: ""米""
Русский: ""站"" - Русский: ""站""
Русский: ""母"" - Русский: ""母""
Русский: ""局"" - Русский: ""局""
Русский: ""沙"" - Русский: ""","[31476, 233]",沙,"[11982, 29879, 872, 269, 9753, 4977, 28455]",sand,沙
"Русский: ""美"" - Русский: ""美""
Русский: ""址"" - Русский: ""址""
Русский: ""地"" - Русский: ""地""
Русский: ""局"" - Русский: ""局""
Русский: ""河"" - Русский: ""","[30828, 233]",河,"[374, 364, 10107, 9050, 29878, 8580, 4401, 3511, 1150]",river,河
"Русский: ""八"" - Русский: ""八""
Русский: ""洋"" - Русский: ""洋""
Русский: ""台"" - Русский: ""台""
Русский: ""河"" - Русский: ""河""
Русский: ""法"" - Русский: ""","[30545, 233]",法,"[301, 4307, 10653, 29880, 433, 425]",law,法
"Русский: ""段"" - Русский: ""段""
Русский: ""判"" - Русский: ""判""
Русский: ""网"" - Русский: ""网""
Русский: ""日"" - Русский: ""日""
Русский: ""波"" - Русский: ""","[31529, 233]",波,"[10742, 27766, 11324, 281, 29893, 2766]",wave,波
"Русский: ""目"" - Русский: ""目""
Русский: ""格"" - Русский: ""格""
Русский: ""屋"" - Русский: ""屋""
Русский: ""试"" - Русский: ""试""
Русский: ""洋"" - Русский: ""","[31534, 233]",洋,"[23474, 288, 12954, 29877, 542, 25802]",ocean,洋
