prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""шесть"" - 中文: ""六""
Русский: ""мост"" - 中文: ""桥""
Русский: ""предмет"" - 中文: ""项""
Русский: ""провинция"" - 中文: ""省""
Русский: ""попытка"" - 中文: ""","[31787, 235]",试,"[31787, 235]",试,попытка
"Русский: ""цвет"" - 中文: ""色""
Русский: ""галстук"" - 中文: ""结""
Русский: ""пруд"" - 中文: ""池""
Русский: ""звезда"" - 中文: ""星""
Русский: ""сумка"" - 中文: ""","[31473, 232]",包,"[31473, 232]",包,сумка
"Русский: ""восток"" - 中文: ""东""
Русский: ""цвет"" - 中文: ""色""
Русский: ""пять"" - 中文: ""五""
Русский: ""платформа"" - 中文: ""台""
Русский: ""мяч"" - 中文: ""","[31539, 234]",球,"[31539, 234]",球,мяч
"Русский: ""платформа"" - 中文: ""台""
Русский: ""красный"" - 中文: ""红""
Русский: ""океан"" - 中文: ""洋""
Русский: ""картина"" - 中文: ""画""
Русский: ""красота"" - 中文: ""","[30630, 234]",美,"[30630, 234]",美,красота
"Русский: ""семь"" - 中文: ""七""
Русский: ""красный"" - 中文: ""红""
Русский: ""солнце"" - 中文: ""阳""
Русский: ""волна"" - 中文: ""波""
Русский: ""книга"" - 中文: ""","[31900, 231]",书,"[31900, 231]",书,книга
"Русский: ""юг"" - 中文: ""南""
Русский: ""позиция"" - 中文: ""位""
Русский: ""озеро"" - 中文: ""湖""
Русский: ""пара"" - 中文: ""双""
Русский: ""мост"" - 中文: ""","[31749, 233]",桥,"[31749, 233]",桥,мост
"Русский: ""пара"" - 中文: ""双""
Русский: ""вода"" - 中文: ""水""
Русский: ""сотня"" - 中文: ""百""
Русский: ""сиденье"" - 中文: ""座""
Русский: ""пещера"" - 中文: ""","[31886, 233]",洞,"[31886, 233]",洞,пещера
"Русский: ""звезда"" - 中文: ""星""
Русский: ""история"" - 中文: ""史""
Русский: ""провинция"" - 中文: ""省""
Русский: ""сетка"" - 中文: ""格""
Русский: ""ребенок"" - 中文: ""","[30319, 232]",子,"[30319, 232]",子,ребенок
"Русский: ""север"" - 中文: ""北""
Русский: ""рис"" - 中文: ""米""
Русский: ""друг"" - 中文: ""友""
Русский: ""шесть"" - 中文: ""六""
Русский: ""город"" - 中文: ""","[30626, 232]",城,"[30626, 232]",城,город
"Русский: ""квадрат"" - 中文: ""方""
Русский: ""машина"" - 中文: ""机""
Русский: ""костер"" - 中文: ""火""
Русский: ""мяч"" - 中文: ""球""
Русский: ""облако"" - 中文: ""","[31784, 231]",云,"[31784, 231]",云,облако
"Русский: ""море"" - 中文: ""海""
Русский: ""облако"" - 中文: ""云""
Русский: ""магазин"" - 中文: ""店""
Русский: ""квадрат"" - 中文: ""方""
Русский: ""цвет"" - 中文: ""","[31085, 235]",色,"[31085, 235]",色,цвет
"Русский: ""рис"" - 中文: ""米""
Русский: ""племя"" - 中文: ""族""
Русский: ""мужчина"" - 中文: ""男""
Русский: ""восток"" - 中文: ""东""
Русский: ""танец"" - 中文: ""","[31939, 235]",舞,"[31939, 235]",舞,танец
"Русский: ""позиция"" - 中文: ""位""
Русский: ""снег"" - 中文: ""雪""
Русский: ""магазин"" - 中文: ""店""
Русский: ""земля"" - 中文: ""地""
Русский: ""поражение"" - 中文: ""","[31955, 235]",败,"[31955, 235]",败,поражение
"Русский: ""голова"" - 中文: ""头""
Русский: ""фрукт"" - 中文: ""果""
Русский: ""десять"" - 中文: ""十""
Русский: ""добродетель"" - 中文: ""德""
Русский: ""удалить"" - 中文: ""","[31916, 232]",删,"[31916, 232]",删,удалить
"Русский: ""попытка"" - 中文: ""试""
Русский: ""девять"" - 中文: ""九""
Русский: ""мать"" - 中文: ""母""
Русский: ""поле"" - 中文: ""场""
Русский: ""дверь"" - 中文: ""","[31649, 236]",门,"[31649, 236]",门,дверь
"Русский: ""картина"" - 中文: ""画""
Русский: ""цветок"" - 中文: ""花""
Русский: ""долина"" - 中文: ""谷""
Русский: ""красный"" - 中文: ""红""
Русский: ""восток"" - 中文: ""","[30979, 231]",东,"[30979, 231]",东,восток
"Русский: ""позиция"" - 中文: ""位""
Русский: ""дом"" - 中文: ""屋""
Русский: ""лето"" - 中文: ""夏""
Русский: ""восток"" - 中文: ""东""
Русский: ""восемь"" - 中文: ""","[31044, 232]",八,"[31044, 232]",八,восемь
"Русский: ""возврат"" - 中文: ""回""
Русский: ""семь"" - 中文: ""七""
Русский: ""восток"" - 中文: ""东""
Русский: ""волна"" - 中文: ""波""
Русский: ""пример"" - 中文: ""","[31507, 231]",例,"[31507, 231]",例,пример
"Русский: ""песок"" - 中文: ""沙""
Русский: ""красный"" - 中文: ""红""
Русский: ""офис"" - 中文: ""局""
Русский: ""версия"" - 中文: ""版""
Русский: ""биржа"" - 中文: ""","[31398, 231]",交,"[31398, 231]",交,биржа
"Русский: ""рот"" - 中文: ""口""
Русский: ""волна"" - 中文: ""波""
Русский: ""поле"" - 中文: ""场""
Русский: ""земля"" - 中文: ""地""
Русский: ""лицо"" - 中文: ""","[30806, 236]",面,"[30806, 236]",面,лицо
"Русский: ""нога"" - 中文: ""足""
Русский: ""океан"" - 中文: ""洋""
Русский: ""школа"" - 中文: ""校""
Русский: ""песня"" - 中文: ""歌""
Русский: ""поле"" - 中文: ""","[31632, 232]",场,"[31632, 232]",场,поле
"Русский: ""пять"" - 中文: ""五""
Русский: ""друг"" - 中文: ""友""
Русский: ""восемь"" - 中文: ""八""
Русский: ""машина"" - 中文: ""机""
Русский: ""костер"" - 中文: ""","[31313, 234]",火,"[31313, 234]",火,костер
"Русский: ""сетка"" - 中文: ""格""
Русский: ""девять"" - 中文: ""九""
Русский: ""золото"" - 中文: ""金""
Русский: ""линия"" - 中文: ""线""
Русский: ""пять"" - 中文: ""","[30904, 231]",五,"[30904, 231]",五,пять
"Русский: ""лицо"" - 中文: ""面""
Русский: ""улица"" - 中文: ""街""
Русский: ""мост"" - 中文: ""桥""
Русский: ""рука"" - 中文: ""手""
Русский: ""цветок"" - 中文: ""","[30830, 235]",花,"[30830, 235]",花,цветок
"Русский: ""солнце"" - 中文: ""阳""
Русский: ""земля"" - 中文: ""地""
Русский: ""лес"" - 中文: ""林""
Русский: ""линия"" - 中文: ""线""
Русский: ""нога"" - 中文: ""","[31722, 235]",足,"[31722, 235]",足,нога
"Русский: ""песок"" - 中文: ""沙""
Русский: ""вид"" - 中文: ""种""
Русский: ""рука"" - 中文: ""手""
Русский: ""юг"" - 中文: ""南""
Русский: ""лес"" - 中文: ""","[30853, 233]",林,"[30853, 233]",林,лес
"Русский: ""сетка"" - 中文: ""网""
Русский: ""скорость"" - 中文: ""速""
Русский: ""три"" - 中文: ""三""
Русский: ""красный"" - 中文: ""红""
Русский: ""четыре"" - 中文: ""","[30928, 232]",四,"[30928, 232]",四,четыре
"Русский: ""язык"" - 中文: ""语""
Русский: ""гора"" - 中文: ""山""
Русский: ""деревня"" - 中文: ""村""
Русский: ""добродетель"" - 中文: ""德""
Русский: ""друг"" - 中文: ""","[31373, 232]",友,"[31373, 232]",友,друг
"Русский: ""сетка"" - 中文: ""格""
Русский: ""звезда"" - 中文: ""星""
Русский: ""возврат"" - 中文: ""回""
Русский: ""магазин"" - 中文: ""店""
Русский: ""фрукт"" - 中文: ""","[30801, 233]",果,"[30801, 233]",果,фрукт
