prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - Deutsch: ""五""
English: ""heart"" - Deutsch: ""心""
English: ""part"" - Deutsch: ""部""
English: ""three"" - Deutsch: ""三""
English: ""cloud"" - Deutsch: """,[31784],云,"[9274, 274, 9570, 17184, 29883, 23642, 1067, 695, 15126]",cloud,cloud
"English: ""valley"" - Deutsch: ""谷""
English: ""tribe"" - Deutsch: ""族""
English: ""virtue"" - Deutsch: ""德""
English: ""eye"" - Deutsch: ""目""
English: ""bag"" - Deutsch: """,[31473],包,"[23156, 2291, 289, 19548, 29890, 9922]",bag,bag
"English: ""school"" - Deutsch: ""校""
English: ""version"" - Deutsch: ""版""
English: ""point"" - Deutsch: ""点""
English: ""thousand"" - Deutsch: ""千""
English: ""mouth"" - Deutsch: """,[30856],口,"[286, 2730, 21026, 4346, 29442, 13394, 29885]",mouth,mouth
"English: ""field"" - Deutsch: ""场""
English: ""north"" - Deutsch: ""北""
English: ""flower"" - Deutsch: ""花""
English: ""tower"" - Deutsch: ""塔""
English: ""soil"" - Deutsch: """,[31181],土,"[577, 22473, 269, 578, 29879]",soil,soil
"English: ""time"" - Deutsch: ""时""
English: ""door"" - Deutsch: ""门""
English: ""valley"" - Deutsch: ""谷""
English: ""street"" - Deutsch: ""街""
English: ""mountain"" - Deutsch: """,[30329],山,"[16476, 5766, 286, 2730, 4346, 29442, 29885, 14378]",mountain,mountain
"English: ""pair"" - Deutsch: ""双""
English: ""left"" - Deutsch: ""左""
English: ""summer"" - Deutsch: ""夏""
English: ""seven"" - Deutsch: ""七""
English: ""heart"" - Deutsch: """,[30869],心,"[298, 540, 29882, 5192, 8293, 354, 23057]",heart,heart
"English: ""strip"" - Deutsch: ""条""
English: ""one"" - Deutsch: ""一""
English: ""day"" - Deutsch: ""日""
English: ""child"" - Deutsch: ""子""
English: ""hand"" - Deutsch: """,[30880],手,"[298, 1361, 3179, 5403, 29882, 2350, 5905, 447]",hand,hand
"English: ""four"" - Deutsch: ""四""
English: ""wood"" - Deutsch: ""木""
English: ""red"" - Deutsch: ""红""
English: ""left"" - Deutsch: ""左""
English: ""day"" - Deutsch: """,[30325],日,"[2462, 270, 3250, 1146, 1388, 29881]",day,day
"English: ""source"" - Deutsch: ""源""
English: ""nine"" - Deutsch: ""九""
English: ""hand"" - Deutsch: ""手""
English: ""line"" - Deutsch: ""线""
English: ""star"" - Deutsch: """,[30900],星,"[5810, 303, 380, 9523, 269, 8508, 29879, 5173]",star,star
"English: ""law"" - Deutsch: ""法""
English: ""tribe"" - Deutsch: ""族""
English: ""mouth"" - Deutsch: ""口""
English: ""left"" - Deutsch: ""左""
English: ""spring"" - Deutsch: """,[31031],春,"[6709, 7689, 4278, 269, 805, 29879, 1028, 15099]",spring,spring
"English: ""seat"" - Deutsch: ""座""
English: ""south"" - Deutsch: ""南""
English: ""four"" - Deutsch: ""四""
English: ""gold"" - Deutsch: ""金""
English: ""moon"" - Deutsch: """,[30534],月,"[286, 2730, 4346, 29885, 18786]",moon,moon
"English: ""mouth"" - Deutsch: ""口""
English: ""thousand"" - Deutsch: ""千""
English: ""household"" - Deutsch: ""户""
English: ""summer"" - Deutsch: ""夏""
English: ""wood"" - Deutsch: """,[30710],木,"[8112, 281, 827, 6115, 8879, 29893]",wood,wood
"English: ""forest"" - Deutsch: ""林""
English: ""tie"" - Deutsch: ""结""
English: ""six"" - Deutsch: ""六""
English: ""ten"" - Deutsch: ""十""
English: ""village"" - Deutsch: """,[30402],村,"[325, 28765, 5720, 29894, 21031, 4213, 11928, 17191, 3516, 1403]",village,village
"English: ""head"" - Deutsch: ""头""
English: ""generation"" - Deutsch: ""代""
English: ""ocean"" - Deutsch: ""洋""
English: ""four"" - Deutsch: ""四""
English: ""forest"" - Deutsch: """,[30853],林,"[1181, 285, 1701, 363, 13569, 29888, 1454, 1079, 26839]",forest,forest
"English: ""defeat"" - Deutsch: ""败""
English: ""strip"" - Deutsch: ""条""
English: ""mouth"" - Deutsch: ""口""
English: ""south"" - Deutsch: ""南""
English: ""fruit"" - Deutsch: """,[30801],果,"[285, 29888, 15774, 1424, 1341]",fruit,fruit
"English: ""three"" - Deutsch: ""三""
English: ""mountain"" - Deutsch: ""山""
English: ""middle"" - Deutsch: ""中""
English: ""attempt"" - Deutsch: ""试""
English: ""grid"" - Deutsch: """,[31168],格,"[629, 867, 29887, 6856, 7720, 330]",grid,grid
"English: ""advance"" - Deutsch: ""进""
English: ""child"" - Deutsch: ""子""
English: ""seven"" - Deutsch: ""七""
English: ""group"" - Deutsch: ""群""
English: ""song"" - Deutsch: """,[31173],歌,"[21453, 577, 1100, 1487, 269, 578, 29879, 4823]",song,song
"English: ""school"" - Deutsch: ""校""
English: ""group"" - Deutsch: ""群""
English: ""grid"" - Deutsch: ""格""
English: ""power"" - Deutsch: ""力""
English: ""pond"" - Deutsch: """,[31853],池,"[772, 29886, 1112, 1129, 282, 12509, 2818]",pond,pond
"English: ""rock"" - Deutsch: ""岩""
English: ""house"" - Deutsch: ""屋""
English: ""face"" - Deutsch: ""面""
English: ""horse"" - Deutsch: ""马""
English: ""sand"" - Deutsch: """,[31476],沙,"[872, 11982, 269, 9753, 28455, 4977, 29879]",sand,sand
"English: ""eye"" - Deutsch: ""目""
English: ""line"" - Deutsch: ""线""
English: ""history"" - Deutsch: ""史""
English: ""door"" - Deutsch: ""门""
English: ""law"" - Deutsch: """,[30545],法,"[29880, 301, 425, 4307, 10653, 433]",law,law
"English: ""six"" - Deutsch: ""六""
English: ""spring"" - Deutsch: ""春""
English: ""hand"" - Deutsch: ""手""
English: ""school"" - Deutsch: ""校""
English: ""wave"" - Deutsch: """,[31529],波,"[281, 27766, 2766, 10742, 11324, 29893]",wave,wave
"English: ""cloud"" - Deutsch: ""云""
English: ""field"" - Deutsch: ""场""
English: ""nine"" - Deutsch: ""九""
English: ""four"" - Deutsch: ""四""
English: ""ocean"" - Deutsch: """,[31534],洋,"[23474, 12954, 542, 25802, 288, 29877]",ocean,ocean
"English: ""forest"" - Deutsch: ""林""
English: ""summer"" - Deutsch: ""夏""
English: ""judge"" - Deutsch: ""判""
English: ""net"" - Deutsch: ""网""
English: ""cave"" - Deutsch: """,[31886],洞,"[5777, 274, 1113, 24230, 29883, 18346]",cave,cave
"English: ""seat"" - Deutsch: ""座""
English: ""delete"" - Deutsch: ""删""
English: ""north"" - Deutsch: ""北""
English: ""foot"" - Deutsch: ""足""
English: ""sea"" - Deutsch: """,[30581],海,"[269, 7205, 29879, 409, 344]",sea,sea
"English: ""wood"" - Deutsch: ""木""
English: ""day"" - Deutsch: ""日""
English: ""horse"" - Deutsch: ""马""
English: ""structure"" - Deutsch: ""构""
English: ""lake"" - Deutsch: """,[31496],湖,"[18170, 24591, 29880, 301, 425, 19437, 433]",lake,lake
"English: ""seat"" - Deutsch: ""座""
English: ""village"" - Deutsch: ""村""
English: ""machine"" - Deutsch: ""机""
English: ""left"" - Deutsch: ""左""
English: ""source"" - Deutsch: """,[31193],源,"[3669, 577, 4993, 269, 2752, 578, 29879]",source,source
"English: ""delete"" - Deutsch: ""删""
English: ""field"" - Deutsch: ""场""
English: ""position"" - Deutsch: ""位""
English: ""station"" - Deutsch: ""站""
English: ""point"" - Deutsch: """,[30940],点,"[772, 29886, 1298, 1129, 3149, 282, 11899]",point,point
"English: ""red"" - Deutsch: ""红""
English: ""bag"" - Deutsch: ""包""
English: ""face"" - Deutsch: ""面""
English: ""word"" - Deutsch: ""字""
English: ""version"" - Deutsch: """,[30845],版,"[1147, 325, 29894, 874, 3259, 1873, 1224, 345, 369, 2453]",version,version
"English: ""nine"" - Deutsch: ""九""
English: ""mountain"" - Deutsch: ""山""
English: ""thousand"" - Deutsch: ""千""
English: ""office"" - Deutsch: ""局""
English: ""ball"" - Deutsch: """,[31539],球,"[2291, 2135, 289, 29890, 6411, 8287, 5521, 9922]",ball,ball
"English: ""sea"" - Deutsch: ""海""
English: ""ocean"" - Deutsch: ""洋""
English: ""mother"" - Deutsch: ""母""
English: ""machine"" - Deutsch: ""机""
English: ""station"" - Deutsch: """,[31433],站,"[6112, 1002, 303, 380, 9523, 23436, 269, 19569, 29879, 5073, 5173]",station,station
"English: ""strip"" - Deutsch: ""条""
English: ""ground"" - Deutsch: ""地""
English: ""office"" - Deutsch: ""局""
English: ""cloud"" - Deutsch: ""云""
English: ""rice"" - Deutsch: """,[31902],米,"[9597, 10107, 2200, 374, 364, 29878, 19408, 11674]",rice,rice
"English: ""structure"" - Deutsch: ""构""
English: ""flower"" - Deutsch: ""花""
English: ""exchange"" - Deutsch: ""交""
English: ""heart"" - Deutsch: ""心""
English: ""red"" - Deutsch: """,[31869],红,"[1127, 364, 29878, 276, 337, 2654]",red,red
"English: ""child"" - Deutsch: ""子""
English: ""seven"" - Deutsch: ""七""
English: ""four"" - Deutsch: ""四""
English: ""virtue"" - Deutsch: ""德""
English: ""line"" - Deutsch: """,[31532],线,"[29880, 6276, 1220, 301, 1915, 1196, 492, 619]",line,line
"English: ""household"" - Deutsch: ""户""
English: ""power"" - Deutsch: ""力""
English: ""city"" - Deutsch: ""城""
English: ""law"" - Deutsch: ""法""
English: ""net"" - Deutsch: """,[31222],网,"[302, 7787, 484, 1212, 29876, 452]",net,net
"English: ""virtue"" - Deutsch: ""德""
English: ""seat"" - Deutsch: ""座""
English: ""snow"" - Deutsch: ""雪""
English: ""delete"" - Deutsch: ""删""
English: ""flower"" - Deutsch: """,[30830],花,"[285, 29888, 4972, 1731, 5685, 1579, 1652, 28149]",flower,flower
"English: ""thousand"" - Deutsch: ""千""
English: ""office"" - Deutsch: ""局""
English: ""flower"" - Deutsch: ""花""
English: ""valley"" - Deutsch: ""谷""
English: ""tea"" - Deutsch: """,[31954],茶,"[29873, 260, 23429, 734, 371]",tea,tea
"English: ""square"" - Deutsch: ""方""
English: ""four"" - Deutsch: ""四""
English: ""time"" - Deutsch: ""时""
English: ""flower"" - Deutsch: ""花""
English: ""foot"" - Deutsch: """,[31722],足,"[3661, 1181, 7953, 1701, 285, 29888, 5431, 6661]",foot,foot
