prompt,out_token_id,out_token_str,latent_token_id,latent_token_str
"""_""是一大片流动的水体，通常流入海洋或海。答案：""河""。
""_""是指向北的基本方向的相反方向。答案：""南""。
""_""是《星球大战》系列中的一个角色。答案: ""","[31593, 233]",汉,"[31593, 233]",汉
"""_""在排球和网球等运动中用来划分比赛区域。答案：""网""。
""_""是我们行走和建造房屋的地方。答案：""地""。
""_""是用来描述向前移动或取得进展的术语。答案: ""","[31174, 235]",进,"[31174, 235]",进
"""_""用来制作家具。答案：""木""。
""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。
""_""是尝试达成某事的行为。答案: ""","[31787, 235]",试,"[31787, 235]",试
"""_""用来移除文本或数据。答案：""删""。
""_""是组织或政府中拥有权威职位的人。答案：""官""。
""_""用来携带物品。答案: ""","[31473, 232]",包,"[31473, 232]",包
"""_""是人中被视为道德上好或可取的品质。答案：""德""。
""_""是一个社会或政府为了处理犯罪、商业协议和社会关系而发展的规则系统。答案：""法""。
""_""用来进行足球和篮球等运动。答案: ""","[31539, 234]",球,"[31539, 234]",球
"""_""位于人类和动物头上。答案：""发""。
""_""是四边相等且四个角都是直角的形状。答案：""方""。
""_""是提供愉悦或满足感知体验的特征。答案: ""","[30630, 234]",美,"[30630, 234]",美
"""_""是在六之后的数字。答案：""七""。
""_""是空间中的一个特定位置。答案：""点""。
""_""是促进或增强福祉的东西。答案: ""","[31107, 232]",利,"[31107, 232]",利
"""_""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案：""日""。
""_""是在五之后的数字。答案：""六""。
""_""用来阅读故事。答案: ""","[31900, 231]",书,"[31900, 231]",书
"""_""是地球表面的大自然升高地。答案：""山""。
""_""是身体的一部分，包含大脑、眼睛、耳朵、鼻子和嘴巴。答案：""头""。
""_""用来连接被河流或道路等障碍分隔的两个地区。答案: ""","[31749, 233]",桥,"[31749, 233]",桥
"""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。
""_""是某物的明显部分或子分区。答案：""段""。
""_""是自然形成的、足够人进入的地下空间。答案: ""","[31886, 233]",洞,"[31886, 233]",洞
"""_""是常用于珠宝的贵金属。答案：""金""。
""_""用来描述大约同时代出生和生活的所有人。答案：""代""。
""_""是未到青春期的年轻人类。答案: ""","[30319, 232]",子,"[30319, 232]",子
"""_""用来为设备供电。答案：""电""。
""_""是促进或增强福祉的东西。答案：""利""。
""_""是人们居住和工作的大型人类聚居地。答案: ""","[30626, 232]",城,"[30626, 232]",城
"""_""用来阅读故事。答案：""书""。
""_""是在二之后的数字。答案：""三""。
""_""用来清洁表面或覆盖身体。答案: ""","[31454, 232]",布,"[31454, 232]",布
"""_""是某人或某物位于或被放置的地方。答案：""位""。
""_""是《星球大战》系列中的一个角色。答案：""汉""。
""_""是大气中浮动的凝结水蒸气的可见质量。答案: ""","[31784, 231]",云,"[31784, 231]",云
"""_""是具有特定目的或功能的建筑物。答案：""构""。
""_""是地球表面的大自然升高地。答案：""山""。
""_""用来识别或描述物体的外观。答案: ""","[31085, 235]",色,"[31085, 235]",色
"""_""是以温暖的天气为特征的季节。答案：""夏""。
""_""是西的相反基本方向。答案：""东""。
""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案: ""","[31939, 235]",舞,"[31939, 235]",舞
"""_""用来照亮黑暗的空间。答案：""光""。
""_""是某物的明显部分或子分区。答案：""段""。
""_""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案: ""","[30325, 233]",日,"[30325, 233]",日
"""_""是未指定或未识别的事物。答案：""项""。
""_""是一大片流动的水体，通常流入海洋或海。答案：""河""。
""_""是在竞赛或战斗中输掉时的体验。答案: ""","[31955, 235]",败,"[31955, 235]",败
"""_""是被陆地包围的大片水体。答案：""湖""。
""_""是提供愉悦或满足感知体验的特征。答案：""美""。
""_""用来移除文本或数据。答案: ""","[31916, 232]",删,"[31916, 232]",删
"""_""是在三之后的整数。答案：""四""。
""_""是被陆地包围的大片水体。答案：""湖""。
""_""用于进入或离开房间。答案: ""","[31649, 236]",门,"[31649, 236]",门
"""_""是人中被视为道德上好或可取的品质。答案：""德""。
""_""用来阅读故事。答案：""书""。
""_""是西的相反基本方向。答案: ""","[30979, 231]",东,"[30979, 231]",东
"""_""是未指定或未识别的事物。答案：""项""。
""_""是在法庭程序中主持审判的人，无论是独自一人还是作为评判团的一部分。答案：""判""。
""_""是在七之后的数字。答案: ""","[31044, 232]",八,"[31044, 232]",八
"""_""用来描述大约同时代出生和生活的所有人。答案：""代""。
""_""是一种通常甜的并且来自植物的食物类型。答案：""果""。
""_""用来为设备供电。答案: ""","[31679, 234]",电,"[31679, 234]",电
"""_""是在六之后的数字。答案：""七""。
""_""是地球表面的大自然升高地。答案：""山""。
""_""用来阐释一个观点或概念。答案: ""","[31507, 231]",例,"[31507, 231]",例
"""_""是右的相反方向。答案：""左""。
""_""是人的头的前部，包括额头、眼睛、鼻子和嘴巴。答案：""面""。
""_""是股票、债券或其他证券被买卖的地方。答案: ""","[31398, 231]",交,"[31398, 231]",交
"""_""是山丘或山脉之间的低地，通常有河流穿过。答案：""谷""。
""_""是常与爱情和激情相关联的颜色。答案：""红""。
""_""用来看我们周围的一切。答案: ""","[30895, 234]",目,"[30895, 234]",目
"""_""是绕着行星运转的自然卫星。答案：""月""。
""_""是在竞赛或战斗中输掉时的体验。答案：""败""。
""_""是人的头的前部，包括额头、眼睛、鼻子和嘴巴。答案: ""","[30806, 236]",面,"[30806, 236]",面
"""_""用来描述增加或向上移动。答案：""起""。
""_""是我们行走和建造房屋的地方。答案：""地""。
""_""是开阔土地的广阔区域，用来种植作物。答案: ""","[31632, 232]",场,"[31632, 232]",场
"""_""是一个社会或政府为了处理犯罪、商业协议和社会关系而发展的规则系统。答案：""法""。
""_""是在零之后、二之前的数字。答案：""一""。
""_""用于烹饪和提供温暖。答案: ""","[31313, 234]",火,"[31313, 234]",火
