prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""例"" - Français: ""例""
Français: ""南"" - Français: ""南""
Français: ""木"" - Français: ""木""
Français: ""洞"" - Français: ""洞""
Français: ""书"" - Français: """,[31900],书,"[1045, 3143, 833, 2909, 289, 29890]",book,书
"Français: ""舞"" - Français: ""舞""
Français: ""网"" - Français: ""网""
Français: ""友"" - Français: ""友""
Français: ""花"" - Français: ""花""
Français: ""云"" - Français: """,[31784],云,"[17184, 9570, 274, 1067, 695, 9274, 23642, 15126, 29883]",cloud,云
"Français: ""音"" - Français: ""音""
Français: ""林"" - Français: ""林""
Français: ""山"" - Français: ""山""
Français: ""线"" - Français: ""线""
Français: ""包"" - Français: """,[31473],包,"[9922, 2291, 23156, 289, 19548, 29890]",bag,包
"Français: ""歌"" - Français: ""歌""
Français: ""千"" - Français: ""千""
Français: ""金"" - Français: ""金""
Français: ""校"" - Français: ""校""
Français: ""口"" - Français: """,[30856],口,"[21026, 29442, 2730, 13394, 4346, 29885, 286]",mouth,口
"Français: ""局"" - Français: ""局""
Français: ""七"" - Français: ""七""
Français: ""址"" - Français: ""址""
Français: ""方"" - Français: ""方""
Français: ""土"" - Français: """,[31181],土,"[269, 578, 22473, 577, 29879]",soil,土
"Français: ""茶"" - Français: ""茶""
Français: ""语"" - Français: ""语""
Français: ""足"" - Français: ""足""
Français: ""速"" - Français: ""速""
Français: ""山"" - Français: """,[30329],山,"[29442, 5766, 4346, 2730, 16476, 14378, 29885, 286]",mountain,山
"Français: ""美"" - Français: ""美""
Français: ""交"" - Français: ""交""
Français: ""会"" - Français: ""会""
Français: ""法"" - Français: ""法""
Français: ""布"" - Français: """,[31454],布,"[17184, 695, 274, 1067, 13950, 15126, 29883]",cloth,布
"Français: ""果"" - Français: ""果""
Français: ""阳"" - Français: ""阳""
Français: ""九"" - Français: ""九""
Français: ""起"" - Français: ""起""
Français: ""心"" - Français: """,[30869],心,"[540, 23057, 5192, 8293, 29882, 354, 298]",heart,心
"Français: ""址"" - Français: ""址""
Français: ""金"" - Français: ""金""
Français: ""口"" - Français: ""口""
Français: ""村"" - Français: ""村""
Français: ""手"" - Français: """,[30880],手,"[1361, 5403, 5905, 29882, 3179, 447, 2350, 298]",hand,手
"Français: ""林"" - Français: ""林""
Français: ""才"" - Français: ""才""
Français: ""字"" - Français: ""字""
Français: ""中"" - Français: ""中""
Français: ""日"" - Français: """,[30325],日,"[1146, 1388, 29881, 2462, 270, 3250]",day,日
"Français: ""红"" - Français: ""红""
Français: ""米"" - Français: ""米""
Français: ""南"" - Français: ""南""
Français: ""三"" - Français: ""三""
Français: ""星"" - Français: """,[30900],星,"[8508, 269, 9523, 5810, 5173, 380, 303, 29879]",star,星
"Français: ""沙"" - Français: ""沙""
Français: ""布"" - Français: ""布""
Français: ""二"" - Français: ""二""
Français: ""址"" - Français: ""址""
Français: ""春"" - Français: """,[31031],春,"[15099, 1028, 269, 805, 7689, 4278, 6709, 29879]",spring,春
"Français: ""心"" - Français: ""心""
Français: ""发"" - Français: ""发""
Français: ""种"" - Français: ""种""
Français: ""歌"" - Français: ""歌""
Français: ""月"" - Français: """,[30534],月,"[18786, 2730, 4346, 29885, 286]",moon,月
"Français: ""友"" - Français: ""友""
Français: ""书"" - Français: ""书""
Français: ""段"" - Français: ""段""
Français: ""岩"" - Français: ""岩""
Français: ""木"" - Français: """,[30710],木,"[8879, 29893, 281, 8112, 6115, 827]",wood,木
"Français: ""败"" - Français: ""败""
Français: ""址"" - Français: ""址""
Français: ""布"" - Français: ""布""
Français: ""水"" - Français: ""水""
Français: ""村"" - Français: """,[30402],村,"[4213, 21031, 1403, 17191, 325, 3516, 28765, 11928, 29894, 5720]",village,村
"Français: ""尾"" - Français: ""尾""
Français: ""汉"" - Français: ""汉""
Français: ""茶"" - Français: ""茶""
Français: ""交"" - Français: ""交""
Français: ""林"" - Français: """,[30853],林,"[26839, 363, 1454, 285, 1181, 29888, 1701, 13569, 1079]",forest,林
"Français: ""九"" - Français: ""九""
Français: ""才"" - Français: ""才""
Français: ""百"" - Français: ""百""
Français: ""户"" - Français: ""户""
Français: ""果"" - Français: """,[30801],果,"[1341, 285, 29888, 15774, 1424]",fruit,果
"Français: ""二"" - Français: ""二""
Français: ""例"" - Français: ""例""
Français: ""双"" - Français: ""双""
Français: ""花"" - Français: ""花""
Français: ""格"" - Français: """,[31168],格,"[867, 629, 29887, 7720, 6856, 330]",grid,格
"Français: ""五"" - Français: ""五""
Français: ""山"" - Français: ""山""
Français: ""场"" - Français: ""场""
Français: ""构"" - Français: ""构""
Français: ""歌"" - Français: """,[31173],歌,"[269, 4823, 578, 1487, 21453, 1100, 577, 29879]",song,歌
"Français: ""球"" - Français: ""球""
Français: ""五"" - Français: ""五""
Français: ""米"" - Français: ""米""
Français: ""八"" - Français: ""八""
Français: ""水"" - Français: """,[30716],水,"[4094, 29893, 16699, 281, 2766, 11324, 13405]",water,水
"Français: ""局"" - Français: ""局""
Français: ""心"" - Français: ""心""
Français: ""网"" - Français: ""网""
Français: ""户"" - Français: ""户""
Français: ""汉"" - Français: """,[31593],汉,"[29950, 379, 5952, 24704, 7169]",Han,汉
"Français: ""二"" - Français: ""二""
Français: ""三"" - Français: ""三""
Français: ""星"" - Français: ""星""
Français: ""址"" - Français: ""址""
Français: ""池"" - Français: """,[31853],池,"[772, 1129, 29886, 282, 12509, 2818, 1112]",pond,池
"Français: ""米"" - Français: ""米""
Français: ""站"" - Français: ""站""
Français: ""母"" - Français: ""母""
Français: ""局"" - Français: ""局""
Français: ""沙"" - Français: """,[31476],沙,"[9753, 269, 4977, 28455, 11982, 872, 29879]",sand,沙
"Français: ""美"" - Français: ""美""
Français: ""址"" - Français: ""址""
Français: ""地"" - Français: ""地""
Français: ""局"" - Français: ""局""
Français: ""河"" - Français: """,[30828],河,"[29878, 8580, 9050, 374, 364, 4401, 3511, 10107, 1150]",river,河
"Français: ""八"" - Français: ""八""
Français: ""洋"" - Français: ""洋""
Français: ""台"" - Français: ""台""
Français: ""河"" - Français: ""河""
Français: ""法"" - Français: """,[30545],法,"[29880, 425, 301, 4307, 10653, 433]",law,法
"Français: ""段"" - Français: ""段""
Français: ""判"" - Français: ""判""
Français: ""网"" - Français: ""网""
Français: ""日"" - Français: ""日""
Français: ""波"" - Français: """,[31529],波,"[27766, 29893, 281, 2766, 11324, 10742]",wave,波
"Français: ""目"" - Français: ""目""
Français: ""格"" - Français: ""格""
Français: ""屋"" - Français: ""屋""
Français: ""试"" - Français: ""试""
Français: ""洋"" - Français: """,[31534],洋,"[23474, 29877, 542, 288, 12954, 25802]",ocean,洋
"Français: ""结"" - Français: ""结""
Français: ""网"" - Français: ""网""
Français: ""删"" - Français: ""删""
Français: ""林"" - Français: ""林""
Français: ""洞"" - Français: """,[31886],洞,"[274, 24230, 18346, 1113, 29883, 5777]",cave,洞
"Français: ""七"" - Français: ""七""
Français: ""北"" - Français: ""北""
Français: ""删"" - Français: ""删""
Français: ""意"" - Français: ""意""
Français: ""海"" - Français: """,[30581],海,"[269, 344, 7205, 409, 29879]",sea,海
"Français: ""门"" - Français: ""门""
Français: ""例"" - Français: ""例""
Français: ""户"" - Français: ""户""
Français: ""光"" - Français: ""光""
Français: ""湖"" - Français: """,[31496],湖,"[24591, 19437, 29880, 425, 18170, 301, 433]",lake,湖
"Français: ""回"" - Français: ""回""
Français: ""部"" - Français: ""部""
Français: ""黄"" - Français: ""黄""
Français: ""海"" - Français: ""海""
Français: ""源"" - Français: """,[31193],源,"[269, 3669, 578, 4993, 2752, 577, 29879]",source,源
"Français: ""场"" - Français: ""场""
Français: ""五"" - Français: ""五""
Français: ""种"" - Français: ""种""
Français: ""汉"" - Français: ""汉""
Français: ""火"" - Français: """,[31313],火,"[7241, 285, 29888, 5713, 13734, 8696, 3974, 28034]",fire,火
