prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - English: ""five""
Français: ""cœur"" - English: ""heart""
Français: ""partie"" - English: ""part""
Français: ""trois"" - English: ""three""
Français: ""nuage"" - English: ""","[29883, 695, 9570, 15126, 23642, 1067, 9274, 17184, 274]",cloud,"[29883, 695, 9570, 15126, 23642, 1067, 9274, 17184, 274]",cloud,nuage
"Français: ""vallée"" - English: ""valley""
Français: ""tribu"" - English: ""tribe""
Français: ""vertu"" - English: ""virtue""
Français: ""œil"" - English: ""eye""
Français: ""sac"" - English: ""","[2291, 9922, 29890, 289, 23156, 19548]",bag,"[2291, 9922, 29890, 289, 23156, 19548]",bag,sac
"Français: ""école"" - English: ""school""
Français: ""version"" - English: ""version""
Français: ""point"" - English: ""point""
Français: ""mille"" - English: ""thousand""
Français: ""bouche"" - English: ""","[29442, 286, 21026, 4346, 2730, 13394, 29885]",mouth,"[29442, 286, 21026, 4346, 2730, 13394, 29885]",mouth,bouche
"Français: ""champ"" - English: ""field""
Français: ""nord"" - English: ""north""
Français: ""fleur"" - English: ""flower""
Français: ""tour"" - English: ""tower""
Français: ""sol"" - English: ""","[269, 577, 29879, 22473, 578]",soil,"[269, 577, 29879, 22473, 578]",soil,sol
"Français: ""temps"" - English: ""time""
Français: ""porte"" - English: ""door""
Français: ""vallée"" - English: ""valley""
Français: ""rue"" - English: ""street""
Français: ""montagne"" - English: ""","[29442, 286, 5766, 4346, 2730, 14378, 29885, 16476]",mountain,"[29442, 286, 5766, 4346, 2730, 14378, 29885, 16476]",mountain,montagne
"Français: ""paire"" - English: ""pair""
Français: ""gauche"" - English: ""left""
Français: ""été"" - English: ""summer""
Français: ""sept"" - English: ""seven""
Français: ""cœur"" - English: ""","[23057, 5192, 354, 8293, 29882, 540, 298]",heart,"[23057, 5192, 354, 8293, 29882, 540, 298]",heart,cœur
"Français: ""bande"" - English: ""strip""
Français: ""un"" - English: ""one""
Français: ""jour"" - English: ""day""
Français: ""enfant"" - English: ""child""
Français: ""main"" - English: ""","[447, 29882, 3179, 5403, 1361, 298, 5905, 2350]",hand,"[447, 29882, 3179, 5403, 1361, 298, 5905, 2350]",hand,main
"Français: ""quatre"" - English: ""four""
Français: ""bois"" - English: ""wood""
Français: ""rouge"" - English: ""red""
Français: ""gauche"" - English: ""left""
Français: ""jour"" - English: ""","[2462, 1146, 3250, 1388, 29881, 270]",day,"[2462, 1146, 3250, 1388, 29881, 270]",day,jour
"Français: ""source"" - English: ""source""
Français: ""neuf"" - English: ""nine""
Français: ""main"" - English: ""hand""
Français: ""ligne"" - English: ""line""
Français: ""étoile"" - English: ""","[269, 9523, 380, 303, 8508, 29879, 5810, 5173]",star,"[269, 9523, 380, 303, 8508, 29879, 5810, 5173]",star,étoile
"Français: ""loi"" - English: ""law""
Français: ""tribu"" - English: ""tribe""
Français: ""bouche"" - English: ""mouth""
Français: ""gauche"" - English: ""left""
Français: ""ressort"" - English: ""","[269, 805, 29879, 6709, 1028, 15099, 4278, 7689]",spring,"[269, 805, 29879, 6709, 1028, 15099, 4278, 7689]",spring,ressort
