prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - Français: ""五""
Русский: ""cœur"" - Français: ""心""
Русский: ""partie"" - Français: ""部""
Русский: ""trois"" - Français: ""三""
Русский: ""nuage"" - Français: """,[31784],云,"[274, 15126, 9274, 9570, 1067, 695, 23642, 29883, 17184]",cloud,nuage
"Русский: ""vallée"" - Français: ""谷""
Русский: ""tribu"" - Français: ""族""
Русский: ""vertu"" - Français: ""德""
Русский: ""œil"" - Français: ""目""
Русский: ""sac"" - Français: """,[31473],包,"[2291, 289, 29890, 23156, 19548, 9922]",bag,sac
"Русский: ""école"" - Français: ""校""
Русский: ""version"" - Français: ""版""
Русский: ""point"" - Français: ""点""
Русский: ""mille"" - Français: ""千""
Русский: ""bouche"" - Français: """,[30856],口,"[2730, 29442, 21026, 286, 13394, 29885, 4346]",mouth,bouche
"Русский: ""champ"" - Français: ""场""
Русский: ""nord"" - Français: ""北""
Русский: ""fleur"" - Français: ""花""
Русский: ""tour"" - Français: ""塔""
Русский: ""sol"" - Français: """,[31181],土,"[577, 29879, 22473, 578, 269]",soil,sol
"Русский: ""temps"" - Français: ""时""
Русский: ""porte"" - Français: ""门""
Русский: ""vallée"" - Français: ""谷""
Русский: ""rue"" - Français: ""街""
Русский: ""montagne"" - Français: """,[30329],山,"[2730, 14378, 29442, 16476, 286, 29885, 4346, 5766]",mountain,montagne
"Русский: ""paire"" - Français: ""双""
Русский: ""gauche"" - Français: ""左""
Русский: ""été"" - Français: ""夏""
Русский: ""sept"" - Français: ""七""
Русский: ""cœur"" - Français: """,[30869],心,"[540, 29882, 8293, 298, 5192, 23057, 354]",heart,cœur
"Русский: ""bande"" - Français: ""条""
Русский: ""un"" - Français: ""一""
Русский: ""jour"" - Français: ""日""
Русский: ""enfant"" - Français: ""子""
Русский: ""main"" - Français: """,[30880],手,"[2350, 5905, 29882, 298, 3179, 5403, 447, 1361]",hand,main
"Русский: ""quatre"" - Français: ""四""
Русский: ""bois"" - Français: ""木""
Русский: ""rouge"" - Français: ""红""
Русский: ""gauche"" - Français: ""左""
Русский: ""jour"" - Français: """,[30325],日,"[2462, 1146, 270, 29881, 1388, 3250]",day,jour
"Русский: ""source"" - Français: ""源""
Русский: ""neuf"" - Français: ""九""
Русский: ""main"" - Français: ""手""
Русский: ""ligne"" - Français: ""线""
Русский: ""étoile"" - Français: """,[30900],星,"[380, 29879, 5810, 8508, 9523, 5173, 269, 303]",star,étoile
"Русский: ""loi"" - Français: ""法""
Русский: ""tribu"" - Français: ""族""
Русский: ""bouche"" - Français: ""口""
Русский: ""gauche"" - Français: ""左""
Русский: ""ressort"" - Français: """,[31031],春,"[7689, 1028, 4278, 805, 6709, 15099, 29879, 269]",spring,ressort
"Русский: ""siège"" - Français: ""座""
Русский: ""sud"" - Français: ""南""
Русский: ""quatre"" - Français: ""四""
Русский: ""or"" - Français: ""金""
Русский: ""lune"" - Français: """,[30534],月,"[2730, 286, 18786, 29885, 4346]",moon,lune
"Русский: ""bouche"" - Français: ""口""
Русский: ""mille"" - Français: ""千""
Русский: ""ménage"" - Français: ""户""
Русский: ""été"" - Français: ""夏""
Русский: ""bois"" - Français: """,[30710],木,"[281, 6115, 827, 8112, 29893, 8879]",wood,bois
"Русский: ""forêt"" - Français: ""林""
Русский: ""cravate"" - Français: ""结""
Русский: ""six"" - Français: ""六""
Русский: ""dix"" - Français: ""十""
Русский: ""village"" - Français: """,[30402],村,"[3516, 29894, 4213, 28765, 325, 1403, 17191, 11928, 5720, 21031]",village,village
"Русский: ""tête"" - Français: ""头""
Русский: ""génération"" - Français: ""代""
Русский: ""océan"" - Français: ""洋""
Русский: ""quatre"" - Français: ""四""
Русский: ""forêt"" - Français: """,[30853],林,"[1454, 285, 26839, 1079, 29888, 1701, 1181, 13569, 363]",forest,forêt
"Русский: ""défaite"" - Français: ""败""
Русский: ""bande"" - Français: ""条""
Русский: ""bouche"" - Français: ""口""
Русский: ""sud"" - Français: ""南""
Русский: ""fruit"" - Français: """,[30801],果,"[285, 1424, 15774, 29888, 1341]",fruit,fruit
"Русский: ""trois"" - Français: ""三""
Русский: ""montagne"" - Français: ""山""
Русский: ""milieu"" - Français: ""中""
Русский: ""tentative"" - Français: ""试""
Русский: ""grille"" - Français: """,[31168],格,"[6856, 330, 867, 629, 29887, 7720]",grid,grille
"Русский: ""avancer"" - Français: ""进""
Русский: ""enfant"" - Français: ""子""
Русский: ""sept"" - Français: ""七""
Русский: ""groupe"" - Français: ""群""
Русский: ""chanson"" - Français: """,[31173],歌,"[1100, 4823, 577, 1487, 29879, 578, 269, 21453]",song,chanson
"Русский: ""école"" - Français: ""校""
Русский: ""groupe"" - Français: ""群""
Русский: ""grille"" - Français: ""格""
Русский: ""pouvoir"" - Français: ""力""
Русский: ""étang"" - Français: """,[31853],池,"[282, 12509, 1129, 29886, 1112, 2818, 772]",pond,étang
"Русский: ""roche"" - Français: ""岩""
Русский: ""maison"" - Français: ""屋""
Русский: ""visage"" - Français: ""面""
Русский: ""cheval"" - Français: ""马""
Русский: ""sable"" - Français: """,[31476],沙,"[872, 4977, 29879, 11982, 28455, 269, 9753]",sand,sable
"Русский: ""œil"" - Français: ""目""
Русский: ""ligne"" - Français: ""线""
Русский: ""histoire"" - Français: ""史""
Русский: ""porte"" - Français: ""门""
Русский: ""loi"" - Français: """,[30545],法,"[29880, 425, 4307, 433, 301, 10653]",law,loi
"Русский: ""six"" - Français: ""六""
Русский: ""ressort"" - Français: ""春""
Русский: ""main"" - Français: ""手""
Русский: ""école"" - Français: ""校""
Русский: ""onde"" - Français: """,[31529],波,"[11324, 281, 10742, 27766, 2766, 29893]",wave,onde
"Русский: ""nuage"" - Français: ""云""
Русский: ""champ"" - Français: ""场""
Русский: ""neuf"" - Français: ""九""
Русский: ""quatre"" - Français: ""四""
Русский: ""océan"" - Français: """,[31534],洋,"[25802, 23474, 12954, 542, 288, 29877]",ocean,océan
"Русский: ""forêt"" - Français: ""林""
Русский: ""été"" - Français: ""夏""
Русский: ""juge"" - Français: ""判""
Русский: ""filet"" - Français: ""网""
Русский: ""grotte"" - Français: """,[31886],洞,"[24230, 274, 5777, 18346, 29883, 1113]",cave,grotte
"Русский: ""siège"" - Français: ""座""
Русский: ""supprimer"" - Français: ""删""
Русский: ""nord"" - Français: ""北""
Русский: ""pied"" - Français: ""足""
Русский: ""mer"" - Français: """,[30581],海,"[344, 29879, 7205, 409, 269]",sea,mer
