prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - Français: ""五""
中文: ""cœur"" - Français: ""心""
中文: ""partie"" - Français: ""部""
中文: ""trois"" - Français: ""三""
中文: ""nuage"" - Français: """,[31784],云,"[29883, 9570, 695, 9274, 15126, 17184, 23642, 1067, 274]",cloud,nuage
"中文: ""vallée"" - Français: ""谷""
中文: ""tribu"" - Français: ""族""
中文: ""vertu"" - Français: ""德""
中文: ""œil"" - Français: ""目""
中文: ""sac"" - Français: """,[31473],包,"[23156, 9922, 19548, 29890, 289, 2291]",bag,sac
"中文: ""école"" - Français: ""校""
中文: ""version"" - Français: ""版""
中文: ""point"" - Français: ""点""
中文: ""mille"" - Français: ""千""
中文: ""bouche"" - Français: """,[30856],口,"[13394, 4346, 29442, 29885, 286, 21026, 2730]",mouth,bouche
"中文: ""champ"" - Français: ""场""
中文: ""nord"" - Français: ""北""
中文: ""fleur"" - Français: ""花""
中文: ""tour"" - Français: ""塔""
中文: ""sol"" - Français: """,[31181],土,"[578, 269, 29879, 577, 22473]",soil,sol
"中文: ""temps"" - Français: ""时""
中文: ""porte"" - Français: ""门""
中文: ""vallée"" - Français: ""谷""
中文: ""rue"" - Français: ""街""
中文: ""montagne"" - Français: """,[30329],山,"[14378, 4346, 29442, 29885, 5766, 286, 16476, 2730]",mountain,montagne
"中文: ""paire"" - Français: ""双""
中文: ""gauche"" - Français: ""左""
中文: ""été"" - Français: ""夏""
中文: ""sept"" - Français: ""七""
中文: ""cœur"" - Français: """,[30869],心,"[298, 29882, 354, 8293, 23057, 540, 5192]",heart,cœur
"中文: ""bande"" - Français: ""条""
中文: ""un"" - Français: ""一""
中文: ""jour"" - Français: ""日""
中文: ""enfant"" - Français: ""子""
中文: ""main"" - Français: """,[30880],手,"[298, 5905, 29882, 3179, 2350, 447, 5403, 1361]",hand,main
"中文: ""quatre"" - Français: ""四""
中文: ""bois"" - Français: ""木""
中文: ""rouge"" - Français: ""红""
中文: ""gauche"" - Français: ""左""
中文: ""jour"" - Français: """,[30325],日,"[2462, 1146, 3250, 29881, 270, 1388]",day,jour
"中文: ""source"" - Français: ""源""
中文: ""neuf"" - Français: ""九""
中文: ""main"" - Français: ""手""
中文: ""ligne"" - Français: ""线""
中文: ""étoile"" - Français: """,[30900],星,"[380, 5810, 9523, 269, 29879, 5173, 8508, 303]",star,étoile
"中文: ""loi"" - Français: ""法""
中文: ""tribu"" - Français: ""族""
中文: ""bouche"" - Français: ""口""
中文: ""gauche"" - Français: ""左""
中文: ""ressort"" - Français: """,[31031],春,"[6709, 15099, 1028, 269, 805, 29879, 7689, 4278]",spring,ressort
