prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - Русский: ""五""
Français: ""cœur"" - Русский: ""心""
Français: ""partie"" - Русский: ""部""
Français: ""trois"" - Русский: ""三""
Français: ""nuage"" - Русский: ""","[31784, 231]",云,"[1067, 17184, 695, 9570, 29883, 15126, 9274, 23642, 274]",cloud,nuage
"Français: ""vallée"" - Русский: ""谷""
Français: ""tribu"" - Русский: ""族""
Français: ""vertu"" - Русский: ""德""
Français: ""œil"" - Русский: ""目""
Français: ""sac"" - Русский: ""","[31473, 232]",包,"[9922, 19548, 2291, 29890, 289, 23156]",bag,sac
"Français: ""école"" - Русский: ""校""
Français: ""version"" - Русский: ""版""
Français: ""point"" - Русский: ""点""
Français: ""mille"" - Русский: ""千""
Français: ""bouche"" - Русский: ""","[30856, 232]",口,"[286, 29442, 21026, 29885, 13394, 2730, 4346]",mouth,bouche
"Français: ""champ"" - Русский: ""场""
Français: ""nord"" - Русский: ""北""
Français: ""fleur"" - Русский: ""花""
Français: ""tour"" - Русский: ""塔""
Français: ""sol"" - Русский: ""","[31181, 232]",土,"[577, 578, 269, 29879, 22473]",soil,sol
"Français: ""temps"" - Русский: ""时""
Français: ""porte"" - Русский: ""门""
Français: ""vallée"" - Русский: ""谷""
Français: ""rue"" - Русский: ""街""
Français: ""montagne"" - Русский: ""","[30329, 232]",山,"[286, 29442, 14378, 5766, 29885, 2730, 16476, 4346]",mountain,montagne
"Français: ""paire"" - Русский: ""双""
Français: ""gauche"" - Русский: ""左""
Français: ""été"" - Русский: ""夏""
Français: ""sept"" - Русский: ""七""
Français: ""cœur"" - Русский: ""","[30869, 232]",心,"[298, 29882, 540, 8293, 23057, 354, 5192]",heart,cœur
"Français: ""bande"" - Русский: ""条""
Français: ""un"" - Русский: ""一""
Français: ""jour"" - Русский: ""日""
Français: ""enfant"" - Русский: ""子""
Français: ""main"" - Русский: ""","[30880, 233]",手,"[447, 298, 29882, 5403, 5905, 1361, 3179, 2350]",hand,main
"Français: ""quatre"" - Русский: ""四""
Français: ""bois"" - Русский: ""木""
Français: ""rouge"" - Русский: ""红""
Français: ""gauche"" - Русский: ""左""
Français: ""jour"" - Русский: ""","[30325, 233]",日,"[270, 1388, 29881, 1146, 3250, 2462]",day,jour
"Français: ""source"" - Русский: ""源""
Français: ""neuf"" - Русский: ""九""
Français: ""main"" - Русский: ""手""
Français: ""ligne"" - Русский: ""线""
Français: ""étoile"" - Русский: ""","[30900, 233]",星,"[5173, 380, 9523, 5810, 269, 29879, 303, 8508]",star,étoile
"Français: ""loi"" - Русский: ""法""
Français: ""tribu"" - Русский: ""族""
Français: ""bouche"" - Русский: ""口""
Français: ""gauche"" - Русский: ""左""
Français: ""ressort"" - Русский: ""","[31031, 233]",春,"[7689, 805, 269, 6709, 29879, 15099, 4278, 1028]",spring,ressort
