prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - English: ""five""
Français: ""cœur"" - English: ""heart""
Français: ""partie"" - English: ""part""
Français: ""trois"" - English: ""three""
Français: ""nuage"" - English: ""","[9274, 15126, 1067, 695, 23642, 9570, 274, 17184, 29883]",cloud,"[9274, 15126, 1067, 695, 23642, 9570, 274, 17184, 29883]",cloud,nuage
"Français: ""vallée"" - English: ""valley""
Français: ""tribu"" - English: ""tribe""
Français: ""vertu"" - English: ""virtue""
Français: ""œil"" - English: ""eye""
Français: ""sac"" - English: ""","[19548, 23156, 9922, 2291, 29890, 289]",bag,"[19548, 23156, 9922, 2291, 29890, 289]",bag,sac
"Français: ""école"" - English: ""school""
Français: ""version"" - English: ""version""
Français: ""point"" - English: ""point""
Français: ""mille"" - English: ""thousand""
Français: ""bouche"" - English: ""","[13394, 21026, 286, 29442, 2730, 29885, 4346]",mouth,"[13394, 21026, 286, 29442, 2730, 29885, 4346]",mouth,bouche
"Français: ""champ"" - English: ""field""
Français: ""nord"" - English: ""north""
Français: ""fleur"" - English: ""flower""
Français: ""tour"" - English: ""tower""
Français: ""sol"" - English: ""","[29879, 22473, 269, 578, 577]",soil,"[29879, 22473, 269, 578, 577]",soil,sol
"Français: ""temps"" - English: ""time""
Français: ""porte"" - English: ""door""
Français: ""vallée"" - English: ""valley""
Français: ""rue"" - English: ""street""
Français: ""montagne"" - English: ""","[14378, 5766, 16476, 286, 29442, 2730, 29885, 4346]",mountain,"[14378, 5766, 16476, 286, 29442, 2730, 29885, 4346]",mountain,montagne
"Français: ""paire"" - English: ""pair""
Français: ""gauche"" - English: ""left""
Français: ""été"" - English: ""summer""
Français: ""sept"" - English: ""seven""
Français: ""cœur"" - English: ""","[8293, 354, 298, 23057, 540, 29882, 5192]",heart,"[8293, 354, 298, 23057, 540, 29882, 5192]",heart,cœur
"Français: ""bande"" - English: ""strip""
Français: ""un"" - English: ""one""
Français: ""jour"" - English: ""day""
Français: ""enfant"" - English: ""child""
Français: ""main"" - English: ""","[1361, 5905, 298, 447, 5403, 3179, 29882, 2350]",hand,"[1361, 5905, 298, 447, 5403, 3179, 29882, 2350]",hand,main
"Français: ""quatre"" - English: ""four""
Français: ""bois"" - English: ""wood""
Français: ""rouge"" - English: ""red""
Français: ""gauche"" - English: ""left""
Français: ""jour"" - English: ""","[2462, 270, 1146, 29881, 1388, 3250]",day,"[2462, 270, 1146, 29881, 1388, 3250]",day,jour
"Français: ""source"" - English: ""source""
Français: ""neuf"" - English: ""nine""
Français: ""main"" - English: ""hand""
Français: ""ligne"" - English: ""line""
Français: ""étoile"" - English: ""","[29879, 303, 9523, 5810, 380, 8508, 269, 5173]",star,"[29879, 303, 9523, 5810, 380, 8508, 269, 5173]",star,étoile
"Français: ""loi"" - English: ""law""
Français: ""tribu"" - English: ""tribe""
Français: ""bouche"" - English: ""mouth""
Français: ""gauche"" - English: ""left""
Français: ""ressort"" - English: ""","[29879, 4278, 805, 7689, 6709, 1028, 269, 15099]",spring,"[29879, 4278, 805, 7689, 6709, 1028, 269, 15099]",spring,ressort
"Français: ""siège"" - English: ""seat""
Français: ""sud"" - English: ""south""
Français: ""quatre"" - English: ""four""
Français: ""or"" - English: ""gold""
Français: ""lune"" - English: ""","[286, 18786, 2730, 29885, 4346]",moon,"[286, 18786, 2730, 29885, 4346]",moon,lune
"Français: ""bouche"" - English: ""mouth""
Français: ""mille"" - English: ""thousand""
Français: ""ménage"" - English: ""household""
Français: ""été"" - English: ""summer""
Français: ""bois"" - English: ""","[29893, 281, 8112, 6115, 827, 8879]",wood,"[29893, 281, 8112, 6115, 827, 8879]",wood,bois
"Français: ""forêt"" - English: ""forest""
Français: ""cravate"" - English: ""tie""
Français: ""six"" - English: ""six""
Français: ""dix"" - English: ""ten""
Français: ""village"" - English: ""","[325, 21031, 5720, 1403, 3516, 28765, 29894, 17191, 4213, 11928]",village,"[325, 21031, 5720, 1403, 3516, 28765, 29894, 17191, 4213, 11928]",village,village
