prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - Русский: ""五""
Français: ""cœur"" - Русский: ""心""
Français: ""partie"" - Русский: ""部""
Français: ""trois"" - Русский: ""三""
Français: ""nuage"" - Русский: ""","[31784, 231]",云,"[23642, 9570, 29883, 17184, 1067, 695, 15126, 274, 9274]",cloud,nuage
"Français: ""vallée"" - Русский: ""谷""
Français: ""tribu"" - Русский: ""族""
Français: ""vertu"" - Русский: ""德""
Français: ""œil"" - Русский: ""目""
Français: ""sac"" - Русский: ""","[31473, 232]",包,"[289, 9922, 2291, 19548, 29890, 23156]",bag,sac
"Français: ""école"" - Русский: ""校""
Français: ""version"" - Русский: ""版""
Français: ""point"" - Русский: ""点""
Français: ""mille"" - Русский: ""千""
Français: ""bouche"" - Русский: ""","[30856, 232]",口,"[2730, 29885, 286, 4346, 13394, 21026, 29442]",mouth,bouche
"Français: ""champ"" - Русский: ""场""
Français: ""nord"" - Русский: ""北""
Français: ""fleur"" - Русский: ""花""
Français: ""tour"" - Русский: ""塔""
Français: ""sol"" - Русский: ""","[31181, 232]",土,"[29879, 577, 578, 269, 22473]",soil,sol
"Français: ""temps"" - Русский: ""时""
Français: ""porte"" - Русский: ""门""
Français: ""vallée"" - Русский: ""谷""
Français: ""rue"" - Русский: ""街""
Français: ""montagne"" - Русский: ""","[30329, 232]",山,"[14378, 2730, 29885, 286, 4346, 16476, 29442, 5766]",mountain,montagne
"Français: ""paire"" - Русский: ""双""
Français: ""gauche"" - Русский: ""左""
Français: ""été"" - Русский: ""夏""
Français: ""sept"" - Русский: ""七""
Français: ""cœur"" - Русский: ""","[30869, 232]",心,"[354, 29882, 8293, 23057, 5192, 540, 298]",heart,cœur
"Français: ""bande"" - Русский: ""条""
Français: ""un"" - Русский: ""一""
Français: ""jour"" - Русский: ""日""
Français: ""enfant"" - Русский: ""子""
Français: ""main"" - Русский: ""","[30880, 233]",手,"[5905, 29882, 5403, 2350, 447, 3179, 298, 1361]",hand,main
"Français: ""quatre"" - Русский: ""四""
Français: ""bois"" - Русский: ""木""
Français: ""rouge"" - Русский: ""红""
Français: ""gauche"" - Русский: ""左""
Français: ""jour"" - Русский: ""","[30325, 233]",日,"[2462, 270, 3250, 1146, 29881, 1388]",day,jour
"Français: ""source"" - Русский: ""源""
Français: ""neuf"" - Русский: ""九""
Français: ""main"" - Русский: ""手""
Français: ""ligne"" - Русский: ""线""
Français: ""étoile"" - Русский: ""","[30900, 233]",星,"[29879, 5810, 5173, 303, 9523, 380, 8508, 269]",star,étoile
"Français: ""loi"" - Русский: ""法""
Français: ""tribu"" - Русский: ""族""
Français: ""bouche"" - Русский: ""口""
Français: ""gauche"" - Русский: ""左""
Français: ""ressort"" - Русский: ""","[31031, 233]",春,"[29879, 15099, 805, 4278, 6709, 7689, 269, 1028]",spring,ressort
"Français: ""siège"" - Русский: ""座""
Français: ""sud"" - Русский: ""南""
Français: ""quatre"" - Русский: ""四""
Français: ""or"" - Русский: ""金""
Français: ""lune"" - Русский: ""","[30534, 233]",月,"[29885, 2730, 286, 4346, 18786]",moon,lune
"Français: ""bouche"" - Русский: ""口""
Français: ""mille"" - Русский: ""千""
Français: ""ménage"" - Русский: ""户""
Français: ""été"" - Русский: ""夏""
Français: ""bois"" - Русский: ""","[30710, 233]",木,"[281, 8112, 827, 6115, 8879, 29893]",wood,bois
"Français: ""forêt"" - Русский: ""林""
Français: ""cravate"" - Русский: ""结""
Français: ""six"" - Русский: ""六""
Français: ""dix"" - Русский: ""十""
Français: ""village"" - Русский: ""","[30402, 233]",村,"[3516, 28765, 1403, 17191, 325, 4213, 5720, 29894, 21031, 11928]",village,village
"Français: ""tête"" - Русский: ""头""
Français: ""génération"" - Русский: ""代""
Français: ""océan"" - Русский: ""洋""
Français: ""quatre"" - Русский: ""四""
Français: ""forêt"" - Русский: ""","[30853, 233]",林,"[1701, 285, 29888, 1181, 13569, 363, 1079, 26839, 1454]",forest,forêt
"Français: ""défaite"" - Русский: ""败""
Français: ""bande"" - Русский: ""条""
Français: ""bouche"" - Русский: ""口""
Français: ""sud"" - Русский: ""南""
Français: ""fruit"" - Русский: ""","[30801, 233]",果,"[1341, 1424, 285, 29888, 15774]",fruit,fruit
"Français: ""trois"" - Русский: ""三""
Français: ""montagne"" - Русский: ""山""
Français: ""milieu"" - Русский: ""中""
Français: ""tentative"" - Русский: ""试""
Français: ""grille"" - Русский: ""","[31168, 233]",格,"[29887, 6856, 867, 7720, 330, 629]",grid,grille
"Français: ""avancer"" - Русский: ""进""
Français: ""enfant"" - Русский: ""子""
Français: ""sept"" - Русский: ""七""
Français: ""groupe"" - Русский: ""群""
Français: ""chanson"" - Русский: ""","[31173, 233]",歌,"[1487, 29879, 577, 21453, 578, 1100, 4823, 269]",song,chanson
"Français: ""école"" - Русский: ""校""
Français: ""groupe"" - Русский: ""群""
Français: ""grille"" - Русский: ""格""
Français: ""pouvoir"" - Русский: ""力""
Français: ""étang"" - Русский: ""","[31853, 233]",池,"[29886, 1112, 1129, 12509, 772, 282, 2818]",pond,étang
"Français: ""roche"" - Русский: ""岩""
Français: ""maison"" - Русский: ""屋""
Français: ""visage"" - Русский: ""面""
Français: ""cheval"" - Русский: ""马""
Français: ""sable"" - Русский: ""","[31476, 233]",沙,"[29879, 4977, 9753, 11982, 28455, 269, 872]",sand,sable
"Français: ""œil"" - Русский: ""目""
Français: ""ligne"" - Русский: ""线""
Français: ""histoire"" - Русский: ""史""
Français: ""porte"" - Русский: ""门""
Français: ""loi"" - Русский: ""","[30545, 233]",法,"[29880, 433, 10653, 4307, 425, 301]",law,loi
"Français: ""six"" - Русский: ""六""
Français: ""ressort"" - Русский: ""春""
Français: ""main"" - Русский: ""手""
Français: ""école"" - Русский: ""校""
Français: ""onde"" - Русский: ""","[31529, 233]",波,"[281, 11324, 27766, 10742, 2766, 29893]",wave,onde
"Français: ""nuage"" - Русский: ""云""
Français: ""champ"" - Русский: ""场""
Français: ""neuf"" - Русский: ""九""
Français: ""quatre"" - Русский: ""四""
Français: ""océan"" - Русский: ""","[31534, 233]",洋,"[12954, 25802, 288, 542, 23474, 29877]",ocean,océan
"Français: ""forêt"" - Русский: ""林""
Français: ""été"" - Русский: ""夏""
Français: ""juge"" - Русский: ""判""
Français: ""filet"" - Русский: ""网""
Français: ""grotte"" - Русский: ""","[31886, 233]",洞,"[24230, 274, 1113, 5777, 29883, 18346]",cave,grotte
"Français: ""siège"" - Русский: ""座""
Français: ""supprimer"" - Русский: ""删""
Français: ""nord"" - Русский: ""北""
Français: ""pied"" - Русский: ""足""
Français: ""mer"" - Русский: ""","[30581, 233]",海,"[29879, 344, 269, 409, 7205]",sea,mer
"Français: ""bois"" - Русский: ""木""
Français: ""jour"" - Русский: ""日""
Français: ""cheval"" - Русский: ""马""
Français: ""structure"" - Русский: ""构""
Français: ""lac"" - Русский: ""","[31496, 233]",湖,"[29880, 19437, 433, 18170, 24591, 425, 301]",lake,lac
"Français: ""siège"" - Русский: ""座""
Français: ""village"" - Русский: ""村""
Français: ""machine"" - Русский: ""机""
Français: ""gauche"" - Русский: ""左""
Français: ""source"" - Русский: ""","[31193, 233]",源,"[29879, 577, 578, 3669, 4993, 2752, 269]",source,source
"Français: ""supprimer"" - Русский: ""删""
Français: ""champ"" - Русский: ""场""
Français: ""position"" - Русский: ""位""
Français: ""gare"" - Русский: ""站""
Français: ""point"" - Русский: ""","[30940, 234]",点,"[3149, 29886, 11899, 1129, 772, 282, 1298]",point,point
