prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""Berg"" - 中文: ""山""
Deutsch: ""Süden"" - 中文: ""南""
Deutsch: ""Buch"" - 中文: ""书""
Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Versuch"" - 中文: ""","[31787, 235]",试,"[31787, 235]",试,Versuch
"Deutsch: ""Quelle"" - 中文: ""源""
Deutsch: ""Gesetz"" - 中文: ""法""
Deutsch: ""Tür"" - 中文: ""门""
Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""Tasche"" - 中文: ""","[31473, 232]",包,"[31473, 232]",包,Tasche
"Deutsch: ""Reis"" - 中文: ""米""
Deutsch: ""Fuß"" - 中文: ""足""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Ball"" - 中文: ""","[31539, 234]",球,"[31539, 234]",球,Ball
"Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""rot"" - 中文: ""红""
Deutsch: ""Boden"" - 中文: ""地""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""Schönheit"" - 中文: ""","[30630, 234]",美,"[30630, 234]",美,Schönheit
"Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Kopf"" - 中文: ""头""
Deutsch: ""tausend"" - 中文: ""千""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""Nutzen"" - 中文: ""","[31107, 232]",利,"[31107, 232]",利,Nutzen
"Deutsch: ""Boden"" - 中文: ""地""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""Licht"" - 中文: ""光""
Deutsch: ""Buch"" - 中文: ""","[31900, 231]",书,"[31900, 231]",书,Buch
"Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Kopf"" - 中文: ""头""
Deutsch: ""Höhle"" - 中文: ""洞""
Deutsch: ""Zeit"" - 中文: ""时""
Deutsch: ""Brücke"" - 中文: ""","[31749, 233]",桥,"[31749, 233]",桥,Brücke
"Deutsch: ""Gegenstand"" - 中文: ""项""
Deutsch: ""Wolke"" - 中文: ""云""
Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Sitz"" - 中文: ""座""
Deutsch: ""Höhle"" - 中文: ""","[31886, 233]",洞,"[31886, 233]",洞,Höhle
"Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""Brücke"" - 中文: ""桥""
Deutsch: ""Gold"" - 中文: ""金""
Deutsch: ""Kind"" - 中文: ""","[30319, 232]",子,"[30319, 232]",子,Kind
"Deutsch: ""Stern"" - 中文: ""星""
Deutsch: ""Beispiel"" - 中文: ""例""
Deutsch: ""sechs"" - 中文: ""六""
Deutsch: ""Standort"" - 中文: ""址""
Deutsch: ""Stadt"" - 中文: ""","[30626, 232]",城,"[30626, 232]",城,Stadt
