prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - 中文: ""五""
Français: ""cœur"" - 中文: ""心""
Français: ""partie"" - 中文: ""部""
Français: ""trois"" - 中文: ""三""
Français: ""nuage"" - 中文: ""","[31784, 231]",云,"[1067, 17184, 23642, 9570, 29883, 9274, 274, 15126, 695]",cloud,nuage
"Français: ""vallée"" - 中文: ""谷""
Français: ""tribu"" - 中文: ""族""
Français: ""vertu"" - 中文: ""德""
Français: ""œil"" - 中文: ""目""
Français: ""sac"" - 中文: ""","[31473, 232]",包,"[9922, 23156, 289, 29890, 2291, 19548]",bag,sac
"Français: ""école"" - 中文: ""校""
Français: ""version"" - 中文: ""版""
Français: ""point"" - 中文: ""点""
Français: ""mille"" - 中文: ""千""
Français: ""bouche"" - 中文: ""","[30856, 232]",口,"[286, 13394, 4346, 29442, 2730, 29885, 21026]",mouth,bouche
"Français: ""champ"" - 中文: ""场""
Français: ""nord"" - 中文: ""北""
Français: ""fleur"" - 中文: ""花""
Français: ""tour"" - 中文: ""塔""
Français: ""sol"" - 中文: ""","[31181, 232]",土,"[269, 578, 577, 22473, 29879]",soil,sol
"Français: ""temps"" - 中文: ""时""
Français: ""porte"" - 中文: ""门""
Français: ""vallée"" - 中文: ""谷""
Français: ""rue"" - 中文: ""街""
Français: ""montagne"" - 中文: ""","[30329, 232]",山,"[16476, 286, 14378, 4346, 29442, 2730, 29885, 5766]",mountain,montagne
"Français: ""paire"" - 中文: ""双""
Français: ""gauche"" - 中文: ""左""
Français: ""été"" - 中文: ""夏""
Français: ""sept"" - 中文: ""七""
Français: ""cœur"" - 中文: ""","[30869, 232]",心,"[540, 298, 8293, 354, 29882, 23057, 5192]",heart,cœur
"Français: ""bande"" - 中文: ""条""
Français: ""un"" - 中文: ""一""
Français: ""jour"" - 中文: ""日""
Français: ""enfant"" - 中文: ""子""
Français: ""main"" - 中文: ""","[30880, 233]",手,"[5403, 5905, 298, 2350, 447, 1361, 29882, 3179]",hand,main
"Français: ""quatre"" - 中文: ""四""
Français: ""bois"" - 中文: ""木""
Français: ""rouge"" - 中文: ""红""
Français: ""gauche"" - 中文: ""左""
Français: ""jour"" - 中文: ""","[30325, 233]",日,"[1146, 2462, 1388, 270, 29881, 3250]",day,jour
"Français: ""source"" - 中文: ""源""
Français: ""neuf"" - 中文: ""九""
Français: ""main"" - 中文: ""手""
Français: ""ligne"" - 中文: ""线""
Français: ""étoile"" - 中文: ""","[30900, 233]",星,"[269, 303, 5173, 9523, 8508, 380, 5810, 29879]",star,étoile
"Français: ""loi"" - 中文: ""法""
Français: ""tribu"" - 中文: ""族""
Français: ""bouche"" - 中文: ""口""
Français: ""gauche"" - 中文: ""左""
Français: ""ressort"" - 中文: ""","[31031, 233]",春,"[29879, 15099, 4278, 805, 6709, 7689, 1028, 269]",spring,ressort
"Français: ""siège"" - 中文: ""座""
Français: ""sud"" - 中文: ""南""
Français: ""quatre"" - 中文: ""四""
Français: ""or"" - 中文: ""金""
Français: ""lune"" - 中文: ""","[30534, 233]",月,"[286, 18786, 4346, 2730, 29885]",moon,lune
"Français: ""bouche"" - 中文: ""口""
Français: ""mille"" - 中文: ""千""
Français: ""ménage"" - 中文: ""户""
Français: ""été"" - 中文: ""夏""
Français: ""bois"" - 中文: ""","[30710, 233]",木,"[281, 29893, 827, 6115, 8112, 8879]",wood,bois
"Français: ""forêt"" - 中文: ""林""
Français: ""cravate"" - 中文: ""结""
Français: ""six"" - 中文: ""六""
Français: ""dix"" - 中文: ""十""
Français: ""village"" - 中文: ""","[30402, 233]",村,"[17191, 3516, 325, 11928, 5720, 1403, 28765, 21031, 29894, 4213]",village,village
"Français: ""tête"" - 中文: ""头""
Français: ""génération"" - 中文: ""代""
Français: ""océan"" - 中文: ""洋""
Français: ""quatre"" - 中文: ""四""
Français: ""forêt"" - 中文: ""","[30853, 233]",林,"[285, 1079, 1181, 1454, 363, 26839, 1701, 29888, 13569]",forest,forêt
"Français: ""défaite"" - 中文: ""败""
Français: ""bande"" - 中文: ""条""
Français: ""bouche"" - 中文: ""口""
Français: ""sud"" - 中文: ""南""
Français: ""fruit"" - 中文: ""","[30801, 233]",果,"[1424, 285, 15774, 1341, 29888]",fruit,fruit
"Français: ""trois"" - 中文: ""三""
Français: ""montagne"" - 中文: ""山""
Français: ""milieu"" - 中文: ""中""
Français: ""tentative"" - 中文: ""试""
Français: ""grille"" - 中文: ""","[31168, 233]",格,"[629, 6856, 29887, 330, 867, 7720]",grid,grille
