prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - Français: ""五""
Deutsch: ""cœur"" - Français: ""心""
Deutsch: ""partie"" - Français: ""部""
Deutsch: ""trois"" - Français: ""三""
Deutsch: ""nuage"" - Français: """,[31784],云,"[9570, 23642, 9274, 29883, 15126, 17184, 695, 1067, 274]",cloud,nuage
"Deutsch: ""vallée"" - Français: ""谷""
Deutsch: ""tribu"" - Français: ""族""
Deutsch: ""vertu"" - Français: ""德""
Deutsch: ""œil"" - Français: ""目""
Deutsch: ""sac"" - Français: """,[31473],包,"[23156, 9922, 2291, 289, 19548, 29890]",bag,sac
"Deutsch: ""école"" - Français: ""校""
Deutsch: ""version"" - Français: ""版""
Deutsch: ""point"" - Français: ""点""
Deutsch: ""mille"" - Français: ""千""
Deutsch: ""bouche"" - Français: """,[30856],口,"[29885, 29442, 13394, 2730, 21026, 4346, 286]",mouth,bouche
"Deutsch: ""champ"" - Français: ""场""
Deutsch: ""nord"" - Français: ""北""
Deutsch: ""fleur"" - Français: ""花""
Deutsch: ""tour"" - Français: ""塔""
Deutsch: ""sol"" - Français: """,[31181],土,"[29879, 269, 22473, 578, 577]",soil,sol
"Deutsch: ""temps"" - Français: ""时""
Deutsch: ""porte"" - Français: ""门""
Deutsch: ""vallée"" - Français: ""谷""
Deutsch: ""rue"" - Français: ""街""
Deutsch: ""montagne"" - Français: """,[30329],山,"[29885, 29442, 5766, 4346, 2730, 14378, 16476, 286]",mountain,montagne
"Deutsch: ""paire"" - Français: ""双""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""été"" - Français: ""夏""
Deutsch: ""sept"" - Français: ""七""
Deutsch: ""cœur"" - Français: """,[30869],心,"[540, 8293, 354, 23057, 29882, 5192, 298]",heart,cœur
"Deutsch: ""bande"" - Français: ""条""
Deutsch: ""un"" - Français: ""一""
Deutsch: ""jour"" - Français: ""日""
Deutsch: ""enfant"" - Français: ""子""
Deutsch: ""main"" - Français: """,[30880],手,"[5905, 447, 2350, 29882, 1361, 5403, 3179, 298]",hand,main
"Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""bois"" - Français: ""木""
Deutsch: ""rouge"" - Français: ""红""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""jour"" - Français: """,[30325],日,"[29881, 1146, 270, 3250, 1388, 2462]",day,jour
"Deutsch: ""source"" - Français: ""源""
Deutsch: ""neuf"" - Français: ""九""
Deutsch: ""main"" - Français: ""手""
Deutsch: ""ligne"" - Français: ""线""
Deutsch: ""étoile"" - Français: """,[30900],星,"[5173, 29879, 5810, 380, 269, 8508, 303, 9523]",star,étoile
"Deutsch: ""loi"" - Français: ""法""
Deutsch: ""tribu"" - Français: ""族""
Deutsch: ""bouche"" - Français: ""口""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""ressort"" - Français: """,[31031],春,"[805, 29879, 4278, 1028, 15099, 7689, 269, 6709]",spring,ressort
"Deutsch: ""siège"" - Français: ""座""
Deutsch: ""sud"" - Français: ""南""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""or"" - Français: ""金""
Deutsch: ""lune"" - Français: """,[30534],月,"[29885, 2730, 4346, 18786, 286]",moon,lune
"Deutsch: ""bouche"" - Français: ""口""
Deutsch: ""mille"" - Français: ""千""
Deutsch: ""ménage"" - Français: ""户""
Deutsch: ""été"" - Français: ""夏""
Deutsch: ""bois"" - Français: """,[30710],木,"[29893, 827, 6115, 8879, 281, 8112]",wood,bois
"Deutsch: ""forêt"" - Français: ""林""
Deutsch: ""cravate"" - Français: ""结""
Deutsch: ""six"" - Français: ""六""
Deutsch: ""dix"" - Français: ""十""
Deutsch: ""village"" - Français: """,[30402],村,"[29894, 1403, 21031, 28765, 4213, 325, 5720, 17191, 11928, 3516]",village,village
"Deutsch: ""tête"" - Français: ""头""
Deutsch: ""génération"" - Français: ""代""
Deutsch: ""océan"" - Français: ""洋""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""forêt"" - Français: """,[30853],林,"[363, 1181, 1701, 285, 29888, 26839, 13569, 1079, 1454]",forest,forêt
"Deutsch: ""défaite"" - Français: ""败""
Deutsch: ""bande"" - Français: ""条""
Deutsch: ""bouche"" - Français: ""口""
Deutsch: ""sud"" - Français: ""南""
Deutsch: ""fruit"" - Français: """,[30801],果,"[285, 29888, 1341, 15774, 1424]",fruit,fruit
"Deutsch: ""trois"" - Français: ""三""
Deutsch: ""montagne"" - Français: ""山""
Deutsch: ""milieu"" - Français: ""中""
Deutsch: ""tentative"" - Français: ""试""
Deutsch: ""grille"" - Français: """,[31168],格,"[7720, 330, 629, 29887, 867, 6856]",grid,grille
"Deutsch: ""avancer"" - Français: ""进""
Deutsch: ""enfant"" - Français: ""子""
Deutsch: ""sept"" - Français: ""七""
Deutsch: ""groupe"" - Français: ""群""
Deutsch: ""chanson"" - Français: """,[31173],歌,"[4823, 21453, 29879, 1487, 1100, 269, 578, 577]",song,chanson
"Deutsch: ""école"" - Français: ""校""
Deutsch: ""groupe"" - Français: ""群""
Deutsch: ""grille"" - Français: ""格""
Deutsch: ""pouvoir"" - Français: ""力""
Deutsch: ""étang"" - Français: """,[31853],池,"[1112, 282, 12509, 772, 2818, 1129, 29886]",pond,étang
"Deutsch: ""roche"" - Français: ""岩""
Deutsch: ""maison"" - Français: ""屋""
Deutsch: ""visage"" - Français: ""面""
Deutsch: ""cheval"" - Français: ""马""
Deutsch: ""sable"" - Français: """,[31476],沙,"[29879, 9753, 269, 872, 11982, 28455, 4977]",sand,sable
"Deutsch: ""œil"" - Français: ""目""
Deutsch: ""ligne"" - Français: ""线""
Deutsch: ""histoire"" - Français: ""史""
Deutsch: ""porte"" - Français: ""门""
Deutsch: ""loi"" - Français: """,[30545],法,"[433, 425, 4307, 301, 10653, 29880]",law,loi
"Deutsch: ""six"" - Français: ""六""
Deutsch: ""ressort"" - Français: ""春""
Deutsch: ""main"" - Français: ""手""
Deutsch: ""école"" - Français: ""校""
Deutsch: ""onde"" - Français: """,[31529],波,"[29893, 2766, 27766, 11324, 10742, 281]",wave,onde
