prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - Русский: ""五""
English: ""heart"" - Русский: ""心""
English: ""part"" - Русский: ""部""
English: ""three"" - Русский: ""三""
English: ""cloud"" - Русский: ""","[31784, 231]",云,"[9570, 1067, 17184, 29883, 9274, 15126, 274, 695, 23642]",cloud,cloud
"English: ""valley"" - Русский: ""谷""
English: ""tribe"" - Русский: ""族""
English: ""virtue"" - Русский: ""德""
English: ""eye"" - Русский: ""目""
English: ""bag"" - Русский: ""","[31473, 232]",包,"[2291, 29890, 289, 19548, 23156, 9922]",bag,bag
"English: ""school"" - Русский: ""校""
English: ""version"" - Русский: ""版""
English: ""point"" - Русский: ""点""
English: ""thousand"" - Русский: ""千""
English: ""mouth"" - Русский: ""","[30856, 232]",口,"[286, 13394, 21026, 4346, 29885, 2730, 29442]",mouth,mouth
"English: ""field"" - Русский: ""场""
English: ""north"" - Русский: ""北""
English: ""flower"" - Русский: ""花""
English: ""tower"" - Русский: ""塔""
English: ""soil"" - Русский: ""","[31181, 232]",土,"[29879, 22473, 577, 578, 269]",soil,soil
"English: ""time"" - Русский: ""时""
English: ""door"" - Русский: ""门""
English: ""valley"" - Русский: ""谷""
English: ""street"" - Русский: ""街""
English: ""mountain"" - Русский: ""","[30329, 232]",山,"[286, 16476, 14378, 4346, 5766, 29885, 2730, 29442]",mountain,mountain
"English: ""pair"" - Русский: ""双""
English: ""left"" - Русский: ""左""
English: ""summer"" - Русский: ""夏""
English: ""seven"" - Русский: ""七""
English: ""heart"" - Русский: ""","[30869, 232]",心,"[354, 29882, 23057, 8293, 298, 540, 5192]",heart,heart
"English: ""strip"" - Русский: ""条""
English: ""one"" - Русский: ""一""
English: ""day"" - Русский: ""日""
English: ""child"" - Русский: ""子""
English: ""hand"" - Русский: ""","[30880, 233]",手,"[5403, 29882, 447, 2350, 3179, 5905, 1361, 298]",hand,hand
"English: ""four"" - Русский: ""四""
English: ""wood"" - Русский: ""木""
English: ""red"" - Русский: ""红""
English: ""left"" - Русский: ""左""
English: ""day"" - Русский: ""","[30325, 233]",日,"[29881, 270, 1146, 2462, 1388, 3250]",day,day
"English: ""source"" - Русский: ""源""
English: ""nine"" - Русский: ""九""
English: ""hand"" - Русский: ""手""
English: ""line"" - Русский: ""线""
English: ""star"" - Русский: ""","[30900, 233]",星,"[8508, 380, 5173, 29879, 5810, 303, 9523, 269]",star,star
"English: ""law"" - Русский: ""法""
English: ""tribe"" - Русский: ""族""
English: ""mouth"" - Русский: ""口""
English: ""left"" - Русский: ""左""
English: ""spring"" - Русский: ""","[31031, 233]",春,"[1028, 4278, 6709, 7689, 29879, 15099, 805, 269]",spring,spring
"English: ""seat"" - Русский: ""座""
English: ""south"" - Русский: ""南""
English: ""four"" - Русский: ""四""
English: ""gold"" - Русский: ""金""
English: ""moon"" - Русский: ""","[30534, 233]",月,"[286, 4346, 18786, 29885, 2730]",moon,moon
"English: ""mouth"" - Русский: ""口""
English: ""thousand"" - Русский: ""千""
English: ""household"" - Русский: ""户""
English: ""summer"" - Русский: ""夏""
English: ""wood"" - Русский: ""","[30710, 233]",木,"[6115, 8879, 8112, 281, 29893, 827]",wood,wood
"English: ""forest"" - Русский: ""林""
English: ""tie"" - Русский: ""结""
English: ""six"" - Русский: ""六""
English: ""ten"" - Русский: ""十""
English: ""village"" - Русский: ""","[30402, 233]",村,"[1403, 17191, 325, 3516, 29894, 21031, 5720, 4213, 11928, 28765]",village,village
"English: ""head"" - Русский: ""头""
English: ""generation"" - Русский: ""代""
English: ""ocean"" - Русский: ""洋""
English: ""four"" - Русский: ""四""
English: ""forest"" - Русский: ""","[30853, 233]",林,"[1181, 13569, 26839, 1701, 1454, 1079, 363, 285, 29888]",forest,forest
"English: ""defeat"" - Русский: ""败""
English: ""strip"" - Русский: ""条""
English: ""mouth"" - Русский: ""口""
English: ""south"" - Русский: ""南""
English: ""fruit"" - Русский: ""","[30801, 233]",果,"[285, 1424, 15774, 1341, 29888]",fruit,fruit
"English: ""three"" - Русский: ""三""
English: ""mountain"" - Русский: ""山""
English: ""middle"" - Русский: ""中""
English: ""attempt"" - Русский: ""试""
English: ""grid"" - Русский: ""","[31168, 233]",格,"[6856, 629, 330, 7720, 867, 29887]",grid,grid
"English: ""advance"" - Русский: ""进""
English: ""child"" - Русский: ""子""
English: ""seven"" - Русский: ""七""
English: ""group"" - Русский: ""群""
English: ""song"" - Русский: ""","[31173, 233]",歌,"[29879, 4823, 269, 21453, 577, 578, 1100, 1487]",song,song
"English: ""school"" - Русский: ""校""
English: ""group"" - Русский: ""群""
English: ""grid"" - Русский: ""格""
English: ""power"" - Русский: ""力""
English: ""pond"" - Русский: ""","[31853, 233]",池,"[772, 29886, 1129, 282, 2818, 12509, 1112]",pond,pond
"English: ""rock"" - Русский: ""岩""
English: ""house"" - Русский: ""屋""
English: ""face"" - Русский: ""面""
English: ""horse"" - Русский: ""马""
English: ""sand"" - Русский: ""","[31476, 233]",沙,"[29879, 11982, 872, 9753, 4977, 28455, 269]",sand,sand
