prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - Deutsch: ""五""
中文: ""cœur"" - Deutsch: ""心""
中文: ""partie"" - Deutsch: ""部""
中文: ""trois"" - Deutsch: ""三""
中文: ""nuage"" - Deutsch: """,[31784],云,"[9274, 1067, 15126, 9570, 29883, 17184, 274, 695, 23642]",cloud,nuage
"中文: ""vallée"" - Deutsch: ""谷""
中文: ""tribu"" - Deutsch: ""族""
中文: ""vertu"" - Deutsch: ""德""
中文: ""œil"" - Deutsch: ""目""
中文: ""sac"" - Deutsch: """,[31473],包,"[289, 9922, 29890, 23156, 19548, 2291]",bag,sac
"中文: ""école"" - Deutsch: ""校""
中文: ""version"" - Deutsch: ""版""
中文: ""point"" - Deutsch: ""点""
中文: ""mille"" - Deutsch: ""千""
中文: ""bouche"" - Deutsch: """,[30856],口,"[29442, 286, 2730, 29885, 13394, 4346, 21026]",mouth,bouche
"中文: ""champ"" - Deutsch: ""场""
中文: ""nord"" - Deutsch: ""北""
中文: ""fleur"" - Deutsch: ""花""
中文: ""tour"" - Deutsch: ""塔""
中文: ""sol"" - Deutsch: """,[31181],土,"[578, 269, 577, 29879, 22473]",soil,sol
"中文: ""temps"" - Deutsch: ""时""
中文: ""porte"" - Deutsch: ""门""
中文: ""vallée"" - Deutsch: ""谷""
中文: ""rue"" - Deutsch: ""街""
中文: ""montagne"" - Deutsch: """,[30329],山,"[29442, 286, 16476, 2730, 29885, 14378, 5766, 4346]",mountain,montagne
"中文: ""paire"" - Deutsch: ""双""
中文: ""gauche"" - Deutsch: ""左""
中文: ""été"" - Deutsch: ""夏""
中文: ""sept"" - Deutsch: ""七""
中文: ""cœur"" - Deutsch: """,[30869],心,"[8293, 540, 29882, 354, 5192, 23057, 298]",heart,cœur
"中文: ""bande"" - Deutsch: ""条""
中文: ""un"" - Deutsch: ""一""
中文: ""jour"" - Deutsch: ""日""
中文: ""enfant"" - Deutsch: ""子""
中文: ""main"" - Deutsch: """,[30880],手,"[1361, 29882, 447, 3179, 5905, 298, 5403, 2350]",hand,main
"中文: ""quatre"" - Deutsch: ""四""
中文: ""bois"" - Deutsch: ""木""
中文: ""rouge"" - Deutsch: ""红""
中文: ""gauche"" - Deutsch: ""左""
中文: ""jour"" - Deutsch: """,[30325],日,"[1388, 1146, 3250, 270, 2462, 29881]",day,jour
"中文: ""source"" - Deutsch: ""源""
中文: ""neuf"" - Deutsch: ""九""
中文: ""main"" - Deutsch: ""手""
中文: ""ligne"" - Deutsch: ""线""
中文: ""étoile"" - Deutsch: """,[30900],星,"[269, 9523, 8508, 5810, 29879, 5173, 380, 303]",star,étoile
"中文: ""loi"" - Deutsch: ""法""
中文: ""tribu"" - Deutsch: ""族""
中文: ""bouche"" - Deutsch: ""口""
中文: ""gauche"" - Deutsch: ""左""
中文: ""ressort"" - Deutsch: """,[31031],春,"[805, 269, 15099, 1028, 29879, 7689, 6709, 4278]",spring,ressort
"中文: ""siège"" - Deutsch: ""座""
中文: ""sud"" - Deutsch: ""南""
中文: ""quatre"" - Deutsch: ""四""
中文: ""or"" - Deutsch: ""金""
中文: ""lune"" - Deutsch: """,[30534],月,"[286, 18786, 29885, 2730, 4346]",moon,lune
"中文: ""bouche"" - Deutsch: ""口""
中文: ""mille"" - Deutsch: ""千""
中文: ""ménage"" - Deutsch: ""户""
中文: ""été"" - Deutsch: ""夏""
中文: ""bois"" - Deutsch: """,[30710],木,"[6115, 29893, 281, 8879, 827, 8112]",wood,bois
"中文: ""forêt"" - Deutsch: ""林""
中文: ""cravate"" - Deutsch: ""结""
中文: ""six"" - Deutsch: ""六""
中文: ""dix"" - Deutsch: ""十""
中文: ""village"" - Deutsch: """,[30402],村,"[4213, 21031, 17191, 1403, 5720, 29894, 11928, 28765, 325, 3516]",village,village
"中文: ""tête"" - Deutsch: ""头""
中文: ""génération"" - Deutsch: ""代""
中文: ""océan"" - Deutsch: ""洋""
中文: ""quatre"" - Deutsch: ""四""
中文: ""forêt"" - Deutsch: """,[30853],林,"[1701, 285, 1181, 1454, 29888, 1079, 363, 26839, 13569]",forest,forêt
"中文: ""défaite"" - Deutsch: ""败""
中文: ""bande"" - Deutsch: ""条""
中文: ""bouche"" - Deutsch: ""口""
中文: ""sud"" - Deutsch: ""南""
中文: ""fruit"" - Deutsch: """,[30801],果,"[285, 29888, 1341, 15774, 1424]",fruit,fruit
"中文: ""trois"" - Deutsch: ""三""
中文: ""montagne"" - Deutsch: ""山""
中文: ""milieu"" - Deutsch: ""中""
中文: ""tentative"" - Deutsch: ""试""
中文: ""grille"" - Deutsch: """,[31168],格,"[330, 867, 29887, 629, 7720, 6856]",grid,grille
"中文: ""avancer"" - Deutsch: ""进""
中文: ""enfant"" - Deutsch: ""子""
中文: ""sept"" - Deutsch: ""七""
中文: ""groupe"" - Deutsch: ""群""
中文: ""chanson"" - Deutsch: """,[31173],歌,"[578, 269, 21453, 1487, 577, 29879, 4823, 1100]",song,chanson
"中文: ""école"" - Deutsch: ""校""
中文: ""groupe"" - Deutsch: ""群""
中文: ""grille"" - Deutsch: ""格""
中文: ""pouvoir"" - Deutsch: ""力""
中文: ""étang"" - Deutsch: """,[31853],池,"[29886, 1129, 12509, 1112, 772, 282, 2818]",pond,étang
"中文: ""roche"" - Deutsch: ""岩""
中文: ""maison"" - Deutsch: ""屋""
中文: ""visage"" - Deutsch: ""面""
中文: ""cheval"" - Deutsch: ""马""
中文: ""sable"" - Deutsch: """,[31476],沙,"[269, 29879, 28455, 11982, 9753, 872, 4977]",sand,sable
