prompt,out_token_id,out_token_str,latent_token_id,latent_token_str
"""_""用来阐释一个观点或概念。答案：""例""。
""_""是指向北的基本方向的相反方向。答案：""南""。
""_""用来阅读故事。答案: ""","[31900, 231]",书,"[833, 2909, 29890, 289, 3143, 1045]",book
"""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。
""_""在排球和网球等运动中用来划分比赛区域。答案：""网""。
""_""是大气中浮动的凝结水蒸气的可见质量。答案: ""","[31784, 231]",云,"[9274, 29883, 9570, 15126, 274, 23642, 695, 1067, 17184]",cloud
"""_""是我们听到的东西。答案：""音""。
""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。
""_""用来携带物品。答案: ""","[31473, 232]",包,"[29890, 289, 9922, 23156, 19548, 2291]",bag
"""_""是一首带有歌词的音乐作品。答案：""歌""。
""_""是在九百九十九之后的数值。答案：""千""。
""_""用来吃食物和说话。答案: ""","[30856, 232]",口,"[286, 21026, 2730, 4346, 13394, 29442, 29885]",mouth
"""_""是人们通常进行工作的地方。答案：""局""。
""_""是在六之后的数字。答案：""七""。
""_""用于种植树木和作物。答案: ""","[31181, 232]",土,"[269, 577, 29879, 578, 22473]",soil
"""_""是一种常用于放松或取暖的饮料。答案：""茶""。
""_""用来交流思想和观点。答案：""语""。
""_""是地球表面的大自然升高地。答案: ""","[30329, 232]",山,"[14378, 286, 16476, 2730, 5766, 4346, 29885, 29442]",mountain
"""_""是提供愉悦或满足感知体验的特征。答案：""美""。
""_""是股票、债券或其他证券被买卖的地方。答案：""交""。
""_""用来清洁表面或覆盖身体。答案: ""","[31454, 232]",布,"[29883, 15126, 274, 13950, 695, 1067, 17184]",cloth
"""_""是一种通常甜的并且来自植物的食物类型。答案：""果""。
""_""是太阳系中心的一颗恒星，为地球提供光和热。答案：""阳""。
""_""是一个泵血贯穿全身的器官。答案: ""","[30869, 232]",心,"[354, 8293, 298, 5192, 29882, 23057, 540]",heart
"""_""是某事物是、曾是或将要建立的位置。答案：""址""。
""_""是常用于珠宝的贵金属。答案：""金""。
""_""用来抓取或持有物体。答案: ""","[30880, 233]",手,"[5905, 1361, 447, 298, 2350, 3179, 29882, 5403]",hand
"""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。
""_""是天生的才能或技能。答案：""才""。
""_""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案: ""","[30325, 233]",日,"[29881, 1146, 3250, 2462, 1388, 270]",day
"""_""是常与爱情和激情相关联的颜色。答案：""红""。
""_""是常用于烹饪并在许多国家是主食的谷物。答案：""米""。
""_""是夜空中发光的天体。答案: ""","[30900, 233]",星,"[269, 8508, 29879, 380, 5173, 5810, 303, 9523]",star
"""_""用来在海滩上建造城堡。答案：""沙""。
""_""用来清洁表面或覆盖身体。答案：""布""。
""_""是一种储存机械能量并且可以被压缩或拉伸的装置。答案: ""","[31031, 233]",春,"[805, 1028, 7689, 269, 15099, 6709, 29879, 4278]",spring
"""_""是一个泵血贯穿全身的器官。答案：""心""。
""_""位于人类和动物头上。答案：""发""。
""_""是绕着行星运转的自然卫星。答案: ""","[30534, 233]",月,"[18786, 286, 2730, 4346, 29885]",moon
"""_""是你与之共享亲密个人关系的人。答案：""友""。
""_""用来阅读故事。答案：""书""。
""_""用来制作家具。答案: ""","[30710, 233]",木,"[8112, 29893, 827, 6115, 8879, 281]",wood
"""_""是在竞赛或战斗中输掉时的体验。答案：""败""。
""_""是某事物是、曾是或将要建立的位置。答案：""址""。
""_""是乡村地区一小群房屋的社区或群体。答案: ""","[30402, 233]",村,"[17191, 28765, 1403, 4213, 21031, 11928, 3516, 29894, 5720, 325]",village
"""_""是动物身体从脊柱基部延伸出的部分。答案：""尾""。
""_""是《星球大战》系列中的一个角色。答案：""汉""。
""_""是主要覆盖着树木和下层植被的大面积地区。答案: ""","[30853, 233]",林,"[1079, 26839, 285, 1181, 363, 1454, 1701, 29888, 13569]",forest
"""_""是在八之后的数字。答案：""九""。
""_""是天生的才能或技能。答案：""才""。
""_""是一种通常甜的并且来自植物的食物类型。答案: ""","[30801, 233]",果,"[285, 15774, 1341, 1424, 29888]",fruit
"""_""是一加一的和。答案：""二""。
""_""用来阐释一个观点或概念。答案：""例""。
""_""是一个线条相互交叉形成一系列方形或长方形的网络。答案: ""","[31168, 233]",格,"[629, 867, 6856, 330, 29887, 7720]",grid
