prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""例"" - Français: ""例""
Français: ""南"" - Français: ""南""
Français: ""木"" - Français: ""木""
Français: ""洞"" - Français: ""洞""
Français: ""书"" - Français: """,[31900],书,"[29890, 289, 1045, 2909, 833, 3143]",book,书
"Français: ""舞"" - Français: ""舞""
Français: ""网"" - Français: ""网""
Français: ""友"" - Français: ""友""
Français: ""花"" - Français: ""花""
Français: ""云"" - Français: """,[31784],云,"[695, 1067, 15126, 274, 9274, 29883, 9570, 23642, 17184]",cloud,云
"Français: ""音"" - Français: ""音""
Français: ""林"" - Français: ""林""
Français: ""山"" - Français: ""山""
Français: ""线"" - Français: ""线""
Français: ""包"" - Français: """,[31473],包,"[29890, 289, 9922, 2291, 23156, 19548]",bag,包
"Français: ""歌"" - Français: ""歌""
Français: ""千"" - Français: ""千""
Français: ""金"" - Français: ""金""
Français: ""校"" - Français: ""校""
Français: ""口"" - Français: """,[30856],口,"[29885, 21026, 13394, 29442, 4346, 286, 2730]",mouth,口
"Français: ""局"" - Français: ""局""
Français: ""七"" - Français: ""七""
Français: ""址"" - Français: ""址""
Français: ""方"" - Français: ""方""
Français: ""土"" - Français: """,[31181],土,"[29879, 22473, 269, 577, 578]",soil,土
"Français: ""茶"" - Français: ""茶""
Français: ""语"" - Français: ""语""
Français: ""足"" - Français: ""足""
Français: ""速"" - Français: ""速""
Français: ""山"" - Français: """,[30329],山,"[29885, 14378, 16476, 29442, 4346, 286, 2730, 5766]",mountain,山
"Français: ""美"" - Français: ""美""
Français: ""交"" - Français: ""交""
Français: ""会"" - Français: ""会""
Français: ""法"" - Français: ""法""
Français: ""布"" - Français: """,[31454],布,"[695, 1067, 15126, 274, 29883, 13950, 17184]",cloth,布
"Français: ""果"" - Français: ""果""
Français: ""阳"" - Français: ""阳""
Français: ""九"" - Français: ""九""
Français: ""起"" - Français: ""起""
Français: ""心"" - Français: """,[30869],心,"[5192, 29882, 354, 23057, 298, 8293, 540]",heart,心
"Français: ""址"" - Français: ""址""
Français: ""金"" - Français: ""金""
Français: ""口"" - Français: ""口""
Français: ""村"" - Français: ""村""
Français: ""手"" - Français: """,[30880],手,"[29882, 2350, 5905, 447, 298, 1361, 5403, 3179]",hand,手
"Français: ""林"" - Français: ""林""
Français: ""才"" - Français: ""才""
Français: ""字"" - Français: ""字""
Français: ""中"" - Français: ""中""
Français: ""日"" - Français: """,[30325],日,"[3250, 2462, 1388, 29881, 270, 1146]",day,日
"Français: ""红"" - Français: ""红""
Français: ""米"" - Français: ""米""
Français: ""南"" - Français: ""南""
Français: ""三"" - Français: ""三""
Français: ""星"" - Français: """,[30900],星,"[29879, 9523, 5810, 380, 269, 303, 5173, 8508]",star,星
"Français: ""沙"" - Français: ""沙""
Français: ""布"" - Français: ""布""
Français: ""二"" - Français: ""二""
Français: ""址"" - Français: ""址""
Français: ""春"" - Français: """,[31031],春,"[29879, 4278, 6709, 7689, 805, 269, 15099, 1028]",spring,春
"Français: ""心"" - Français: ""心""
Français: ""发"" - Français: ""发""
Français: ""种"" - Français: ""种""
Français: ""歌"" - Français: ""歌""
Français: ""月"" - Français: """,[30534],月,"[29885, 4346, 286, 2730, 18786]",moon,月
"Français: ""友"" - Français: ""友""
Français: ""书"" - Français: ""书""
Français: ""段"" - Français: ""段""
Français: ""岩"" - Français: ""岩""
Français: ""木"" - Français: """,[30710],木,"[281, 8879, 827, 6115, 29893, 8112]",wood,木
"Français: ""败"" - Français: ""败""
Français: ""址"" - Français: ""址""
Français: ""布"" - Français: ""布""
Français: ""水"" - Français: ""水""
Français: ""村"" - Français: """,[30402],村,"[29894, 1403, 21031, 3516, 4213, 17191, 325, 11928, 5720, 28765]",village,村
"Français: ""尾"" - Français: ""尾""
Français: ""汉"" - Français: ""汉""
Français: ""茶"" - Français: ""茶""
Français: ""交"" - Français: ""交""
Français: ""林"" - Français: """,[30853],林,"[1181, 363, 26839, 1079, 1701, 13569, 29888, 285, 1454]",forest,林
"Français: ""九"" - Français: ""九""
Français: ""才"" - Français: ""才""
Français: ""百"" - Français: ""百""
Français: ""户"" - Français: ""户""
Français: ""果"" - Français: """,[30801],果,"[15774, 1424, 29888, 1341, 285]",fruit,果
"Français: ""二"" - Français: ""二""
Français: ""例"" - Français: ""例""
Français: ""双"" - Français: ""双""
Français: ""花"" - Français: ""花""
Français: ""格"" - Français: """,[31168],格,"[629, 7720, 29887, 330, 6856, 867]",grid,格
"Français: ""五"" - Français: ""五""
Français: ""山"" - Français: ""山""
Français: ""场"" - Français: ""场""
Français: ""构"" - Français: ""构""
Français: ""歌"" - Français: """,[31173],歌,"[29879, 4823, 1100, 1487, 269, 21453, 577, 578]",song,歌
"Français: ""球"" - Français: ""球""
Français: ""五"" - Français: ""五""
Français: ""米"" - Français: ""米""
Français: ""八"" - Français: ""八""
Français: ""水"" - Français: """,[30716],水,"[2766, 281, 4094, 13405, 16699, 29893, 11324]",water,水
"Français: ""局"" - Français: ""局""
Français: ""心"" - Français: ""心""
Français: ""网"" - Français: ""网""
Français: ""户"" - Français: ""户""
Français: ""汉"" - Français: """,[31593],汉,"[379, 24704, 7169, 29950, 5952]",Han,汉
"Français: ""二"" - Français: ""二""
Français: ""三"" - Français: ""三""
Français: ""星"" - Français: ""星""
Français: ""址"" - Français: ""址""
Français: ""池"" - Français: """,[31853],池,"[1129, 282, 1112, 772, 29886, 2818, 12509]",pond,池
"Français: ""米"" - Français: ""米""
Français: ""站"" - Français: ""站""
Français: ""母"" - Français: ""母""
Français: ""局"" - Français: ""局""
Français: ""沙"" - Français: """,[31476],沙,"[29879, 872, 9753, 269, 28455, 4977, 11982]",sand,沙
"Français: ""美"" - Français: ""美""
Français: ""址"" - Français: ""址""
Français: ""地"" - Français: ""地""
Français: ""局"" - Français: ""局""
Français: ""河"" - Français: """,[30828],河,"[10107, 29878, 4401, 9050, 3511, 8580, 374, 364, 1150]",river,河
"Français: ""八"" - Français: ""八""
Français: ""洋"" - Français: ""洋""
Français: ""台"" - Français: ""台""
Français: ""河"" - Français: ""河""
Français: ""法"" - Français: """,[30545],法,"[29880, 4307, 301, 433, 10653, 425]",law,法
