prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""例"" - Deutsch: ""例""
Deutsch: ""南"" - Deutsch: ""南""
Deutsch: ""木"" - Deutsch: ""木""
Deutsch: ""洞"" - Deutsch: ""洞""
Deutsch: ""书"" - Deutsch: """,[31900],书,"[2909, 1045, 833, 289, 3143, 29890]",book,书
"Deutsch: ""舞"" - Deutsch: ""舞""
Deutsch: ""网"" - Deutsch: ""网""
Deutsch: ""友"" - Deutsch: ""友""
Deutsch: ""花"" - Deutsch: ""花""
Deutsch: ""云"" - Deutsch: """,[31784],云,"[9274, 23642, 29883, 1067, 274, 15126, 695, 17184, 9570]",cloud,云
"Deutsch: ""音"" - Deutsch: ""音""
Deutsch: ""林"" - Deutsch: ""林""
Deutsch: ""山"" - Deutsch: ""山""
Deutsch: ""线"" - Deutsch: ""线""
Deutsch: ""包"" - Deutsch: """,[31473],包,"[2291, 23156, 19548, 289, 9922, 29890]",bag,包
"Deutsch: ""歌"" - Deutsch: ""歌""
Deutsch: ""千"" - Deutsch: ""千""
Deutsch: ""金"" - Deutsch: ""金""
Deutsch: ""校"" - Deutsch: ""校""
Deutsch: ""口"" - Deutsch: """,[30856],口,"[29885, 29442, 21026, 4346, 2730, 13394, 286]",mouth,口
"Deutsch: ""局"" - Deutsch: ""局""
Deutsch: ""七"" - Deutsch: ""七""
Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""方"" - Deutsch: ""方""
Deutsch: ""土"" - Deutsch: """,[31181],土,"[29879, 269, 578, 22473, 577]",soil,土
"Deutsch: ""茶"" - Deutsch: ""茶""
Deutsch: ""语"" - Deutsch: ""语""
Deutsch: ""足"" - Deutsch: ""足""
Deutsch: ""速"" - Deutsch: ""速""
Deutsch: ""山"" - Deutsch: """,[30329],山,"[29885, 29442, 5766, 4346, 2730, 14378, 16476, 286]",mountain,山
"Deutsch: ""美"" - Deutsch: ""美""
Deutsch: ""交"" - Deutsch: ""交""
Deutsch: ""会"" - Deutsch: ""会""
Deutsch: ""法"" - Deutsch: ""法""
Deutsch: ""布"" - Deutsch: """,[31454],布,"[29883, 1067, 274, 15126, 695, 17184, 13950]",cloth,布
"Deutsch: ""果"" - Deutsch: ""果""
Deutsch: ""阳"" - Deutsch: ""阳""
Deutsch: ""九"" - Deutsch: ""九""
Deutsch: ""起"" - Deutsch: ""起""
Deutsch: ""心"" - Deutsch: """,[30869],心,"[354, 5192, 23057, 29882, 298, 8293, 540]",heart,心
"Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""金"" - Deutsch: ""金""
Deutsch: ""口"" - Deutsch: ""口""
Deutsch: ""村"" - Deutsch: ""村""
Deutsch: ""手"" - Deutsch: """,[30880],手,"[5403, 2350, 298, 447, 3179, 1361, 29882, 5905]",hand,手
"Deutsch: ""林"" - Deutsch: ""林""
Deutsch: ""才"" - Deutsch: ""才""
Deutsch: ""字"" - Deutsch: ""字""
Deutsch: ""中"" - Deutsch: ""中""
Deutsch: ""日"" - Deutsch: """,[30325],日,"[1146, 29881, 3250, 2462, 270, 1388]",day,日
