prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""группа"" - 中文: ""群""
Русский: ""гора"" - 中文: ""山""
Русский: ""снег"" - 中文: ""雪""
Русский: ""цвет"" - 中文: ""色""
Русский: ""книга"" - 中文: ""","[31900, 231]",书,"[289, 833, 1045, 2909, 3143, 29890]",book,книга
"Русский: ""луна"" - 中文: ""月""
Русский: ""возврат"" - 中文: ""回""
Русский: ""биржа"" - 中文: ""交""
Русский: ""юг"" - 中文: ""南""
Русский: ""облако"" - 中文: ""","[31784, 231]",云,"[274, 23642, 9570, 29883, 17184, 695, 15126, 1067, 9274]",cloud,облако
"Русский: ""песня"" - 中文: ""歌""
Русский: ""луна"" - 中文: ""月""
Русский: ""океан"" - 中文: ""洋""
Русский: ""позиция"" - 中文: ""位""
Русский: ""сумка"" - 中文: ""","[31473, 232]",包,"[9922, 289, 19548, 2291, 29890, 23156]",bag,сумка
"Русский: ""позиция"" - 中文: ""位""
Русский: ""вид"" - 中文: ""种""
Русский: ""слово"" - 中文: ""字""
Русский: ""сиденье"" - 中文: ""座""
Русский: ""рот"" - 中文: ""","[30856, 232]",口,"[13394, 286, 21026, 2730, 29885, 4346, 29442]",mouth,рот
"Русский: ""предмет"" - 中文: ""项""
Русский: ""вид"" - 中文: ""种""
Русский: ""скорость"" - 中文: ""速""
Русский: ""власть"" - 中文: ""力""
Русский: ""почва"" - 中文: ""","[31181, 232]",土,"[577, 22473, 29879, 269, 578]",soil,почва
"Русский: ""собрание"" - 中文: ""会""
Русский: ""середина"" - 中文: ""中""
Русский: ""три"" - 中文: ""三""
Русский: ""тысяча"" - 中文: ""千""
Русский: ""гора"" - 中文: ""","[30329, 232]",山,"[286, 16476, 5766, 2730, 29885, 4346, 29442, 14378]",mountain,гора
"Русский: ""тысяча"" - 中文: ""千""
Русский: ""звук"" - 中文: ""音""
Русский: ""дверь"" - 中文: ""门""
Русский: ""мост"" - 中文: ""桥""
Русский: ""сердце"" - 中文: ""","[30869, 232]",心,"[8293, 540, 354, 23057, 29882, 298, 5192]",heart,сердце
"Русский: ""юг"" - 中文: ""南""
Русский: ""чай"" - 中文: ""茶""
Русский: ""цвет"" - 中文: ""色""
Русский: ""картина"" - 中文: ""画""
Русский: ""рука"" - 中文: ""","[30880, 233]",手,"[447, 3179, 29882, 5403, 2350, 5905, 298, 1361]",hand,рука
"Русский: ""танец"" - 中文: ""舞""
Русский: ""школа"" - 中文: ""校""
Русский: ""костер"" - 中文: ""火""
Русский: ""группа"" - 中文: ""群""
Русский: ""звезда"" - 中文: ""","[30900, 233]",星,"[9523, 5173, 380, 303, 29879, 5810, 269, 8508]",star,звезда
"Русский: ""поколение"" - 中文: ""代""
Русский: ""семь"" - 中文: ""七""
Русский: ""волна"" - 中文: ""波""
Русский: ""сумка"" - 中文: ""包""
Русский: ""пружина"" - 中文: ""","[31031, 233]",春,"[1028, 6709, 29879, 4278, 7689, 269, 805, 15099]",spring,пружина
"Русский: ""лицо"" - 中文: ""面""
Русский: ""пружина"" - 中文: ""春""
Русский: ""удалить"" - 中文: ""删""
Русский: ""поколение"" - 中文: ""代""
Русский: ""луна"" - 中文: ""","[30534, 233]",月,"[286, 2730, 29885, 4346, 18786]",moon,луна
"Русский: ""школа"" - 中文: ""校""
Русский: ""ребенок"" - 中文: ""子""
Русский: ""восемь"" - 中文: ""八""
Русский: ""песня"" - 中文: ""歌""
Русский: ""деревня"" - 中文: ""","[30402, 233]",村,"[5720, 325, 3516, 4213, 11928, 17191, 1403, 21031, 28765, 29894]",village,деревня
"Русский: ""середина"" - 中文: ""中""
Русский: ""талант"" - 中文: ""才""
Русский: ""удалить"" - 中文: ""删""
Русский: ""рис"" - 中文: ""米""
Русский: ""лес"" - 中文: ""","[30853, 233]",林,"[1079, 13569, 285, 29888, 1181, 1454, 1701, 363, 26839]",forest,лес
"Русский: ""сетка"" - 中文: ""网""
Русский: ""точка"" - 中文: ""点""
Русский: ""хвост"" - 中文: ""尾""
Русский: ""офис"" - 中文: ""局""
Русский: ""фрукт"" - 中文: ""","[30801, 233]",果,"[1424, 285, 29888, 1341, 15774]",fruit,фрукт
"Русский: ""книга"" - 中文: ""书""
Русский: ""поле"" - 中文: ""场""
Русский: ""магазин"" - 中文: ""店""
Русский: ""закон"" - 中文: ""法""
Русский: ""сетка"" - 中文: ""","[31168, 233]",格,"[330, 629, 6856, 7720, 867, 29887]",grid,сетка
"Русский: ""сиденье"" - 中文: ""座""
Русский: ""пещера"" - 中文: ""洞""
Русский: ""мужчина"" - 中文: ""男""
Русский: ""вид"" - 中文: ""种""
Русский: ""песня"" - 中文: ""","[31173, 233]",歌,"[577, 21453, 1487, 29879, 1100, 269, 578, 4823]",song,песня
"Русский: ""середина"" - 中文: ""中""
Русский: ""золото"" - 中文: ""金""
Русский: ""язык"" - 中文: ""语""
Русский: ""песня"" - 中文: ""歌""
Русский: ""вода"" - 中文: ""","[30716, 233]",水,"[4094, 281, 13405, 2766, 16699, 11324, 29893]",water,вода
"Русский: ""судья"" - 中文: ""判""
Русский: ""предмет"" - 中文: ""项""
Русский: ""песня"" - 中文: ""歌""
Русский: ""власть"" - 中文: ""力""
Русский: ""пруд"" - 中文: ""","[31853, 233]",池,"[772, 2818, 12509, 282, 29886, 1112, 1129]",pond,пруд
"Русский: ""галстук"" - 中文: ""结""
Русский: ""вид"" - 中文: ""种""
Русский: ""пара"" - 中文: ""双""
Русский: ""человек"" - 中文: ""人""
Русский: ""песок"" - 中文: ""","[31476, 233]",沙,"[872, 4977, 29879, 269, 9753, 11982, 28455]",sand,песок
"Русский: ""улица"" - 中文: ""街""
Русский: ""власть"" - 中文: ""力""
Русский: ""закон"" - 中文: ""法""
Русский: ""рис"" - 中文: ""米""
Русский: ""река"" - 中文: ""","[30828, 233]",河,"[9050, 364, 29878, 10107, 4401, 374, 1150, 3511, 8580]",river,река
"Русский: ""море"" - 中文: ""海""
Русский: ""слово"" - 中文: ""字""
Русский: ""пример"" - 中文: ""例""
Русский: ""платформа"" - 中文: ""台""
Русский: ""закон"" - 中文: ""","[30545, 233]",法,"[301, 10653, 29880, 4307, 433, 425]",law,закон
"Русский: ""океан"" - 中文: ""洋""
Русский: ""костер"" - 中文: ""火""
Русский: ""вода"" - 中文: ""水""
Русский: ""семь"" - 中文: ""七""
Русский: ""волна"" - 中文: ""","[31529, 233]",波,"[281, 10742, 2766, 27766, 11324, 29893]",wave,волна
"Русский: ""картина"" - 中文: ""画""
Русский: ""поле"" - 中文: ""场""
Русский: ""мяч"" - 中文: ""球""
Русский: ""шесть"" - 中文: ""六""
Русский: ""океан"" - 中文: ""","[31534, 233]",洋,"[12954, 542, 29877, 288, 25802, 23474]",ocean,океан
"Русский: ""река"" - 中文: ""河""
Русский: ""добродетель"" - 中文: ""德""
Русский: ""гора"" - 中文: ""山""
Русский: ""линия"" - 中文: ""线""
Русский: ""пещера"" - 中文: ""","[31886, 233]",洞,"[274, 18346, 29883, 1113, 24230, 5777]",cave,пещера
"Русский: ""скорость"" - 中文: ""速""
Русский: ""рис"" - 中文: ""米""
Русский: ""озеро"" - 中文: ""湖""
Русский: ""шесть"" - 中文: ""六""
Русский: ""море"" - 中文: ""","[30581, 233]",海,"[409, 29879, 269, 344, 7205]",sea,море
"Русский: ""галстук"" - 中文: ""结""
Русский: ""два"" - 中文: ""二""
Русский: ""линия"" - 中文: ""线""
Русский: ""собрание"" - 中文: ""会""
Русский: ""озеро"" - 中文: ""","[31496, 233]",湖,"[18170, 24591, 301, 19437, 29880, 433, 425]",lake,озеро
"Русский: ""часть"" - 中文: ""部""
Русский: ""долина"" - 中文: ""谷""
Русский: ""восток"" - 中文: ""东""
Русский: ""вид"" - 中文: ""种""
Русский: ""источник"" - 中文: ""","[31193, 233]",源,"[577, 29879, 269, 2752, 578, 3669, 4993]",source,источник
"Русский: ""четыре"" - 中文: ""四""
Русский: ""полоса"" - 中文: ""条""
Русский: ""сотня"" - 中文: ""百""
Русский: ""офис"" - 中文: ""局""
Русский: ""костер"" - 中文: ""","[31313, 234]",火,"[13734, 285, 29888, 3974, 28034, 8696, 7241, 5713]",fire,костер
"Русский: ""картина"" - 中文: ""画""
Русский: ""юг"" - 中文: ""南""
Русский: ""судья"" - 中文: ""判""
Русский: ""удалить"" - 中文: ""删""
Русский: ""точка"" - 中文: ""","[30940, 234]",点,"[772, 3149, 282, 1298, 11899, 29886, 1129]",point,точка
"Русский: ""солнце"" - 中文: ""阳""
Русский: ""звук"" - 中文: ""音""
Русский: ""собрание"" - 中文: ""会""
Русский: ""песня"" - 中文: ""歌""
Русский: ""версия"" - 中文: ""","[30845, 234]",版,"[325, 345, 2453, 1147, 1873, 369, 29894, 3259, 1224, 874]",version,версия
"Русский: ""платформа"" - 中文: ""台""
Русский: ""песня"" - 中文: ""歌""
Русский: ""удалить"" - 中文: ""删""
Русский: ""пять"" - 中文: ""五""
Русский: ""мяч"" - 中文: ""","[31539, 234]",球,"[8287, 9922, 289, 5521, 6411, 2135, 2291, 29890]",ball,мяч
"Русский: ""сетка"" - 中文: ""网""
Русский: ""девять"" - 中文: ""九""
Русский: ""красота"" - 中文: ""美""
Русский: ""тысяча"" - 中文: ""千""
Русский: ""картина"" - 中文: ""","[31046, 234]",画,"[10675, 20413, 282, 3274, 29886, 6788, 3300]",painting,картина
"Русский: ""танец"" - 中文: ""舞""
Русский: ""луна"" - 中文: ""月""
Русский: ""земля"" - 中文: ""地""
Русский: ""добродетель"" - 中文: ""德""
Русский: ""рис"" - 中文: ""","[31902, 234]",米,"[364, 9597, 2200, 19408, 29878, 10107, 374, 11674]",rice,рис
"Русский: ""долина"" - 中文: ""谷""
Русский: ""голова"" - 中文: ""头""
Русский: ""юг"" - 中文: ""南""
Русский: ""школа"" - 中文: ""校""
Русский: ""красный"" - 中文: ""","[31869, 234]",红,"[337, 364, 1127, 276, 29878, 2654]",red,красный
"Русский: ""мужчина"" - 中文: ""男""
Русский: ""мост"" - 中文: ""桥""
Русский: ""галстук"" - 中文: ""结""
Русский: ""вид"" - 中文: ""种""
Русский: ""линия"" - 中文: ""","[31532, 234]",线,"[492, 1196, 6276, 29880, 619, 1915, 301, 1220]",line,линия
"Русский: ""поколение"" - 中文: ""代""
Русский: ""квадрат"" - 中文: ""方""
Русский: ""два"" - 中文: ""二""
Русский: ""четыре"" - 中文: ""四""
Русский: ""сетка"" - 中文: ""","[31222, 234]",网,"[302, 484, 7787, 29876, 1212, 452]",net,сетка
"Русский: ""семь"" - 中文: ""七""
Русский: ""три"" - 中文: ""三""
Русский: ""судья"" - 中文: ""判""
Русский: ""речь"" - 中文: ""话""
Русский: ""цветок"" - 中文: ""","[30830, 235]",花,"[28149, 285, 29888, 1731, 1579, 5685, 1652, 4972]",flower,цветок
"Русский: ""школа"" - 中文: ""校""
Русский: ""пара"" - 中文: ""双""
Русский: ""история"" - 中文: ""史""
Русский: ""костер"" - 中文: ""火""
Русский: ""чай"" - 中文: ""","[31954, 235]",茶,"[23429, 371, 734, 260, 29873]",tea,чай
"Русский: ""поколение"" - 中文: ""代""
Русский: ""рот"" - 中文: ""口""
Русский: ""север"" - 中文: ""北""
Русский: ""цвет"" - 中文: ""色""
Русский: ""нога"" - 中文: ""","[31722, 235]",足,"[6661, 3661, 285, 29888, 7953, 5431, 1181, 1701]",foot,нога
"Русский: ""пара"" - 中文: ""双""
Русский: ""машина"" - 中文: ""机""
Русский: ""офис"" - 中文: ""局""
Русский: ""попытка"" - 中文: ""试""
Русский: ""золото"" - 中文: ""","[30659, 236]",金,"[330, 7684, 748, 15192, 1484, 29887]",gold,золото
"Русский: ""красный"" - 中文: ""红""
Русский: ""добродетель"" - 中文: ""德""
Русский: ""мяч"" - 中文: ""球""
Русский: ""пружина"" - 中文: ""春""
Русский: ""дверь"" - 中文: ""","[31649, 236]",门,"[270, 1867, 29881, 17433, 3050, 437]",door,дверь
"Русский: ""источник"" - 中文: ""源""
Русский: ""цвет"" - 中文: ""色""
Русский: ""чай"" - 中文: ""茶""
Русский: ""звук"" - 中文: ""音""
Русский: ""снег"" - 中文: ""","[31731, 236]",雪,"[5807, 29879, 269, 15007, 16586]",snow,снег
"Русский: ""дверь"" - 中文: ""门""
Русский: ""красный"" - 中文: ""红""
Русский: ""пещера"" - 中文: ""洞""
Русский: ""восток"" - 中文: ""东""
Русский: ""лошадь"" - 中文: ""","[31530, 236]",马,"[11231, 5089, 2015, 29882, 1251, 10435, 298, 4029]",horse,лошадь
"Русский: ""поле"" - 中文: ""场""
Русский: ""пример"" - 中文: ""例""
Русский: ""история"" - 中文: ""史""
Русский: ""книга"" - 中文: ""书""
Русский: ""два"" - 中文: ""","[30685, 231]",二,"[7516, 3252, 10184, 260, 29873, 1023]",two,два
"Русский: ""лето"" - 中文: ""夏""
Русский: ""талант"" - 中文: ""才""
Русский: ""облако"" - 中文: ""云""
Русский: ""биржа"" - 中文: ""交""
Русский: ""три"" - 中文: ""","[30457, 231]",三,"[1468, 17536, 12455, 260, 29873, 266, 386, 2211]",three,три
"Русский: ""танец"" - 中文: ""舞""
Русский: ""шесть"" - 中文: ""六""
Русский: ""слово"" - 中文: ""字""
Русский: ""источник"" - 中文: ""源""
Русский: ""четыре"" - 中文: ""","[30928, 232]",四,"[17823, 285, 29888, 1181, 12584, 1701, 3023]",four,четыре
"Русский: ""озеро"" - 中文: ""湖""
Русский: ""девять"" - 中文: ""九""
Русский: ""добродетель"" - 中文: ""德""
Русский: ""дом"" - 中文: ""屋""
Русский: ""пять"" - 中文: ""","[30904, 231]",五,"[20818, 285, 29888, 7241, 5320, 5713]",five,пять
"Русский: ""юг"" - 中文: ""南""
Русский: ""пруд"" - 中文: ""池""
Русский: ""десять"" - 中文: ""十""
Русский: ""сотня"" - 中文: ""百""
Русский: ""шесть"" - 中文: ""","[31304, 232]",六,"[1354, 29879, 28319, 269, 4832, 1039]",six,шесть
"Русский: ""красота"" - 中文: ""美""
Русский: ""середина"" - 中文: ""中""
Русский: ""биржа"" - 中文: ""交""
Русский: ""песок"" - 中文: ""沙""
Русский: ""семь"" - 中文: ""","[31425, 231]",七,"[409, 9881, 29879, 269, 344]",seven,семь
"Русский: ""источник"" - 中文: ""源""
Русский: ""земля"" - 中文: ""地""
Русский: ""облако"" - 中文: ""云""
Русский: ""семь"" - 中文: ""七""
Русский: ""восемь"" - 中文: ""","[31044, 232]",八,"[15761, 29319, 10096, 9475, 29872, 321]",eight,восемь
"Русский: ""человек"" - 中文: ""人""
Русский: ""красный"" - 中文: ""红""
Русский: ""звезда"" - 中文: ""星""
Русский: ""мяч"" - 中文: ""球""
Русский: ""девять"" - 中文: ""","[31321, 231]",九,"[302, 14183, 29876, 17081, 6836, 1240]",nine,девять
"Русский: ""сетка"" - 中文: ""网""
Русский: ""пруд"" - 中文: ""池""
Русский: ""лошадь"" - 中文: ""马""
Русский: ""скорость"" - 中文: ""速""
Русский: ""десять"" - 中文: ""","[30802, 232]",十,"[3006, 371, 734, 260, 29873, 841]",ten,десять
"Русский: ""предмет"" - 中文: ""项""
Русский: ""племя"" - 中文: ""族""
Русский: ""собрание"" - 中文: ""会""
Русский: ""версия"" - 中文: ""版""
Русский: ""голова"" - 中文: ""","[31584, 232]",头,"[2343, 2813, 540, 354, 29882, 298]",head,голова
"Русский: ""почва"" - 中文: ""土""
Русский: ""облако"" - 中文: ""云""
Русский: ""цветок"" - 中文: ""花""
Русский: ""закон"" - 中文: ""法""
Русский: ""магазин"" - 中文: ""","[31758, 232]",店,"[17394, 29879, 18296, 269, 528, 19032, 845]",shop,магазин
"Русский: ""слово"" - 中文: ""字""
Русский: ""золото"" - 中文: ""金""
Русский: ""сумка"" - 中文: ""包""
Русский: ""танец"" - 中文: ""舞""
Русский: ""полоса"" - 中文: ""","[31217, 233]",条,"[17010, 710, 380, 303, 851, 29879, 269, 10076, 17820]",strip,полоса
"Русский: ""мост"" - 中文: ""桥""
Русский: ""красный"" - 中文: ""红""
Русский: ""мяч"" - 中文: ""球""
Русский: ""версия"" - 中文: ""版""
Русский: ""улица"" - 中文: ""","[30813, 235]",街,"[29352, 12243, 710, 380, 303, 851, 29879, 269, 11952, 13045]",street,улица
"Русский: ""снег"" - 中文: ""雪""
Русский: ""рот"" - 中文: ""口""
Русский: ""вода"" - 中文: ""水""
Русский: ""поражение"" - 中文: ""败""
Русский: ""часть"" - 中文: ""","[30636, 236]",部,"[282, 3274, 1595, 29886, 760, 862, 610, 3300]",part,часть
"Русский: ""лето"" - 中文: ""夏""
Русский: ""луна"" - 中文: ""月""
Русский: ""волна"" - 中文: ""波""
Русский: ""язык"" - 中文: ""语""
Русский: ""поле"" - 中文: ""","[31632, 232]",场,"[2671, 29607, 285, 1746, 29888, 7241, 5713]",field,поле
