prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""例"" - 中文: ""例""
中文: ""南"" - 中文: ""南""
中文: ""木"" - 中文: ""木""
中文: ""洞"" - 中文: ""洞""
中文: ""书"" - 中文: ""","[31900, 231]",书,"[1045, 3143, 29890, 833, 289, 2909]",book,书
"中文: ""舞"" - 中文: ""舞""
中文: ""网"" - 中文: ""网""
中文: ""友"" - 中文: ""友""
中文: ""花"" - 中文: ""花""
中文: ""云"" - 中文: ""","[31784, 231]",云,"[15126, 23642, 29883, 9570, 274, 1067, 695, 17184, 9274]",cloud,云
"中文: ""音"" - 中文: ""音""
中文: ""林"" - 中文: ""林""
中文: ""山"" - 中文: ""山""
中文: ""线"" - 中文: ""线""
中文: ""包"" - 中文: ""","[31473, 232]",包,"[23156, 29890, 9922, 2291, 19548, 289]",bag,包
"中文: ""歌"" - 中文: ""歌""
中文: ""千"" - 中文: ""千""
中文: ""金"" - 中文: ""金""
中文: ""校"" - 中文: ""校""
中文: ""口"" - 中文: ""","[30856, 232]",口,"[4346, 29442, 29885, 2730, 13394, 21026, 286]",mouth,口
"中文: ""局"" - 中文: ""局""
中文: ""七"" - 中文: ""七""
中文: ""址"" - 中文: ""址""
中文: ""方"" - 中文: ""方""
中文: ""土"" - 中文: ""","[31181, 232]",土,"[269, 578, 29879, 577, 22473]",soil,土
"中文: ""茶"" - 中文: ""茶""
中文: ""语"" - 中文: ""语""
中文: ""足"" - 中文: ""足""
中文: ""速"" - 中文: ""速""
中文: ""山"" - 中文: ""","[30329, 232]",山,"[4346, 14378, 29442, 5766, 29885, 2730, 16476, 286]",mountain,山
"中文: ""美"" - 中文: ""美""
中文: ""交"" - 中文: ""交""
中文: ""会"" - 中文: ""会""
中文: ""法"" - 中文: ""法""
中文: ""布"" - 中文: ""","[31454, 232]",布,"[15126, 29883, 274, 1067, 17184, 695, 13950]",cloth,布
"中文: ""果"" - 中文: ""果""
中文: ""阳"" - 中文: ""阳""
中文: ""九"" - 中文: ""九""
中文: ""起"" - 中文: ""起""
中文: ""心"" - 中文: ""","[30869, 232]",心,"[540, 298, 8293, 23057, 5192, 354, 29882]",heart,心
"中文: ""址"" - 中文: ""址""
中文: ""金"" - 中文: ""金""
中文: ""口"" - 中文: ""口""
中文: ""村"" - 中文: ""村""
中文: ""手"" - 中文: ""","[30880, 233]",手,"[1361, 5403, 298, 5905, 29882, 447, 2350, 3179]",hand,手
"中文: ""林"" - 中文: ""林""
中文: ""才"" - 中文: ""才""
中文: ""字"" - 中文: ""字""
中文: ""中"" - 中文: ""中""
中文: ""日"" - 中文: ""","[30325, 233]",日,"[29881, 270, 2462, 1146, 3250, 1388]",day,日
"中文: ""红"" - 中文: ""红""
中文: ""米"" - 中文: ""米""
中文: ""南"" - 中文: ""南""
中文: ""三"" - 中文: ""三""
中文: ""星"" - 中文: ""","[30900, 233]",星,"[269, 9523, 303, 5810, 8508, 29879, 5173, 380]",star,星
"中文: ""沙"" - 中文: ""沙""
中文: ""布"" - 中文: ""布""
中文: ""二"" - 中文: ""二""
中文: ""址"" - 中文: ""址""
中文: ""春"" - 中文: ""","[31031, 233]",春,"[269, 15099, 6709, 29879, 7689, 1028, 805, 4278]",spring,春
"中文: ""心"" - 中文: ""心""
中文: ""发"" - 中文: ""发""
中文: ""种"" - 中文: ""种""
中文: ""歌"" - 中文: ""歌""
中文: ""月"" - 中文: ""","[30534, 233]",月,"[4346, 29885, 2730, 18786, 286]",moon,月
"中文: ""友"" - 中文: ""友""
中文: ""书"" - 中文: ""书""
中文: ""段"" - 中文: ""段""
中文: ""岩"" - 中文: ""岩""
中文: ""木"" - 中文: ""","[30710, 233]",木,"[6115, 827, 8112, 8879, 29893, 281]",wood,木
"中文: ""败"" - 中文: ""败""
中文: ""址"" - 中文: ""址""
中文: ""布"" - 中文: ""布""
中文: ""水"" - 中文: ""水""
中文: ""村"" - 中文: ""","[30402, 233]",村,"[29894, 21031, 1403, 5720, 3516, 17191, 11928, 325, 4213, 28765]",village,村
"中文: ""尾"" - 中文: ""尾""
中文: ""汉"" - 中文: ""汉""
中文: ""茶"" - 中文: ""茶""
中文: ""交"" - 中文: ""交""
中文: ""林"" - 中文: ""","[30853, 233]",林,"[13569, 363, 1079, 1181, 285, 1701, 29888, 1454, 26839]",forest,林
"中文: ""九"" - 中文: ""九""
中文: ""才"" - 中文: ""才""
中文: ""百"" - 中文: ""百""
中文: ""户"" - 中文: ""户""
中文: ""果"" - 中文: ""","[30801, 233]",果,"[1424, 1341, 285, 15774, 29888]",fruit,果
"中文: ""二"" - 中文: ""二""
中文: ""例"" - 中文: ""例""
中文: ""双"" - 中文: ""双""
中文: ""花"" - 中文: ""花""
中文: ""格"" - 中文: ""","[31168, 233]",格,"[6856, 330, 629, 7720, 867, 29887]",grid,格
"中文: ""五"" - 中文: ""五""
中文: ""山"" - 中文: ""山""
中文: ""场"" - 中文: ""场""
中文: ""构"" - 中文: ""构""
中文: ""歌"" - 中文: ""","[31173, 233]",歌,"[269, 21453, 4823, 1100, 578, 29879, 1487, 577]",song,歌
"中文: ""球"" - 中文: ""球""
中文: ""五"" - 中文: ""五""
中文: ""米"" - 中文: ""米""
中文: ""八"" - 中文: ""八""
中文: ""水"" - 中文: ""","[30716, 233]",水,"[16699, 2766, 11324, 29893, 281, 4094, 13405]",water,水
"中文: ""局"" - 中文: ""局""
中文: ""心"" - 中文: ""心""
中文: ""网"" - 中文: ""网""
中文: ""户"" - 中文: ""户""
中文: ""汉"" - 中文: ""","[31593, 233]",汉,"[24704, 379, 29950, 5952, 7169]",Han,汉
"中文: ""二"" - 中文: ""二""
中文: ""三"" - 中文: ""三""
中文: ""星"" - 中文: ""星""
中文: ""址"" - 中文: ""址""
中文: ""池"" - 中文: ""","[31853, 233]",池,"[772, 29886, 1129, 282, 2818, 1112, 12509]",pond,池
"中文: ""米"" - 中文: ""米""
中文: ""站"" - 中文: ""站""
中文: ""母"" - 中文: ""母""
中文: ""局"" - 中文: ""局""
中文: ""沙"" - 中文: ""","[31476, 233]",沙,"[269, 11982, 9753, 872, 29879, 28455, 4977]",sand,沙
"中文: ""美"" - 中文: ""美""
中文: ""址"" - 中文: ""址""
中文: ""地"" - 中文: ""地""
中文: ""局"" - 中文: ""局""
中文: ""河"" - 中文: ""","[30828, 233]",河,"[374, 8580, 10107, 9050, 1150, 4401, 3511, 29878, 364]",river,河
