prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""例"" - Deutsch: ""例""
Deutsch: ""南"" - Deutsch: ""南""
Deutsch: ""木"" - Deutsch: ""木""
Deutsch: ""洞"" - Deutsch: ""洞""
Deutsch: ""书"" - Deutsch: """,[31900],书,"[29890, 289, 1045, 2909, 833, 3143]",book,书
"Deutsch: ""舞"" - Deutsch: ""舞""
Deutsch: ""网"" - Deutsch: ""网""
Deutsch: ""友"" - Deutsch: ""友""
Deutsch: ""花"" - Deutsch: ""花""
Deutsch: ""云"" - Deutsch: """,[31784],云,"[17184, 274, 29883, 15126, 695, 9570, 9274, 23642, 1067]",cloud,云
"Deutsch: ""音"" - Deutsch: ""音""
Deutsch: ""林"" - Deutsch: ""林""
Deutsch: ""山"" - Deutsch: ""山""
Deutsch: ""线"" - Deutsch: ""线""
Deutsch: ""包"" - Deutsch: """,[31473],包,"[29890, 19548, 289, 2291, 9922, 23156]",bag,包
"Deutsch: ""歌"" - Deutsch: ""歌""
Deutsch: ""千"" - Deutsch: ""千""
Deutsch: ""金"" - Deutsch: ""金""
Deutsch: ""校"" - Deutsch: ""校""
Deutsch: ""口"" - Deutsch: """,[30856],口,"[29885, 286, 21026, 13394, 2730, 29442, 4346]",mouth,口
"Deutsch: ""局"" - Deutsch: ""局""
Deutsch: ""七"" - Deutsch: ""七""
Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""方"" - Deutsch: ""方""
Deutsch: ""土"" - Deutsch: """,[31181],土,"[29879, 22473, 578, 269, 577]",soil,土
"Deutsch: ""茶"" - Deutsch: ""茶""
Deutsch: ""语"" - Deutsch: ""语""
Deutsch: ""足"" - Deutsch: ""足""
Deutsch: ""速"" - Deutsch: ""速""
Deutsch: ""山"" - Deutsch: """,[30329],山,"[29885, 286, 14378, 2730, 29442, 5766, 16476, 4346]",mountain,山
"Deutsch: ""美"" - Deutsch: ""美""
Deutsch: ""交"" - Deutsch: ""交""
Deutsch: ""会"" - Deutsch: ""会""
Deutsch: ""法"" - Deutsch: ""法""
Deutsch: ""布"" - Deutsch: """,[31454],布,"[17184, 274, 29883, 15126, 695, 1067, 13950]",cloth,布
"Deutsch: ""果"" - Deutsch: ""果""
Deutsch: ""阳"" - Deutsch: ""阳""
Deutsch: ""九"" - Deutsch: ""九""
Deutsch: ""起"" - Deutsch: ""起""
Deutsch: ""心"" - Deutsch: """,[30869],心,"[298, 8293, 540, 5192, 23057, 354, 29882]",heart,心
"Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""金"" - Deutsch: ""金""
Deutsch: ""口"" - Deutsch: ""口""
Deutsch: ""村"" - Deutsch: ""村""
Deutsch: ""手"" - Deutsch: """,[30880],手,"[298, 3179, 2350, 5905, 447, 1361, 5403, 29882]",hand,手
"Deutsch: ""林"" - Deutsch: ""林""
Deutsch: ""才"" - Deutsch: ""才""
Deutsch: ""字"" - Deutsch: ""字""
Deutsch: ""中"" - Deutsch: ""中""
Deutsch: ""日"" - Deutsch: """,[30325],日,"[2462, 1146, 270, 1388, 29881, 3250]",day,日
"Deutsch: ""红"" - Deutsch: ""红""
Deutsch: ""米"" - Deutsch: ""米""
Deutsch: ""南"" - Deutsch: ""南""
Deutsch: ""三"" - Deutsch: ""三""
Deutsch: ""星"" - Deutsch: """,[30900],星,"[29879, 5810, 8508, 5173, 380, 9523, 303, 269]",star,星
"Deutsch: ""沙"" - Deutsch: ""沙""
Deutsch: ""布"" - Deutsch: ""布""
Deutsch: ""二"" - Deutsch: ""二""
Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""春"" - Deutsch: """,[31031],春,"[7689, 29879, 15099, 4278, 6709, 805, 269, 1028]",spring,春
"Deutsch: ""心"" - Deutsch: ""心""
Deutsch: ""发"" - Deutsch: ""发""
Deutsch: ""种"" - Deutsch: ""种""
Deutsch: ""歌"" - Deutsch: ""歌""
Deutsch: ""月"" - Deutsch: """,[30534],月,"[29885, 286, 2730, 18786, 4346]",moon,月
"Deutsch: ""友"" - Deutsch: ""友""
Deutsch: ""书"" - Deutsch: ""书""
Deutsch: ""段"" - Deutsch: ""段""
Deutsch: ""岩"" - Deutsch: ""岩""
Deutsch: ""木"" - Deutsch: """,[30710],木,"[29893, 827, 8879, 8112, 281, 6115]",wood,木
"Deutsch: ""败"" - Deutsch: ""败""
Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""布"" - Deutsch: ""布""
Deutsch: ""水"" - Deutsch: ""水""
Deutsch: ""村"" - Deutsch: """,[30402],村,"[5720, 11928, 17191, 28765, 1403, 21031, 3516, 29894, 4213, 325]",village,村
"Deutsch: ""尾"" - Deutsch: ""尾""
Deutsch: ""汉"" - Deutsch: ""汉""
Deutsch: ""茶"" - Deutsch: ""茶""
Deutsch: ""交"" - Deutsch: ""交""
Deutsch: ""林"" - Deutsch: """,[30853],林,"[26839, 285, 1079, 1701, 1181, 13569, 363, 1454, 29888]",forest,林
"Deutsch: ""九"" - Deutsch: ""九""
Deutsch: ""才"" - Deutsch: ""才""
Deutsch: ""百"" - Deutsch: ""百""
Deutsch: ""户"" - Deutsch: ""户""
Deutsch: ""果"" - Deutsch: """,[30801],果,"[285, 1424, 15774, 1341, 29888]",fruit,果
"Deutsch: ""二"" - Deutsch: ""二""
Deutsch: ""例"" - Deutsch: ""例""
Deutsch: ""双"" - Deutsch: ""双""
Deutsch: ""花"" - Deutsch: ""花""
Deutsch: ""格"" - Deutsch: """,[31168],格,"[330, 7720, 6856, 629, 867, 29887]",grid,格
"Deutsch: ""五"" - Deutsch: ""五""
Deutsch: ""山"" - Deutsch: ""山""
Deutsch: ""场"" - Deutsch: ""场""
Deutsch: ""构"" - Deutsch: ""构""
Deutsch: ""歌"" - Deutsch: """,[31173],歌,"[21453, 29879, 1487, 1100, 578, 4823, 269, 577]",song,歌
"Deutsch: ""球"" - Deutsch: ""球""
Deutsch: ""五"" - Deutsch: ""五""
Deutsch: ""米"" - Deutsch: ""米""
Deutsch: ""八"" - Deutsch: ""八""
Deutsch: ""水"" - Deutsch: """,[30716],水,"[29893, 2766, 4094, 13405, 281, 11324, 16699]",water,水
"Deutsch: ""局"" - Deutsch: ""局""
Deutsch: ""心"" - Deutsch: ""心""
Deutsch: ""网"" - Deutsch: ""网""
Deutsch: ""户"" - Deutsch: ""户""
Deutsch: ""汉"" - Deutsch: """,[31593],汉,"[7169, 29950, 24704, 379, 5952]",Han,汉
"Deutsch: ""二"" - Deutsch: ""二""
Deutsch: ""三"" - Deutsch: ""三""
Deutsch: ""星"" - Deutsch: ""星""
Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""池"" - Deutsch: """,[31853],池,"[2818, 12509, 282, 1112, 1129, 772, 29886]",pond,池
"Deutsch: ""米"" - Deutsch: ""米""
Deutsch: ""站"" - Deutsch: ""站""
Deutsch: ""母"" - Deutsch: ""母""
Deutsch: ""局"" - Deutsch: ""局""
Deutsch: ""沙"" - Deutsch: """,[31476],沙,"[4977, 9753, 29879, 11982, 872, 28455, 269]",sand,沙
"Deutsch: ""美"" - Deutsch: ""美""
Deutsch: ""址"" - Deutsch: ""址""
Deutsch: ""地"" - Deutsch: ""地""
Deutsch: ""局"" - Deutsch: ""局""
Deutsch: ""河"" - Deutsch: """,[30828],河,"[374, 3511, 1150, 364, 10107, 9050, 29878, 4401, 8580]",river,河
"Deutsch: ""八"" - Deutsch: ""八""
Deutsch: ""洋"" - Deutsch: ""洋""
Deutsch: ""台"" - Deutsch: ""台""
Deutsch: ""河"" - Deutsch: ""河""
Deutsch: ""法"" - Deutsch: """,[30545],法,"[301, 4307, 29880, 10653, 433, 425]",law,法
"Deutsch: ""段"" - Deutsch: ""段""
Deutsch: ""判"" - Deutsch: ""判""
Deutsch: ""网"" - Deutsch: ""网""
Deutsch: ""日"" - Deutsch: ""日""
Deutsch: ""波"" - Deutsch: """,[31529],波,"[29893, 10742, 2766, 27766, 281, 11324]",wave,波
"Deutsch: ""目"" - Deutsch: ""目""
Deutsch: ""格"" - Deutsch: ""格""
Deutsch: ""屋"" - Deutsch: ""屋""
Deutsch: ""试"" - Deutsch: ""试""
Deutsch: ""洋"" - Deutsch: """,[31534],洋,"[23474, 29877, 25802, 12954, 542, 288]",ocean,洋
"Deutsch: ""结"" - Deutsch: ""结""
Deutsch: ""网"" - Deutsch: ""网""
Deutsch: ""删"" - Deutsch: ""删""
Deutsch: ""林"" - Deutsch: ""林""
Deutsch: ""洞"" - Deutsch: """,[31886],洞,"[1113, 18346, 274, 29883, 24230, 5777]",cave,洞
"Deutsch: ""七"" - Deutsch: ""七""
Deutsch: ""北"" - Deutsch: ""北""
Deutsch: ""删"" - Deutsch: ""删""
Deutsch: ""意"" - Deutsch: ""意""
Deutsch: ""海"" - Deutsch: """,[30581],海,"[344, 29879, 409, 7205, 269]",sea,海
"Deutsch: ""门"" - Deutsch: ""门""
Deutsch: ""例"" - Deutsch: ""例""
Deutsch: ""户"" - Deutsch: ""户""
Deutsch: ""光"" - Deutsch: ""光""
Deutsch: ""湖"" - Deutsch: """,[31496],湖,"[301, 24591, 19437, 29880, 433, 18170, 425]",lake,湖
"Deutsch: ""回"" - Deutsch: ""回""
Deutsch: ""部"" - Deutsch: ""部""
Deutsch: ""黄"" - Deutsch: ""黄""
Deutsch: ""海"" - Deutsch: ""海""
Deutsch: ""源"" - Deutsch: """,[31193],源,"[29879, 2752, 4993, 578, 577, 269, 3669]",source,源
"Deutsch: ""场"" - Deutsch: ""场""
Deutsch: ""五"" - Deutsch: ""五""
Deutsch: ""种"" - Deutsch: ""种""
Deutsch: ""汉"" - Deutsch: ""汉""
Deutsch: ""火"" - Deutsch: """,[31313],火,"[13734, 3974, 285, 5713, 28034, 8696, 7241, 29888]",fire,火
"Deutsch: ""南"" - Deutsch: ""南""
Deutsch: ""男"" - Deutsch: ""男""
Deutsch: ""七"" - Deutsch: ""七""
Deutsch: ""时"" - Deutsch: ""时""
Deutsch: ""点"" - Deutsch: """,[30940],点,"[1298, 282, 11899, 3149, 1129, 772, 29886]",point,点
"Deutsch: ""校"" - Deutsch: ""校""
Deutsch: ""黄"" - Deutsch: ""黄""
Deutsch: ""方"" - Deutsch: ""方""
Deutsch: ""地"" - Deutsch: ""地""
Deutsch: ""版"" - Deutsch: """,[30845],版,"[1873, 345, 2453, 325, 1147, 874, 369, 3259, 29894, 1224]",version,版
"Deutsch: ""群"" - Deutsch: ""群""
Deutsch: ""岩"" - Deutsch: ""岩""
Deutsch: ""米"" - Deutsch: ""米""
Deutsch: ""进"" - Deutsch: ""进""
Deutsch: ""球"" - Deutsch: """,[31539],球,"[29890, 6411, 2135, 289, 8287, 2291, 9922, 5521]",ball,球
"Deutsch: ""湖"" - Deutsch: ""湖""
Deutsch: ""段"" - Deutsch: ""段""
Deutsch: ""岩"" - Deutsch: ""岩""
Deutsch: ""座"" - Deutsch: ""座""
Deutsch: ""画"" - Deutsch: """,[31046],画,"[20413, 29886, 282, 6788, 3274, 10675, 3300]",painting,画
"Deutsch: ""山"" - Deutsch: ""山""
Deutsch: ""南"" - Deutsch: ""南""
Deutsch: ""平"" - Deutsch: ""平""
Deutsch: ""时"" - Deutsch: ""时""
Deutsch: ""站"" - Deutsch: """,[31433],站,"[23436, 29879, 1002, 19569, 5173, 380, 9523, 6112, 5073, 303, 269]",station,站
"Deutsch: ""门"" - Deutsch: ""门""
Deutsch: ""母"" - Deutsch: ""母""
Deutsch: ""桥"" - Deutsch: ""桥""
Deutsch: ""足"" - Deutsch: ""足""
Deutsch: ""米"" - Deutsch: """,[31902],米,"[374, 19408, 364, 9597, 10107, 29878, 2200, 11674]",rice,米
