prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - Français: ""五""
English: ""heart"" - Français: ""心""
English: ""part"" - Français: ""部""
English: ""three"" - Français: ""三""
English: ""cloud"" - Français: """,[31784],云,"[29883, 274, 23642, 695, 15126, 17184, 9274, 9570, 1067]",cloud,cloud
"English: ""valley"" - Français: ""谷""
English: ""tribe"" - Français: ""族""
English: ""virtue"" - Français: ""德""
English: ""eye"" - Français: ""目""
English: ""bag"" - Français: """,[31473],包,"[23156, 289, 19548, 29890, 2291, 9922]",bag,bag
"English: ""school"" - Français: ""校""
English: ""version"" - Français: ""版""
English: ""point"" - Français: ""点""
English: ""thousand"" - Français: ""千""
English: ""mouth"" - Français: """,[30856],口,"[21026, 29442, 29885, 4346, 13394, 286, 2730]",mouth,mouth
"English: ""field"" - Français: ""场""
English: ""north"" - Français: ""北""
English: ""flower"" - Français: ""花""
English: ""tower"" - Français: ""塔""
English: ""soil"" - Français: """,[31181],土,"[22473, 577, 29879, 578, 269]",soil,soil
"English: ""time"" - Français: ""时""
English: ""door"" - Français: ""门""
English: ""valley"" - Français: ""谷""
English: ""street"" - Français: ""街""
English: ""mountain"" - Français: """,[30329],山,"[29442, 29885, 4346, 14378, 286, 16476, 5766, 2730]",mountain,mountain
"English: ""pair"" - Français: ""双""
English: ""left"" - Français: ""左""
English: ""summer"" - Français: ""夏""
English: ""seven"" - Français: ""七""
English: ""heart"" - Français: """,[30869],心,"[540, 5192, 354, 298, 23057, 8293, 29882]",heart,heart
"English: ""strip"" - Français: ""条""
English: ""one"" - Français: ""一""
English: ""day"" - Français: ""日""
English: ""child"" - Français: ""子""
English: ""hand"" - Français: """,[30880],手,"[298, 447, 29882, 2350, 5403, 1361, 3179, 5905]",hand,hand
"English: ""four"" - Français: ""四""
English: ""wood"" - Français: ""木""
English: ""red"" - Français: ""红""
English: ""left"" - Français: ""左""
English: ""day"" - Français: """,[30325],日,"[3250, 29881, 2462, 270, 1388, 1146]",day,day
"English: ""source"" - Français: ""源""
English: ""nine"" - Français: ""九""
English: ""hand"" - Français: ""手""
English: ""line"" - Français: ""线""
English: ""star"" - Français: """,[30900],星,"[303, 9523, 380, 5173, 29879, 5810, 269, 8508]",star,star
"English: ""law"" - Français: ""法""
English: ""tribe"" - Français: ""族""
English: ""mouth"" - Français: ""口""
English: ""left"" - Français: ""左""
English: ""spring"" - Français: """,[31031],春,"[6709, 15099, 7689, 4278, 805, 29879, 1028, 269]",spring,spring
"English: ""seat"" - Français: ""座""
English: ""south"" - Français: ""南""
English: ""four"" - Français: ""四""
English: ""gold"" - Français: ""金""
English: ""moon"" - Français: """,[30534],月,"[18786, 29885, 4346, 286, 2730]",moon,moon
"English: ""mouth"" - Français: ""口""
English: ""thousand"" - Français: ""千""
English: ""household"" - Français: ""户""
English: ""summer"" - Français: ""夏""
English: ""wood"" - Français: """,[30710],木,"[8879, 281, 827, 8112, 6115, 29893]",wood,wood
"English: ""forest"" - Français: ""林""
English: ""tie"" - Français: ""结""
English: ""six"" - Français: ""六""
English: ""ten"" - Français: ""十""
English: ""village"" - Français: """,[30402],村,"[11928, 28765, 21031, 17191, 4213, 29894, 5720, 1403, 3516, 325]",village,village
"English: ""head"" - Français: ""头""
English: ""generation"" - Français: ""代""
English: ""ocean"" - Français: ""洋""
English: ""four"" - Français: ""四""
English: ""forest"" - Français: """,[30853],林,"[26839, 13569, 1079, 1454, 1701, 1181, 285, 29888, 363]",forest,forest
"English: ""defeat"" - Français: ""败""
English: ""strip"" - Français: ""条""
English: ""mouth"" - Français: ""口""
English: ""south"" - Français: ""南""
English: ""fruit"" - Français: """,[30801],果,"[1424, 15774, 1341, 285, 29888]",fruit,fruit
"English: ""three"" - Français: ""三""
English: ""mountain"" - Français: ""山""
English: ""middle"" - Français: ""中""
English: ""attempt"" - Français: ""试""
English: ""grid"" - Français: """,[31168],格,"[629, 867, 330, 6856, 7720, 29887]",grid,grid
"English: ""advance"" - Français: ""进""
English: ""child"" - Français: ""子""
English: ""seven"" - Français: ""七""
English: ""group"" - Français: ""群""
English: ""song"" - Français: """,[31173],歌,"[1487, 21453, 577, 1100, 29879, 578, 269, 4823]",song,song
"English: ""school"" - Français: ""校""
English: ""group"" - Français: ""群""
English: ""grid"" - Français: ""格""
English: ""power"" - Français: ""力""
English: ""pond"" - Français: """,[31853],池,"[282, 29886, 1129, 12509, 2818, 1112, 772]",pond,pond
"English: ""rock"" - Français: ""岩""
English: ""house"" - Français: ""屋""
English: ""face"" - Français: ""面""
English: ""horse"" - Français: ""马""
English: ""sand"" - Français: """,[31476],沙,"[28455, 11982, 4977, 9753, 29879, 872, 269]",sand,sand
"English: ""eye"" - Français: ""目""
English: ""line"" - Français: ""线""
English: ""history"" - Français: ""史""
English: ""door"" - Français: ""门""
English: ""law"" - Français: """,[30545],法,"[10653, 301, 29880, 4307, 425, 433]",law,law
"English: ""six"" - Français: ""六""
English: ""spring"" - Français: ""春""
English: ""hand"" - Français: ""手""
English: ""school"" - Français: ""校""
English: ""wave"" - Français: """,[31529],波,"[2766, 281, 27766, 10742, 11324, 29893]",wave,wave
"English: ""cloud"" - Français: ""云""
English: ""field"" - Français: ""场""
English: ""nine"" - Français: ""九""
English: ""four"" - Français: ""四""
English: ""ocean"" - Français: """,[31534],洋,"[25802, 288, 542, 29877, 12954, 23474]",ocean,ocean
"English: ""forest"" - Français: ""林""
English: ""summer"" - Français: ""夏""
English: ""judge"" - Français: ""判""
English: ""net"" - Français: ""网""
English: ""cave"" - Français: """,[31886],洞,"[29883, 274, 1113, 18346, 5777, 24230]",cave,cave
"English: ""seat"" - Français: ""座""
English: ""delete"" - Français: ""删""
English: ""north"" - Français: ""北""
English: ""foot"" - Français: ""足""
English: ""sea"" - Français: """,[30581],海,"[29879, 344, 7205, 409, 269]",sea,sea
"English: ""wood"" - Français: ""木""
English: ""day"" - Français: ""日""
English: ""horse"" - Français: ""马""
English: ""structure"" - Français: ""构""
English: ""lake"" - Français: """,[31496],湖,"[301, 29880, 19437, 24591, 18170, 425, 433]",lake,lake
"English: ""seat"" - Français: ""座""
English: ""village"" - Français: ""村""
English: ""machine"" - Français: ""机""
English: ""left"" - Français: ""左""
English: ""source"" - Français: """,[31193],源,"[2752, 4993, 577, 29879, 3669, 578, 269]",source,source
"English: ""delete"" - Français: ""删""
English: ""field"" - Français: ""场""
English: ""position"" - Français: ""位""
English: ""station"" - Français: ""站""
English: ""point"" - Français: """,[30940],点,"[282, 29886, 1129, 1298, 11899, 772, 3149]",point,point
"English: ""red"" - Français: ""红""
English: ""bag"" - Français: ""包""
English: ""face"" - Français: ""面""
English: ""word"" - Français: ""字""
English: ""version"" - Français: """,[30845],版,"[3259, 369, 29894, 1147, 1873, 345, 2453, 874, 325, 1224]",version,version
"English: ""nine"" - Français: ""九""
English: ""mountain"" - Français: ""山""
English: ""thousand"" - Français: ""千""
English: ""office"" - Français: ""局""
English: ""ball"" - Français: """,[31539],球,"[289, 8287, 2135, 29890, 2291, 6411, 9922, 5521]",ball,ball
"English: ""sea"" - Français: ""海""
English: ""ocean"" - Français: ""洋""
English: ""mother"" - Français: ""母""
English: ""machine"" - Français: ""机""
English: ""station"" - Français: """,[31433],站,"[303, 6112, 1002, 23436, 380, 5173, 19569, 29879, 9523, 5073, 269]",station,station
