prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - Deutsch: ""五""
Русский: ""cœur"" - Deutsch: ""心""
Русский: ""partie"" - Deutsch: ""部""
Русский: ""trois"" - Deutsch: ""三""
Русский: ""nuage"" - Deutsch: """,[31784],云,"[1067, 17184, 274, 9274, 29883, 23642, 15126, 695, 9570]",cloud,nuage
"Русский: ""vallée"" - Deutsch: ""谷""
Русский: ""tribu"" - Deutsch: ""族""
Русский: ""vertu"" - Deutsch: ""德""
Русский: ""œil"" - Deutsch: ""目""
Русский: ""sac"" - Deutsch: """,[31473],包,"[19548, 9922, 23156, 2291, 29890, 289]",bag,sac
"Русский: ""école"" - Deutsch: ""校""
Русский: ""version"" - Deutsch: ""版""
Русский: ""point"" - Deutsch: ""点""
Русский: ""mille"" - Deutsch: ""千""
Русский: ""bouche"" - Deutsch: """,[30856],口,"[21026, 29442, 286, 4346, 13394, 2730, 29885]",mouth,bouche
"Русский: ""champ"" - Deutsch: ""场""
Русский: ""nord"" - Deutsch: ""北""
Русский: ""fleur"" - Deutsch: ""花""
Русский: ""tour"" - Deutsch: ""塔""
Русский: ""sol"" - Deutsch: """,[31181],土,"[577, 578, 22473, 29879, 269]",soil,sol
"Русский: ""temps"" - Deutsch: ""时""
Русский: ""porte"" - Deutsch: ""门""
Русский: ""vallée"" - Deutsch: ""谷""
Русский: ""rue"" - Deutsch: ""街""
Русский: ""montagne"" - Deutsch: """,[30329],山,"[29442, 286, 4346, 16476, 2730, 14378, 29885, 5766]",mountain,montagne
"Русский: ""paire"" - Deutsch: ""双""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""été"" - Deutsch: ""夏""
Русский: ""sept"" - Deutsch: ""七""
Русский: ""cœur"" - Deutsch: """,[30869],心,"[29882, 23057, 298, 540, 8293, 354, 5192]",heart,cœur
"Русский: ""bande"" - Deutsch: ""条""
Русский: ""un"" - Deutsch: ""一""
Русский: ""jour"" - Deutsch: ""日""
Русский: ""enfant"" - Deutsch: ""子""
Русский: ""main"" - Deutsch: """,[30880],手,"[29882, 3179, 2350, 298, 5905, 5403, 447, 1361]",hand,main
"Русский: ""quatre"" - Deutsch: ""四""
Русский: ""bois"" - Deutsch: ""木""
Русский: ""rouge"" - Deutsch: ""红""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""jour"" - Deutsch: """,[30325],日,"[29881, 1146, 2462, 3250, 270, 1388]",day,jour
"Русский: ""source"" - Deutsch: ""源""
Русский: ""neuf"" - Deutsch: ""九""
Русский: ""main"" - Deutsch: ""手""
Русский: ""ligne"" - Deutsch: ""线""
Русский: ""étoile"" - Deutsch: """,[30900],星,"[5810, 5173, 8508, 29879, 9523, 303, 269, 380]",star,étoile
"Русский: ""loi"" - Deutsch: ""法""
Русский: ""tribu"" - Deutsch: ""族""
Русский: ""bouche"" - Deutsch: ""口""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""ressort"" - Deutsch: """,[31031],春,"[7689, 15099, 805, 1028, 29879, 4278, 269, 6709]",spring,ressort
"Русский: ""siège"" - Deutsch: ""座""
Русский: ""sud"" - Deutsch: ""南""
Русский: ""quatre"" - Deutsch: ""四""
Русский: ""or"" - Deutsch: ""金""
Русский: ""lune"" - Deutsch: """,[30534],月,"[18786, 286, 4346, 2730, 29885]",moon,lune
"Русский: ""bouche"" - Deutsch: ""口""
Русский: ""mille"" - Deutsch: ""千""
Русский: ""ménage"" - Deutsch: ""户""
Русский: ""été"" - Deutsch: ""夏""
Русский: ""bois"" - Deutsch: """,[30710],木,"[827, 281, 29893, 6115, 8879, 8112]",wood,bois
"Русский: ""forêt"" - Deutsch: ""林""
Русский: ""cravate"" - Deutsch: ""结""
Русский: ""six"" - Deutsch: ""六""
Русский: ""dix"" - Deutsch: ""十""
Русский: ""village"" - Deutsch: """,[30402],村,"[325, 4213, 21031, 29894, 5720, 1403, 17191, 3516, 28765, 11928]",village,village
"Русский: ""tête"" - Deutsch: ""头""
Русский: ""génération"" - Deutsch: ""代""
Русский: ""océan"" - Deutsch: ""洋""
Русский: ""quatre"" - Deutsch: ""四""
Русский: ""forêt"" - Deutsch: """,[30853],林,"[1181, 13569, 29888, 1079, 285, 1701, 26839, 1454, 363]",forest,forêt
"Русский: ""défaite"" - Deutsch: ""败""
Русский: ""bande"" - Deutsch: ""条""
Русский: ""bouche"" - Deutsch: ""口""
Русский: ""sud"" - Deutsch: ""南""
Русский: ""fruit"" - Deutsch: """,[30801],果,"[1341, 1424, 29888, 285, 15774]",fruit,fruit
"Русский: ""trois"" - Deutsch: ""三""
Русский: ""montagne"" - Deutsch: ""山""
Русский: ""milieu"" - Deutsch: ""中""
Русский: ""tentative"" - Deutsch: ""试""
Русский: ""grille"" - Deutsch: """,[31168],格,"[7720, 6856, 29887, 629, 867, 330]",grid,grille
"Русский: ""avancer"" - Deutsch: ""进""
Русский: ""enfant"" - Deutsch: ""子""
Русский: ""sept"" - Deutsch: ""七""
Русский: ""groupe"" - Deutsch: ""群""
Русский: ""chanson"" - Deutsch: """,[31173],歌,"[577, 4823, 578, 21453, 1100, 29879, 269, 1487]",song,chanson
"Русский: ""école"" - Deutsch: ""校""
Русский: ""groupe"" - Deutsch: ""群""
Русский: ""grille"" - Deutsch: ""格""
Русский: ""pouvoir"" - Deutsch: ""力""
Русский: ""étang"" - Deutsch: """,[31853],池,"[12509, 772, 2818, 1129, 29886, 282, 1112]",pond,étang
"Русский: ""roche"" - Deutsch: ""岩""
Русский: ""maison"" - Deutsch: ""屋""
Русский: ""visage"" - Deutsch: ""面""
Русский: ""cheval"" - Deutsch: ""马""
Русский: ""sable"" - Deutsch: """,[31476],沙,"[872, 28455, 9753, 29879, 269, 4977, 11982]",sand,sable
"Русский: ""œil"" - Deutsch: ""目""
Русский: ""ligne"" - Deutsch: ""线""
Русский: ""histoire"" - Deutsch: ""史""
Русский: ""porte"" - Deutsch: ""门""
Русский: ""loi"" - Deutsch: """,[30545],法,"[425, 433, 301, 29880, 4307, 10653]",law,loi
"Русский: ""six"" - Deutsch: ""六""
Русский: ""ressort"" - Deutsch: ""春""
Русский: ""main"" - Deutsch: ""手""
Русский: ""école"" - Deutsch: ""校""
Русский: ""onde"" - Deutsch: """,[31529],波,"[29893, 281, 27766, 11324, 10742, 2766]",wave,onde
"Русский: ""nuage"" - Deutsch: ""云""
Русский: ""champ"" - Deutsch: ""场""
Русский: ""neuf"" - Deutsch: ""九""
Русский: ""quatre"" - Deutsch: ""四""
Русский: ""océan"" - Deutsch: """,[31534],洋,"[542, 23474, 25802, 288, 29877, 12954]",ocean,océan
"Русский: ""forêt"" - Deutsch: ""林""
Русский: ""été"" - Deutsch: ""夏""
Русский: ""juge"" - Deutsch: ""判""
Русский: ""filet"" - Deutsch: ""网""
Русский: ""grotte"" - Deutsch: """,[31886],洞,"[274, 18346, 29883, 5777, 1113, 24230]",cave,grotte
"Русский: ""siège"" - Deutsch: ""座""
Русский: ""supprimer"" - Deutsch: ""删""
Русский: ""nord"" - Deutsch: ""北""
Русский: ""pied"" - Deutsch: ""足""
Русский: ""mer"" - Deutsch: """,[30581],海,"[409, 344, 29879, 7205, 269]",sea,mer
"Русский: ""bois"" - Deutsch: ""木""
Русский: ""jour"" - Deutsch: ""日""
Русский: ""cheval"" - Deutsch: ""马""
Русский: ""structure"" - Deutsch: ""构""
Русский: ""lac"" - Deutsch: """,[31496],湖,"[425, 433, 24591, 18170, 301, 29880, 19437]",lake,lac
"Русский: ""siège"" - Deutsch: ""座""
Русский: ""village"" - Deutsch: ""村""
Русский: ""machine"" - Deutsch: ""机""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""source"" - Deutsch: """,[31193],源,"[2752, 577, 4993, 578, 29879, 269, 3669]",source,source
"Русский: ""supprimer"" - Deutsch: ""删""
Русский: ""champ"" - Deutsch: ""场""
Русский: ""position"" - Deutsch: ""位""
Русский: ""gare"" - Deutsch: ""站""
Русский: ""point"" - Deutsch: """,[30940],点,"[1298, 772, 282, 11899, 1129, 3149, 29886]",point,point
"Русский: ""rouge"" - Deutsch: ""红""
Русский: ""sac"" - Deutsch: ""包""
Русский: ""visage"" - Deutsch: ""面""
Русский: ""mot"" - Deutsch: ""字""
Русский: ""version"" - Deutsch: """,[30845],版,"[325, 29894, 2453, 345, 1147, 1873, 369, 874, 1224, 3259]",version,version
"Русский: ""neuf"" - Deutsch: ""九""
Русский: ""montagne"" - Deutsch: ""山""
Русский: ""mille"" - Deutsch: ""千""
Русский: ""bureau"" - Deutsch: ""局""
Русский: ""ballon"" - Deutsch: """,[31539],球,"[6411, 2135, 8287, 5521, 9922, 29890, 2291, 289]",ball,ballon
"Русский: ""mer"" - Deutsch: ""海""
Русский: ""océan"" - Deutsch: ""洋""
Русский: ""mère"" - Deutsch: ""母""
Русский: ""machine"" - Deutsch: ""机""
Русский: ""gare"" - Deutsch: """,[31433],站,"[5073, 19569, 23436, 1002, 5173, 9523, 29879, 303, 269, 6112, 380]",station,gare
"Русский: ""bande"" - Deutsch: ""条""
Русский: ""sol"" - Deutsch: ""地""
Русский: ""bureau"" - Deutsch: ""局""
Русский: ""nuage"" - Deutsch: ""云""
Русский: ""riz"" - Deutsch: """,[31902],米,"[364, 2200, 29878, 11674, 374, 10107, 9597, 19408]",rice,riz
"Русский: ""structure"" - Deutsch: ""构""
Русский: ""fleur"" - Deutsch: ""花""
Русский: ""bourse"" - Deutsch: ""交""
Русский: ""cœur"" - Deutsch: ""心""
Русский: ""rouge"" - Deutsch: """,[31869],红,"[364, 2654, 276, 29878, 337, 1127]",red,rouge
"Русский: ""enfant"" - Deutsch: ""子""
Русский: ""sept"" - Deutsch: ""七""
Русский: ""quatre"" - Deutsch: ""四""
Русский: ""vertu"" - Deutsch: ""德""
Русский: ""ligne"" - Deutsch: """,[31532],线,"[301, 29880, 1196, 1915, 492, 1220, 619, 6276]",line,ligne
"Русский: ""ménage"" - Deutsch: ""户""
Русский: ""pouvoir"" - Deutsch: ""力""
Русский: ""ville"" - Deutsch: ""城""
Русский: ""loi"" - Deutsch: ""法""
Русский: ""filet"" - Deutsch: """,[31222],网,"[7787, 484, 29876, 1212, 302, 452]",net,filet
"Русский: ""vertu"" - Deutsch: ""德""
Русский: ""siège"" - Deutsch: ""座""
Русский: ""neige"" - Deutsch: ""雪""
Русский: ""supprimer"" - Deutsch: ""删""
Русский: ""fleur"" - Deutsch: """,[30830],花,"[5685, 1731, 28149, 1652, 29888, 1579, 285, 4972]",flower,fleur
