prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - English: ""five""
Русский: ""cœur"" - English: ""heart""
Русский: ""partie"" - English: ""part""
Русский: ""trois"" - English: ""three""
Русский: ""nuage"" - English: ""","[1067, 17184, 9570, 695, 23642, 15126, 9274, 274, 29883]",cloud,"[1067, 17184, 9570, 695, 23642, 15126, 9274, 274, 29883]",cloud,nuage
"Русский: ""vallée"" - English: ""valley""
Русский: ""tribu"" - English: ""tribe""
Русский: ""vertu"" - English: ""virtue""
Русский: ""œil"" - English: ""eye""
Русский: ""sac"" - English: ""","[29890, 19548, 289, 23156, 9922, 2291]",bag,"[29890, 19548, 289, 23156, 9922, 2291]",bag,sac
"Русский: ""école"" - English: ""school""
Русский: ""version"" - English: ""version""
Русский: ""point"" - English: ""point""
Русский: ""mille"" - English: ""thousand""
Русский: ""bouche"" - English: ""","[29885, 21026, 29442, 286, 2730, 4346, 13394]",mouth,"[29885, 21026, 29442, 286, 2730, 4346, 13394]",mouth,bouche
"Русский: ""champ"" - English: ""field""
Русский: ""nord"" - English: ""north""
Русский: ""fleur"" - English: ""flower""
Русский: ""tour"" - English: ""tower""
Русский: ""sol"" - English: ""","[578, 29879, 269, 22473, 577]",soil,"[578, 29879, 269, 22473, 577]",soil,sol
"Русский: ""temps"" - English: ""time""
Русский: ""porte"" - English: ""door""
Русский: ""vallée"" - English: ""valley""
Русский: ""rue"" - English: ""street""
Русский: ""montagne"" - English: ""","[16476, 29885, 286, 2730, 5766, 4346, 29442, 14378]",mountain,"[16476, 29885, 286, 2730, 5766, 4346, 29442, 14378]",mountain,montagne
"Русский: ""paire"" - English: ""pair""
Русский: ""gauche"" - English: ""left""
Русский: ""été"" - English: ""summer""
Русский: ""sept"" - English: ""seven""
Русский: ""cœur"" - English: ""","[298, 5192, 354, 540, 29882, 8293, 23057]",heart,"[298, 5192, 354, 540, 29882, 8293, 23057]",heart,cœur
"Русский: ""bande"" - English: ""strip""
Русский: ""un"" - English: ""one""
Русский: ""jour"" - English: ""day""
Русский: ""enfant"" - English: ""child""
Русский: ""main"" - English: ""","[298, 447, 5403, 29882, 3179, 1361, 2350, 5905]",hand,"[298, 447, 5403, 29882, 3179, 1361, 2350, 5905]",hand,main
"Русский: ""quatre"" - English: ""four""
Русский: ""bois"" - English: ""wood""
Русский: ""rouge"" - English: ""red""
Русский: ""gauche"" - English: ""left""
Русский: ""jour"" - English: ""","[270, 2462, 29881, 1146, 1388, 3250]",day,"[270, 2462, 29881, 1146, 1388, 3250]",day,jour
"Русский: ""source"" - English: ""source""
Русский: ""neuf"" - English: ""nine""
Русский: ""main"" - English: ""hand""
Русский: ""ligne"" - English: ""line""
Русский: ""étoile"" - English: ""","[9523, 5810, 5173, 29879, 303, 380, 269, 8508]",star,"[9523, 5810, 5173, 29879, 303, 380, 269, 8508]",star,étoile
"Русский: ""loi"" - English: ""law""
Русский: ""tribu"" - English: ""tribe""
Русский: ""bouche"" - English: ""mouth""
Русский: ""gauche"" - English: ""left""
Русский: ""ressort"" - English: ""","[805, 4278, 29879, 269, 1028, 7689, 6709, 15099]",spring,"[805, 4278, 29879, 269, 1028, 7689, 6709, 15099]",spring,ressort
"Русский: ""siège"" - English: ""seat""
Русский: ""sud"" - English: ""south""
Русский: ""quatre"" - English: ""four""
Русский: ""or"" - English: ""gold""
Русский: ""lune"" - English: ""","[29885, 286, 18786, 2730, 4346]",moon,"[29885, 286, 18786, 2730, 4346]",moon,lune
"Русский: ""bouche"" - English: ""mouth""
Русский: ""mille"" - English: ""thousand""
Русский: ""ménage"" - English: ""household""
Русский: ""été"" - English: ""summer""
Русский: ""bois"" - English: ""","[281, 8879, 827, 6115, 29893, 8112]",wood,"[281, 8879, 827, 6115, 29893, 8112]",wood,bois
"Русский: ""forêt"" - English: ""forest""
Русский: ""cravate"" - English: ""tie""
Русский: ""six"" - English: ""six""
Русский: ""dix"" - English: ""ten""
Русский: ""village"" - English: ""","[21031, 17191, 325, 28765, 11928, 4213, 3516, 29894, 5720, 1403]",village,"[21031, 17191, 325, 28765, 11928, 4213, 3516, 29894, 5720, 1403]",village,village
"Русский: ""tête"" - English: ""head""
Русский: ""génération"" - English: ""generation""
Русский: ""océan"" - English: ""ocean""
Русский: ""quatre"" - English: ""four""
Русский: ""forêt"" - English: ""","[1079, 285, 26839, 1454, 1701, 363, 29888, 13569, 1181]",forest,"[1079, 285, 26839, 1454, 1701, 363, 29888, 13569, 1181]",forest,forêt
"Русский: ""défaite"" - English: ""defeat""
Русский: ""bande"" - English: ""strip""
Русский: ""bouche"" - English: ""mouth""
Русский: ""sud"" - English: ""south""
Русский: ""fruit"" - English: ""","[15774, 285, 1424, 1341, 29888]",fruit,"[15774, 285, 1424, 1341, 29888]",fruit,fruit
"Русский: ""trois"" - English: ""three""
Русский: ""montagne"" - English: ""mountain""
Русский: ""milieu"" - English: ""middle""
Русский: ""tentative"" - English: ""attempt""
Русский: ""grille"" - English: ""","[629, 867, 330, 29887, 6856, 7720]",grid,"[629, 867, 330, 29887, 6856, 7720]",grid,grille
"Русский: ""avancer"" - English: ""advance""
Русский: ""enfant"" - English: ""child""
Русский: ""sept"" - English: ""seven""
Русский: ""groupe"" - English: ""group""
Русский: ""chanson"" - English: ""","[1100, 578, 1487, 29879, 269, 4823, 21453, 577]",song,"[1100, 578, 1487, 29879, 269, 4823, 21453, 577]",song,chanson
"Русский: ""école"" - English: ""school""
Русский: ""groupe"" - English: ""group""
Русский: ""grille"" - English: ""grid""
Русский: ""pouvoir"" - English: ""power""
Русский: ""étang"" - English: ""","[1129, 1112, 29886, 12509, 282, 772, 2818]",pond,"[1129, 1112, 29886, 12509, 282, 772, 2818]",pond,étang
"Русский: ""roche"" - English: ""rock""
Русский: ""maison"" - English: ""house""
Русский: ""visage"" - English: ""face""
Русский: ""cheval"" - English: ""horse""
Русский: ""sable"" - English: ""","[28455, 11982, 29879, 4977, 269, 9753, 872]",sand,"[28455, 11982, 29879, 4977, 269, 9753, 872]",sand,sable
"Русский: ""œil"" - English: ""eye""
Русский: ""ligne"" - English: ""line""
Русский: ""histoire"" - English: ""history""
Русский: ""porte"" - English: ""door""
Русский: ""loi"" - English: ""","[4307, 29880, 433, 10653, 425, 301]",law,"[4307, 29880, 433, 10653, 425, 301]",law,loi
"Русский: ""six"" - English: ""six""
Русский: ""ressort"" - English: ""spring""
Русский: ""main"" - English: ""hand""
Русский: ""école"" - English: ""school""
Русский: ""onde"" - English: ""","[281, 27766, 2766, 10742, 11324, 29893]",wave,"[281, 27766, 2766, 10742, 11324, 29893]",wave,onde
"Русский: ""nuage"" - English: ""cloud""
Русский: ""champ"" - English: ""field""
Русский: ""neuf"" - English: ""nine""
Русский: ""quatre"" - English: ""four""
Русский: ""océan"" - English: ""","[25802, 12954, 542, 23474, 29877, 288]",ocean,"[25802, 12954, 542, 23474, 29877, 288]",ocean,océan
"Русский: ""forêt"" - English: ""forest""
Русский: ""été"" - English: ""summer""
Русский: ""juge"" - English: ""judge""
Русский: ""filet"" - English: ""net""
Русский: ""grotte"" - English: ""","[5777, 18346, 24230, 274, 1113, 29883]",cave,"[5777, 18346, 24230, 274, 1113, 29883]",cave,grotte
"Русский: ""siège"" - English: ""seat""
Русский: ""supprimer"" - English: ""delete""
Русский: ""nord"" - English: ""north""
Русский: ""pied"" - English: ""foot""
Русский: ""mer"" - English: ""","[409, 29879, 7205, 344, 269]",sea,"[409, 29879, 7205, 344, 269]",sea,mer
"Русский: ""bois"" - English: ""wood""
Русский: ""jour"" - English: ""day""
Русский: ""cheval"" - English: ""horse""
Русский: ""structure"" - English: ""structure""
Русский: ""lac"" - English: ""","[18170, 29880, 433, 24591, 19437, 425, 301]",lake,"[18170, 29880, 433, 24591, 19437, 425, 301]",lake,lac
"Русский: ""siège"" - English: ""seat""
Русский: ""village"" - English: ""village""
Русский: ""machine"" - English: ""machine""
Русский: ""gauche"" - English: ""left""
Русский: ""source"" - English: ""","[578, 29879, 4993, 269, 2752, 3669, 577]",source,"[578, 29879, 4993, 269, 2752, 3669, 577]",source,source
