prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""山"" - Deutsch: ""Berg""
中文: ""南"" - Deutsch: ""Süden""
中文: ""书"" - Deutsch: ""Buch""
中文: ""种"" - Deutsch: ""Art""
中文: ""试"" - Deutsch: ""","[478, 8980, 10138, 6565, 1798, 29963]",Versuch,"[31787, 235]",试,试
"中文: ""源"" - Deutsch: ""Quelle""
中文: ""法"" - Deutsch: ""Gesetz""
中文: ""门"" - Deutsch: ""Tür""
中文: ""八"" - Deutsch: ""acht""
中文: ""包"" - Deutsch: ""","[23793, 323, 29911, 10523]",Tasche,"[31473, 232]",包,包
"中文: ""米"" - Deutsch: ""Reis""
中文: ""足"" - Deutsch: ""Fuß""
中文: ""花"" - Deutsch: ""Blume""
中文: ""一"" - Deutsch: ""eins""
中文: ""球"" - Deutsch: ""","[22031, 6000, 350, 7392, 29933, 13402]",Ball,"[31539, 234]",球,球
"中文: ""母"" - Deutsch: ""Mutter""
中文: ""红"" - Deutsch: ""rot""
中文: ""地"" - Deutsch: ""Boden""
中文: ""塔"" - Deutsch: ""Turm""
中文: ""美"" - Deutsch: ""","[28565, 4421, 4504, 1102, 317, 29903, 2522]",Schönheit,"[30630, 234]",美,美
"中文: ""力"" - Deutsch: ""Macht""
中文: ""头"" - Deutsch: ""Kopf""
中文: ""千"" - Deutsch: ""tausend""
中文: ""中"" - Deutsch: ""Mitte""
中文: ""利"" - Deutsch: ""","[29940, 12487, 405]",Nutzen,"[31107, 232]",利,利
"中文: ""地"" - Deutsch: ""Boden""
中文: ""花"" - Deutsch: ""Blume""
中文: ""友"" - Deutsch: ""Freund""
中文: ""光"" - Deutsch: ""Licht""
中文: ""书"" - Deutsch: ""","[22987, 5373, 350, 29933, 10586, 3727]",Buch,"[31900, 231]",书,书
"中文: ""力"" - Deutsch: ""Macht""
中文: ""头"" - Deutsch: ""Kopf""
中文: ""洞"" - Deutsch: ""Höhle""
中文: ""时"" - Deutsch: ""Zeit""
中文: ""桥"" - Deutsch: ""","[1771, 12432, 350, 29933]",Brücke,"[31749, 233]",桥,桥
"中文: ""项"" - Deutsch: ""Gegenstand""
中文: ""云"" - Deutsch: ""Wolke""
中文: ""代"" - Deutsch: ""Generation""
中文: ""座"" - Deutsch: ""Sitz""
中文: ""洞"" - Deutsch: ""","[379, 11623, 29950]",Höhle,"[31886, 233]",洞,洞
"中文: ""五"" - Deutsch: ""fünf""
中文: ""中"" - Deutsch: ""Mitte""
中文: ""桥"" - Deutsch: ""Brücke""
中文: ""金"" - Deutsch: ""Gold""
中文: ""子"" - Deutsch: ""","[11885, 16540, 29968, 476, 20311, 13187]",Kind,"[30319, 232]",子,子
"中文: ""星"" - Deutsch: ""Stern""
中文: ""例"" - Deutsch: ""Beispiel""
中文: ""六"" - Deutsch: ""sechs""
中文: ""址"" - Deutsch: ""Standort""
中文: ""城"" - Deutsch: ""","[855, 10347, 7434, 5587, 317, 29903, 624]",Stadt,"[30626, 232]",城,城
