prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""六"" - Русский: ""шесть""
中文: ""桥"" - Русский: ""мост""
中文: ""项"" - Русский: ""предмет""
中文: ""省"" - Русский: ""провинция""
中文: ""试"" - Русский: ""","[29964, 733, 1268, 469, 211]",попытка,"[31787, 235]",试,试
"中文: ""色"" - Русский: ""цвет""
中文: ""结"" - Русский: ""галстук""
中文: ""池"" - Русский: ""пруд""
中文: ""星"" - Русский: ""звезда""
中文: ""包"" - Русский: ""","[3404, 531, 2937, 29935, 212]",сумка,"[31473, 232]",包,包
"中文: ""东"" - Русский: ""восток""
中文: ""色"" - Русский: ""цвет""
中文: ""五"" - Русский: ""пять""
中文: ""台"" - Русский: ""платформа""
中文: ""球"" - Русский: ""","[27693, 5010, 757, 29959, 211]",мяч,"[31539, 234]",球,球
"中文: ""台"" - Русский: ""платформа""
中文: ""红"" - Русский: ""красный""
中文: ""洋"" - Русский: ""океан""
中文: ""画"" - Русский: ""картина""
中文: ""美"" - Русский: ""","[29951, 6697, 1186, 3360, 211]",красота,"[30630, 234]",美,美
"中文: ""七"" - Русский: ""семь""
中文: ""红"" - Русский: ""красный""
中文: ""阳"" - Русский: ""солнце""
中文: ""波"" - Русский: ""волна""
中文: ""书"" - Русский: ""","[13024, 29951, 1186, 211]",книга,"[31900, 231]",书,书
"中文: ""南"" - Русский: ""юг""
中文: ""位"" - Русский: ""позиция""
中文: ""湖"" - Русский: ""озеро""
中文: ""双"" - Русский: ""пара""
中文: ""桥"" - Русский: ""","[757, 29959, 1630, 2569, 211]",мост,"[31749, 233]",桥,桥
"中文: ""双"" - Русский: ""пара""
中文: ""水"" - Русский: ""вода""
中文: ""百"" - Русский: ""сотня""
中文: ""座"" - Русский: ""сиденье""
中文: ""洞"" - Русский: ""","[29964, 6414, 2100, 469, 211]",пещера,"[31886, 233]",洞,洞
"中文: ""星"" - Русский: ""звезда""
中文: ""史"" - Русский: ""история""
中文: ""省"" - Русский: ""провинция""
中文: ""格"" - Русский: ""сетка""
中文: ""子"" - Русский: ""","[8201, 1909, 587, 29927, 212]",ребенок,"[30319, 232]",子,子
"中文: ""北"" - Русский: ""север""
中文: ""米"" - Русский: ""рис""
中文: ""友"" - Русский: ""друг""
中文: ""六"" - Русский: ""шесть""
中文: ""城"" - Русский: ""","[24856, 588, 17310, 19051, 1214, 9546, 12816, 1084, 29969, 211]",город,"[30626, 232]",城,城
"中文: ""方"" - Русский: ""квадрат""
中文: ""机"" - Русский: ""машина""
中文: ""火"" - Русский: ""костер""
中文: ""球"" - Русский: ""мяч""
中文: ""云"" - Русский: ""","[5055, 29904, 614, 1604, 4389, 211]",облако,"[31784, 231]",云,云
"中文: ""海"" - Русский: ""море""
中文: ""云"" - Русский: ""облако""
中文: ""店"" - Русский: ""магазин""
中文: ""方"" - Русский: ""квадрат""
中文: ""色"" - Русский: ""","[3716, 29996, 212]",цвет,"[31085, 235]",色,色
"中文: ""米"" - Русский: ""рис""
中文: ""族"" - Русский: ""племя""
中文: ""男"" - Русский: ""мужчина""
中文: ""东"" - Русский: ""восток""
中文: ""舞"" - Русский: ""","[20395, 1937, 7951, 29932, 1710, 676, 212]",танец,"[31939, 235]",舞,舞
"中文: ""位"" - Русский: ""позиция""
中文: ""雪"" - Русский: ""снег""
中文: ""店"" - Русский: ""магазин""
中文: ""地"" - Русский: ""земля""
中文: ""败"" - Русский: ""","[28227, 29964, 20263, 733, 1268, 469, 21463, 211]",поражение,"[31955, 235]",败,败
"中文: ""头"" - Русский: ""голова""
中文: ""果"" - Русский: ""фрукт""
中文: ""十"" - Русский: ""десять""
中文: ""德"" - Русский: ""добродетель""
中文: ""删"" - Русский: ""","[19871, 29960, 863, 212]",удалить,"[31916, 232]",删,删
"中文: ""试"" - Русский: ""попытка""
中文: ""九"" - Русский: ""девять""
中文: ""母"" - Русский: ""мать""
中文: ""场"" - Русский: ""поле""
中文: ""门"" - Русский: ""","[29957, 20880, 662, 211]",дверь,"[31649, 236]",门,门
"中文: ""画"" - Русский: ""картина""
中文: ""花"" - Русский: ""цветок""
中文: ""谷"" - Русский: ""долина""
中文: ""红"" - Русский: ""красный""
中文: ""东"" - Русский: ""","[29942, 16335, 490, 1786, 984, 25896, 26170, 211]",восток,"[30979, 231]",东,东
"中文: ""位"" - Русский: ""позиция""
中文: ""屋"" - Русский: ""дом""
中文: ""夏"" - Русский: ""лето""
中文: ""东"" - Русский: ""восток""
中文: ""八"" - Русский: ""","[29942, 16335, 490, 1786, 984, 211]",восемь,"[31044, 232]",八,八
"中文: ""回"" - Русский: ""возврат""
中文: ""七"" - Русский: ""семь""
中文: ""东"" - Русский: ""восток""
中文: ""波"" - Русский: ""волна""
中文: ""例"" - Русский: ""","[12781, 29964, 7104, 21550, 25390, 1695, 469, 211]",пример,"[31507, 231]",例,例
"中文: ""沙"" - Русский: ""песок""
中文: ""红"" - Русский: ""красный""
中文: ""局"" - Русский: ""офис""
中文: ""版"" - Русский: ""версия""
中文: ""交"" - Русский: ""","[2384, 29975, 5660, 836, 211]",биржа,"[31398, 231]",交,交
"中文: ""口"" - Русский: ""рот""
中文: ""波"" - Русский: ""волна""
中文: ""场"" - Русский: ""поле""
中文: ""地"" - Русский: ""земля""
中文: ""面"" - Русский: ""","[3550, 29944, 644, 211]",лицо,"[30806, 236]",面,面
"中文: ""足"" - Русский: ""нога""
中文: ""洋"" - Русский: ""океан""
中文: ""校"" - Русский: ""школа""
中文: ""歌"" - Русский: ""песня""
中文: ""场"" - Русский: ""","[29964, 733, 9518, 29235, 7372, 1268, 469, 211]",поле,"[31632, 232]",场,场
"中文: ""五"" - Русский: ""пять""
中文: ""友"" - Русский: ""друг""
中文: ""八"" - Русский: ""восемь""
中文: ""机"" - Русский: ""машина""
中文: ""火"" - Русский: ""","[1046, 29951, 551, 1186, 211]",костер,"[31313, 234]",火,火
"中文: ""格"" - Русский: ""сетка""
中文: ""九"" - Русский: ""девять""
中文: ""金"" - Русский: ""золото""
中文: ""线"" - Русский: ""линия""
中文: ""五"" - Русский: ""","[29964, 469, 24200, 211]",пять,"[30904, 231]",五,五
"中文: ""面"" - Русский: ""лицо""
中文: ""街"" - Русский: ""улица""
中文: ""桥"" - Русский: ""мост""
中文: ""手"" - Русский: ""рука""
中文: ""花"" - Русский: ""","[3716, 29996, 212]",цветок,"[30830, 235]",花,花
"中文: ""阳"" - Русский: ""солнце""
中文: ""地"" - Русский: ""земля""
中文: ""林"" - Русский: ""лес""
中文: ""线"" - Русский: ""линия""
中文: ""足"" - Русский: ""","[29921, 4228, 6968, 570, 18211, 211]",нога,"[31722, 235]",足,足
"中文: ""沙"" - Русский: ""песок""
中文: ""种"" - Русский: ""вид""
中文: ""手"" - Русский: ""рука""
中文: ""南"" - Русский: ""юг""
中文: ""林"" - Русский: ""","[29944, 753, 4674, 211]",лес,"[30853, 233]",林,林
"中文: ""网"" - Русский: ""сетка""
中文: ""速"" - Русский: ""скорость""
中文: ""三"" - Русский: ""три""
中文: ""红"" - Русский: ""красный""
中文: ""四"" - Русский: ""","[1093, 29981, 24998, 2950, 2493, 212]",четыре,"[30928, 232]",四,四
"中文: ""语"" - Русский: ""язык""
中文: ""山"" - Русский: ""гора""
中文: ""村"" - Русский: ""деревня""
中文: ""德"" - Русский: ""добродетель""
中文: ""友"" - Русский: ""","[29957, 9433, 662, 4849, 211]",друг,"[31373, 232]",友,友
"中文: ""格"" - Русский: ""сетка""
中文: ""星"" - Русский: ""звезда""
中文: ""回"" - Русский: ""возврат""
中文: ""店"" - Русский: ""магазин""
中文: ""果"" - Русский: ""","[23692, 1606, 30011, 212]",фрукт,"[30801, 233]",果,果
"中文: ""源"" - Русский: ""источник""
中文: ""水"" - Русский: ""вода""
中文: ""南"" - Русский: ""юг""
中文: ""东"" - Русский: ""восток""
中文: ""代"" - Русский: ""","[29964, 733, 1268, 469, 211]",поколение,"[30690, 231]",代,代
"中文: ""歌"" - Русский: ""песня""
中文: ""东"" - Русский: ""восток""
中文: ""店"" - Русский: ""магазин""
中文: ""法"" - Русский: ""закон""
中文: ""金"" - Русский: ""","[26467, 29972, 4734, 754, 25687, 211]",золото,"[30659, 236]",金,金
"中文: ""头"" - Русский: ""голова""
中文: ""会"" - Русский: ""собрание""
中文: ""土"" - Русский: ""почва""
中文: ""双"" - Русский: ""пара""
中文: ""格"" - Русский: ""","[1586, 1502, 531, 29935, 212]",сетка,"[31168, 233]",格,格
"中文: ""北"" - Русский: ""север""
中文: ""色"" - Русский: ""цвет""
中文: ""尾"" - Русский: ""хвост""
中文: ""街"" - Русский: ""улица""
中文: ""地"" - Русский: ""","[29972, 12639, 20117, 4791, 754, 24263, 211]",земля,"[30533, 232]",地,地
"中文: ""速"" - Русский: ""скорость""
中文: ""月"" - Русский: ""луна""
中文: ""星"" - Русский: ""звезда""
中文: ""米"" - Русский: ""рис""
中文: ""群"" - Русский: ""","[10841, 6148, 1214, 29969, 211]",группа,"[31829, 234]",群,群
"中文: ""谷"" - Русский: ""долина""
中文: ""座"" - Русский: ""сиденье""
中文: ""沙"" - Русский: ""песок""
中文: ""红"" - Русский: ""красный""
中文: ""手"" - Русский: ""","[8201, 11218, 1086, 5368, 29927, 212]",рука,"[30880, 233]",手,手
"中文: ""方"" - Русский: ""квадрат""
中文: ""春"" - Русский: ""пружина""
中文: ""种"" - Русский: ""вид""
中文: ""语"" - Русский: ""язык""
中文: ""头"" - Русский: ""","[588, 27187, 1214, 1084, 19311, 29969, 211]",голова,"[31584, 232]",头,头
"中文: ""机"" - Русский: ""машина""
中文: ""湖"" - Русский: ""озеро""
中文: ""回"" - Русский: ""возврат""
中文: ""塔"" - Русский: ""башня""
中文: ""心"" - Русский: ""","[1586, 1502, 10182, 531, 14315, 29935, 212]",сердце,"[30869, 232]",心,心
"中文: ""米"" - Русский: ""рис""
中文: ""局"" - Русский: ""офис""
中文: ""话"" - Русский: ""речь""
中文: ""友"" - Русский: ""друг""
中文: ""史"" - Русский: ""","[29917, 606, 7874, 11452, 15855, 9971, 211]",история,"[30911, 232]",史,史
"中文: ""方"" - Русский: ""квадрат""
中文: ""美"" - Русский: ""красота""
中文: ""部"" - Русский: ""часть""
中文: ""省"" - Русский: ""провинция""
中文: ""马"" - Русский: ""","[13860, 29944, 843, 211]",лошадь,"[31530, 236]",马,马
"中文: ""局"" - Русский: ""офис""
中文: ""人"" - Русский: ""человек""
中文: ""德"" - Русский: ""добродетель""
中文: ""才"" - Русский: ""талант""
中文: ""屋"" - Русский: ""","[29957, 1447, 1802, 662, 8418, 211]",дом,"[31654, 232]",屋,屋
"中文: ""群"" - Русский: ""группа""
中文: ""街"" - Русский: ""улица""
中文: ""金"" - Русский: ""золото""
中文: ""云"" - Русский: ""облако""
中文: ""百"" - Русский: ""","[23966, 2223, 531, 1778, 29935, 212]",сотня,"[31047, 234]",百,百
"中文: ""四"" - Русский: ""четыре""
中文: ""省"" - Русский: ""провинция""
中文: ""史"" - Русский: ""история""
中文: ""水"" - Русский: ""вода""
中文: ""项"" - Русский: ""","[5784, 12781, 29964, 21550, 4570, 469, 2102, 211]",предмет,"[31888, 236]",项,项
"中文: ""百"" - Русский: ""сотня""
中文: ""群"" - Русский: ""группа""
中文: ""花"" - Русский: ""цветок""
中文: ""三"" - Русский: ""три""
中文: ""判"" - Русский: ""","[3404, 531, 2937, 29935, 212]",судья,"[31791, 232]",判,判
"中文: ""九"" - Русский: ""девять""
中文: ""校"" - Русский: ""школа""
中文: ""话"" - Русский: ""речь""
中文: ""试"" - Русский: ""попытка""
中文: ""种"" - Русский: ""","[29942, 490, 2196, 20874, 21491, 1221, 211]",вид,"[31893, 234]",种,种
"中文: ""字"" - Русский: ""слово""
中文: ""雪"" - Русский: ""снег""
中文: ""包"" - Русский: ""сумка""
中文: ""池"" - Русский: ""пруд""
中文: ""湖"" - Русский: ""","[29904, 614, 29495, 211]",озеро,"[31496, 233]",湖,湖
"中文: ""北"" - Русский: ""север""
中文: ""线"" - Русский: ""линия""
中文: ""洋"" - Русский: ""океан""
中文: ""四"" - Русский: ""четыре""
中文: ""语"" - Русский: ""","[29970, 27763, 14264, 2282, 212]",язык,"[31505, 235]",语,语
"中文: ""林"" - Русский: ""лес""
中文: ""会"" - Русский: ""собрание""
中文: ""街"" - Русский: ""улица""
中文: ""音"" - Русский: ""звук""
中文: ""法"" - Русский: ""","[1902, 29972, 1077, 754, 211]",закон,"[30545, 233]",法,法
"中文: ""星"" - Русский: ""звезда""
中文: ""例"" - Русский: ""пример""
中文: ""中"" - Русский: ""середина""
中文: ""村"" - Русский: ""деревня""
中文: ""线"" - Русский: ""","[3550, 8279, 29944, 644, 211]",линия,"[31532, 234]",线,线
"中文: ""土"" - Русский: ""почва""
中文: ""位"" - Русский: ""позиция""
中文: ""池"" - Русский: ""пруд""
中文: ""交"" - Русский: ""биржа""
中文: ""机"" - Русский: ""","[1155, 757, 29959, 2394, 211]",машина,"[31429, 233]",机,机
"中文: ""四"" - Русский: ""четыре""
中文: ""尾"" - Русский: ""хвост""
中文: ""包"" - Русский: ""сумка""
中文: ""机"" - Русский: ""машина""
中文: ""男"" - Русский: ""","[4179, 757, 29959, 1805, 20686, 211]",мужчина,"[31203, 234]",男,男
"中文: ""版"" - Русский: ""версия""
中文: ""群"" - Русский: ""группа""
中文: ""城"" - Русский: ""город""
中文: ""金"" - Русский: ""золото""
中文: ""会"" - Русский: ""","[17393, 21291, 2223, 531, 1778, 29935, 212]",собрание,"[30437, 231]",会,会
"中文: ""头"" - Русский: ""голова""
中文: ""例"" - Русский: ""пример""
中文: ""判"" - Русский: ""судья""
中文: ""阳"" - Русский: ""солнце""
中文: ""中"" - Русский: ""","[1586, 1502, 10182, 531, 14315, 17560, 29935, 212]",середина,"[30275, 231]",中,中
"中文: ""七"" - Русский: ""семь""
中文: ""条"" - Русский: ""полоса""
中文: ""南"" - Русский: ""юг""
中文: ""代"" - Русский: ""поколение""
中文: ""月"" - Русский: ""","[1844, 29944, 16050, 211]",луна,"[30534, 233]",月,月
"中文: ""书"" - Русский: ""книга""
中文: ""包"" - Русский: ""сумка""
中文: ""心"" - Русский: ""сердце""
中文: ""场"" - Русский: ""поле""
中文: ""母"" - Русский: ""","[1155, 18992, 757, 12819, 29959, 2394, 211]",мать,"[31763, 233]",母,母
"中文: ""洋"" - Русский: ""океан""
中文: ""屋"" - Русский: ""дом""
中文: ""球"" - Русский: ""мяч""
中文: ""北"" - Русский: ""север""
中文: ""山"" - Русский: ""","[24856, 588, 17310, 1214, 1084, 29969, 211]",гора,"[30329, 232]",山,山
"中文: ""座"" - Русский: ""сиденье""
中文: ""群"" - Русский: ""группа""
中文: ""金"" - Русский: ""золото""
中文: ""代"" - Русский: ""поколение""
中文: ""口"" - Русский: ""","[1561, 8201, 576, 29927, 212]",рот,"[30856, 232]",口,口
"中文: ""项"" - Русский: ""предмет""
中文: ""美"" - Русский: ""красота""
中文: ""八"" - Русский: ""восемь""
中文: ""茶"" - Русский: ""чай""
中文: ""网"" - Русский: ""","[1586, 1502, 531, 29935, 212]",сетка,"[31222, 234]",网,网
"中文: ""字"" - Русский: ""слово""
中文: ""色"" - Русский: ""цвет""
中文: ""火"" - Русский: ""костер""
中文: ""夏"" - Русский: ""лето""
中文: ""九"" - Русский: ""","[29957, 2263, 662, 1216, 211]",девять,"[31321, 231]",九,九
"中文: ""格"" - Русский: ""сетка""
中文: ""百"" - Русский: ""сотня""
中文: ""海"" - Русский: ""море""
中文: ""种"" - Русский: ""вид""
中文: ""北"" - Русский: ""","[1586, 1502, 23967, 531, 29935, 212]",север,"[30662, 232]",北,北
"中文: ""人"" - Русский: ""человек""
中文: ""波"" - Русский: ""волна""
中文: ""点"" - Русский: ""точка""
中文: ""回"" - Русский: ""возврат""
中文: ""洋"" - Русский: ""","[29904, 26242, 614, 6752, 211]",океан,"[31534, 233]",洋,洋
