prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""例"" - Русский: ""例""
Русский: ""南"" - Русский: ""南""
Русский: ""木"" - Русский: ""木""
Русский: ""洞"" - Русский: ""洞""
Русский: ""书"" - Русский: ""","[31900, 231]",书,"[1045, 289, 2909, 3143, 29890, 833]",book,书
"Русский: ""舞"" - Русский: ""舞""
Русский: ""网"" - Русский: ""网""
Русский: ""友"" - Русский: ""友""
Русский: ""花"" - Русский: ""花""
Русский: ""云"" - Русский: ""","[31784, 231]",云,"[1067, 9570, 17184, 274, 9274, 15126, 695, 29883, 23642]",cloud,云
"Русский: ""音"" - Русский: ""音""
Русский: ""林"" - Русский: ""林""
Русский: ""山"" - Русский: ""山""
Русский: ""线"" - Русский: ""线""
Русский: ""包"" - Русский: ""","[31473, 232]",包,"[19548, 289, 23156, 29890, 2291, 9922]",bag,包
"Русский: ""歌"" - Русский: ""歌""
Русский: ""千"" - Русский: ""千""
Русский: ""金"" - Русский: ""金""
Русский: ""校"" - Русский: ""校""
Русский: ""口"" - Русский: ""","[30856, 232]",口,"[2730, 21026, 29885, 286, 4346, 29442, 13394]",mouth,口
"Русский: ""局"" - Русский: ""局""
Русский: ""七"" - Русский: ""七""
Русский: ""址"" - Русский: ""址""
Русский: ""方"" - Русский: ""方""
Русский: ""土"" - Русский: ""","[31181, 232]",土,"[29879, 22473, 578, 269, 577]",soil,土
"Русский: ""茶"" - Русский: ""茶""
Русский: ""语"" - Русский: ""语""
Русский: ""足"" - Русский: ""足""
Русский: ""速"" - Русский: ""速""
Русский: ""山"" - Русский: ""","[30329, 232]",山,"[29885, 286, 4346, 5766, 29442, 14378, 16476, 2730]",mountain,山
"Русский: ""美"" - Русский: ""美""
Русский: ""交"" - Русский: ""交""
Русский: ""会"" - Русский: ""会""
Русский: ""法"" - Русский: ""法""
Русский: ""布"" - Русский: ""","[31454, 232]",布,"[1067, 13950, 17184, 274, 15126, 695, 29883]",cloth,布
"Русский: ""果"" - Русский: ""果""
Русский: ""阳"" - Русский: ""阳""
Русский: ""九"" - Русский: ""九""
Русский: ""起"" - Русский: ""起""
Русский: ""心"" - Русский: ""","[30869, 232]",心,"[5192, 8293, 23057, 29882, 298, 540, 354]",heart,心
"Русский: ""址"" - Русский: ""址""
Русский: ""金"" - Русский: ""金""
Русский: ""口"" - Русский: ""口""
Русский: ""村"" - Русский: ""村""
Русский: ""手"" - Русский: ""","[30880, 233]",手,"[5905, 447, 5403, 1361, 29882, 298, 3179, 2350]",hand,手
"Русский: ""林"" - Русский: ""林""
Русский: ""才"" - Русский: ""才""
Русский: ""字"" - Русский: ""字""
Русский: ""中"" - Русский: ""中""
Русский: ""日"" - Русский: ""","[30325, 233]",日,"[3250, 270, 1146, 29881, 1388, 2462]",day,日
"Русский: ""红"" - Русский: ""红""
Русский: ""米"" - Русский: ""米""
Русский: ""南"" - Русский: ""南""
Русский: ""三"" - Русский: ""三""
Русский: ""星"" - Русский: ""","[30900, 233]",星,"[29879, 303, 8508, 9523, 380, 269, 5173, 5810]",star,星
"Русский: ""沙"" - Русский: ""沙""
Русский: ""布"" - Русский: ""布""
Русский: ""二"" - Русский: ""二""
Русский: ""址"" - Русский: ""址""
Русский: ""春"" - Русский: ""","[31031, 233]",春,"[29879, 15099, 805, 4278, 7689, 1028, 6709, 269]",spring,春
"Русский: ""心"" - Русский: ""心""
Русский: ""发"" - Русский: ""发""
Русский: ""种"" - Русский: ""种""
Русский: ""歌"" - Русский: ""歌""
Русский: ""月"" - Русский: ""","[30534, 233]",月,"[29885, 286, 18786, 4346, 2730]",moon,月
"Русский: ""友"" - Русский: ""友""
Русский: ""书"" - Русский: ""书""
Русский: ""段"" - Русский: ""段""
Русский: ""岩"" - Русский: ""岩""
Русский: ""木"" - Русский: ""","[30710, 233]",木,"[29893, 281, 8112, 8879, 6115, 827]",wood,木
"Русский: ""败"" - Русский: ""败""
Русский: ""址"" - Русский: ""址""
Русский: ""布"" - Русский: ""布""
Русский: ""水"" - Русский: ""水""
Русский: ""村"" - Русский: ""","[30402, 233]",村,"[4213, 325, 3516, 28765, 21031, 5720, 17191, 1403, 29894, 11928]",village,村
"Русский: ""尾"" - Русский: ""尾""
Русский: ""汉"" - Русский: ""汉""
Русский: ""茶"" - Русский: ""茶""
Русский: ""交"" - Русский: ""交""
Русский: ""林"" - Русский: ""","[30853, 233]",林,"[1079, 363, 13569, 26839, 1701, 1181, 1454, 29888, 285]",forest,林
"Русский: ""九"" - Русский: ""九""
Русский: ""才"" - Русский: ""才""
Русский: ""百"" - Русский: ""百""
Русский: ""户"" - Русский: ""户""
Русский: ""果"" - Русский: ""","[30801, 233]",果,"[1424, 15774, 1341, 29888, 285]",fruit,果
"Русский: ""二"" - Русский: ""二""
Русский: ""例"" - Русский: ""例""
Русский: ""双"" - Русский: ""双""
Русский: ""花"" - Русский: ""花""
Русский: ""格"" - Русский: ""","[31168, 233]",格,"[7720, 867, 330, 629, 29887, 6856]",grid,格
"Русский: ""五"" - Русский: ""五""
Русский: ""山"" - Русский: ""山""
Русский: ""场"" - Русский: ""场""
Русский: ""构"" - Русский: ""构""
Русский: ""歌"" - Русский: ""","[31173, 233]",歌,"[29879, 1100, 578, 4823, 269, 21453, 1487, 577]",song,歌
"Русский: ""球"" - Русский: ""球""
Русский: ""五"" - Русский: ""五""
Русский: ""米"" - Русский: ""米""
Русский: ""八"" - Русский: ""八""
Русский: ""水"" - Русский: ""","[30716, 233]",水,"[11324, 29893, 2766, 281, 13405, 16699, 4094]",water,水
"Русский: ""局"" - Русский: ""局""
Русский: ""心"" - Русский: ""心""
Русский: ""网"" - Русский: ""网""
Русский: ""户"" - Русский: ""户""
Русский: ""汉"" - Русский: ""","[31593, 233]",汉,"[29950, 24704, 7169, 379, 5952]",Han,汉
"Русский: ""二"" - Русский: ""二""
Русский: ""三"" - Русский: ""三""
Русский: ""星"" - Русский: ""星""
Русский: ""址"" - Русский: ""址""
Русский: ""池"" - Русский: ""","[31853, 233]",池,"[1112, 772, 1129, 29886, 282, 2818, 12509]",pond,池
"Русский: ""米"" - Русский: ""米""
Русский: ""站"" - Русский: ""站""
Русский: ""母"" - Русский: ""母""
Русский: ""局"" - Русский: ""局""
Русский: ""沙"" - Русский: ""","[31476, 233]",沙,"[29879, 9753, 11982, 28455, 872, 4977, 269]",sand,沙
"Русский: ""美"" - Русский: ""美""
Русский: ""址"" - Русский: ""址""
Русский: ""地"" - Русский: ""地""
Русский: ""局"" - Русский: ""局""
Русский: ""河"" - Русский: ""","[30828, 233]",河,"[374, 10107, 8580, 9050, 3511, 364, 29878, 1150, 4401]",river,河
"Русский: ""八"" - Русский: ""八""
Русский: ""洋"" - Русский: ""洋""
Русский: ""台"" - Русский: ""台""
Русский: ""河"" - Русский: ""河""
Русский: ""法"" - Русский: ""","[30545, 233]",法,"[29880, 301, 4307, 433, 10653, 425]",law,法
"Русский: ""段"" - Русский: ""段""
Русский: ""判"" - Русский: ""判""
Русский: ""网"" - Русский: ""网""
Русский: ""日"" - Русский: ""日""
Русский: ""波"" - Русский: ""","[31529, 233]",波,"[11324, 29893, 2766, 281, 27766, 10742]",wave,波
"Русский: ""目"" - Русский: ""目""
Русский: ""格"" - Русский: ""格""
Русский: ""屋"" - Русский: ""屋""
Русский: ""试"" - Русский: ""试""
Русский: ""洋"" - Русский: ""","[31534, 233]",洋,"[25802, 29877, 542, 23474, 12954, 288]",ocean,洋
"Русский: ""结"" - Русский: ""结""
Русский: ""网"" - Русский: ""网""
Русский: ""删"" - Русский: ""删""
Русский: ""林"" - Русский: ""林""
Русский: ""洞"" - Русский: ""","[31886, 233]",洞,"[1113, 24230, 274, 5777, 18346, 29883]",cave,洞
"Русский: ""七"" - Русский: ""七""
Русский: ""北"" - Русский: ""北""
Русский: ""删"" - Русский: ""删""
Русский: ""意"" - Русский: ""意""
Русский: ""海"" - Русский: ""","[30581, 233]",海,"[29879, 409, 344, 7205, 269]",sea,海
"Русский: ""门"" - Русский: ""门""
Русский: ""例"" - Русский: ""例""
Русский: ""户"" - Русский: ""户""
Русский: ""光"" - Русский: ""光""
Русский: ""湖"" - Русский: ""","[31496, 233]",湖,"[29880, 19437, 301, 433, 24591, 425, 18170]",lake,湖
"Русский: ""回"" - Русский: ""回""
Русский: ""部"" - Русский: ""部""
Русский: ""黄"" - Русский: ""黄""
Русский: ""海"" - Русский: ""海""
Русский: ""源"" - Русский: ""","[31193, 233]",源,"[29879, 2752, 3669, 578, 4993, 269, 577]",source,源
"Русский: ""场"" - Русский: ""场""
Русский: ""五"" - Русский: ""五""
Русский: ""种"" - Русский: ""种""
Русский: ""汉"" - Русский: ""汉""
Русский: ""火"" - Русский: ""","[31313, 234]",火,"[3974, 28034, 7241, 5713, 13734, 29888, 285, 8696]",fire,火
"Русский: ""南"" - Русский: ""南""
Русский: ""男"" - Русский: ""男""
Русский: ""七"" - Русский: ""七""
Русский: ""时"" - Русский: ""时""
Русский: ""点"" - Русский: ""","[30940, 234]",点,"[1298, 772, 1129, 29886, 282, 11899, 3149]",point,点
"Русский: ""校"" - Русский: ""校""
Русский: ""黄"" - Русский: ""黄""
Русский: ""方"" - Русский: ""方""
Русский: ""地"" - Русский: ""地""
Русский: ""版"" - Русский: ""","[30845, 234]",版,"[3259, 325, 1147, 369, 874, 1224, 29894, 1873, 2453, 345]",version,版
"Русский: ""群"" - Русский: ""群""
Русский: ""岩"" - Русский: ""岩""
Русский: ""米"" - Русский: ""米""
Русский: ""进"" - Русский: ""进""
Русский: ""球"" - Русский: ""","[31539, 234]",球,"[289, 5521, 6411, 29890, 2291, 8287, 9922, 2135]",ball,球
"Русский: ""湖"" - Русский: ""湖""
Русский: ""段"" - Русский: ""段""
Русский: ""岩"" - Русский: ""岩""
Русский: ""座"" - Русский: ""座""
Русский: ""画"" - Русский: ""","[31046, 234]",画,"[3300, 6788, 10675, 29886, 282, 3274, 20413]",painting,画
"Русский: ""山"" - Русский: ""山""
Русский: ""南"" - Русский: ""南""
Русский: ""平"" - Русский: ""平""
Русский: ""时"" - Русский: ""时""
Русский: ""站"" - Русский: ""","[31433, 234]",站,"[29879, 6112, 303, 1002, 9523, 380, 269, 5173, 5073, 23436, 19569]",station,站
"Русский: ""门"" - Русский: ""门""
Русский: ""母"" - Русский: ""母""
Русский: ""桥"" - Русский: ""桥""
Русский: ""足"" - Русский: ""足""
Русский: ""米"" - Русский: ""","[31902, 234]",米,"[19408, 374, 10107, 11674, 9597, 2200, 364, 29878]",rice,米
"Русский: ""桥"" - Русский: ""桥""
Русский: ""回"" - Русский: ""回""
Русский: ""米"" - Русский: ""米""
Русский: ""头"" - Русский: ""头""
Русский: ""红"" - Русский: ""","[31869, 234]",红,"[276, 337, 2654, 1127, 364, 29878]",red,红
"Русский: ""例"" - Русский: ""例""
Русский: ""布"" - Русский: ""布""
Русский: ""画"" - Русский: ""画""
Русский: ""点"" - Русский: ""点""
Русский: ""线"" - Русский: ""","[31532, 234]",线,"[29880, 619, 1915, 301, 6276, 492, 1196, 1220]",line,线
"Русский: ""中"" - Русский: ""中""
Русский: ""八"" - Русский: ""八""
Русский: ""机"" - Русский: ""机""
Русский: ""省"" - Русский: ""省""
Русский: ""网"" - Русский: ""","[31222, 234]",网,"[29876, 1212, 452, 484, 302, 7787]",net,网
"Русский: ""德"" - Русский: ""德""
Русский: ""版"" - Русский: ""版""
Русский: ""手"" - Русский: ""手""
Русский: ""源"" - Русский: ""源""
Русский: ""花"" - Русский: ""","[30830, 235]",花,"[5685, 1652, 1731, 4972, 1579, 28149, 29888, 285]",flower,花
"Русский: ""桥"" - Русский: ""桥""
Русский: ""格"" - Русский: ""格""
Русский: ""回"" - Русский: ""回""
Русский: ""村"" - Русский: ""村""
Русский: ""茶"" - Русский: ""","[31954, 235]",茶,"[23429, 260, 29873, 371, 734]",tea,茶
"Русский: ""七"" - Русский: ""七""
Русский: ""时"" - Русский: ""时""
Русский: ""南"" - Русский: ""南""
Русский: ""湖"" - Русский: ""湖""
Русский: ""足"" - Русский: ""","[31722, 235]",足,"[5431, 7953, 3661, 6661, 1701, 1181, 29888, 285]",foot,足
"Русский: ""包"" - Русский: ""包""
Русский: ""百"" - Русский: ""百""
Русский: ""色"" - Русский: ""色""
Русский: ""十"" - Русский: ""十""
Русский: ""金"" - Русский: ""","[30659, 236]",金,"[7684, 1484, 29887, 330, 15192, 748]",gold,金
"Русский: ""地"" - Русский: ""地""
Русский: ""电"" - Русский: ""电""
Русский: ""判"" - Русский: ""判""
Русский: ""位"" - Русский: ""位""
Русский: ""门"" - Русский: ""","[31649, 236]",门,"[3050, 17433, 437, 1867, 270, 29881]",door,门
"Русский: ""口"" - Русский: ""口""
Русский: ""日"" - Русский: ""日""
Русский: ""春"" - Русский: ""春""
Русский: ""书"" - Русский: ""书""
Русский: ""雪"" - Русский: ""","[31731, 236]",雪,"[29879, 15007, 5807, 16586, 269]",snow,雪
"Русский: ""点"" - Русский: ""点""
Русский: ""部"" - Русский: ""部""
Русский: ""米"" - Русский: ""米""
Русский: ""子"" - Русский: ""子""
Русский: ""马"" - Русский: ""","[31530, 236]",马,"[1251, 10435, 4029, 5089, 2015, 11231, 298, 29882]",horse,马
"Русский: ""平"" - Русский: ""平""
Русский: ""人"" - Русский: ""人""
Русский: ""色"" - Русский: ""色""
Русский: ""歌"" - Русский: ""歌""
Русский: ""黄"" - Русский: ""","[31491, 236]",黄,"[13328, 29891, 4099, 343, 29136, 8007]",yellow,黄
"Русский: ""族"" - Русский: ""族""
Русский: ""马"" - Русский: ""马""
Русский: ""才"" - Русский: ""才""
Русский: ""门"" - Русский: ""门""
Русский: ""白"" - Русский: ""","[30868, 234]",白,"[4796, 377, 29893, 281, 10921, 1332]",white,白
"Русский: ""河"" - Русский: ""河""
Русский: ""发"" - Русский: ""发""
Русский: ""马"" - Русский: ""马""
Русский: ""水"" - Русский: ""水""
Русский: ""一"" - Русский: ""","[30287, 231]",一,"[650, 697, 29877, 265, 288, 373]",one,一
"Русский: ""土"" - Русский: ""土""
Русский: ""池"" - Русский: ""池""
Русский: ""字"" - Русский: ""字""
Русский: ""速"" - Русский: ""速""
Русский: ""二"" - Русский: ""","[30685, 231]",二,"[3252, 10184, 260, 29873, 1023, 7516]",two,二
"Русский: ""金"" - Русский: ""金""
Русский: ""土"" - Русский: ""土""
Русский: ""才"" - Русский: ""才""
Русский: ""黄"" - Русский: ""黄""
Русский: ""三"" - Русский: ""","[30457, 231]",三,"[266, 386, 2211, 260, 29873, 17536, 12455, 1468]",three,三
"Русский: ""话"" - Русский: ""话""
Русский: ""六"" - Русский: ""六""
Русский: ""面"" - Русский: ""面""
Русский: ""水"" - Русский: ""水""
Русский: ""四"" - Русский: ""","[30928, 232]",四,"[17823, 3023, 1701, 1181, 29888, 285, 12584]",four,四
"Русский: ""心"" - Русский: ""心""
Русский: ""桥"" - Русский: ""桥""
Русский: ""头"" - Русский: ""头""
Русский: ""色"" - Русский: ""色""
Русский: ""五"" - Русский: ""","[30904, 231]",五,"[7241, 5320, 5713, 20818, 29888, 285]",five,五
"Русский: ""部"" - Русский: ""部""
Русский: ""版"" - Русский: ""版""
Русский: ""波"" - Русский: ""波""
Русский: ""速"" - Русский: ""速""
Русский: ""六"" - Русский: ""","[31304, 232]",六,"[1354, 29879, 28319, 1039, 269, 4832]",six,六
"Русский: ""点"" - Русский: ""点""
Русский: ""败"" - Русский: ""败""
Русский: ""址"" - Русский: ""址""
Русский: ""种"" - Русский: ""种""
Русский: ""七"" - Русский: ""","[31425, 231]",七,"[29879, 409, 344, 269, 9881]",seven,七
"Русский: ""项"" - Русский: ""项""
Русский: ""会"" - Русский: ""会""
Русский: ""方"" - Русский: ""方""
Русский: ""木"" - Русский: ""木""
Русский: ""八"" - Русский: ""","[31044, 232]",八,"[29872, 9475, 10096, 15761, 321, 29319]",eight,八
"Русский: ""局"" - Русский: ""局""
Русский: ""果"" - Русский: ""果""
Русский: ""目"" - Русский: ""目""
Русский: ""回"" - Русский: ""回""
Русский: ""九"" - Русский: ""","[31321, 231]",九,"[29876, 14183, 1240, 17081, 302, 6836]",nine,九
"Русский: ""版"" - Русский: ""版""
Русский: ""山"" - Русский: ""山""
Русский: ""岩"" - Русский: ""岩""
Русский: ""心"" - Русский: ""心""
Русский: ""十"" - Русский: ""","[30802, 232]",十,"[3006, 260, 29873, 841, 371, 734]",ten,十
"Русский: ""千"" - Русский: ""千""
Русский: ""百"" - Русский: ""百""
Русский: ""书"" - Русский: ""书""
Русский: ""沙"" - Русский: ""沙""
Русский: ""头"" - Русский: ""","[31584, 232]",头,"[29882, 298, 540, 2343, 354, 2813]",head,头
"Русский: ""汉"" - Русский: ""汉""
Русский: ""项"" - Русский: ""项""
Русский: ""三"" - Русский: ""三""
Русский: ""画"" - Русский: ""画""
Русский: ""店"" - Русский: ""","[31758, 232]",店,"[29879, 845, 19032, 18296, 528, 269, 17394]",shop,店
"Русский: ""电"" - Русский: ""电""
Русский: ""木"" - Русский: ""木""
Русский: ""花"" - Русский: ""花""
Русский: ""男"" - Русский: ""男""
Русский: ""条"" - Русский: ""","[31217, 233]",条,"[29879, 851, 17820, 303, 710, 10076, 380, 269, 17010]",strip,条
"Русский: ""局"" - Русский: ""局""
Русский: ""人"" - Русский: ""人""
Русский: ""速"" - Русский: ""速""
Русский: ""阳"" - Русский: ""阳""
Русский: ""街"" - Русский: ""","[30813, 235]",街,"[29879, 12243, 851, 303, 13045, 710, 29352, 380, 269, 11952]",street,街
"Русский: ""户"" - Русский: ""户""
Русский: ""黄"" - Русский: ""黄""
Русский: ""三"" - Русский: ""三""
Русский: ""双"" - Русский: ""双""
Русский: ""部"" - Русский: ""","[30636, 236]",部,"[760, 862, 3300, 1595, 29886, 282, 610, 3274]",part,部
"Русский: ""八"" - Русский: ""八""
Русский: ""沙"" - Русский: ""沙""
Русский: ""美"" - Русский: ""美""
Русский: ""格"" - Русский: ""格""
Русский: ""目"" - Русский: ""","[30895, 234]",目,"[29872, 10977, 1032, 321]",eye,目
"Русский: ""条"" - Русский: ""条""
Русский: ""版"" - Русский: ""版""
Русский: ""汉"" - Русский: ""汉""
Русский: ""岩"" - Русский: ""岩""
Русский: ""场"" - Русский: ""","[31632, 232]",场,"[29888, 7241, 1746, 5713, 2671, 29607, 285]",field,场
"Русский: ""网"" - Русский: ""网""
Русский: ""左"" - Русский: ""左""
Русский: ""舞"" - Русский: ""舞""
Русский: ""种"" - Русский: ""种""
Русский: ""址"" - Русский: ""","[31702, 232]",址,"[1354, 29879, 7845, 1039, 3268, 269, 2746]",site,址
"Русский: ""史"" - Русский: ""史""
Русский: ""布"" - Русский: ""布""
Русский: ""北"" - Русский: ""北""
Русский: ""屋"" - Русский: ""屋""
Русский: ""意"" - Русский: ""","[31474, 233]",意,"[12676, 29885, 286, 2099, 6593, 592, 1004]",meaning,意
"Русский: ""局"" - Русский: ""局""
Русский: ""败"" - Русский: ""败""
Русский: ""沙"" - Русский: ""沙""
Русский: ""方"" - Русский: ""方""
Русский: ""舞"" - Русский: ""","[31939, 235]",舞,"[6025, 18386, 17948, 270, 1146, 29881, 1388]",dance,舞
"Русский: ""五"" - Русский: ""五""
Русский: ""春"" - Русский: ""春""
Русский: ""才"" - Русский: ""才""
Русский: ""速"" - Русский: ""速""
Русский: ""字"" - Русский: ""","[30578, 232]",字,"[1734, 13762, 6365, 29893, 281, 8879, 1742, 827]",word,字
"Русский: ""河"" - Русский: ""河""
Русский: ""洋"" - Русский: ""洋""
Русский: ""方"" - Русский: ""方""
Русский: ""海"" - Русский: ""海""
Русский: ""双"" - Русский: ""","[31960, 232]",双,"[3300, 5101, 29886, 282, 18784, 3274]",pair,双
"Русский: ""话"" - Русский: ""话""
Русский: ""火"" - Русский: ""火""
Русский: ""校"" - Русский: ""校""
Русский: ""网"" - Русский: ""网""
Русский: ""座"" - Русский: ""","[31780, 232]",座,"[29879, 409, 344, 7205, 12949, 269]",seat,座
"Русский: ""池"" - Русский: ""池""
Русский: ""场"" - Русский: ""场""
Русский: ""音"" - Русский: ""音""
Русский: ""平"" - Русский: ""平""
Русский: ""光"" - Русский: ""","[30867, 232]",光,"[29880, 619, 301, 14172, 3578, 492, 4366, 3473]",light,光
"Русский: ""土"" - Русский: ""土""
Русский: ""发"" - Русский: ""发""
Русский: ""法"" - Русский: ""法""
Русский: ""门"" - Русский: ""门""
Русский: ""千"" - Русский: ""","[31159, 232]",千,"[266, 386, 12595, 10405, 260, 29873, 7693]",thousand,千
"Русский: ""速"" - Русский: ""速""
Русский: ""塔"" - Русский: ""塔""
Русский: ""左"" - Русский: ""左""
Русский: ""德"" - Русский: ""德""
Русский: ""北"" - Русский: ""","[30662, 232]",北,"[29876, 302, 3643, 15459, 1217, 694, 6641]",north,北
"Русский: ""方"" - Русский: ""方""
Русский: ""木"" - Русский: ""木""
Русский: ""洞"" - Русский: ""洞""
Русский: ""进"" - Русский: ""进""
Русский: ""机"" - Русский: ""","[31429, 233]",机,"[23523, 7672, 286, 4933, 29885, 611, 8628, 5825, 655]",machine,机
"Русский: ""官"" - Русский: ""官""
Русский: ""千"" - Русский: ""千""
Русский: ""心"" - Русский: ""心""
Русский: ""土"" - Русский: ""土""
Русский: ""时"" - Русский: ""","[30594, 233]",时,"[2034, 9346, 2230, 260, 29873, 19538, 5335, 931]",time,时
"Русский: ""败"" - Русский: ""败""
Русский: ""夏"" - Русский: ""夏""
Русский: ""村"" - Русский: ""村""
Русский: ""百"" - Русский: ""百""
Русский: ""利"" - Русский: ""","[31107, 232]",利,"[915, 367, 289, 3856, 1785, 13982, 7795, 29890, 14169]",benefit,利
"Русский: ""村"" - Русский: ""村""
Русский: ""机"" - Русский: ""机""
Русский: ""平"" - Русский: ""平""
Русский: ""城"" - Русский: ""城""
Русский: ""位"" - Русский: ""","[30956, 231]",位,"[2602, 1066, 926, 772, 13686, 1129, 3283, 29886, 282]",position,位
"Русский: ""金"" - Русский: ""金""
Русский: ""删"" - Русский: ""删""
Русский: ""布"" - Русский: ""布""
Русский: ""街"" - Русский: ""街""
Русский: ""省"" - Русский: ""","[31600, 234]",省,"[410, 771, 558, 12291, 16123, 1326, 8482, 282, 29886, 544]",province,省
"Русский: ""街"" - Русский: ""街""
Русский: ""种"" - Русский: ""种""
Русский: ""电"" - Русский: ""电""
Русский: ""子"" - Русский: ""子""
Русский: ""交"" - Русский: ""","[31398, 231]",交,"[14523, 735, 6543, 5566, 29872, 321, 429]",exchange,交
"Русский: ""色"" - Русский: ""色""
Русский: ""户"" - Русский: ""户""
Русский: ""站"" - Русский: ""站""
Русский: ""判"" - Русский: ""判""
Русский: ""中"" - Русский: ""","[30275, 231]",中,"[7256, 286, 29885, 3737, 17662, 2460, 6563, 7145]",middle,中
