prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""gauche"" - English: ""left""
Français: ""pont"" - English: ""bridge""
Français: ""bouche"" - English: ""mouth""
Français: ""lac"" - English: ""lake""
Français: ""avancer"" - English: ""","[17263, 328, 29874, 594, 3061, 263, 6564]",advance,"[31174, 235]",进,avancer
"Français: ""discours"" - English: ""speech""
Français: ""gare"" - English: ""station""
Français: ""étoile"" - English: ""star""
Français: ""filet"" - English: ""net""
Français: ""tentative"" - English: ""","[1131, 15127, 21609, 472, 29874, 263, 1098, 271, 4218]",attempt,"[31787, 235]",试,tentative
"Français: ""roche"" - English: ""rock""
Français: ""quatre"" - English: ""four""
Français: ""forêt"" - English: ""forest""
Français: ""personne"" - English: ""person""
Français: ""sac"" - English: ""","[9922, 2291, 29890, 23156, 19548, 289]",bag,"[31473, 232]",包,sac
"Français: ""neuf"" - English: ""nine""
Français: ""plate-forme"" - English: ""platform""
Français: ""main"" - English: ""hand""
Français: ""temps"" - English: ""time""
Français: ""ballon"" - English: ""","[9922, 2291, 29890, 5521, 2135, 6411, 289, 8287]",ball,"[31539, 234]",球,ballon
"Français: ""étang"" - English: ""pond""
Français: ""cheval"" - English: ""horse""
Français: ""discours"" - English: ""speech""
Français: ""montagne"" - English: ""mountain""
Français: ""beauté"" - English: ""","[6562, 29890, 367, 15409, 915, 289]",beauty,"[30630, 234]",美,beauté
"Français: ""un"" - English: ""one""
Français: ""vertu"" - English: ""virtue""
Français: ""mot"" - English: ""word""
Français: ""ligne"" - English: ""line""
Français: ""pont"" - English: ""","[18419, 28635, 1182, 29890, 12945, 289, 1506, 19515]",bridge,"[31749, 233]",桥,pont
"Français: ""mère"" - English: ""mother""
Français: ""juge"" - English: ""judge""
Français: ""enfant"" - English: ""child""
Français: ""cravate"" - English: ""tie""
Français: ""grotte"" - English: ""","[18346, 29883, 5777, 274, 1113, 24230]",cave,"[31886, 233]",洞,grotte
"Français: ""loi"" - English: ""law""
Français: ""danse"" - English: ""dance""
Français: ""grille"" - English: ""grid""
Français: ""vertu"" - English: ""virtue""
Français: ""enfant"" - English: ""","[305, 29883, 4161, 521, 5145, 2278, 274, 18558]",child,"[30319, 232]",子,enfant
"Français: ""pied"" - English: ""foot""
Français: ""réunion"" - English: ""meeting""
Français: ""grotte"" - English: ""cave""
Français: ""sol"" - English: ""ground""
Français: ""ville"" - English: ""","[20752, 4583, 29883, 455, 12690, 7537, 274, 4272]",city,"[30626, 232]",城,ville
"Français: ""bourse"" - English: ""exchange""
Français: ""gare"" - English: ""station""
Français: ""sac"" - English: ""bag""
Français: ""vertu"" - English: ""virtue""
Français: ""nuage"" - English: ""","[15126, 23642, 29883, 17184, 695, 9274, 1067, 274, 9570]",cloud,"[31784, 231]",云,nuage
"Français: ""paire"" - English: ""pair""
Français: ""carré"" - English: ""square""
Français: ""loi"" - English: ""law""
Français: ""histoire"" - English: ""history""
Français: ""couleur"" - English: ""","[1302, 784, 29883, 2927, 10965, 2780, 1054, 274, 1111]",color,"[31085, 235]",色,couleur
"Français: ""sac"" - English: ""bag""
Français: ""personne"" - English: ""person""
Français: ""tour"" - English: ""tower""
Français: ""mot"" - English: ""word""
Français: ""danse"" - English: ""","[29881, 1388, 18386, 270, 1146, 17948, 6025]",dance,"[31939, 235]",舞,danse
"Français: ""défaite"" - English: ""defeat""
Français: ""école"" - English: ""school""
Français: ""lumière"" - English: ""light""
Français: ""milieu"" - English: ""middle""
Français: ""jour"" - English: ""","[29881, 1388, 270, 1146, 2462, 3250]",day,"[30325, 233]",日,jour
