prompt,out_token_id,out_token_str,latent_token_id,latent_token_str
"Le chiffre qui vient après quatre est ""___"". Réponse : ""cinq"".
Le ""___"" est un organe qui pompe le sang dans tout le corps. Réponse : le ""cœur"".
Un ""___"" est une masse visible de vapeur d'eau condensée flottant dans l'atmosphère. Réponse : ""","[302, 29876, 3433, 4948]",nuage,"[17184, 274, 1067, 695, 29883, 9570, 9274, 23642, 15126]",cloud
"Une ""___"" est une zone basse entre des collines ou des montagnes, généralement traversée par une rivière. Réponse : ""vallée"".
Une ""___"" est une division sociale dans une société traditionnelle composée de familles ou de communautés liées par des liens sociaux, économiques, religieux ou de sang. Réponse : la ""tribu"".
Un ""___"" est utilisé pour transporter des objets. Réponse : ""","[872, 4977, 29879, 269, 7067]",sac,"[29890, 23156, 9922, 289, 2291, 19548]",bag
"Une ""___"" est un lieu où les élèves se rendent pour apprendre. Réponse : ""l'école"".
Une ""___"" est utilisée pour désigner différentes formes ou étapes dans le développement de quelque chose. Réponse : ""version"".
La ""___"" sert à manger et à parler. Réponse : ""","[1045, 29890, 289, 16380, 833]",bouche,"[2730, 4346, 286, 29885, 29442, 13394, 21026]",mouth
"""Une ""___"" est un ensemble de deux choses utilisées ensemble ou considérées comme une unité. Réponse : ""paire"".
Une ""___"" est une direction opposée à la droite. Réponse : ""gauche"".
Le ""___"" est un organe qui pompe le sang dans tout le corps. Réponse : ""","[274, 29883]",cœur,"[23057, 5192, 540, 354, 29882, 298, 8293]",heart
"Une ""___"" est un morceau long et étroit d'un certain matériau. Réponse : ""bande"".
""___"" ""un"" est un nombre qui vient après zéro et avant deux. Réponse : ""un"".
Une ""___"" est utilisée pour saisir ou tenir des objets. Réponse : ""","[611, 5530, 655, 24402, 286, 29885, 1667, 3396]",main,"[1361, 2350, 3179, 5403, 29882, 5905, 298, 447]",hand
"Le nombre ""___"" est le nombre entier qui vient après trois. Réponse : ""quatre"".
Un ""___"" est utilisé pour fabriquer des meubles. Réponse : le ""bois"".
Un ""___"" est une période de 24 heures, souvent comprise comme le temps nécessaire à la Terre pour effectuer une rotation. Réponse : ""","[2958, 20551, 432, 2212, 8121, 8694, 29926]",jour,"[3250, 1146, 2462, 1388, 270, 29881]",day
"Une ""___"" est utilisée pour fournir des informations ou des données. Réponse : ""source"".
Le chiffre qui vient après huit est ""___"". Réponse : ""neuf"".
Une ""___"" est un corps céleste qui brille dans le ciel nocturne. Réponse : ""","[1893, 2852, 904, 29948]",étoile,"[9523, 5810, 29879, 303, 269, 8508, 5173, 380]",star
"Une ""___"" est un système de règles qu'une société ou un gouvernement élabore pour lutter contre la criminalité, les accords commerciaux et les relations sociales. Réponse : ""loi"".
Une ""___"" est une division sociale dans une société traditionnelle composée de familles ou de communautés liées par des liens sociaux, économiques, religieux ou de sang. Réponse : la ""tribu"".
Un ""___"" est un dispositif qui emmagasine de l'énergie mécanique et qui peut être comprimé ou étiré. Réponse : ""","[18475, 690, 29878, 1253, 337, 276, 364, 620]",ressort,"[6709, 7689, 805, 15099, 4278, 29879, 269, 1028]",spring
"Un ""___"" sert à s'asseoir et à se reposer. Réponse : ""siège"".
""Le ""___"" est une direction cardinale opposée au nord. Réponse : ""sud"".
Une ""___"" est un satellite naturel qui tourne autour d'une planète. Réponse : ""","[6092, 29880, 301, 8092, 25081]",lune,"[2730, 18786, 4346, 286, 29885]",moon
"La ""___"" sert à manger et à parler. Réponse : la ""bouche"".
Un ""___"" est une valeur numérique qui vient après neuf cent quatre-vingt-dix-neuf. Réponse : ""mille"".
Un ""___"" est utilisé pour fabriquer des meubles. Réponse : ""","[1045, 29890, 23734, 833, 289]",bois,"[6115, 8879, 827, 29893, 281, 8112]",wood
"""___"" est un terme utilisé pour décrire le fait d'aller de l'avant ou de faire des progrès. Réponse : ""avancer"".
Un ""___"" est un jeune être humain n'ayant pas atteint l'âge de la puberté. Réponse : ""enfant"".
Une ""___"" est un morceau de musique avec des paroles qui est chanté. Réponse : ""","[10329, 5083, 25875, 274, 29883, 305, 521, 5815]",chanson,"[1100, 577, 578, 21453, 29879, 269, 4823, 1487]",song
"Une ""___"" est un lieu où les élèves se rendent pour apprendre. Réponse : ""l'école"".
Un ""___"" est un certain nombre de personnes ou de choses qui sont situées, rassemblées ou classées ensemble. Réponse : ""groupe"".
Un ""___"" est une petite étendue d'eau calme. Réponse : ""","[1893, 2852, 28899, 904, 29948]",étang,"[1112, 282, 1129, 2818, 12509, 772, 29886]",pond
"Le chiffre qui vient après cinq est ""___"". Réponse : ""six"".
Un ""___"" est un dispositif qui emmagasine de l'énergie mécanique et qui peut être comprimé ou étiré. Réponse : le ""ressort"".
Une ""___"" est une perturbation qui transfère de l'énergie dans la matière ou l'espace. Réponse : ""","[373, 288, 29877, 13469, 265, 898, 16504]",onde,"[10742, 11324, 27766, 2766, 29893, 281]",wave
"Une ""___"" est une vaste zone couverte principalement d'arbres et de sous-bois. Réponse : ""forêt"".
""L'""___"" est une saison connue pour son temps chaud. Réponse : ""l'été"".
Une ""___"" est un espace souterrain naturel suffisamment grand pour qu'un être humain puisse y pénétrer. Réponse : ""","[17170, 4071, 867, 29887, 629, 330]",grotte,"[24230, 274, 29883, 1113, 5777, 18346]",cave
"Un ""___"" sert à s'asseoir et à se reposer. Réponse : ""siège"".
Un ""delete"" est utilisé pour ""___"" du texte ou des données. Réponse : ""supprimer"".
Une ""___"" est une grande étendue d'eau salée plus petite qu'un océan. Réponse : ""","[1050, 286, 2778, 592, 1004, 29885]",mer,"[7205, 344, 29879, 409, 269]",sea
"Une ""___"" est une grande étendue d'eau salée plus petite qu'un océan. Réponse : ""mer"".
Un ""___"" est une grande étendue d'eau salée qui recouvre la majeure partie de la surface de la terre. Réponse : ""océan"".
Une ""___"" est un endroit où les trains ou les bus s'arrêtent régulièrement pour que les passagers puissent monter ou descendre. Réponse : ""","[5397, 3249, 10364, 7171, 29887, 24816, 330]",gare,"[23436, 5073, 19569, 9523, 29879, 1002, 303, 6112, 269, 5173, 380]",station
"Un ""___"" est un terme utilisé pour décrire une unité résidentielle où vivent des personnes. Réponse : ""ménage"".
""Un ""___"" est utilisé pour contrôler ou influencer des personnes ou des choses. Réponse : ""pouvoir"".
Un ""___"" est utilisé dans des sports comme le volley-ball et le tennis pour diviser l'aire de jeu. Réponse : ""","[29888, 7241, 1445, 977, 5713, 934, 1777, 285]",filet,"[484, 302, 29876, 452, 7787, 1212]",net
"Un ""___"" est une forme ayant quatre côtés égaux et quatre angles droits. Réponse : ""carré"".
Le nombre ""___"" est le nombre entier qui vient après trois. Réponse : ""quatre"".
Le ""___"" sert à marcher et à courir. Réponse : ""","[2930, 282, 5036, 12343, 1631, 15957, 29886]",pied,"[29888, 3661, 1701, 5431, 1181, 7953, 6661, 285]",foot
"Le nombre ""___"" est la somme de un plus un. Réponse : ""deux"".
Un ""___"" est une forme ayant quatre côtés égaux et quatre angles droits. Réponse : ""carré"".
""Un ""___"" est un métal précieux qui est souvent utilisé dans la fabrication de bijoux. Réponse : ""","[272, 470, 288, 29877]",or,"[1484, 15192, 7684, 29887, 748, 330]",gold
"Une ""___"" est une partie du corps qui contient le cerveau, les yeux, les oreilles, le nez et la bouche. Réponse : ""tête"" : ""tête"".
Une ""___"" est un satellite naturel qui tourne autour d'une planète. Réponse : ""lune"".
Une ""___"" est utilisée pour entrer ou sortir d'une pièce. Réponse : ""","[14931, 282, 1129, 2011, 637, 1971, 1277, 772, 29886, 13732]",porte,"[3050, 437, 1867, 17433, 270, 29881]",door
"Une ""___"" est une grande étendue d'eau salée plus petite qu'un océan. Réponse : ""mer"".
Une ""___"" est une voie publique dans une ville ou un village. Réponse : ""rue"".
""Une ""___"" est une forme de précipitation qui tombe du ciel en hiver. Réponse : ""","[484, 302, 29876, 452, 12106]",neige,"[29879, 16586, 5807, 269, 15007]",snow
"Un ""___"" est un élément de discours ou d'écriture unique et distinct, utilisé avec d'autres (ou parfois seul) pour former une phrase et généralement représenté avec un espace de part et d'autre lorsqu'il est écrit ou imprimé. Réponse : ""mot"".
""Un ""___"" est utilisé pour planter des arbres et des cultures. Réponse : ""sol"".
Un ""___"" est un grand animal domestique à quatre pattes, couramment utilisé pour l'équitation et les courses. Réponse : ""","[923, 29823, 274, 25042, 29883, 305, 1173, 521]",cheval,"[10435, 4029, 11231, 29882, 1251, 5089, 298, 2015]",horse
"Une ""___"" est un lieu où les élèves se rendent pour apprendre. Réponse : ""l'école"".
Le nombre ""___"" est le nombre entier qui vient après trois. Réponse : ""quatre"".
""___"" ""un"" est un nombre qui vient après zéro et avant deux. Réponse : ""","[29884, 318, 348, 443]",un,"[697, 373, 288, 650, 29877, 265]",one
"Une ""___"" est un grand établissement humain où les gens vivent et travaillent. Réponse : ""ville"".
Une ""___"" est une partie du corps qui contient le cerveau, les yeux, les oreilles, le nez et la bouche. Réponse : ""tête"" : ""tête"".
Le nombre ""___"" est la somme de un plus un. Réponse : ""","[4239, 311, 270, 29881, 316]",deux,"[260, 1023, 3252, 10184, 7516, 29873]",two
"Une ""___"" est une perturbation qui transfère de l'énergie dans la matière ou l'espace. Réponse : ""onde"".
Une ""___"" est une partie du corps qui contient le cerveau, les yeux, les oreilles, le nez et la bouche. Réponse : ""tête"" : ""tête"".
Le nombre ""___"" est le nombre entier qui vient après trois. Réponse : ""","[21408, 12134, 29939, 439, 339, 3855]",quatre,"[29888, 17823, 3023, 1701, 1181, 12584, 285]",four
"Une ""___"" est souvent offerte en cadeau et se trouve dans les jardins. Réponse : ""fleur"".
""Le ""___"" est une direction cardinale souvent associée aux régions froides et polaires. Réponse : ""nord"".
Le chiffre qui vient après quatre est ""___"". Réponse : ""","[16381, 274, 29883, 455, 17256, 4583, 4670]",cinq,"[29888, 7241, 20818, 5713, 285, 5320]",five
"Un ""delete"" est utilisé pour ""___"" du texte ou des données. Réponse : ""supprimer"".
Une ""___"" est une qualité considérée comme moralement bonne ou souhaitable chez une personne. Réponse : ""vertu"".
Le chiffre ""___"" vient après le sept. Réponse : ""","[6905, 15669, 298, 29882, 22888, 27052]",huit,"[321, 9475, 29319, 15761, 10096, 29872]",eight
"""Une ""___"" est une forme de précipitation qui tombe du ciel en hiver. Réponse : ""neige"".
Une ""___"" est une direction opposée à la droite. Réponse : ""gauche"".
Le chiffre qui vient après neuf est ""___"". Réponse : ""","[23386, 652, 270, 29881, 6051]",dix,"[371, 260, 734, 841, 3006, 29873]",ten
"Une ""___"" est souvent offerte en cadeau et se trouve dans les jardins. Réponse : ""fleur"".
Une ""___"" est un endroit où les trains ou les bus s'arrêtent régulièrement pour que les passagers puissent monter ou descendre. Réponse : ""gare"".
Une ""___"" est une partie du corps qui contient le cerveau, les yeux, les oreilles, le nez et la bouche. Réponse : ""","[260, 17949, 29873]",tête,"[540, 298, 354, 29882, 2813, 2343]",head
"Le ""___"" sert à marcher et à courir. Réponse : le ""pied"".
Une ""___"" est un être humain considéré comme un individu. Réponse : ""personne"".
Une ""___"" est un morceau long et étroit d'un certain matériau. Réponse : ""","[3719, 29890, 27628, 9922, 2571, 289, 2291, 4980, 9892]",bande,"[17820, 710, 29879, 17010, 851, 303, 269, 380, 10076]",strip
"La ""___"" sert à manger et à parler. Réponse : la ""bouche"".
""Un ""___"" est une catégorie ou un type de chose. Réponse : ""genre"".
Une ""___"" est une voie publique dans une ville ou un village. Réponse : ""","[582, 5796, 29878, 16014, 364]",rue,"[710, 29352, 13045, 29879, 11952, 851, 303, 269, 12243, 380]",street
"Un ""___"" est un dispositif qui emmagasine de l'énergie mécanique et qui peut être comprimé ou étiré. Réponse : le ""ressort"".
Une ""___"" est un morceau de musique avec des paroles qui est chanté. Réponse : ""chanson"".
Un ""___"" sert à voir tout ce qui nous entoure. Réponse : """,[30106],œil,"[321, 10977, 1032, 29872]",eye
"Le chiffre qui vient après quatre est ""___"". Réponse : ""cinq"".
Le ""___"" est la partie avant de la tête d'une personne, comprenant le front, les yeux, le nez et la bouche. Réponse : le ""visage"".
Un ""___"" est une vaste zone de terre ouverte où l'on cultive des plantes. Réponse : ""","[18480, 10329, 274, 29883, 11179, 305, 521, 5815]",champ,"[29888, 7241, 1746, 29607, 2671, 5713, 285]",field
"""L'""___"" est une direction cardinale opposée à l'ouest. Réponse : ""est"".
On parle de ""___"" lorsqu'on essaie de réaliser quelque chose. Réponse : ""tentative"".
Un ""___"" est un élément de discours ou d'écriture unique et distinct, utilisé avec d'autres (ou parfois seul) pour former une phrase et généralement représenté avec un espace de part et d'autre lorsqu'il est écrit ou imprimé. Réponse : ""","[2730, 3184, 4346, 286, 14817, 29885]",mot,"[8879, 13762, 827, 6365, 1734, 29893, 281, 1742]",word
"Un ""___"" est un type d'aliment souvent sucré provenant d'une plante. Réponse : ""fruit"".
Un ""___"" est une petite communauté ou un groupe de maisons dans une zone rurale. Réponse : ""village"".
Un ""___"" est une valeur numérique qui vient après neuf cent quatre-vingt-dix-neuf. Réponse : ""","[2316, 3533, 23853, 3737, 19958, 286, 29885, 2460]",mille,"[266, 260, 10405, 12595, 386, 7693, 29873]",thousand
"Une ""___"" est utilisée pour constituer un tout. Réponse : ""partie"".
""Un ""___"" est une allocution formelle ou un discours prononcé devant un auditoire. Réponse : ""discours"".
Une ""___"" est un lieu où l'on achète et vend des actions, des obligations ou d'autres titres. Réponse : ""","[1045, 29890, 16380, 6526, 833, 289]",bourse,"[321, 429, 735, 6543, 14523, 5566, 29872]",exchange
"Un ""___"" est une grande étendue d'eau salée qui recouvre la majeure partie de la surface de la terre. Réponse : ""océan"".
Un ""___"" est un endroit précis dans l'espace. Réponse : ""point"".
""Un ""___"" est une catégorie ou un type de chose. Réponse : ""","[16151, 1737, 1885, 29887, 479, 330, 2531]",genre,"[9089, 2924, 1984, 19015, 29895, 14380, 8506, 413]",kind
"Un ""___"" est une petite communauté ou un groupe de maisons dans une zone rurale. Réponse : ""village"".
Une ""___"" est un réseau de lignes qui se croisent pour former une série de carrés ou de rectangles. Réponse : ""grille"".
Une ""___"" est un lieu où les élèves se rendent pour apprendre. Réponse : ""","[24618, 904, 29948, 4582]",école,"[27041, 3762, 1364, 29879, 1557, 885, 269, 816]",school
"Une ""___"" est un réseau de lignes qui se croisent pour former une série de carrés ou de rectangles. Réponse : ""grille"".
Une ""___"" est un grand établissement humain où les gens vivent et travaillent. Réponse : ""ville"".
Une ""___"" est portée autour du cou dans le cadre d'une tenue de soirée. Réponse : ""","[12220, 274, 29883, 26844, 7283, 2181]",cravate,"[19538, 260, 22134, 29873, 2034]",tie
"Une ""___"" est une division administrative principale de certains pays ou empires. Réponse : ""province"".
Un ""___"" est une petite étendue d'eau calme. Réponse : ""étang"".
Le ""___"" est la partie avant de la tête d'une personne, comprenant le front, les yeux, le nez et la bouche. Réponse : ""","[1403, 1730, 325, 29894, 3516, 1998]",visage,"[29888, 17470, 5444, 3700, 2161, 2258, 4024, 285]",face
"Une ""___"" est utilisée pour fournir des informations ou des données. Réponse : ""source"".
""Une ""___"" est une forme de précipitation qui tombe du ciel en hiver. Réponse : ""neige"".
Un ""___"" est utilisé pour relier deux zones séparées par des obstacles tels que des rivières ou des routes. Réponse : ""","[1112, 282, 1129, 12509, 29649, 772, 13185, 29886]",pont,"[29890, 12945, 28635, 1506, 19515, 1182, 18419, 289]",bridge
"Une ""___"" est une direction opposée à la droite. Réponse : ""gauche"".
Une ""___"" est utilisée pour constituer un tout. Réponse : ""partie"".
Un ""delete"" est utilisé pour ""___"" du texte ou des données. Réponse : ""","[13159, 1462, 29879, 2146, 12587, 269, 480, 19303]",supprimer,"[628, 311, 7374, 6144, 8143, 5217, 270, 29881, 316]",delete
"Une ""___"" est une marque étroite et continue, comme celle faite par un stylo, un crayon ou un pinceau. Réponse : ""ligne"".
Un ""___"" est une boisson souvent consommée pour se détendre ou se réchauffer. Réponse : le ""thé"".
Une ""___"" est un endroit où les gens vivent. Réponse : ""","[611, 3503, 5530, 655, 24402, 286, 29885, 18234]",maison,"[10774, 9261, 3699, 29882, 1251, 5089, 298, 8697]",house
"Un ""___"" est un élément de discours ou d'écriture unique et distinct, utilisé avec d'autres (ou parfois seul) pour former une phrase et généralement représenté avec un espace de part et d'autre lorsqu'il est écrit ou imprimé. Réponse : ""mot"".
Une ""___"" est utilisée pour désigner différentes formes ou étapes dans le développement de quelque chose. Réponse : ""version"".
Une ""___"" est un rassemblement de personnes dans un but précis, souvent pour discuter ou prendre des décisions. Réponse : ""","[5606, 29878, 364, 1841]",réunion,"[5870, 17897, 286, 592, 1004, 29885, 11781]",meeting
"Un ""___"" est une période de 24 heures, souvent comprise comme le temps nécessaire à la Terre pour effectuer une rotation. Réponse : ""jour"".
""Un ""___"" est utilisé pour construire des châteaux à la plage. Réponse : ""sable"".
Un ""___"" est une forme ayant quatre côtés égaux et quatre angles droits. Réponse : ""","[1559, 274, 29883, 1113, 5777, 4287]",carré,"[6862, 26613, 18074, 10674, 29879, 3044, 269, 17619]",square
"Une ""___"" est utilisée pour soutenir ou élever quelque chose. Réponse : ""plate-forme"".
""Le ""___"" est le point qui se trouve à égale distance des côtés ou des limites extérieures d'une chose. Réponse : ""le ""milieu"".
Une ""___"" est un grand établissement humain où les gens vivent et travaillent. Réponse : ""","[8441, 1403, 11928, 17191, 325, 4909, 29894, 3516, 4213]",ville,"[7537, 12690, 20752, 274, 29883, 455, 4583, 4272]",city
"Une ""___"" est utilisée pour éclairer les espaces sombres. Réponse : ""lumière"".
Une ""___"" est utilisée pour entrer ou sortir d'une pièce. Réponse : ""porte"".
""Une ""___"" est utilisée pour mesurer la vitesse de déplacement d'un objet. Réponse : ""","[1403, 13901, 325, 29894, 3516]",vitesse,"[805, 6210, 29879, 19322, 5965, 269, 961, 1028]",speed
"Un ""delete"" est utilisé pour ""___"" du texte ou des données. Réponse : ""supprimer"".
Un ""___"" est un certain nombre de personnes ou de choses qui sont situées, rassemblées ou classées ensemble. Réponse : ""groupe"".
""Un ""___"" est l'endroit où l'on marche et où l'on construit des maisons. Réponse : ""","[577, 578, 2929, 29879, 899, 269]",sol,"[17170, 4071, 867, 2057, 29887, 5962, 629, 330]",ground
"""Une ""horloge"" est utilisée pour mesurer le ""___"". Réponse : le ""temps"""".
Une ""___"" est un endroit où les gens vivent. Réponse : ""maison"".
On parle de ""___"" lorsqu'on essaie de réaliser quelque chose. Réponse : ""","[371, 260, 734, 12033, 841, 3006, 29873]",tentative,"[29874, 1131, 263, 472, 1098, 21609, 4218, 271, 15127]",attempt
"Un ""___"" est utilisé pour rendre un article acheté. Réponse : ""retour"".
Un ""___"" est une petite communauté ou un groupe de maisons dans une zone rurale. Réponse : ""village"".
La ""___"" est la partie du corps d'un animal qui s'étend à partir de la base de la colonne vertébrale. Réponse : ""","[802, 29939, 712, 9521, 439, 9990, 339, 3855]",queue,"[11062, 260, 18237, 941, 12464, 29873]",tail
"Une ""___"" est une structure haute qui peut être utilisée à diverses fins telles que l'observation, la communication ou le stockage. Réponse : ""tour"".
""L'""___"" est une saison connue pour son temps chaud. Réponse : ""l'été"".
""Un ""___"" est une allocution formelle ou un discours prononcé devant un auditoire. Réponse : ""","[2218, 17021, 766, 29881, 652, 270, 2313, 6051]",discours,"[805, 12032, 29879, 5965, 269, 961, 1028]",speech
"On parle de ""___"" lorsqu'on essaie de réaliser quelque chose. Réponse : ""tentative"".
Un ""___"" est un dispositif qui emmagasine de l'énergie mécanique et qui peut être comprimé ou étiré. Réponse : le ""ressort"".
Un ""___"" est un jeune être humain n'ayant pas atteint l'âge de la puberté. Réponse : ""","[321, 427, 264, 23578, 29872, 12377]",enfant,"[274, 2278, 5145, 29883, 305, 18558, 521, 4161]",child
"Une ""___"" est une femme qui a donné naissance à un enfant. Réponse : ""mère"".
""L'""___"" est une saison connue pour son temps chaud. Réponse : ""l'été"".
Un ""___"" est un terme utilisé pour décrire une unité résidentielle où vivent des personnes. Réponse : ""","[8774, 12031, 286, 29885]",ménage,"[10774, 9261, 3699, 29882, 22329, 1251, 5089, 298, 8697]",household
"Une ""___"" est un lieu où les élèves se rendent pour apprendre. Réponse : ""l'école"".
""Le ""___"" est une direction cardinale opposée au nord. Réponse : ""sud"".
Un ""___"" est un endroit où les gens font habituellement leur travail. Réponse : ""","[8399, 29890, 1321, 289, 6866, 2423]",bureau,"[974, 2696, 288, 1283, 3344, 29877, 8034, 20205, 310]",office
"On parle de ""___"" lorsqu'on essaie de réaliser quelque chose. Réponse : ""tentative"".
Un ""___"" est une grande étendue d'eau entourée de terre. Réponse : ""lac"".
""Une ""___"" est utilisée pour décrire une augmentation ou un mouvement vers le haut. Réponse : ""","[2350, 6208, 29882, 298, 447]",hausse,"[374, 10107, 3780, 14451, 29878, 364, 5161]",rise
"Le ""___"" est la partie avant de la tête d'une personne, comprenant le front, les yeux, le nez et la bouche. Réponse : le ""visage"".
Un ""___"" est une personne qui préside une procédure judiciaire, seule ou en tant que membre d'un collège de juges. Réponse : ""juge"".
Une ""___"" est une direction opposée à la droite. Réponse : ""","[3249, 10364, 29887, 26003, 13395, 330]",gauche,"[25874, 29880, 2175, 454, 280, 301, 1563]",left
"Un ""___"" est utilisé pour fabriquer des meubles. Réponse : le ""bois"".
Un ""___"" est quelque chose que l'on entend. Réponse : ""son"".
""L'""___"" est une saison connue pour son temps chaud. Réponse : ""","[1893, 2852, 4370, 7342, 904, 29948]",été,"[11801, 22792, 2083, 29879, 2146, 2533, 269, 480]",summer
