prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - Русский: ""五""
Deutsch: ""cœur"" - Русский: ""心""
Deutsch: ""partie"" - Русский: ""部""
Deutsch: ""trois"" - Русский: ""三""
Deutsch: ""nuage"" - Русский: ""","[31784, 231]",云,"[9570, 23642, 15126, 9274, 17184, 1067, 695, 29883, 274]",cloud,nuage
"Deutsch: ""vallée"" - Русский: ""谷""
Deutsch: ""tribu"" - Русский: ""族""
Deutsch: ""vertu"" - Русский: ""德""
Deutsch: ""œil"" - Русский: ""目""
Deutsch: ""sac"" - Русский: ""","[31473, 232]",包,"[9922, 19548, 289, 23156, 29890, 2291]",bag,sac
"Deutsch: ""école"" - Русский: ""校""
Deutsch: ""version"" - Русский: ""版""
Deutsch: ""point"" - Русский: ""点""
Deutsch: ""mille"" - Русский: ""千""
Deutsch: ""bouche"" - Русский: ""","[30856, 232]",口,"[4346, 29442, 13394, 286, 21026, 29885, 2730]",mouth,bouche
"Deutsch: ""champ"" - Русский: ""场""
Deutsch: ""nord"" - Русский: ""北""
Deutsch: ""fleur"" - Русский: ""花""
Deutsch: ""tour"" - Русский: ""塔""
Deutsch: ""sol"" - Русский: ""","[31181, 232]",土,"[577, 29879, 269, 578, 22473]",soil,sol
"Deutsch: ""temps"" - Русский: ""时""
Deutsch: ""porte"" - Русский: ""门""
Deutsch: ""vallée"" - Русский: ""谷""
Deutsch: ""rue"" - Русский: ""街""
Deutsch: ""montagne"" - Русский: ""","[30329, 232]",山,"[4346, 29442, 14378, 286, 29885, 2730, 16476, 5766]",mountain,montagne
"Deutsch: ""paire"" - Русский: ""双""
Deutsch: ""gauche"" - Русский: ""左""
Deutsch: ""été"" - Русский: ""夏""
Deutsch: ""sept"" - Русский: ""七""
Deutsch: ""cœur"" - Русский: ""","[30869, 232]",心,"[540, 29882, 298, 23057, 8293, 5192, 354]",heart,cœur
"Deutsch: ""bande"" - Русский: ""条""
Deutsch: ""un"" - Русский: ""一""
Deutsch: ""jour"" - Русский: ""日""
Deutsch: ""enfant"" - Русский: ""子""
Deutsch: ""main"" - Русский: ""","[30880, 233]",手,"[5905, 2350, 29882, 3179, 5403, 298, 447, 1361]",hand,main
"Deutsch: ""quatre"" - Русский: ""四""
Deutsch: ""bois"" - Русский: ""木""
Deutsch: ""rouge"" - Русский: ""红""
Deutsch: ""gauche"" - Русский: ""左""
Deutsch: ""jour"" - Русский: ""","[30325, 233]",日,"[2462, 270, 3250, 1146, 1388, 29881]",day,jour
"Deutsch: ""source"" - Русский: ""源""
Deutsch: ""neuf"" - Русский: ""九""
Deutsch: ""main"" - Русский: ""手""
Deutsch: ""ligne"" - Русский: ""线""
Deutsch: ""étoile"" - Русский: ""","[30900, 233]",星,"[9523, 380, 303, 5173, 8508, 5810, 29879, 269]",star,étoile
"Deutsch: ""loi"" - Русский: ""法""
Deutsch: ""tribu"" - Русский: ""族""
Deutsch: ""bouche"" - Русский: ""口""
Deutsch: ""gauche"" - Русский: ""左""
Deutsch: ""ressort"" - Русский: ""","[31031, 233]",春,"[4278, 29879, 15099, 269, 805, 7689, 6709, 1028]",spring,ressort
"Deutsch: ""siège"" - Русский: ""座""
Deutsch: ""sud"" - Русский: ""南""
Deutsch: ""quatre"" - Русский: ""四""
Deutsch: ""or"" - Русский: ""金""
Deutsch: ""lune"" - Русский: ""","[30534, 233]",月,"[4346, 286, 29885, 2730, 18786]",moon,lune
"Deutsch: ""bouche"" - Русский: ""口""
Deutsch: ""mille"" - Русский: ""千""
Deutsch: ""ménage"" - Русский: ""户""
Deutsch: ""été"" - Русский: ""夏""
Deutsch: ""bois"" - Русский: ""","[30710, 233]",木,"[8112, 6115, 8879, 281, 827, 29893]",wood,bois
"Deutsch: ""forêt"" - Русский: ""林""
Deutsch: ""cravate"" - Русский: ""结""
Deutsch: ""six"" - Русский: ""六""
Deutsch: ""dix"" - Русский: ""十""
Deutsch: ""village"" - Русский: ""","[30402, 233]",村,"[4213, 29894, 325, 21031, 3516, 5720, 28765, 17191, 11928, 1403]",village,village
"Deutsch: ""tête"" - Русский: ""头""
Deutsch: ""génération"" - Русский: ""代""
Deutsch: ""océan"" - Русский: ""洋""
Deutsch: ""quatre"" - Русский: ""四""
Deutsch: ""forêt"" - Русский: ""","[30853, 233]",林,"[1181, 1079, 29888, 285, 1701, 13569, 363, 26839, 1454]",forest,forêt
"Deutsch: ""défaite"" - Русский: ""败""
Deutsch: ""bande"" - Русский: ""条""
Deutsch: ""bouche"" - Русский: ""口""
Deutsch: ""sud"" - Русский: ""南""
Deutsch: ""fruit"" - Русский: ""","[30801, 233]",果,"[1341, 1424, 15774, 29888, 285]",fruit,fruit
"Deutsch: ""trois"" - Русский: ""三""
Deutsch: ""montagne"" - Русский: ""山""
Deutsch: ""milieu"" - Русский: ""中""
Deutsch: ""tentative"" - Русский: ""试""
Deutsch: ""grille"" - Русский: ""","[31168, 233]",格,"[6856, 867, 29887, 7720, 629, 330]",grid,grille
"Deutsch: ""avancer"" - Русский: ""进""
Deutsch: ""enfant"" - Русский: ""子""
Deutsch: ""sept"" - Русский: ""七""
Deutsch: ""groupe"" - Русский: ""群""
Deutsch: ""chanson"" - Русский: ""","[31173, 233]",歌,"[1100, 1487, 4823, 577, 21453, 29879, 269, 578]",song,chanson
"Deutsch: ""école"" - Русский: ""校""
Deutsch: ""groupe"" - Русский: ""群""
Deutsch: ""grille"" - Русский: ""格""
Deutsch: ""pouvoir"" - Русский: ""力""
Deutsch: ""étang"" - Русский: ""","[31853, 233]",池,"[1112, 2818, 12509, 29886, 1129, 772, 282]",pond,étang
"Deutsch: ""roche"" - Русский: ""岩""
Deutsch: ""maison"" - Русский: ""屋""
Deutsch: ""visage"" - Русский: ""面""
Deutsch: ""cheval"" - Русский: ""马""
Deutsch: ""sable"" - Русский: ""","[31476, 233]",沙,"[11982, 872, 9753, 29879, 28455, 269, 4977]",sand,sable
