prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""chanson"" - Deutsch: ""Lied""
Français: ""défaite"" - Deutsch: ""Niederlage""
Français: ""grotte"" - Deutsch: ""Höhle""
Français: ""carré"" - Deutsch: ""Quadrat""
Français: ""tentative"" - Deutsch: ""","[10138, 8980, 1798, 6565, 29963, 478]",Versuch,"[31787, 235]",试,tentative
"Français: ""exemple"" - Deutsch: ""Beispiel""
Français: ""jour"" - Deutsch: ""Tag""
Français: ""deux"" - Deutsch: ""zwei""
Français: ""vitesse"" - Deutsch: ""Geschwindigkeit""
Français: ""sac"" - Deutsch: ""","[23793, 10523, 29911, 323]",Tasche,"[31473, 232]",包,sac
"Français: ""deux"" - Deutsch: ""zwei""
Français: ""grille"" - Deutsch: ""Gitter""
Français: ""histoire"" - Deutsch: ""Geschichte""
Français: ""porte"" - Deutsch: ""Tür""
Français: ""ballon"" - Deutsch: ""","[7392, 6000, 350, 13402, 22031, 29933]",Ball,"[31539, 234]",球,ballon
"Français: ""loi"" - Deutsch: ""Gesetz""
Français: ""neuf"" - Deutsch: ""neun""
Français: ""talent"" - Deutsch: ""Talent""
Français: ""section"" - Deutsch: ""Abschnitt""
Français: ""beauté"" - Deutsch: ""","[2522, 1102, 4421, 4504, 29903, 28565, 317]",Schönheit,"[30630, 234]",美,beauté
"Français: ""vitesse"" - Deutsch: ""Geschwindigkeit""
Français: ""riz"" - Deutsch: ""Reis""
Français: ""enfant"" - Deutsch: ""Kind""
Français: ""bois"" - Deutsch: ""Holz""
Français: ""pont"" - Deutsch: ""","[12432, 350, 1771, 29933]",Brücke,"[31749, 233]",桥,pont
"Français: ""filet"" - Deutsch: ""Netz""
Français: ""six"" - Deutsch: ""sechs""
Français: ""rue"" - Deutsch: ""Straße""
Français: ""tribu"" - Deutsch: ""Stamm""
Français: ""grotte"" - Deutsch: ""","[29950, 11623, 379]",Höhle,"[31886, 233]",洞,grotte
"Français: ""beauté"" - Deutsch: ""Schönheit""
Français: ""personne"" - Deutsch: ""Person""
Français: ""version"" - Deutsch: ""Version""
Français: ""histoire"" - Deutsch: ""Geschichte""
Français: ""enfant"" - Deutsch: ""","[20311, 29968, 476, 16540, 11885, 13187]",Kind,"[30319, 232]",子,enfant
"Français: ""milieu"" - Deutsch: ""Mitte""
Français: ""cheval"" - Deutsch: ""Pferd""
Français: ""ménage"" - Deutsch: ""Haushalt""
Français: ""fleur"" - Deutsch: ""Blume""
Français: ""ville"" - Deutsch: ""","[7434, 855, 10347, 624, 29903, 317, 5587]",Stadt,"[30626, 232]",城,ville
"Français: ""océan"" - Deutsch: ""Ozean""
Français: ""mère"" - Deutsch: ""Mutter""
Français: ""exemple"" - Deutsch: ""Beispiel""
Français: ""cheval"" - Deutsch: ""Pferd""
Français: ""nuage"" - Deutsch: ""","[399, 11902, 14962, 29956]",Wolke,"[31784, 231]",云,nuage
"Français: ""grille"" - Deutsch: ""Gitter""
Français: ""exemple"" - Deutsch: ""Beispiel""
Français: ""section"" - Deutsch: ""Abschnitt""
Français: ""paire"" - Deutsch: ""Paar""
Français: ""couleur"" - Deutsch: ""","[8413, 383, 7748, 29943, 14206]",Farbe,"[31085, 235]",色,couleur
"Français: ""bourse"" - Deutsch: ""Börse""
Français: ""groupe"" - Deutsch: ""Gruppe""
Français: ""visage"" - Deutsch: ""Gesicht""
Français: ""dix"" - Deutsch: ""zehn""
Français: ""jour"" - Deutsch: ""","[8176, 10523, 29911, 10522, 323]",Tag,"[30325, 233]",日,jour
