prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""line"" - English: ""line""
English: ""head"" - English: ""head""
English: ""eight"" - English: ""eight""
English: ""friend"" - English: ""friend""
English: ""advance"" - English: ""","[6564, 29874, 17263, 3061, 594, 328, 263]",advance,"[31174, 235]",进,advance
"English: ""valley"" - English: ""valley""
English: ""bridge"" - English: ""bridge""
English: ""six"" - English: ""six""
English: ""mother"" - English: ""mother""
English: ""attempt"" - English: ""","[4218, 1131, 29874, 21609, 271, 15127, 472, 1098, 263]",attempt,"[31787, 235]",试,attempt
"English: ""street"" - English: ""street""
English: ""tail"" - English: ""tail""
English: ""painting"" - English: ""painting""
English: ""color"" - English: ""color""
English: ""bag"" - English: ""","[2291, 23156, 29890, 9922, 19548, 289]",bag,"[31473, 232]",包,bag
"English: ""four"" - English: ""four""
English: ""rise"" - English: ""rise""
English: ""platform"" - English: ""platform""
English: ""cloth"" - English: ""cloth""
English: ""ball"" - English: ""","[2291, 29890, 6411, 9922, 8287, 5521, 2135, 289]",ball,"[31539, 234]",球,ball
"English: ""position"" - English: ""position""
English: ""square"" - English: ""square""
English: ""virtue"" - English: ""virtue""
English: ""school"" - English: ""school""
English: ""beauty"" - English: ""","[915, 367, 29890, 15409, 6562, 289]",beauty,"[30630, 234]",美,beauty
"English: ""spring"" - English: ""spring""
English: ""generation"" - English: ""generation""
English: ""thousand"" - English: ""thousand""
English: ""rise"" - English: ""rise""
English: ""benefit"" - English: ""","[367, 29890, 14169, 13982, 7795, 915, 1785, 3856, 289]",benefit,"[31107, 232]",利,benefit
"English: ""painting"" - English: ""painting""
English: ""hand"" - English: ""hand""
English: ""ground"" - English: ""ground""
English: ""office"" - English: ""office""
English: ""book"" - English: ""","[833, 29890, 3143, 2909, 1045, 289]",book,"[31900, 231]",书,book
"English: ""meeting"" - English: ""meeting""
English: ""sun"" - English: ""sun""
English: ""nine"" - English: ""nine""
English: ""book"" - English: ""book""
English: ""bridge"" - English: ""","[29890, 1506, 28635, 18419, 1182, 19515, 289, 12945]",bridge,"[31749, 233]",桥,bridge
"English: ""east"" - English: ""east""
English: ""school"" - English: ""school""
English: ""head"" - English: ""head""
English: ""kind"" - English: ""kind""
English: ""cave"" - English: ""","[274, 18346, 5777, 24230, 1113, 29883]",cave,"[31886, 233]",洞,cave
"English: ""village"" - English: ""village""
English: ""square"" - English: ""square""
English: ""wood"" - English: ""wood""
English: ""kind"" - English: ""kind""
English: ""child"" - English: ""","[521, 274, 2278, 305, 4161, 5145, 29883, 18558]",child,"[30319, 232]",子,child
"English: ""defeat"" - English: ""defeat""
English: ""shop"" - English: ""shop""
English: ""position"" - English: ""position""
English: ""day"" - English: ""day""
English: ""city"" - English: ""","[274, 4583, 12690, 4272, 455, 7537, 29883, 20752]",city,"[30626, 232]",城,city
