prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - Français: ""五""
Deutsch: ""cœur"" - Français: ""心""
Deutsch: ""partie"" - Français: ""部""
Deutsch: ""trois"" - Français: ""三""
Deutsch: ""nuage"" - Français: """,[31784],云,"[9570, 23642, 274, 1067, 695, 15126, 17184, 29883, 9274]",cloud,nuage
"Deutsch: ""vallée"" - Français: ""谷""
Deutsch: ""tribu"" - Français: ""族""
Deutsch: ""vertu"" - Français: ""德""
Deutsch: ""œil"" - Français: ""目""
Deutsch: ""sac"" - Français: """,[31473],包,"[2291, 9922, 289, 19548, 23156, 29890]",bag,sac
"Deutsch: ""école"" - Français: ""校""
Deutsch: ""version"" - Français: ""版""
Deutsch: ""point"" - Français: ""点""
Deutsch: ""mille"" - Français: ""千""
Deutsch: ""bouche"" - Français: """,[30856],口,"[21026, 13394, 4346, 29885, 29442, 2730, 286]",mouth,bouche
"Deutsch: ""champ"" - Français: ""场""
Deutsch: ""nord"" - Français: ""北""
Deutsch: ""fleur"" - Français: ""花""
Deutsch: ""tour"" - Français: ""塔""
Deutsch: ""sol"" - Français: """,[31181],土,"[269, 29879, 22473, 578, 577]",soil,sol
"Deutsch: ""temps"" - Français: ""时""
Deutsch: ""porte"" - Français: ""门""
Deutsch: ""vallée"" - Français: ""谷""
Deutsch: ""rue"" - Français: ""街""
Deutsch: ""montagne"" - Français: """,[30329],山,"[5766, 14378, 4346, 29885, 29442, 16476, 2730, 286]",mountain,montagne
"Deutsch: ""paire"" - Français: ""双""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""été"" - Français: ""夏""
Deutsch: ""sept"" - Français: ""七""
Deutsch: ""cœur"" - Français: """,[30869],心,"[29882, 540, 23057, 5192, 298, 354, 8293]",heart,cœur
"Deutsch: ""bande"" - Français: ""条""
Deutsch: ""un"" - Français: ""一""
Deutsch: ""jour"" - Français: ""日""
Deutsch: ""enfant"" - Français: ""子""
Deutsch: ""main"" - Français: """,[30880],手,"[447, 29882, 5905, 1361, 3179, 2350, 298, 5403]",hand,main
"Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""bois"" - Français: ""木""
Deutsch: ""rouge"" - Français: ""红""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""jour"" - Français: """,[30325],日,"[3250, 1146, 1388, 29881, 2462, 270]",day,jour
"Deutsch: ""source"" - Français: ""源""
Deutsch: ""neuf"" - Français: ""九""
Deutsch: ""main"" - Français: ""手""
Deutsch: ""ligne"" - Français: ""线""
Deutsch: ""étoile"" - Français: """,[30900],星,"[269, 380, 9523, 29879, 5810, 8508, 5173, 303]",star,étoile
"Deutsch: ""loi"" - Français: ""法""
Deutsch: ""tribu"" - Français: ""族""
Deutsch: ""bouche"" - Français: ""口""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""ressort"" - Français: """,[31031],春,"[269, 7689, 805, 6709, 15099, 29879, 4278, 1028]",spring,ressort
"Deutsch: ""siège"" - Français: ""座""
Deutsch: ""sud"" - Français: ""南""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""or"" - Français: ""金""
Deutsch: ""lune"" - Français: """,[30534],月,"[18786, 4346, 29885, 2730, 286]",moon,lune
"Deutsch: ""bouche"" - Français: ""口""
Deutsch: ""mille"" - Français: ""千""
Deutsch: ""ménage"" - Français: ""户""
Deutsch: ""été"" - Français: ""夏""
Deutsch: ""bois"" - Français: """,[30710],木,"[8112, 827, 6115, 29893, 281, 8879]",wood,bois
"Deutsch: ""forêt"" - Français: ""林""
Deutsch: ""cravate"" - Français: ""结""
Deutsch: ""six"" - Français: ""六""
Deutsch: ""dix"" - Français: ""十""
Deutsch: ""village"" - Français: """,[30402],村,"[1403, 29894, 21031, 325, 4213, 11928, 28765, 3516, 5720, 17191]",village,village
"Deutsch: ""tête"" - Français: ""头""
Deutsch: ""génération"" - Français: ""代""
Deutsch: ""océan"" - Français: ""洋""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""forêt"" - Français: """,[30853],林,"[26839, 1181, 363, 13569, 1454, 29888, 1079, 285, 1701]",forest,forêt
"Deutsch: ""défaite"" - Français: ""败""
Deutsch: ""bande"" - Français: ""条""
Deutsch: ""bouche"" - Français: ""口""
Deutsch: ""sud"" - Français: ""南""
Deutsch: ""fruit"" - Français: """,[30801],果,"[1341, 15774, 1424, 29888, 285]",fruit,fruit
"Deutsch: ""trois"" - Français: ""三""
Deutsch: ""montagne"" - Français: ""山""
Deutsch: ""milieu"" - Français: ""中""
Deutsch: ""tentative"" - Français: ""试""
Deutsch: ""grille"" - Français: """,[31168],格,"[6856, 629, 7720, 867, 330, 29887]",grid,grille
"Deutsch: ""avancer"" - Français: ""进""
Deutsch: ""enfant"" - Français: ""子""
Deutsch: ""sept"" - Français: ""七""
Deutsch: ""groupe"" - Français: ""群""
Deutsch: ""chanson"" - Français: """,[31173],歌,"[269, 4823, 1100, 1487, 29879, 21453, 578, 577]",song,chanson
"Deutsch: ""école"" - Français: ""校""
Deutsch: ""groupe"" - Français: ""群""
Deutsch: ""grille"" - Français: ""格""
Deutsch: ""pouvoir"" - Français: ""力""
Deutsch: ""étang"" - Français: """,[31853],池,"[1129, 1112, 12509, 29886, 2818, 772, 282]",pond,étang
"Deutsch: ""roche"" - Français: ""岩""
Deutsch: ""maison"" - Français: ""屋""
Deutsch: ""visage"" - Français: ""面""
Deutsch: ""cheval"" - Français: ""马""
Deutsch: ""sable"" - Français: """,[31476],沙,"[269, 11982, 4977, 29879, 28455, 872, 9753]",sand,sable
"Deutsch: ""œil"" - Français: ""目""
Deutsch: ""ligne"" - Français: ""线""
Deutsch: ""histoire"" - Français: ""史""
Deutsch: ""porte"" - Français: ""门""
Deutsch: ""loi"" - Français: """,[30545],法,"[433, 10653, 4307, 301, 29880, 425]",law,loi
"Deutsch: ""six"" - Français: ""六""
Deutsch: ""ressort"" - Français: ""春""
Deutsch: ""main"" - Français: ""手""
Deutsch: ""école"" - Français: ""校""
Deutsch: ""onde"" - Français: """,[31529],波,"[27766, 10742, 29893, 281, 11324, 2766]",wave,onde
"Deutsch: ""nuage"" - Français: ""云""
Deutsch: ""champ"" - Français: ""场""
Deutsch: ""neuf"" - Français: ""九""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""océan"" - Français: """,[31534],洋,"[25802, 29877, 542, 12954, 288, 23474]",ocean,océan
"Deutsch: ""forêt"" - Français: ""林""
Deutsch: ""été"" - Français: ""夏""
Deutsch: ""juge"" - Français: ""判""
Deutsch: ""filet"" - Français: ""网""
Deutsch: ""grotte"" - Français: """,[31886],洞,"[24230, 1113, 274, 18346, 5777, 29883]",cave,grotte
"Deutsch: ""siège"" - Français: ""座""
Deutsch: ""supprimer"" - Français: ""删""
Deutsch: ""nord"" - Français: ""北""
Deutsch: ""pied"" - Français: ""足""
Deutsch: ""mer"" - Français: """,[30581],海,"[269, 7205, 29879, 409, 344]",sea,mer
"Deutsch: ""bois"" - Français: ""木""
Deutsch: ""jour"" - Français: ""日""
Deutsch: ""cheval"" - Français: ""马""
Deutsch: ""structure"" - Français: ""构""
Deutsch: ""lac"" - Français: """,[31496],湖,"[24591, 433, 18170, 19437, 301, 29880, 425]",lake,lac
"Deutsch: ""siège"" - Français: ""座""
Deutsch: ""village"" - Français: ""村""
Deutsch: ""machine"" - Français: ""机""
Deutsch: ""gauche"" - Français: ""左""
Deutsch: ""source"" - Français: """,[31193],源,"[269, 2752, 29879, 3669, 4993, 578, 577]",source,source
"Deutsch: ""supprimer"" - Français: ""删""
Deutsch: ""champ"" - Français: ""场""
Deutsch: ""position"" - Français: ""位""
Deutsch: ""gare"" - Français: ""站""
Deutsch: ""point"" - Français: """,[30940],点,"[1129, 11899, 29886, 772, 282, 1298, 3149]",point,point
"Deutsch: ""rouge"" - Français: ""红""
Deutsch: ""sac"" - Français: ""包""
Deutsch: ""visage"" - Français: ""面""
Deutsch: ""mot"" - Français: ""字""
Deutsch: ""version"" - Français: """,[30845],版,"[29894, 325, 1873, 1147, 2453, 1224, 3259, 345, 369, 874]",version,version
"Deutsch: ""neuf"" - Français: ""九""
Deutsch: ""montagne"" - Français: ""山""
Deutsch: ""mille"" - Français: ""千""
Deutsch: ""bureau"" - Français: ""局""
Deutsch: ""ballon"" - Français: """,[31539],球,"[2291, 9922, 8287, 5521, 2135, 289, 6411, 29890]",ball,ballon
"Deutsch: ""mer"" - Français: ""海""
Deutsch: ""océan"" - Français: ""洋""
Deutsch: ""mère"" - Français: ""母""
Deutsch: ""machine"" - Français: ""机""
Deutsch: ""gare"" - Français: """,[31433],站,"[269, 19569, 380, 9523, 23436, 1002, 29879, 5173, 6112, 303, 5073]",station,gare
"Deutsch: ""bande"" - Français: ""条""
Deutsch: ""sol"" - Français: ""地""
Deutsch: ""bureau"" - Français: ""局""
Deutsch: ""nuage"" - Français: ""云""
Deutsch: ""riz"" - Français: """,[31902],米,"[364, 374, 2200, 19408, 29878, 9597, 10107, 11674]",rice,riz
"Deutsch: ""structure"" - Français: ""构""
Deutsch: ""fleur"" - Français: ""花""
Deutsch: ""bourse"" - Français: ""交""
Deutsch: ""cœur"" - Français: ""心""
Deutsch: ""rouge"" - Français: """,[31869],红,"[364, 337, 276, 1127, 29878, 2654]",red,rouge
"Deutsch: ""enfant"" - Français: ""子""
Deutsch: ""sept"" - Français: ""七""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""vertu"" - Français: ""德""
Deutsch: ""ligne"" - Français: """,[31532],线,"[619, 1915, 492, 6276, 1196, 301, 1220, 29880]",line,ligne
"Deutsch: ""ménage"" - Français: ""户""
Deutsch: ""pouvoir"" - Français: ""力""
Deutsch: ""ville"" - Français: ""城""
Deutsch: ""loi"" - Français: ""法""
Deutsch: ""filet"" - Français: """,[31222],网,"[29876, 484, 302, 7787, 1212, 452]",net,filet
"Deutsch: ""vertu"" - Français: ""德""
Deutsch: ""siège"" - Français: ""座""
Deutsch: ""neige"" - Français: ""雪""
Deutsch: ""supprimer"" - Français: ""删""
Deutsch: ""fleur"" - Français: """,[30830],花,"[1579, 1731, 5685, 28149, 29888, 4972, 285, 1652]",flower,fleur
"Deutsch: ""mille"" - Français: ""千""
Deutsch: ""bureau"" - Français: ""局""
Deutsch: ""fleur"" - Français: ""花""
Deutsch: ""vallée"" - Français: ""谷""
Deutsch: ""thé"" - Français: """,[31954],茶,"[260, 23429, 734, 29873, 371]",tea,thé
"Deutsch: ""carré"" - Français: ""方""
Deutsch: ""quatre"" - Français: ""四""
Deutsch: ""temps"" - Français: ""时""
Deutsch: ""fleur"" - Français: ""花""
Deutsch: ""pied"" - Français: """,[31722],足,"[3661, 7953, 1181, 5431, 29888, 6661, 285, 1701]",foot,pied
"Deutsch: ""deux"" - Français: ""二""
Deutsch: ""carré"" - Français: ""方""
Deutsch: ""lumière"" - Français: ""光""
Deutsch: ""personne"" - Français: ""人""
Deutsch: ""or"" - Français: """,[30659],金,"[748, 7684, 15192, 330, 29887, 1484]",gold,or
