prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - English: ""five""
Français: ""cœur"" - English: ""heart""
Français: ""partie"" - English: ""part""
Français: ""trois"" - English: ""three""
Français: ""nuage"" - English: ""","[17184, 274, 29883, 1067, 9274, 9570, 15126, 23642, 695]",cloud,"[17184, 274, 29883, 1067, 9274, 9570, 15126, 23642, 695]",cloud,nuage
"Français: ""vallée"" - English: ""valley""
Français: ""tribu"" - English: ""tribe""
Français: ""vertu"" - English: ""virtue""
Français: ""œil"" - English: ""eye""
Français: ""sac"" - English: ""","[2291, 29890, 23156, 289, 19548, 9922]",bag,"[2291, 29890, 23156, 289, 19548, 9922]",bag,sac
"Français: ""école"" - English: ""school""
Français: ""version"" - English: ""version""
Français: ""point"" - English: ""point""
Français: ""mille"" - English: ""thousand""
Français: ""bouche"" - English: ""","[29442, 29885, 21026, 2730, 4346, 286, 13394]",mouth,"[29442, 29885, 21026, 2730, 4346, 286, 13394]",mouth,bouche
"Français: ""champ"" - English: ""field""
Français: ""nord"" - English: ""north""
Français: ""fleur"" - English: ""flower""
Français: ""tour"" - English: ""tower""
Français: ""sol"" - English: ""","[577, 578, 22473, 269, 29879]",soil,"[577, 578, 22473, 269, 29879]",soil,sol
"Français: ""temps"" - English: ""time""
Français: ""porte"" - English: ""door""
Français: ""vallée"" - English: ""valley""
Français: ""rue"" - English: ""street""
Français: ""montagne"" - English: ""","[14378, 29442, 29885, 2730, 5766, 4346, 286, 16476]",mountain,"[14378, 29442, 29885, 2730, 5766, 4346, 286, 16476]",mountain,montagne
"Français: ""paire"" - English: ""pair""
Français: ""gauche"" - English: ""left""
Français: ""été"" - English: ""summer""
Français: ""sept"" - English: ""seven""
Français: ""cœur"" - English: ""","[8293, 298, 540, 23057, 5192, 354, 29882]",heart,"[8293, 298, 540, 23057, 5192, 354, 29882]",heart,cœur
"Français: ""bande"" - English: ""strip""
Français: ""un"" - English: ""one""
Français: ""jour"" - English: ""day""
Français: ""enfant"" - English: ""child""
Français: ""main"" - English: ""","[2350, 5905, 298, 5403, 447, 3179, 29882, 1361]",hand,"[2350, 5905, 298, 5403, 447, 3179, 29882, 1361]",hand,main
"Français: ""quatre"" - English: ""four""
Français: ""bois"" - English: ""wood""
Français: ""rouge"" - English: ""red""
Français: ""gauche"" - English: ""left""
Français: ""jour"" - English: ""","[1388, 1146, 270, 3250, 29881, 2462]",day,"[1388, 1146, 270, 3250, 29881, 2462]",day,jour
"Français: ""source"" - English: ""source""
Français: ""neuf"" - English: ""nine""
Français: ""main"" - English: ""hand""
Français: ""ligne"" - English: ""line""
Français: ""étoile"" - English: ""","[380, 5173, 9523, 269, 8508, 303, 5810, 29879]",star,"[380, 5173, 9523, 269, 8508, 303, 5810, 29879]",star,étoile
"Français: ""loi"" - English: ""law""
Français: ""tribu"" - English: ""tribe""
Français: ""bouche"" - English: ""mouth""
Français: ""gauche"" - English: ""left""
Français: ""ressort"" - English: ""","[805, 4278, 15099, 7689, 1028, 269, 6709, 29879]",spring,"[805, 4278, 15099, 7689, 1028, 269, 6709, 29879]",spring,ressort
"Français: ""siège"" - English: ""seat""
Français: ""sud"" - English: ""south""
Français: ""quatre"" - English: ""four""
Français: ""or"" - English: ""gold""
Français: ""lune"" - English: ""","[29885, 2730, 4346, 286, 18786]",moon,"[29885, 2730, 4346, 286, 18786]",moon,lune
"Français: ""bouche"" - English: ""mouth""
Français: ""mille"" - English: ""thousand""
Français: ""ménage"" - English: ""household""
Français: ""été"" - English: ""summer""
Français: ""bois"" - English: ""","[281, 8112, 827, 6115, 8879, 29893]",wood,"[281, 8112, 827, 6115, 8879, 29893]",wood,bois
"Français: ""forêt"" - English: ""forest""
Français: ""cravate"" - English: ""tie""
Français: ""six"" - English: ""six""
Français: ""dix"" - English: ""ten""
Français: ""village"" - English: ""","[11928, 5720, 28765, 3516, 1403, 4213, 17191, 325, 21031, 29894]",village,"[11928, 5720, 28765, 3516, 1403, 4213, 17191, 325, 21031, 29894]",village,village
"Français: ""tête"" - English: ""head""
Français: ""génération"" - English: ""generation""
Français: ""océan"" - English: ""ocean""
Français: ""quatre"" - English: ""four""
Français: ""forêt"" - English: ""","[29888, 26839, 1454, 1079, 285, 363, 13569, 1181, 1701]",forest,"[29888, 26839, 1454, 1079, 285, 363, 13569, 1181, 1701]",forest,forêt
"Français: ""défaite"" - English: ""defeat""
Français: ""bande"" - English: ""strip""
Français: ""bouche"" - English: ""mouth""
Français: ""sud"" - English: ""south""
Français: ""fruit"" - English: ""","[29888, 15774, 1424, 285, 1341]",fruit,"[29888, 15774, 1424, 285, 1341]",fruit,fruit
"Français: ""trois"" - English: ""three""
Français: ""montagne"" - English: ""mountain""
Français: ""milieu"" - English: ""middle""
Français: ""tentative"" - English: ""attempt""
Français: ""grille"" - English: ""","[867, 6856, 7720, 29887, 629, 330]",grid,"[867, 6856, 7720, 29887, 629, 330]",grid,grille
"Français: ""avancer"" - English: ""advance""
Français: ""enfant"" - English: ""child""
Français: ""sept"" - English: ""seven""
Français: ""groupe"" - English: ""group""
Français: ""chanson"" - English: ""","[4823, 269, 21453, 577, 578, 1487, 1100, 29879]",song,"[4823, 269, 21453, 577, 578, 1487, 1100, 29879]",song,chanson
"Français: ""école"" - English: ""school""
Français: ""groupe"" - English: ""group""
Français: ""grille"" - English: ""grid""
Français: ""pouvoir"" - English: ""power""
Français: ""étang"" - English: ""","[1112, 1129, 282, 12509, 2818, 29886, 772]",pond,"[1112, 1129, 282, 12509, 2818, 29886, 772]",pond,étang
"Français: ""roche"" - English: ""rock""
Français: ""maison"" - English: ""house""
Français: ""visage"" - English: ""face""
Français: ""cheval"" - English: ""horse""
Français: ""sable"" - English: ""","[28455, 4977, 9753, 872, 269, 11982, 29879]",sand,"[28455, 4977, 9753, 872, 269, 11982, 29879]",sand,sable
"Français: ""œil"" - English: ""eye""
Français: ""ligne"" - English: ""line""
Français: ""histoire"" - English: ""history""
Français: ""porte"" - English: ""door""
Français: ""loi"" - English: ""","[10653, 301, 425, 4307, 433, 29880]",law,"[10653, 301, 425, 4307, 433, 29880]",law,loi
