prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - English: ""five""
中文: ""cœur"" - English: ""heart""
中文: ""partie"" - English: ""part""
中文: ""trois"" - English: ""three""
中文: ""nuage"" - English: ""","[29883, 274, 1067, 17184, 23642, 695, 15126, 9570, 9274]",cloud,"[29883, 274, 1067, 17184, 23642, 695, 15126, 9570, 9274]",cloud,nuage
"中文: ""vallée"" - English: ""valley""
中文: ""tribu"" - English: ""tribe""
中文: ""vertu"" - English: ""virtue""
中文: ""œil"" - English: ""eye""
中文: ""sac"" - English: ""","[23156, 19548, 289, 9922, 2291, 29890]",bag,"[23156, 19548, 289, 9922, 2291, 29890]",bag,sac
"中文: ""école"" - English: ""school""
中文: ""version"" - English: ""version""
中文: ""point"" - English: ""point""
中文: ""mille"" - English: ""thousand""
中文: ""bouche"" - English: ""","[4346, 2730, 29885, 13394, 29442, 286, 21026]",mouth,"[4346, 2730, 29885, 13394, 29442, 286, 21026]",mouth,bouche
"中文: ""champ"" - English: ""field""
中文: ""nord"" - English: ""north""
中文: ""fleur"" - English: ""flower""
中文: ""tour"" - English: ""tower""
中文: ""sol"" - English: ""","[22473, 269, 29879, 578, 577]",soil,"[22473, 269, 29879, 578, 577]",soil,sol
"中文: ""temps"" - English: ""time""
中文: ""porte"" - English: ""door""
中文: ""vallée"" - English: ""valley""
中文: ""rue"" - English: ""street""
中文: ""montagne"" - English: ""","[4346, 2730, 29885, 16476, 29442, 286, 14378, 5766]",mountain,"[4346, 2730, 29885, 16476, 29442, 286, 14378, 5766]",mountain,montagne
"中文: ""paire"" - English: ""pair""
中文: ""gauche"" - English: ""left""
中文: ""été"" - English: ""summer""
中文: ""sept"" - English: ""seven""
中文: ""cœur"" - English: ""","[354, 23057, 540, 29882, 8293, 298, 5192]",heart,"[354, 23057, 540, 29882, 8293, 298, 5192]",heart,cœur
"中文: ""bande"" - English: ""strip""
中文: ""un"" - English: ""one""
中文: ""jour"" - English: ""day""
中文: ""enfant"" - English: ""child""
中文: ""main"" - English: ""","[5905, 3179, 2350, 1361, 29882, 298, 447, 5403]",hand,"[5905, 3179, 2350, 1361, 29882, 298, 447, 5403]",hand,main
"中文: ""quatre"" - English: ""four""
中文: ""bois"" - English: ""wood""
中文: ""rouge"" - English: ""red""
中文: ""gauche"" - English: ""left""
中文: ""jour"" - English: ""","[1146, 270, 3250, 2462, 1388, 29881]",day,"[1146, 270, 3250, 2462, 1388, 29881]",day,jour
"中文: ""source"" - English: ""source""
中文: ""neuf"" - English: ""nine""
中文: ""main"" - English: ""hand""
中文: ""ligne"" - English: ""line""
中文: ""étoile"" - English: ""","[5173, 269, 8508, 9523, 29879, 380, 303, 5810]",star,"[5173, 269, 8508, 9523, 29879, 380, 303, 5810]",star,étoile
"中文: ""loi"" - English: ""law""
中文: ""tribu"" - English: ""tribe""
中文: ""bouche"" - English: ""mouth""
中文: ""gauche"" - English: ""left""
中文: ""ressort"" - English: ""","[15099, 7689, 4278, 269, 29879, 805, 1028, 6709]",spring,"[15099, 7689, 4278, 269, 29879, 805, 1028, 6709]",spring,ressort
"中文: ""siège"" - English: ""seat""
中文: ""sud"" - English: ""south""
中文: ""quatre"" - English: ""four""
中文: ""or"" - English: ""gold""
中文: ""lune"" - English: ""","[4346, 2730, 29885, 286, 18786]",moon,"[4346, 2730, 29885, 286, 18786]",moon,lune
"中文: ""bouche"" - English: ""mouth""
中文: ""mille"" - English: ""thousand""
中文: ""ménage"" - English: ""household""
中文: ""été"" - English: ""summer""
中文: ""bois"" - English: ""","[827, 29893, 8879, 8112, 6115, 281]",wood,"[827, 29893, 8879, 8112, 6115, 281]",wood,bois
"中文: ""forêt"" - English: ""forest""
中文: ""cravate"" - English: ""tie""
中文: ""six"" - English: ""six""
中文: ""dix"" - English: ""ten""
中文: ""village"" - English: ""","[4213, 29894, 1403, 21031, 5720, 17191, 28765, 11928, 325, 3516]",village,"[4213, 29894, 1403, 21031, 5720, 17191, 28765, 11928, 325, 3516]",village,village
"中文: ""tête"" - English: ""head""
中文: ""génération"" - English: ""generation""
中文: ""océan"" - English: ""ocean""
中文: ""quatre"" - English: ""four""
中文: ""forêt"" - English: ""","[285, 1701, 29888, 363, 26839, 1181, 1079, 13569, 1454]",forest,"[285, 1701, 29888, 363, 26839, 1181, 1079, 13569, 1454]",forest,forêt
"中文: ""défaite"" - English: ""defeat""
中文: ""bande"" - English: ""strip""
中文: ""bouche"" - English: ""mouth""
中文: ""sud"" - English: ""south""
中文: ""fruit"" - English: ""","[285, 29888, 1424, 1341, 15774]",fruit,"[285, 29888, 1424, 1341, 15774]",fruit,fruit
"中文: ""trois"" - English: ""three""
中文: ""montagne"" - English: ""mountain""
中文: ""milieu"" - English: ""middle""
中文: ""tentative"" - English: ""attempt""
中文: ""grille"" - English: ""","[7720, 330, 6856, 867, 629, 29887]",grid,"[7720, 330, 6856, 867, 629, 29887]",grid,grille
"中文: ""avancer"" - English: ""advance""
中文: ""enfant"" - English: ""child""
中文: ""sept"" - English: ""seven""
中文: ""groupe"" - English: ""group""
中文: ""chanson"" - English: ""","[1487, 4823, 1100, 269, 29879, 21453, 578, 577]",song,"[1487, 4823, 1100, 269, 29879, 21453, 578, 577]",song,chanson
"中文: ""école"" - English: ""school""
中文: ""groupe"" - English: ""group""
中文: ""grille"" - English: ""grid""
中文: ""pouvoir"" - English: ""power""
中文: ""étang"" - English: ""","[772, 2818, 1112, 282, 29886, 1129, 12509]",pond,"[772, 2818, 1112, 282, 29886, 1129, 12509]",pond,étang
"中文: ""roche"" - English: ""rock""
中文: ""maison"" - English: ""house""
中文: ""visage"" - English: ""face""
中文: ""cheval"" - English: ""horse""
中文: ""sable"" - English: ""","[872, 9753, 11982, 4977, 269, 28455, 29879]",sand,"[872, 9753, 11982, 4977, 269, 28455, 29879]",sand,sable
"中文: ""œil"" - English: ""eye""
中文: ""ligne"" - English: ""line""
中文: ""histoire"" - English: ""history""
中文: ""porte"" - English: ""door""
中文: ""loi"" - English: ""","[425, 29880, 301, 433, 4307, 10653]",law,"[425, 29880, 301, 433, 4307, 10653]",law,loi
"中文: ""six"" - English: ""six""
中文: ""ressort"" - English: ""spring""
中文: ""main"" - English: ""hand""
中文: ""école"" - English: ""school""
中文: ""onde"" - English: ""","[29893, 10742, 281, 2766, 27766, 11324]",wave,"[29893, 10742, 281, 2766, 27766, 11324]",wave,onde
"中文: ""nuage"" - English: ""cloud""
中文: ""champ"" - English: ""field""
中文: ""neuf"" - English: ""nine""
中文: ""quatre"" - English: ""four""
中文: ""océan"" - English: ""","[23474, 25802, 542, 29877, 288, 12954]",ocean,"[23474, 25802, 542, 29877, 288, 12954]",ocean,océan
"中文: ""forêt"" - English: ""forest""
中文: ""été"" - English: ""summer""
中文: ""juge"" - English: ""judge""
中文: ""filet"" - English: ""net""
中文: ""grotte"" - English: ""","[29883, 274, 18346, 1113, 5777, 24230]",cave,"[29883, 274, 18346, 1113, 5777, 24230]",cave,grotte
"中文: ""siège"" - English: ""seat""
中文: ""supprimer"" - English: ""delete""
中文: ""nord"" - English: ""north""
中文: ""pied"" - English: ""foot""
中文: ""mer"" - English: ""","[7205, 344, 269, 29879, 409]",sea,"[7205, 344, 269, 29879, 409]",sea,mer
"中文: ""bois"" - English: ""wood""
中文: ""jour"" - English: ""day""
中文: ""cheval"" - English: ""horse""
中文: ""structure"" - English: ""structure""
中文: ""lac"" - English: ""","[425, 29880, 301, 24591, 19437, 433, 18170]",lake,"[425, 29880, 301, 24591, 19437, 433, 18170]",lake,lac
"中文: ""siège"" - English: ""seat""
中文: ""village"" - English: ""village""
中文: ""machine"" - English: ""machine""
中文: ""gauche"" - English: ""left""
中文: ""source"" - English: ""","[4993, 3669, 269, 2752, 29879, 578, 577]",source,"[4993, 3669, 269, 2752, 29879, 578, 577]",source,source
"中文: ""supprimer"" - English: ""delete""
中文: ""champ"" - English: ""field""
中文: ""position"" - English: ""position""
中文: ""gare"" - English: ""station""
中文: ""point"" - English: ""","[772, 3149, 282, 29886, 11899, 1129, 1298]",point,"[772, 3149, 282, 29886, 11899, 1129, 1298]",point,point
"中文: ""rouge"" - English: ""red""
中文: ""sac"" - English: ""bag""
中文: ""visage"" - English: ""face""
中文: ""mot"" - English: ""word""
中文: ""version"" - English: ""","[1224, 874, 1873, 3259, 345, 2453, 369, 1147, 325, 29894]",version,"[1224, 874, 1873, 3259, 345, 2453, 369, 1147, 325, 29894]",version,version
