prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""ten"" - English: ""ten""
English: ""tea"" - English: ""tea""
English: ""pond"" - English: ""pond""
English: ""version"" - English: ""version""
English: ""book"" - English: ""","[3143, 29890, 289, 2909, 833, 1045]",book,"[3143, 29890, 289, 2909, 833, 1045]",book,book
"English: ""hundred"" - English: ""hundred""
English: ""heart"" - English: ""heart""
English: ""house"" - English: ""house""
English: ""part"" - English: ""part""
English: ""cloud"" - English: ""","[9274, 23642, 274, 9570, 1067, 695, 29883, 15126, 17184]",cloud,"[9274, 23642, 274, 9570, 1067, 695, 29883, 15126, 17184]",cloud,cloud
"English: ""ground"" - English: ""ground""
English: ""mother"" - English: ""mother""
English: ""north"" - English: ""north""
English: ""wood"" - English: ""wood""
English: ""bag"" - English: ""","[2291, 19548, 29890, 289, 9922, 23156]",bag,"[2291, 19548, 29890, 289, 9922, 23156]",bag,bag
"English: ""point"" - English: ""point""
English: ""structure"" - English: ""structure""
English: ""position"" - English: ""position""
English: ""spring"" - English: ""spring""
English: ""mouth"" - English: ""","[13394, 29885, 29442, 2730, 286, 4346, 21026]",mouth,"[13394, 29885, 29442, 2730, 286, 4346, 21026]",mouth,mouth
"English: ""middle"" - English: ""middle""
English: ""city"" - English: ""city""
English: ""rise"" - English: ""rise""
English: ""bridge"" - English: ""bridge""
English: ""soil"" - English: ""","[22473, 29879, 578, 577, 269]",soil,"[22473, 29879, 578, 577, 269]",soil,soil
"English: ""tribe"" - English: ""tribe""
English: ""painting"" - English: ""painting""
English: ""child"" - English: ""child""
English: ""structure"" - English: ""structure""
English: ""mountain"" - English: ""","[16476, 5766, 29885, 4346, 29442, 2730, 286, 14378]",mountain,"[16476, 5766, 29885, 4346, 29442, 2730, 286, 14378]",mountain,mountain
"English: ""north"" - English: ""north""
English: ""flower"" - English: ""flower""
English: ""red"" - English: ""red""
English: ""seat"" - English: ""seat""
English: ""cloth"" - English: ""","[274, 15126, 1067, 695, 29883, 13950, 17184]",cloth,"[274, 15126, 1067, 695, 29883, 13950, 17184]",cloth,cloth
"English: ""shop"" - English: ""shop""
English: ""tail"" - English: ""tail""
English: ""dance"" - English: ""dance""
English: ""cloth"" - English: ""cloth""
English: ""heart"" - English: ""","[29882, 8293, 23057, 354, 540, 5192, 298]",heart,"[29882, 8293, 23057, 354, 540, 5192, 298]",heart,heart
"English: ""water"" - English: ""water""
English: ""bridge"" - English: ""bridge""
English: ""tea"" - English: ""tea""
English: ""four"" - English: ""four""
English: ""hand"" - English: ""","[29882, 2350, 5403, 3179, 5905, 1361, 447, 298]",hand,"[29882, 2350, 5403, 3179, 5905, 1361, 447, 298]",hand,hand
"English: ""rock"" - English: ""rock""
English: ""city"" - English: ""city""
English: ""power"" - English: ""power""
English: ""four"" - English: ""four""
English: ""day"" - English: ""","[2462, 270, 1388, 3250, 29881, 1146]",day,"[2462, 270, 1388, 3250, 29881, 1146]",day,day
"English: ""fruit"" - English: ""fruit""
English: ""beauty"" - English: ""beauty""
English: ""middle"" - English: ""middle""
English: ""forest"" - English: ""forest""
English: ""star"" - English: ""","[380, 29879, 8508, 5173, 303, 269, 5810, 9523]",star,"[380, 29879, 8508, 5173, 303, 269, 5810, 9523]",star,star
"English: ""tower"" - English: ""tower""
English: ""lake"" - English: ""lake""
English: ""return"" - English: ""return""
English: ""shop"" - English: ""shop""
English: ""spring"" - English: ""","[7689, 6709, 29879, 4278, 15099, 269, 1028, 805]",spring,"[7689, 6709, 29879, 4278, 15099, 269, 1028, 805]",spring,spring
"English: ""fire"" - English: ""fire""
English: ""square"" - English: ""square""
English: ""speech"" - English: ""speech""
English: ""cave"" - English: ""cave""
English: ""moon"" - English: ""","[29885, 18786, 2730, 286, 4346]",moon,"[29885, 18786, 2730, 286, 4346]",moon,moon
"English: ""sound"" - English: ""sound""
English: ""hundred"" - English: ""hundred""
English: ""point"" - English: ""point""
English: ""flower"" - English: ""flower""
English: ""wood"" - English: ""","[29893, 6115, 281, 827, 8879, 8112]",wood,"[29893, 6115, 281, 827, 8879, 8112]",wood,wood
"English: ""tower"" - English: ""tower""
English: ""book"" - English: ""book""
English: ""head"" - English: ""head""
English: ""gold"" - English: ""gold""
English: ""village"" - English: ""","[325, 28765, 21031, 1403, 17191, 11928, 4213, 5720, 3516, 29894]",village,"[325, 28765, 21031, 1403, 17191, 11928, 4213, 5720, 3516, 29894]",village,village
"English: ""section"" - English: ""section""
English: ""field"" - English: ""field""
English: ""bag"" - English: ""bag""
English: ""mouth"" - English: ""mouth""
English: ""forest"" - English: ""","[285, 1701, 26839, 1079, 1181, 1454, 363, 13569, 29888]",forest,"[285, 1701, 26839, 1079, 1181, 1454, 363, 13569, 29888]",forest,forest
"English: ""wave"" - English: ""wave""
English: ""middle"" - English: ""middle""
English: ""tower"" - English: ""tower""
English: ""four"" - English: ""four""
English: ""fruit"" - English: ""","[285, 1424, 15774, 29888, 1341]",fruit,"[285, 1424, 15774, 29888, 1341]",fruit,fruit
"English: ""time"" - English: ""time""
English: ""city"" - English: ""city""
English: ""wood"" - English: ""wood""
English: ""middle"" - English: ""middle""
English: ""grid"" - English: ""","[6856, 7720, 29887, 330, 629, 867]",grid,"[6856, 7720, 29887, 330, 629, 867]",grid,grid
"English: ""lake"" - English: ""lake""
English: ""horse"" - English: ""horse""
English: ""school"" - English: ""school""
English: ""tea"" - English: ""tea""
English: ""song"" - English: ""","[29879, 578, 1487, 1100, 577, 269, 21453, 4823]",song,"[29879, 578, 1487, 1100, 577, 269, 21453, 4823]",song,song
"English: ""one"" - English: ""one""
English: ""head"" - English: ""head""
English: ""left"" - English: ""left""
English: ""city"" - English: ""city""
English: ""water"" - English: ""","[11324, 29893, 281, 2766, 13405, 16699, 4094]",water,"[11324, 29893, 281, 2766, 13405, 16699, 4094]",water,water
"English: ""head"" - English: ""head""
English: ""cave"" - English: ""cave""
English: ""talent"" - English: ""talent""
English: ""field"" - English: ""field""
English: ""pond"" - English: ""","[1129, 772, 282, 29886, 12509, 2818, 1112]",pond,"[1129, 772, 282, 29886, 12509, 2818, 1112]",pond,pond
"English: ""law"" - English: ""law""
English: ""tea"" - English: ""tea""
English: ""language"" - English: ""language""
English: ""exchange"" - English: ""exchange""
English: ""sand"" - English: ""","[29879, 28455, 9753, 872, 269, 4977, 11982]",sand,"[29879, 28455, 9753, 872, 269, 4977, 11982]",sand,sand
"English: ""sea"" - English: ""sea""
English: ""grid"" - English: ""grid""
English: ""return"" - English: ""return""
English: ""machine"" - English: ""machine""
English: ""river"" - English: ""","[10107, 4401, 3511, 364, 9050, 8580, 1150, 374, 29878]",river,"[10107, 4401, 3511, 364, 9050, 8580, 1150, 374, 29878]",river,river
"English: ""middle"" - English: ""middle""
English: ""sun"" - English: ""sun""
English: ""fruit"" - English: ""fruit""
English: ""strip"" - English: ""strip""
English: ""law"" - English: ""","[10653, 29880, 4307, 301, 425, 433]",law,"[10653, 29880, 4307, 301, 425, 433]",law,law
"English: ""day"" - English: ""day""
English: ""painting"" - English: ""painting""
English: ""advance"" - English: ""advance""
English: ""tie"" - English: ""tie""
English: ""wave"" - English: ""","[11324, 29893, 281, 2766, 10742, 27766]",wave,"[11324, 29893, 281, 2766, 10742, 27766]",wave,wave
"English: ""defeat"" - English: ""defeat""
English: ""law"" - English: ""law""
English: ""seat"" - English: ""seat""
English: ""hundred"" - English: ""hundred""
English: ""ocean"" - English: ""","[542, 23474, 12954, 288, 29877, 25802]",ocean,"[542, 23474, 12954, 288, 29877, 25802]",ocean,ocean
"English: ""judge"" - English: ""judge""
English: ""hair"" - English: ""hair""
English: ""middle"" - English: ""middle""
English: ""horse"" - English: ""horse""
English: ""cave"" - English: ""","[274, 24230, 5777, 1113, 18346, 29883]",cave,"[274, 24230, 5777, 1113, 18346, 29883]",cave,cave
"English: ""school"" - English: ""school""
English: ""painting"" - English: ""painting""
English: ""benefit"" - English: ""benefit""
English: ""mountain"" - English: ""mountain""
English: ""sea"" - English: ""","[344, 409, 29879, 269, 7205]",sea,"[344, 409, 29879, 269, 7205]",sea,sea
"English: ""cloth"" - English: ""cloth""
English: ""city"" - English: ""city""
English: ""advance"" - English: ""advance""
English: ""two"" - English: ""two""
English: ""lake"" - English: ""","[19437, 18170, 29880, 301, 24591, 425, 433]",lake,"[19437, 18170, 29880, 301, 24591, 425, 433]",lake,lake
"English: ""word"" - English: ""word""
English: ""language"" - English: ""language""
English: ""ocean"" - English: ""ocean""
English: ""strip"" - English: ""strip""
English: ""source"" - English: ""","[2752, 3669, 4993, 29879, 578, 577, 269]",source,"[2752, 3669, 4993, 29879, 578, 577, 269]",source,source
"English: ""song"" - English: ""song""
English: ""foot"" - English: ""foot""
English: ""person"" - English: ""person""
English: ""net"" - English: ""net""
English: ""fire"" - English: ""","[285, 13734, 8696, 28034, 3974, 7241, 5713, 29888]",fire,"[285, 13734, 8696, 28034, 3974, 7241, 5713, 29888]",fire,fire
"English: ""five"" - English: ""five""
English: ""talent"" - English: ""talent""
English: ""eye"" - English: ""eye""
English: ""one"" - English: ""one""
English: ""point"" - English: ""","[1129, 772, 282, 29886, 3149, 11899, 1298]",point,"[1129, 772, 282, 29886, 3149, 11899, 1298]",point,point
"English: ""soil"" - English: ""soil""
English: ""water"" - English: ""water""
English: ""wood"" - English: ""wood""
English: ""benefit"" - English: ""benefit""
English: ""version"" - English: ""","[325, 874, 2453, 1147, 1873, 3259, 345, 1224, 369, 29894]",version,"[325, 874, 2453, 1147, 1873, 3259, 345, 1224, 369, 29894]",version,version
"English: ""book"" - English: ""book""
English: ""eight"" - English: ""eight""
English: ""six"" - English: ""six""
English: ""tie"" - English: ""tie""
English: ""ball"" - English: ""","[2291, 5521, 8287, 2135, 29890, 289, 6411, 9922]",ball,"[2291, 5521, 8287, 2135, 29890, 289, 6411, 9922]",ball,ball
"English: ""history"" - English: ""history""
English: ""door"" - English: ""door""
English: ""house"" - English: ""house""
English: ""speed"" - English: ""speed""
English: ""painting"" - English: ""","[3300, 282, 29886, 3274, 20413, 6788, 10675]",painting,"[3300, 282, 29886, 3274, 20413, 6788, 10675]",painting,painting
"English: ""hair"" - English: ""hair""
English: ""day"" - English: ""day""
English: ""ocean"" - English: ""ocean""
English: ""seven"" - English: ""seven""
English: ""station"" - English: ""","[380, 29879, 5173, 303, 1002, 269, 9523, 5073, 23436, 19569, 6112]",station,"[380, 29879, 5173, 303, 1002, 269, 9523, 5073, 23436, 19569, 6112]",station,station
"English: ""soil"" - English: ""soil""
English: ""river"" - English: ""river""
English: ""hair"" - English: ""hair""
English: ""child"" - English: ""child""
English: ""rice"" - English: ""","[19408, 10107, 2200, 9597, 11674, 364, 374, 29878]",rice,"[19408, 10107, 2200, 9597, 11674, 364, 374, 29878]",rice,rice
"English: ""six"" - English: ""six""
English: ""square"" - English: ""square""
English: ""structure"" - English: ""structure""
English: ""painting"" - English: ""painting""
English: ""red"" - English: ""","[2654, 276, 364, 1127, 337, 29878]",red,"[2654, 276, 364, 1127, 337, 29878]",red,red
"English: ""pair"" - English: ""pair""
English: ""history"" - English: ""history""
English: ""version"" - English: ""version""
English: ""kind"" - English: ""kind""
English: ""line"" - English: ""","[492, 1196, 619, 1915, 29880, 1220, 6276, 301]",line,"[492, 1196, 619, 1915, 29880, 1220, 6276, 301]",line,line
"English: ""mountain"" - English: ""mountain""
English: ""source"" - English: ""source""
English: ""rock"" - English: ""rock""
English: ""tie"" - English: ""tie""
English: ""net"" - English: ""","[29876, 484, 452, 302, 1212, 7787]",net,"[29876, 484, 452, 302, 1212, 7787]",net,net
