prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""Streifen"" - 中文: ""条""
Deutsch: ""Haus"" - 中文: ""屋""
Deutsch: ""Berg"" - 中文: ""山""
Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Buch"" - 中文: ""","[31900, 231]",书,"[3143, 289, 29890, 2909, 1045, 833]",book,Buch
"Deutsch: ""Plattform"" - 中文: ""台""
Deutsch: ""vier"" - 中文: ""四""
Deutsch: ""Gitter"" - 中文: ""格""
Deutsch: ""Wasser"" - 中文: ""水""
Deutsch: ""Wolke"" - 中文: ""","[31784, 231]",云,"[17184, 9274, 15126, 23642, 274, 9570, 1067, 29883, 695]",cloud,Wolke
"Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Meer"" - 中文: ""海""
Deutsch: ""Paar"" - 中文: ""双""
Deutsch: ""Tasche"" - 中文: ""","[31473, 232]",包,"[2291, 9922, 29890, 289, 19548, 23156]",bag,Tasche
"Deutsch: ""Kopf"" - 中文: ""头""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""Bahnhof"" - 中文: ""站""
Deutsch: ""Kind"" - 中文: ""子""
Deutsch: ""Mund"" - 中文: ""","[30856, 232]",口,"[29885, 21026, 4346, 13394, 286, 29442, 2730]",mouth,Mund
"Deutsch: ""Provinz"" - 中文: ""省""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""neun"" - 中文: ""九""
Deutsch: ""Boden"" - 中文: ""","[31181, 232]",土,"[29879, 577, 22473, 269, 578]",soil,Boden
"Deutsch: ""Bahnhof"" - 中文: ""站""
Deutsch: ""Meer"" - 中文: ""海""
Deutsch: ""Punkt"" - 中文: ""点""
Deutsch: ""sechs"" - 中文: ""六""
Deutsch: ""Berg"" - 中文: ""","[30329, 232]",山,"[29885, 14378, 4346, 16476, 286, 5766, 29442, 2730]",mountain,Berg
"Deutsch: ""Provinz"" - 中文: ""省""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""Herz"" - 中文: ""心""
Deutsch: ""Rede"" - 中文: ""话""
Deutsch: ""Tuch"" - 中文: ""","[31454, 232]",布,"[17184, 13950, 15126, 274, 1067, 29883, 695]",cloth,Tuch
"Deutsch: ""Schnee"" - 中文: ""雪""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Version"" - 中文: ""版""
Deutsch: ""Beispiel"" - 中文: ""例""
Deutsch: ""Herz"" - 中文: ""","[30869, 232]",心,"[23057, 8293, 5192, 540, 354, 29882, 298]",heart,Herz
"Deutsch: ""Höhle"" - 中文: ""洞""
Deutsch: ""neun"" - 中文: ""九""
Deutsch: ""Tuch"" - 中文: ""布""
Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Hand"" - 中文: ""","[30880, 233]",手,"[3179, 5905, 29882, 2350, 1361, 5403, 298, 447]",hand,Hand
"Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Teich"" - 中文: ""池""
Deutsch: ""löschen"" - 中文: ""删""
Deutsch: ""Gegenstand"" - 中文: ""项""
Deutsch: ""Tag"" - 中文: ""","[30325, 233]",日,"[270, 1388, 1146, 29881, 3250, 2462]",day,Tag
"Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Niederlage"" - 中文: ""败""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Tal"" - 中文: ""谷""
Deutsch: ""Stern"" - 中文: ""","[30900, 233]",星,"[303, 9523, 29879, 5810, 5173, 8508, 380, 269]",star,Stern
"Deutsch: ""Reis"" - 中文: ""米""
Deutsch: ""Schule"" - 中文: ""校""
Deutsch: ""Holz"" - 中文: ""木""
Deutsch: ""vier"" - 中文: ""四""
Deutsch: ""Feder"" - 中文: ""","[31031, 233]",春,"[6709, 15099, 29879, 805, 1028, 7689, 269, 4278]",spring,Feder
"Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Berg"" - 中文: ""山""
Deutsch: ""links"" - 中文: ""左""
Deutsch: ""Mond"" - 中文: ""","[30534, 233]",月,"[29885, 4346, 286, 18786, 2730]",moon,Mond
"Deutsch: ""Meer"" - 中文: ""海""
Deutsch: ""Schnee"" - 中文: ""雪""
Deutsch: ""Tuch"" - 中文: ""布""
Deutsch: ""sechs"" - 中文: ""六""
Deutsch: ""Holz"" - 中文: ""","[30710, 233]",木,"[827, 6115, 29893, 8112, 281, 8879]",wood,Holz
"Deutsch: ""Kopf"" - 中文: ""头""
Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Provinz"" - 中文: ""省""
Deutsch: ""zehn"" - 中文: ""十""
Deutsch: ""Dorf"" - 中文: ""","[30402, 233]",村,"[17191, 21031, 3516, 5720, 11928, 1403, 28765, 4213, 29894, 325]",village,Dorf
"Deutsch: ""Fuß"" - 中文: ""足""
Deutsch: ""Büro"" - 中文: ""局""
Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""Boden"" - 中文: ""土""
Deutsch: ""Wald"" - 中文: ""","[30853, 233]",林,"[1454, 13569, 1181, 363, 1701, 29888, 1079, 285, 26839]",forest,Wald
"Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""Welle"" - 中文: ""波""
Deutsch: ""Wald"" - 中文: ""林""
Deutsch: ""Stern"" - 中文: ""星""
Deutsch: ""Gitter"" - 中文: ""","[31168, 233]",格,"[6856, 629, 330, 7720, 867, 29887]",grid,Gitter
"Deutsch: ""Schule"" - 中文: ""校""
Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Tuch"" - 中文: ""布""
Deutsch: ""Auge"" - 中文: ""目""
Deutsch: ""Lied"" - 中文: ""","[31173, 233]",歌,"[21453, 1487, 29879, 4823, 577, 269, 1100, 578]",song,Lied
"Deutsch: ""Ozean"" - 中文: ""洋""
Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Wasser"" - 中文: ""","[30716, 233]",水,"[13405, 11324, 2766, 29893, 16699, 4094, 281]",water,Wasser
"Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""sieben"" - 中文: ""七""
Deutsch: ""Holz"" - 中文: ""木""
Deutsch: ""Zeit"" - 中文: ""时""
Deutsch: ""Teich"" - 中文: ""","[31853, 233]",池,"[29886, 1129, 1112, 2818, 12509, 282, 772]",pond,Teich
"Deutsch: ""Stern"" - 中文: ""星""
Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""Tugend"" - 中文: ""德""
Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""Sand"" - 中文: ""","[31476, 233]",沙,"[872, 11982, 9753, 29879, 28455, 4977, 269]",sand,Sand
"Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Sitz"" - 中文: ""座""
Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""Fluss"" - 中文: ""","[30828, 233]",河,"[9050, 29878, 8580, 374, 364, 1150, 3511, 4401, 10107]",river,Fluss
"Deutsch: ""zehn"" - 中文: ""十""
Deutsch: ""Wort"" - 中文: ""字""
Deutsch: ""Berg"" - 中文: ""山""
Deutsch: ""Wasser"" - 中文: ""水""
Deutsch: ""Gesetz"" - 中文: ""","[30545, 233]",法,"[301, 10653, 433, 29880, 425, 4307]",law,Gesetz
"Deutsch: ""vier"" - 中文: ""四""
Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""zehn"" - 中文: ""十""
Deutsch: ""Quadrat"" - 中文: ""方""
Deutsch: ""Welle"" - 中文: ""","[31529, 233]",波,"[11324, 2766, 27766, 29893, 10742, 281]",wave,Welle
"Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Norden"" - 中文: ""北""
Deutsch: ""tausend"" - 中文: ""千""
Deutsch: ""Bahnhof"" - 中文: ""站""
Deutsch: ""Ozean"" - 中文: ""","[31534, 233]",洋,"[23474, 25802, 542, 29877, 12954, 288]",ocean,Ozean
"Deutsch: ""Standort"" - 中文: ""址""
Deutsch: ""Gegenstand"" - 中文: ""项""
Deutsch: ""Mond"" - 中文: ""月""
Deutsch: ""Geschichte"" - 中文: ""史""
Deutsch: ""Höhle"" - 中文: ""","[31886, 233]",洞,"[1113, 18346, 5777, 274, 24230, 29883]",cave,Höhle
"Deutsch: ""Tag"" - 中文: ""日""
Deutsch: ""Holz"" - 中文: ""木""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""Meer"" - 中文: ""","[30581, 233]",海,"[29879, 409, 269, 344, 7205]",sea,Meer
"Deutsch: ""Licht"" - 中文: ""光""
Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Süden"" - 中文: ""南""
Deutsch: ""Version"" - 中文: ""版""
Deutsch: ""See"" - 中文: ""","[31496, 233]",湖,"[18170, 301, 433, 29880, 425, 24591, 19437]",lake,See
"Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Teil"" - 中文: ""部""
Deutsch: ""Tuch"" - 中文: ""布""
Deutsch: ""Niederlage"" - 中文: ""败""
Deutsch: ""Quelle"" - 中文: ""","[31193, 233]",源,"[29879, 2752, 3669, 577, 4993, 269, 578]",source,Quelle
"Deutsch: ""Nutzen"" - 中文: ""利""
Deutsch: ""Straße"" - 中文: ""街""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""Teil"" - 中文: ""部""
Deutsch: ""Feuer"" - 中文: ""","[31313, 234]",火,"[13734, 29888, 7241, 28034, 8696, 5713, 285, 3974]",fire,Feuer
"Deutsch: ""Wolke"" - 中文: ""云""
Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Punkt"" - 中文: ""","[30940, 234]",点,"[3149, 29886, 1129, 11899, 282, 1298, 772]",point,Punkt
"Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Teich"" - 中文: ""池""
Deutsch: ""Gemälde"" - 中文: ""画""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Version"" - 中文: ""","[30845, 234]",版,"[1873, 345, 874, 369, 1224, 29894, 1147, 2453, 3259, 325]",version,Version
"Deutsch: ""Pferd"" - 中文: ""马""
Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""drei"" - 中文: ""三""
Deutsch: ""Ball"" - 中文: ""","[31539, 234]",球,"[2135, 2291, 9922, 6411, 8287, 29890, 289, 5521]",ball,Ball
"Deutsch: ""Feld"" - 中文: ""场""
Deutsch: ""Gesicht"" - 中文: ""面""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""Haar"" - 中文: ""发""
Deutsch: ""Gemälde"" - 中文: ""","[31046, 234]",画,"[6788, 3300, 10675, 29886, 20413, 3274, 282]",painting,Gemälde
"Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Fluss"" - 中文: ""河""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""löschen"" - 中文: ""删""
Deutsch: ""Bahnhof"" - 中文: ""","[31433, 234]",站,"[303, 9523, 1002, 23436, 29879, 5173, 5073, 6112, 380, 269, 19569]",station,Bahnhof
"Deutsch: ""rot"" - 中文: ""红""
Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Zeit"" - 中文: ""时""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Reis"" - 中文: ""","[31902, 234]",米,"[9597, 29878, 374, 2200, 11674, 364, 19408, 10107]",rice,Reis
"Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Haus"" - 中文: ""屋""
Deutsch: ""rot"" - 中文: ""","[31869, 234]",红,"[276, 2654, 29878, 1127, 364, 337]",red,rot
"Deutsch: ""Farbe"" - 中文: ""色""
Deutsch: ""Rede"" - 中文: ""话""
Deutsch: ""Haar"" - 中文: ""发""
Deutsch: ""Auge"" - 中文: ""目""
Deutsch: ""Linie"" - 中文: ""","[31532, 234]",线,"[1196, 492, 619, 301, 29880, 1915, 1220, 6276]",line,Linie
