prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""рука"" - Français: ""main""
Русский: ""море"" - Français: ""mer""
Русский: ""красный"" - Français: ""rouge""
Русский: ""рот"" - Français: ""bouche""
Русский: ""попытка"" - Français: ""","[841, 734, 29873, 371, 12033, 3006, 260]",tentative,"[31787, 235]",试,попытка
"Русский: ""улица"" - Français: ""rue""
Русский: ""пример"" - Français: ""exemple""
Русский: ""талант"" - Français: ""talent""
Русский: ""лицо"" - Français: ""visage""
Русский: ""сумка"" - Français: ""","[872, 269, 4977, 29879, 7067]",sac,"[31473, 232]",包,сумка
"Русский: ""золото"" - Français: ""or""
Русский: ""гора"" - Français: ""montagne""
Русский: ""деревня"" - Français: ""village""
Русский: ""красный"" - Français: ""rouge""
Русский: ""мяч"" - Français: ""","[8287, 6411, 2135, 2291, 5521, 9922, 289, 29890]",ballon,"[31539, 234]",球,мяч
"Русский: ""полоса"" - Français: ""bande""
Русский: ""квадрат"" - Français: ""carré""
Русский: ""провинция"" - Français: ""province""
Русский: ""линия"" - Français: ""ligne""
Русский: ""красота"" - Français: ""","[6562, 367, 915, 289, 29890]",beauté,"[30630, 234]",美,красота
"Русский: ""лицо"" - Français: ""visage""
Русский: ""песня"" - Français: ""chanson""
Русский: ""середина"" - Français: ""milieu""
Русский: ""солнце"" - Français: ""soleil""
Русский: ""мост"" - Français: ""","[12509, 1129, 772, 13185, 1112, 282, 29886, 29649]",pont,"[31749, 233]",桥,мост
"Русский: ""шесть"" - Français: ""six""
Русский: ""история"" - Français: ""histoire""
Русский: ""сердце"" - Français: ""cœur""
Русский: ""солнце"" - Français: ""soleil""
Русский: ""пещера"" - Français: ""","[29887, 629, 867, 17170, 4071, 330]",grotte,"[31886, 233]",洞,пещера
"Русский: ""красота"" - Français: ""beauté""
Русский: ""деревня"" - Français: ""village""
Русский: ""закон"" - Français: ""loi""
Русский: ""лето"" - Français: ""été""
Русский: ""ребенок"" - Français: ""","[264, 321, 23578, 427, 12377, 29872]",enfant,"[30319, 232]",子,ребенок
"Русский: ""поле"" - Français: ""champ""
Русский: ""власть"" - Français: ""pouvoir""
Русский: ""песок"" - Français: ""sable""
Русский: ""полоса"" - Français: ""bande""
Русский: ""город"" - Français: ""","[4213, 17191, 3516, 11928, 29894, 8441, 1403, 325, 4909]",ville,"[30626, 232]",城,город
"Русский: ""провинция"" - Français: ""province""
Русский: ""точка"" - Français: ""point""
Русский: ""поражение"" - Français: ""défaite""
Русский: ""снег"" - Français: ""neige""
Русский: ""облако"" - Français: ""","[302, 4948, 3433, 29876]",nuage,"[31784, 231]",云,облако
"Русский: ""офис"" - Français: ""bureau""
Русский: ""возврат"" - Français: ""retour""
Русский: ""ребенок"" - Français: ""enfant""
Русский: ""земля"" - Français: ""sol""
Русский: ""цвет"" - Français: ""","[274, 1111, 3581, 16589, 1302, 29883]",couleur,"[31085, 235]",色,цвет
"Русский: ""почва"" - Français: ""sol""
Русский: ""середина"" - Français: ""milieu""
Русский: ""мяч"" - Français: ""ballon""
Русский: ""пример"" - Français: ""exemple""
Русский: ""танец"" - Français: ""","[1146, 6025, 1388, 270, 18386, 1465, 29881]",danse,"[31939, 235]",舞,танец
"Русский: ""источник"" - Français: ""source""
Русский: ""цвет"" - Français: ""couleur""
Русский: ""скорость"" - Français: ""vitesse""
Русский: ""десять"" - Français: ""dix""
Русский: ""поражение"" - Français: ""","[11482, 270, 29881, 1437]",défaite,"[31955, 235]",败,поражение
"Русский: ""волна"" - Français: ""onde""
Русский: ""океан"" - Français: ""océan""
Русский: ""юг"" - Français: ""sud""
Русский: ""точка"" - Français: ""point""
Русский: ""удалить"" - Français: ""","[1462, 269, 19303, 480, 29879, 13159, 2146, 12587]",supprimer,"[31916, 232]",删,удалить
"Русский: ""удалить"" - Français: ""supprimer""
Русский: ""квадрат"" - Français: ""carré""
Русский: ""звук"" - Français: ""son""
Русский: ""машина"" - Français: ""machine""
Русский: ""дверь"" - Français: ""","[1277, 1129, 637, 13732, 1971, 772, 282, 2011, 29886, 14931]",porte,"[31649, 236]",门,дверь
"Русский: ""племя"" - Français: ""tribu""
Русский: ""сетка"" - Français: ""grille""
Русский: ""девять"" - Français: ""neuf""
Русский: ""юг"" - Français: ""sud""
Русский: ""восток"" - Français: ""","[342, 321, 831, 267, 707, 29872]",est,"[30979, 231]",东,восток
"Русский: ""офис"" - Français: ""bureau""
Русский: ""скорость"" - Français: ""vitesse""
Русский: ""башня"" - Français: ""tour""
Русский: ""собрание"" - Français: ""réunion""
Русский: ""восемь"" - Français: ""","[22888, 29882, 27052, 298, 6905, 15669]",huit,"[31044, 232]",八,восемь
"Русский: ""город"" - Français: ""ville""
Русский: ""закон"" - Français: ""loi""
Русский: ""рука"" - Français: ""main""
Русский: ""лицо"" - Français: ""visage""
Русский: ""пример"" - Français: ""","[17488, 429, 8097, 321, 11875, 735, 29455, 29872]",exemple,"[31507, 231]",例,пример
"Русский: ""поле"" - Français: ""champ""
Русский: ""лес"" - Français: ""forêt""
Русский: ""мост"" - Français: ""pont""
Русский: ""красота"" - Français: ""beauté""
Русский: ""биржа"" - Français: ""","[833, 6526, 16380, 289, 1045, 29890]",bourse,"[31398, 231]",交,биржа
