prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - 中文: ""五""
English: ""heart"" - 中文: ""心""
English: ""part"" - 中文: ""部""
English: ""three"" - 中文: ""三""
English: ""cloud"" - 中文: ""","[31784, 231]",云,"[17184, 9274, 9570, 695, 23642, 1067, 274, 29883, 15126]",cloud,cloud
"English: ""valley"" - 中文: ""谷""
English: ""tribe"" - 中文: ""族""
English: ""virtue"" - 中文: ""德""
English: ""eye"" - 中文: ""目""
English: ""bag"" - 中文: ""","[31473, 232]",包,"[19548, 289, 9922, 2291, 23156, 29890]",bag,bag
"English: ""school"" - 中文: ""校""
English: ""version"" - 中文: ""版""
English: ""point"" - 中文: ""点""
English: ""thousand"" - 中文: ""千""
English: ""mouth"" - 中文: ""","[30856, 232]",口,"[29442, 29885, 2730, 21026, 286, 4346, 13394]",mouth,mouth
"English: ""field"" - 中文: ""场""
English: ""north"" - 中文: ""北""
English: ""flower"" - 中文: ""花""
English: ""tower"" - 中文: ""塔""
English: ""soil"" - 中文: ""","[31181, 232]",土,"[269, 22473, 578, 29879, 577]",soil,soil
"English: ""time"" - 中文: ""时""
English: ""door"" - 中文: ""门""
English: ""valley"" - 中文: ""谷""
English: ""street"" - 中文: ""街""
English: ""mountain"" - 中文: ""","[30329, 232]",山,"[29442, 5766, 2730, 16476, 286, 4346, 14378, 29885]",mountain,mountain
"English: ""pair"" - 中文: ""双""
English: ""left"" - 中文: ""左""
English: ""summer"" - 中文: ""夏""
English: ""seven"" - 中文: ""七""
English: ""heart"" - 中文: ""","[30869, 232]",心,"[5192, 8293, 540, 23057, 29882, 354, 298]",heart,heart
"English: ""strip"" - 中文: ""条""
English: ""one"" - 中文: ""一""
English: ""day"" - 中文: ""日""
English: ""child"" - 中文: ""子""
English: ""hand"" - 中文: ""","[30880, 233]",手,"[447, 2350, 3179, 1361, 5905, 5403, 29882, 298]",hand,hand
"English: ""four"" - 中文: ""四""
English: ""wood"" - 中文: ""木""
English: ""red"" - 中文: ""红""
English: ""left"" - 中文: ""左""
English: ""day"" - 中文: ""","[30325, 233]",日,"[3250, 29881, 2462, 270, 1388, 1146]",day,day
"English: ""source"" - 中文: ""源""
English: ""nine"" - 中文: ""九""
English: ""hand"" - 中文: ""手""
English: ""line"" - 中文: ""线""
English: ""star"" - 中文: ""","[30900, 233]",星,"[8508, 269, 5173, 5810, 303, 9523, 29879, 380]",star,star
"English: ""law"" - 中文: ""法""
English: ""tribe"" - 中文: ""族""
English: ""mouth"" - 中文: ""口""
English: ""left"" - 中文: ""左""
English: ""spring"" - 中文: ""","[31031, 233]",春,"[269, 7689, 15099, 805, 6709, 4278, 1028, 29879]",spring,spring
