prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""gauche"" - 中文: ""左""
Français: ""pont"" - 中文: ""桥""
Français: ""bouche"" - 中文: ""口""
Français: ""lac"" - 中文: ""湖""
Français: ""avancer"" - 中文: ""","[31174, 235]",进,"[31174, 235]",进,avancer
"Français: ""discours"" - 中文: ""话""
Français: ""gare"" - 中文: ""站""
Français: ""étoile"" - 中文: ""星""
Français: ""filet"" - 中文: ""网""
Français: ""tentative"" - 中文: ""","[31787, 235]",试,"[31787, 235]",试,tentative
"Français: ""roche"" - 中文: ""岩""
Français: ""quatre"" - 中文: ""四""
Français: ""forêt"" - 中文: ""林""
Français: ""personne"" - 中文: ""人""
Français: ""sac"" - 中文: ""","[31473, 232]",包,"[31473, 232]",包,sac
"Français: ""neuf"" - 中文: ""九""
Français: ""plate-forme"" - 中文: ""台""
Français: ""main"" - 中文: ""手""
Français: ""temps"" - 中文: ""时""
Français: ""ballon"" - 中文: ""","[31539, 234]",球,"[31539, 234]",球,ballon
"Français: ""étang"" - 中文: ""池""
Français: ""cheval"" - 中文: ""马""
Français: ""discours"" - 中文: ""话""
Français: ""montagne"" - 中文: ""山""
Français: ""beauté"" - 中文: ""","[30630, 234]",美,"[30630, 234]",美,beauté
"Français: ""un"" - 中文: ""一""
Français: ""vertu"" - 中文: ""德""
Français: ""mot"" - 中文: ""字""
Français: ""ligne"" - 中文: ""线""
Français: ""pont"" - 中文: ""","[31749, 233]",桥,"[31749, 233]",桥,pont
"Français: ""mère"" - 中文: ""母""
Français: ""juge"" - 中文: ""判""
Français: ""enfant"" - 中文: ""子""
Français: ""cravate"" - 中文: ""结""
Français: ""grotte"" - 中文: ""","[31886, 233]",洞,"[31886, 233]",洞,grotte
"Français: ""loi"" - 中文: ""法""
Français: ""danse"" - 中文: ""舞""
Français: ""grille"" - 中文: ""格""
Français: ""vertu"" - 中文: ""德""
Français: ""enfant"" - 中文: ""","[30319, 232]",子,"[30319, 232]",子,enfant
"Français: ""pied"" - 中文: ""足""
Français: ""réunion"" - 中文: ""会""
Français: ""grotte"" - 中文: ""洞""
Français: ""sol"" - 中文: ""地""
Français: ""ville"" - 中文: ""","[30626, 232]",城,"[30626, 232]",城,ville
"Français: ""bourse"" - 中文: ""交""
Français: ""gare"" - 中文: ""站""
Français: ""sac"" - 中文: ""包""
Français: ""vertu"" - 中文: ""德""
Français: ""nuage"" - 中文: ""","[31784, 231]",云,"[31784, 231]",云,nuage
"Français: ""paire"" - 中文: ""双""
Français: ""carré"" - 中文: ""方""
Français: ""loi"" - 中文: ""法""
Français: ""histoire"" - 中文: ""史""
Français: ""couleur"" - 中文: ""","[31085, 235]",色,"[31085, 235]",色,couleur
