prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - Русский: ""五""
Deutsch: ""cœur"" - Русский: ""心""
Deutsch: ""partie"" - Русский: ""部""
Deutsch: ""trois"" - Русский: ""三""
Deutsch: ""nuage"" - Русский: ""","[31784, 231]",云,"[17184, 15126, 695, 23642, 9570, 29883, 1067, 9274, 274]",cloud,nuage
"Deutsch: ""vallée"" - Русский: ""谷""
Deutsch: ""tribu"" - Русский: ""族""
Deutsch: ""vertu"" - Русский: ""德""
Deutsch: ""œil"" - Русский: ""目""
Deutsch: ""sac"" - Русский: ""","[31473, 232]",包,"[9922, 2291, 289, 23156, 19548, 29890]",bag,sac
"Deutsch: ""école"" - Русский: ""校""
Deutsch: ""version"" - Русский: ""版""
Deutsch: ""point"" - Русский: ""点""
Deutsch: ""mille"" - Русский: ""千""
Deutsch: ""bouche"" - Русский: ""","[30856, 232]",口,"[4346, 2730, 29885, 21026, 29442, 286, 13394]",mouth,bouche
"Deutsch: ""champ"" - Русский: ""场""
Deutsch: ""nord"" - Русский: ""北""
Deutsch: ""fleur"" - Русский: ""花""
Deutsch: ""tour"" - Русский: ""塔""
Deutsch: ""sol"" - Русский: ""","[31181, 232]",土,"[29879, 578, 269, 577, 22473]",soil,sol
"Deutsch: ""temps"" - Русский: ""时""
Deutsch: ""porte"" - Русский: ""门""
Deutsch: ""vallée"" - Русский: ""谷""
Deutsch: ""rue"" - Русский: ""街""
Deutsch: ""montagne"" - Русский: ""","[30329, 232]",山,"[4346, 2730, 5766, 14378, 29885, 16476, 29442, 286]",mountain,montagne
"Deutsch: ""paire"" - Русский: ""双""
Deutsch: ""gauche"" - Русский: ""左""
Deutsch: ""été"" - Русский: ""夏""
Deutsch: ""sept"" - Русский: ""七""
Deutsch: ""cœur"" - Русский: ""","[30869, 232]",心,"[298, 29882, 8293, 23057, 540, 5192, 354]",heart,cœur
"Deutsch: ""bande"" - Русский: ""条""
Deutsch: ""un"" - Русский: ""一""
Deutsch: ""jour"" - Русский: ""日""
Deutsch: ""enfant"" - Русский: ""子""
Deutsch: ""main"" - Русский: ""","[30880, 233]",手,"[447, 3179, 298, 29882, 1361, 2350, 5905, 5403]",hand,main
"Deutsch: ""quatre"" - Русский: ""四""
Deutsch: ""bois"" - Русский: ""木""
Deutsch: ""rouge"" - Русский: ""红""
Deutsch: ""gauche"" - Русский: ""左""
Deutsch: ""jour"" - Русский: ""","[30325, 233]",日,"[1388, 270, 2462, 1146, 3250, 29881]",day,jour
"Deutsch: ""source"" - Русский: ""源""
Deutsch: ""neuf"" - Русский: ""九""
Deutsch: ""main"" - Русский: ""手""
Deutsch: ""ligne"" - Русский: ""线""
Deutsch: ""étoile"" - Русский: ""","[30900, 233]",星,"[29879, 380, 303, 5810, 8508, 5173, 9523, 269]",star,étoile
"Deutsch: ""loi"" - Русский: ""法""
Deutsch: ""tribu"" - Русский: ""族""
Deutsch: ""bouche"" - Русский: ""口""
Deutsch: ""gauche"" - Русский: ""左""
Deutsch: ""ressort"" - Русский: ""","[31031, 233]",春,"[29879, 7689, 4278, 805, 15099, 6709, 1028, 269]",spring,ressort
"Deutsch: ""siège"" - Русский: ""座""
Deutsch: ""sud"" - Русский: ""南""
Deutsch: ""quatre"" - Русский: ""四""
Deutsch: ""or"" - Русский: ""金""
Deutsch: ""lune"" - Русский: ""","[30534, 233]",月,"[4346, 2730, 29885, 18786, 286]",moon,lune
