prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - English: ""five""
Français: ""cœur"" - English: ""heart""
Français: ""partie"" - English: ""part""
Français: ""trois"" - English: ""three""
Français: ""nuage"" - English: ""","[1067, 274, 9274, 9570, 695, 23642, 15126, 17184, 29883]",cloud,"[1067, 274, 9274, 9570, 695, 23642, 15126, 17184, 29883]",cloud,nuage
"Français: ""vallée"" - English: ""valley""
Français: ""tribu"" - English: ""tribe""
Français: ""vertu"" - English: ""virtue""
Français: ""œil"" - English: ""eye""
Français: ""sac"" - English: ""","[289, 9922, 23156, 2291, 29890, 19548]",bag,"[289, 9922, 23156, 2291, 29890, 19548]",bag,sac
"Français: ""école"" - English: ""school""
Français: ""version"" - English: ""version""
Français: ""point"" - English: ""point""
Français: ""mille"" - English: ""thousand""
Français: ""bouche"" - English: ""","[13394, 21026, 2730, 29885, 4346, 29442, 286]",mouth,"[13394, 21026, 2730, 29885, 4346, 29442, 286]",mouth,bouche
"Français: ""champ"" - English: ""field""
Français: ""nord"" - English: ""north""
Français: ""fleur"" - English: ""flower""
Français: ""tour"" - English: ""tower""
Français: ""sol"" - English: ""","[269, 22473, 577, 578, 29879]",soil,"[269, 22473, 577, 578, 29879]",soil,sol
"Français: ""temps"" - English: ""time""
Français: ""porte"" - English: ""door""
Français: ""vallée"" - English: ""valley""
Français: ""rue"" - English: ""street""
Français: ""montagne"" - English: ""","[4346, 2730, 16476, 29885, 14378, 5766, 29442, 286]",mountain,"[4346, 2730, 16476, 29885, 14378, 5766, 29442, 286]",mountain,montagne
"Français: ""paire"" - English: ""pair""
Français: ""gauche"" - English: ""left""
Français: ""été"" - English: ""summer""
Français: ""sept"" - English: ""seven""
Français: ""cœur"" - English: ""","[298, 29882, 23057, 5192, 354, 540, 8293]",heart,"[298, 29882, 23057, 5192, 354, 540, 8293]",heart,cœur
"Français: ""bande"" - English: ""strip""
Français: ""un"" - English: ""one""
Français: ""jour"" - English: ""day""
Français: ""enfant"" - English: ""child""
Français: ""main"" - English: ""","[298, 5403, 5905, 29882, 447, 1361, 2350, 3179]",hand,"[298, 5403, 5905, 29882, 447, 1361, 2350, 3179]",hand,main
"Français: ""quatre"" - English: ""four""
Français: ""bois"" - English: ""wood""
Français: ""rouge"" - English: ""red""
Français: ""gauche"" - English: ""left""
Français: ""jour"" - English: ""","[270, 29881, 1388, 3250, 2462, 1146]",day,"[270, 29881, 1388, 3250, 2462, 1146]",day,jour
"Français: ""source"" - English: ""source""
Français: ""neuf"" - English: ""nine""
Français: ""main"" - English: ""hand""
Français: ""ligne"" - English: ""line""
Français: ""étoile"" - English: ""","[8508, 380, 5810, 269, 9523, 303, 29879, 5173]",star,"[8508, 380, 5810, 269, 9523, 303, 29879, 5173]",star,étoile
"Français: ""loi"" - English: ""law""
Français: ""tribu"" - English: ""tribe""
Français: ""bouche"" - English: ""mouth""
Français: ""gauche"" - English: ""left""
Français: ""ressort"" - English: ""","[1028, 6709, 7689, 805, 269, 4278, 29879, 15099]",spring,"[1028, 6709, 7689, 805, 269, 4278, 29879, 15099]",spring,ressort
"Français: ""siège"" - English: ""seat""
Français: ""sud"" - English: ""south""
Français: ""quatre"" - English: ""four""
Français: ""or"" - English: ""gold""
Français: ""lune"" - English: ""","[18786, 2730, 29885, 4346, 286]",moon,"[18786, 2730, 29885, 4346, 286]",moon,lune
"Français: ""bouche"" - English: ""mouth""
Français: ""mille"" - English: ""thousand""
Français: ""ménage"" - English: ""household""
Français: ""été"" - English: ""summer""
Français: ""bois"" - English: ""","[8112, 827, 281, 8879, 6115, 29893]",wood,"[8112, 827, 281, 8879, 6115, 29893]",wood,bois
"Français: ""forêt"" - English: ""forest""
Français: ""cravate"" - English: ""tie""
Français: ""six"" - English: ""six""
Français: ""dix"" - English: ""ten""
Français: ""village"" - English: ""","[4213, 21031, 29894, 11928, 17191, 28765, 3516, 5720, 1403, 325]",village,"[4213, 21031, 29894, 11928, 17191, 28765, 3516, 5720, 1403, 325]",village,village
