prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""group"" - Русский: ""группа""
English: ""mountain"" - Русский: ""гора""
English: ""snow"" - Русский: ""снег""
English: ""color"" - Русский: ""цвет""
English: ""book"" - Русский: ""","[1186, 13024, 29951, 211]",книга,"[1045, 833, 3143, 289, 2909, 29890]",book,book
"English: ""painting"" - Русский: ""картина""
English: ""machine"" - Русский: ""машина""
English: ""city"" - Русский: ""город""
English: ""example"" - Русский: ""пример""
English: ""cloud"" - Русский: ""","[1604, 5055, 4389, 614, 29904, 211]",облако,"[17184, 15126, 9274, 29883, 9570, 23642, 695, 1067, 274]",cloud,cloud
"English: ""position"" - Русский: ""позиция""
English: ""moon"" - Русский: ""луна""
English: ""dance"" - Русский: ""танец""
English: ""seat"" - Русский: ""сиденье""
English: ""bag"" - Русский: ""","[531, 3404, 2937, 29935, 212]",сумка,"[9922, 289, 23156, 2291, 19548, 29890]",bag,bag
"English: ""office"" - Русский: ""офис""
English: ""item"" - Русский: ""предмет""
English: ""seat"" - Русский: ""сиденье""
English: ""thousand"" - Русский: ""тысяча""
English: ""mouth"" - Русский: ""","[29927, 576, 1561, 8201, 212]",рот,"[2730, 21026, 29442, 286, 29885, 13394, 4346]",mouth,mouth
"English: ""item"" - Русский: ""предмет""
English: ""kind"" - Русский: ""вид""
English: ""language"" - Русский: ""язык""
English: ""power"" - Русский: ""власть""
English: ""soil"" - Русский: ""","[469, 18752, 1268, 29964, 733, 211]",почва,"[577, 269, 22473, 578, 29879]",soil,soil
"English: ""sound"" - Русский: ""звук""
English: ""middle"" - Русский: ""середина""
English: ""three"" - Русский: ""три""
English: ""thousand"" - Русский: ""тысяча""
English: ""mountain"" - Русский: ""","[24856, 29969, 1214, 1084, 588, 17310, 211]",гора,"[2730, 5766, 29442, 286, 16476, 29885, 4346, 14378]",mountain,mountain
"English: ""shop"" - Русский: ""магазин""
English: ""virtue"" - Русский: ""добродетель""
English: ""law"" - Русский: ""закон""
English: ""bridge"" - Русский: ""мост""
English: ""heart"" - Русский: ""","[1586, 531, 10182, 1502, 14315, 29935, 212]",сердце,"[354, 540, 298, 23057, 8293, 29882, 5192]",heart,heart
"English: ""red"" - Русский: ""красный""
English: ""exchange"" - Русский: ""биржа""
English: ""fruit"" - Русский: ""фрукт""
English: ""middle"" - Русский: ""середина""
English: ""hand"" - Русский: ""","[29927, 1086, 11218, 5368, 8201, 212]",рука,"[447, 1361, 2350, 298, 5905, 29882, 5403, 3179]",hand,hand
"English: ""kind"" - Русский: ""вид""
English: ""bridge"" - Русский: ""мост""
English: ""pair"" - Русский: ""пара""
English: ""rice"" - Русский: ""рис""
English: ""star"" - Русский: ""","[29972, 27643, 754, 211]",звезда,"[303, 269, 380, 5810, 9523, 29879, 5173, 8508]",star,star
"English: ""five"" - Русский: ""пять""
English: ""power"" - Русский: ""власть""
English: ""delete"" - Русский: ""удалить""
English: ""water"" - Русский: ""вода""
English: ""spring"" - Русский: ""","[469, 21550, 12781, 29964, 211]",пружина,"[6709, 269, 15099, 29879, 1028, 7689, 805, 4278]",spring,spring
