prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""удалить"" - Deutsch: ""löschen""
Русский: ""источник"" - Deutsch: ""Quelle""
Русский: ""дом"" - Deutsch: ""Haus""
Русский: ""солнце"" - Deutsch: ""Sonne""
Русский: ""книга"" - Deutsch: ""","[350, 3727, 5373, 29933, 22987, 10586]",Buch,"[833, 3143, 29890, 289, 1045, 2909]",book,книга
"Русский: ""море"" - Deutsch: ""Meer""
Русский: ""группа"" - Deutsch: ""Gruppe""
Русский: ""предмет"" - Deutsch: ""Gegenstand""
Русский: ""история"" - Deutsch: ""Geschichte""
Русский: ""облако"" - Deutsch: ""","[14962, 399, 29956, 11902]",Wolke,"[9570, 695, 1067, 23642, 9274, 274, 29883, 15126, 17184]",cloud,облако
"Русский: ""деревня"" - Deutsch: ""Dorf""
Русский: ""море"" - Deutsch: ""Meer""
Русский: ""песня"" - Deutsch: ""Lied""
Русский: ""вода"" - Deutsch: ""Wasser""
Русский: ""сумка"" - Deutsch: ""","[29911, 10523, 23793, 323]",Tasche,"[23156, 19548, 29890, 289, 2291, 9922]",bag,сумка
"Русский: ""сиденье"" - Deutsch: ""Sitz""
Русский: ""восток"" - Deutsch: ""Osten""
Русский: ""песня"" - Deutsch: ""Lied""
Русский: ""поражение"" - Deutsch: ""Niederlage""
Русский: ""рот"" - Deutsch: ""","[341, 13564, 8229, 29924]",Mund,"[29442, 21026, 2730, 286, 4346, 13394, 29885]",mouth,рот
"Русский: ""дом"" - Deutsch: ""Haus""
Русский: ""красота"" - Deutsch: ""Schönheit""
Русский: ""юг"" - Deutsch: ""Süden""
Русский: ""лошадь"" - Deutsch: ""Pferd""
Русский: ""почва"" - Deutsch: ""","[19929, 350, 8431, 29933, 1952]",Boden,"[577, 578, 22473, 269, 29879]",soil,почва
"Русский: ""дом"" - Deutsch: ""Haus""
Русский: ""красота"" - Deutsch: ""Schönheit""
Русский: ""офис"" - Deutsch: ""Büro""
Русский: ""провинция"" - Deutsch: ""Provinz""
Русский: ""гора"" - Deutsch: ""","[1522, 350, 9827, 3629, 17104, 29933, 2292]",Berg,"[29442, 14378, 2730, 16476, 286, 4346, 5766, 29885]",mountain,гора
"Русский: ""город"" - Deutsch: ""Stadt""
Русский: ""север"" - Deutsch: ""Norden""
Русский: ""юг"" - Deutsch: ""Süden""
Русский: ""снег"" - Deutsch: ""Schnee""
Русский: ""сердце"" - Deutsch: ""","[379, 3868, 940, 18650, 29950, 2439, 12905]",Herz,"[298, 23057, 540, 29882, 5192, 354, 8293]",heart,сердце
"Русский: ""власть"" - Deutsch: ""Macht""
Русский: ""попытка"" - Deutsch: ""Versuch""
Русский: ""красота"" - Deutsch: ""Schönheit""
Русский: ""поражение"" - Deutsch: ""Niederlage""
Русский: ""звезда"" - Deutsch: ""","[2443, 855, 624, 29903, 23413, 317, 28588, 7789]",Stern,"[8508, 9523, 5173, 380, 5810, 269, 29879, 303]",star,звезда
"Русский: ""машина"" - Deutsch: ""Maschine""
Русский: ""пять"" - Deutsch: ""fünf""
Русский: ""восемь"" - Deutsch: ""acht""
Русский: ""друг"" - Deutsch: ""Freund""
Русский: ""пружина"" - Deutsch: ""","[7351, 8263, 17972, 29943, 5169, 383]",Feder,"[1028, 15099, 4278, 6709, 269, 29879, 7689, 805]",spring,пружина
"Русский: ""лошадь"" - Deutsch: ""Pferd""
Русский: ""земля"" - Deutsch: ""Boden""
Русский: ""пример"" - Deutsch: ""Beispiel""
Русский: ""чай"" - Deutsch: ""Tee""
Русский: ""луна"" - Deutsch: ""","[341, 22638, 2598, 7185, 12125, 4546, 29924]",Mond,"[2730, 286, 4346, 18786, 29885]",moon,луна
"Русский: ""цвет"" - Deutsch: ""Farbe""
Русский: ""два"" - Deutsch: ""zwei""
Русский: ""биржа"" - Deutsch: ""Börse""
Русский: ""машина"" - Deutsch: ""Maschine""
Русский: ""деревня"" - Deutsch: ""","[6132, 360, 9579, 17207, 29928, 1938]",Dorf,"[5720, 28765, 17191, 3516, 4213, 325, 29894, 1403, 21031, 11928]",village,деревня
"Русский: ""озеро"" - Deutsch: ""See""
Русский: ""ребенок"" - Deutsch: ""Kind""
Русский: ""солнце"" - Deutsch: ""Sonne""
Русский: ""вода"" - Deutsch: ""Wasser""
Русский: ""лес"" - Deutsch: ""","[399, 29956, 22552, 17721, 5260]",Wald,"[1454, 26839, 1079, 363, 29888, 1701, 285, 1181, 13569]",forest,лес
"Русский: ""чай"" - Deutsch: ""Tee""
Русский: ""почва"" - Deutsch: ""Boden""
Русский: ""история"" - Deutsch: ""Geschichte""
Русский: ""десять"" - Deutsch: ""zehn""
Русский: ""сетка"" - Deutsch: ""","[402, 28712, 29954, 26074, 11786, 4406]",Gitter,"[629, 29887, 6856, 867, 330, 7720]",grid,сетка
"Русский: ""точка"" - Deutsch: ""Punkt""
Русский: ""судья"" - Deutsch: ""Richter""
Русский: ""чай"" - Deutsch: ""Tee""
Русский: ""группа"" - Deutsch: ""Gruppe""
Русский: ""песня"" - Deutsch: ""","[29382, 2718, 7326, 29931, 365, 23410]",Lied,"[1100, 21453, 577, 578, 4823, 269, 29879, 1487]",song,песня
"Русский: ""сиденье"" - Deutsch: ""Sitz""
Русский: ""цветок"" - Deutsch: ""Blume""
Русский: ""пруд"" - Deutsch: ""Teich""
Русский: ""история"" - Deutsch: ""Geschichte""
Русский: ""вода"" - Deutsch: ""","[399, 12547, 29457, 29956, 22552, 16124]",Wasser,"[281, 29893, 2766, 4094, 13405, 16699, 11324]",water,вода
"Русский: ""сиденье"" - Deutsch: ""Sitz""
Русский: ""провинция"" - Deutsch: ""Provinz""
Русский: ""ребенок"" - Deutsch: ""Kind""
Русский: ""океан"" - Deutsch: ""Ozean""
Русский: ""пруд"" - Deutsch: ""","[7141, 29911, 1920, 323]",Teich,"[282, 1112, 12509, 1129, 772, 2818, 29886]",pond,пруд
"Русский: ""мост"" - Deutsch: ""Brücke""
Русский: ""история"" - Deutsch: ""Geschichte""
Русский: ""рис"" - Deutsch: ""Reis""
Русский: ""хвост"" - Deutsch: ""Schwanz""
Русский: ""река"" - Deutsch: ""","[29943, 2379, 8754, 383]",Fluss,"[29878, 3511, 4401, 364, 8580, 9050, 1150, 10107, 374]",river,река
"Русский: ""пружина"" - Deutsch: ""Feder""
Русский: ""судья"" - Deutsch: ""Richter""
Русский: ""сумка"" - Deutsch: ""Tasche""
Русский: ""три"" - Deutsch: ""drei""
Русский: ""закон"" - Deutsch: ""","[402, 29954, 6328, 7999, 1879]",Gesetz,"[433, 10653, 425, 301, 29880, 4307]",law,закон
"Русский: ""вид"" - Deutsch: ""Art""
Русский: ""источник"" - Deutsch: ""Quelle""
Русский: ""луна"" - Deutsch: ""Mond""
Русский: ""красота"" - Deutsch: ""Schönheit""
Русский: ""волна"" - Deutsch: ""","[11284, 5674, 10458, 1334, 4806, 29956, 28862, 399]",Welle,"[27766, 281, 2766, 29893, 10742, 11324]",wave,волна
"Русский: ""история"" - Deutsch: ""Geschichte""
Русский: ""девять"" - Deutsch: ""neun""
Русский: ""костер"" - Deutsch: ""Feuer""
Русский: ""мост"" - Deutsch: ""Brücke""
Русский: ""океан"" - Deutsch: ""","[438, 29949]",Ozean,"[29877, 542, 25802, 288, 23474, 12954]",ocean,океан
"Русский: ""сиденье"" - Deutsch: ""Sitz""
Русский: ""сердце"" - Deutsch: ""Herz""
Русский: ""девять"" - Deutsch: ""neun""
Русский: ""группа"" - Deutsch: ""Gruppe""
Русский: ""пещера"" - Deutsch: ""","[379, 11623, 29950]",Höhle,"[5777, 24230, 274, 29883, 1113, 18346]",cave,пещера
"Русский: ""скорость"" - Deutsch: ""Geschwindigkeit""
Русский: ""власть"" - Deutsch: ""Macht""
Русский: ""сумка"" - Deutsch: ""Tasche""
Русский: ""деревня"" - Deutsch: ""Dorf""
Русский: ""море"" - Deutsch: ""","[341, 2191, 6816, 29924]",Meer,"[409, 7205, 344, 269, 29879]",sea,море
"Русский: ""костер"" - Deutsch: ""Feuer""
Русский: ""квадрат"" - Deutsch: ""Quadrat""
Русский: ""судья"" - Deutsch: ""Richter""
Русский: ""слово"" - Deutsch: ""Wort""
Русский: ""озеро"" - Deutsch: ""","[2008, 2823, 29903, 13393, 317, 922]",See,"[24591, 433, 18170, 425, 301, 19437, 29880]",lake,озеро
"Русский: ""галстук"" - Deutsch: ""Krawatte""
Русский: ""биржа"" - Deutsch: ""Börse""
Русский: ""солнце"" - Deutsch: ""Sonne""
Русский: ""океан"" - Deutsch: ""Ozean""
Русский: ""источник"" - Deutsch: ""","[8654, 660, 29984, 2182, 5462, 751]",Quelle,"[577, 578, 4993, 2752, 3669, 269, 29879]",source,источник
"Русский: ""источник"" - Deutsch: ""Quelle""
Русский: ""друг"" - Deutsch: ""Freund""
Русский: ""долина"" - Deutsch: ""Tal""
Русский: ""земля"" - Deutsch: ""Boden""
Русский: ""костер"" - Deutsch: ""","[8263, 29331, 29943, 5169, 383]",Feuer,"[29888, 8696, 285, 5713, 3974, 28034, 13734, 7241]",fire,костер
"Русский: ""хвост"" - Deutsch: ""Schwanz""
Русский: ""море"" - Deutsch: ""Meer""
Русский: ""машина"" - Deutsch: ""Maschine""
Русский: ""улица"" - Deutsch: ""Straße""
Русский: ""точка"" - Deutsch: ""","[29925, 12129, 22723, 349]",Punkt,"[282, 3149, 11899, 1129, 772, 1298, 29886]",point,точка
"Русский: ""провинция"" - Deutsch: ""Provinz""
Русский: ""цветок"" - Deutsch: ""Blume""
Русский: ""гора"" - Deutsch: ""Berg""
Русский: ""биржа"" - Deutsch: ""Börse""
Русский: ""картина"" - Deutsch: ""","[402, 29954, 15170, 7999, 1879]",Gemälde,"[10675, 282, 20413, 6788, 3274, 3300, 29886]",painting,картина
"Русский: ""хвост"" - Deutsch: ""Schwanz""
Русский: ""книга"" - Deutsch: ""Buch""
Русский: ""пять"" - Deutsch: ""fünf""
Русский: ""сумка"" - Deutsch: ""Tasche""
Русский: ""рис"" - Deutsch: ""","[830, 390, 1123, 29934]",Reis,"[29878, 19408, 364, 374, 11674, 10107, 2200, 9597]",rice,рис
"Русский: ""деревня"" - Deutsch: ""Dorf""
Русский: ""снег"" - Deutsch: ""Schnee""
Русский: ""сиденье"" - Deutsch: ""Sitz""
Русский: ""шесть"" - Deutsch: ""sechs""
Русский: ""линия"" - Deutsch: ""","[2718, 29931, 4342, 365, 23410, 11667]",Linie,"[1915, 1220, 619, 301, 6276, 29880, 1196, 492]",line,линия
"Русский: ""картина"" - Deutsch: ""Gemälde""
Русский: ""закон"" - Deutsch: ""Gesetz""
Русский: ""лошадь"" - Deutsch: ""Pferd""
Русский: ""платформа"" - Deutsch: ""Plattform""
Русский: ""цветок"" - Deutsch: ""","[350, 3164, 10358, 29933]",Blume,"[1731, 1579, 4972, 29888, 28149, 285, 5685, 1652]",flower,цветок
"Русский: ""река"" - Deutsch: ""Fluss""
Русский: ""песня"" - Deutsch: ""Lied""
Русский: ""пример"" - Deutsch: ""Beispiel""
Русский: ""галстук"" - Deutsch: ""Krawatte""
Русский: ""чай"" - Deutsch: ""","[7141, 29911, 1920, 323]",Tee,"[23429, 260, 371, 734, 29873]",tea,чай
"Русский: ""десять"" - Deutsch: ""zehn""
Русский: ""тысяча"" - Deutsch: ""tausend""
Русский: ""почва"" - Deutsch: ""Boden""
Русский: ""точка"" - Deutsch: ""Punkt""
Русский: ""нога"" - Deutsch: ""","[11871, 11212, 29943, 383]",Fuß,"[5431, 29888, 1701, 285, 7953, 1181, 6661, 3661]",foot,нога
"Русский: ""попытка"" - Deutsch: ""Versuch""
Русский: ""мост"" - Deutsch: ""Brücke""
Русский: ""луна"" - Deutsch: ""Mond""
Русский: ""долина"" - Deutsch: ""Tal""
Русский: ""дверь"" - Deutsch: ""","[29911, 25424, 323]",Tür,"[3050, 1867, 29881, 437, 17433, 270]",door,дверь
"Русский: ""десять"" - Deutsch: ""zehn""
Русский: ""мать"" - Deutsch: ""Mutter""
Русский: ""луна"" - Deutsch: ""Mond""
Русский: ""два"" - Deutsch: ""zwei""
Русский: ""снег"" - Deutsch: ""","[21129, 29903, 317, 2522, 4504, 1102, 4421]",Schnee,"[5807, 15007, 16586, 269, 29879]",snow,снег
"Русский: ""полоса"" - Deutsch: ""Streifen""
Русский: ""река"" - Deutsch: ""Fluss""
Русский: ""сетка"" - Deutsch: ""Gitter""
Русский: ""долина"" - Deutsch: ""Tal""
Русский: ""лошадь"" - Deutsch: ""","[29925, 10022, 349]",Pferd,"[298, 10435, 2015, 4029, 29882, 5089, 11231, 1251]",horse,лошадь
"Русский: ""девять"" - Deutsch: ""neun""
Русский: ""лошадь"" - Deutsch: ""Pferd""
Русский: ""океан"" - Deutsch: ""Ozean""
Русский: ""биржа"" - Deutsch: ""Börse""
Русский: ""два"" - Deutsch: ""","[4753, 7325, 5263, 503, 7659, 29920]",zwei,"[3252, 1023, 7516, 260, 10184, 29873]",two,два
"Русский: ""город"" - Deutsch: ""Stadt""
Русский: ""солнце"" - Deutsch: ""Sonne""
Русский: ""десять"" - Deutsch: ""zehn""
Русский: ""север"" - Deutsch: ""Norden""
Русский: ""три"" - Deutsch: ""","[4192, 14724, 7707, 29881, 9697, 270]",drei,"[17536, 2211, 1468, 260, 266, 29873, 386, 12455]",three,три
"Русский: ""снег"" - Deutsch: ""Schnee""
Русский: ""улица"" - Deutsch: ""Straße""
Русский: ""десять"" - Deutsch: ""zehn""
Русский: ""офис"" - Deutsch: ""Büro""
Русский: ""четыре"" - Deutsch: ""","[3516, 29894, 325, 1403, 25965, 7214, 8545, 6316]",vier,"[17823, 29888, 1701, 285, 1181, 12584, 3023]",four,четыре
"Русский: ""школа"" - Deutsch: ""Schule""
Русский: ""попытка"" - Deutsch: ""Versuch""
Русский: ""источник"" - Deutsch: ""Quelle""
Русский: ""гора"" - Deutsch: ""Berg""
Русский: ""восемь"" - Deutsch: ""","[22019, 496, 5860, 562, 263, 3657, 1274, 29874]",acht,"[321, 29319, 29872, 10096, 15761, 9475]",eight,восемь
"Русский: ""пещера"" - Deutsch: ""Höhle""
Русский: ""река"" - Deutsch: ""Fluss""
Русский: ""линия"" - Deutsch: ""Linie""
Русский: ""добродетель"" - Deutsch: ""Tugend""
Русский: ""десять"" - Deutsch: ""","[3777, 911, 503, 29920]",zehn,"[841, 260, 371, 734, 3006, 29873]",ten,десять
"Русский: ""пара"" - Deutsch: ""Paar""
Русский: ""лето"" - Deutsch: ""Sommer""
Русский: ""племя"" - Deutsch: ""Stamm""
Русский: ""попытка"" - Deutsch: ""Versuch""
Русский: ""голова"" - Deutsch: ""","[27476, 476, 8224, 29968]",Kopf,"[298, 540, 29882, 2343, 354, 2813]",head,голова
"Русский: ""добродетель"" - Deutsch: ""Tugend""
Русский: ""девять"" - Deutsch: ""neun""
Русский: ""лето"" - Deutsch: ""Sommer""
Русский: ""облако"" - Deutsch: ""Wolke""
Русский: ""полоса"" - Deutsch: ""","[855, 624, 29903, 5015, 317, 11738, 3767]",Streifen,"[17820, 380, 851, 10076, 710, 17010, 269, 29879, 303]",strip,полоса
"Русский: ""дверь"" - Deutsch: ""Tür""
Русский: ""дом"" - Deutsch: ""Haus""
Русский: ""скорость"" - Deutsch: ""Geschwindigkeit""
Русский: ""солнце"" - Deutsch: ""Sonne""
Русский: ""улица"" - Deutsch: ""","[855, 624, 29903, 7357, 5015, 317, 3767, 22667]",Straße,"[13045, 12243, 380, 851, 29352, 11952, 710, 269, 29879, 303]",street,улица
"Русский: ""звезда"" - Deutsch: ""Stern""
Русский: ""цветок"" - Deutsch: ""Blume""
Русский: ""ребенок"" - Deutsch: ""Kind""
Русский: ""рот"" - Deutsch: ""Mund""
Русский: ""часть"" - Deutsch: ""","[7770, 7141, 29911, 1920, 323]",Teil,"[282, 760, 1595, 862, 610, 3274, 3300, 29886]",part,часть
"Русский: ""солнце"" - Deutsch: ""Sonne""
Русский: ""песня"" - Deutsch: ""Lied""
Русский: ""девять"" - Deutsch: ""neun""
Русский: ""полоса"" - Deutsch: ""Streifen""
Русский: ""поле"" - Deutsch: ""","[21113, 8263, 29943, 5169, 11961, 383]",Feld,"[1746, 2671, 29888, 29607, 285, 5713, 7241]",field,поле
