prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - English: ""five""
Deutsch: ""cœur"" - English: ""heart""
Deutsch: ""partie"" - English: ""part""
Deutsch: ""trois"" - English: ""three""
Deutsch: ""nuage"" - English: ""","[17184, 9274, 29883, 695, 15126, 274, 9570, 23642, 1067]",cloud,"[17184, 9274, 29883, 695, 15126, 274, 9570, 23642, 1067]",cloud,nuage
"Deutsch: ""vallée"" - English: ""valley""
Deutsch: ""tribu"" - English: ""tribe""
Deutsch: ""vertu"" - English: ""virtue""
Deutsch: ""œil"" - English: ""eye""
Deutsch: ""sac"" - English: ""","[23156, 19548, 289, 29890, 2291, 9922]",bag,"[23156, 19548, 289, 29890, 2291, 9922]",bag,sac
"Deutsch: ""école"" - English: ""school""
Deutsch: ""version"" - English: ""version""
Deutsch: ""point"" - English: ""point""
Deutsch: ""mille"" - English: ""thousand""
Deutsch: ""bouche"" - English: ""","[4346, 21026, 2730, 13394, 29442, 286, 29885]",mouth,"[4346, 21026, 2730, 13394, 29442, 286, 29885]",mouth,bouche
"Deutsch: ""champ"" - English: ""field""
Deutsch: ""nord"" - English: ""north""
Deutsch: ""fleur"" - English: ""flower""
Deutsch: ""tour"" - English: ""tower""
Deutsch: ""sol"" - English: ""","[269, 577, 29879, 22473, 578]",soil,"[269, 577, 29879, 22473, 578]",soil,sol
"Deutsch: ""temps"" - English: ""time""
Deutsch: ""porte"" - English: ""door""
Deutsch: ""vallée"" - English: ""valley""
Deutsch: ""rue"" - English: ""street""
Deutsch: ""montagne"" - English: ""","[5766, 4346, 14378, 2730, 16476, 29442, 286, 29885]",mountain,"[5766, 4346, 14378, 2730, 16476, 29442, 286, 29885]",mountain,montagne
"Deutsch: ""paire"" - English: ""pair""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""été"" - English: ""summer""
Deutsch: ""sept"" - English: ""seven""
Deutsch: ""cœur"" - English: ""","[8293, 5192, 354, 23057, 540, 298, 29882]",heart,"[8293, 5192, 354, 23057, 540, 298, 29882]",heart,cœur
"Deutsch: ""bande"" - English: ""strip""
Deutsch: ""un"" - English: ""one""
Deutsch: ""jour"" - English: ""day""
Deutsch: ""enfant"" - English: ""child""
Deutsch: ""main"" - English: ""","[5905, 447, 3179, 298, 5403, 2350, 1361, 29882]",hand,"[5905, 447, 3179, 298, 5403, 2350, 1361, 29882]",hand,main
"Deutsch: ""quatre"" - English: ""four""
Deutsch: ""bois"" - English: ""wood""
Deutsch: ""rouge"" - English: ""red""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""jour"" - English: ""","[1388, 3250, 2462, 270, 1146, 29881]",day,"[1388, 3250, 2462, 270, 1146, 29881]",day,jour
"Deutsch: ""source"" - English: ""source""
Deutsch: ""neuf"" - English: ""nine""
Deutsch: ""main"" - English: ""hand""
Deutsch: ""ligne"" - English: ""line""
Deutsch: ""étoile"" - English: ""","[9523, 5810, 269, 380, 303, 29879, 8508, 5173]",star,"[9523, 5810, 269, 380, 303, 29879, 8508, 5173]",star,étoile
"Deutsch: ""loi"" - English: ""law""
Deutsch: ""tribu"" - English: ""tribe""
Deutsch: ""bouche"" - English: ""mouth""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""ressort"" - English: ""","[269, 6709, 29879, 4278, 1028, 15099, 805, 7689]",spring,"[269, 6709, 29879, 4278, 1028, 15099, 805, 7689]",spring,ressort
