prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - Русский: ""五""
中文: ""cœur"" - Русский: ""心""
中文: ""partie"" - Русский: ""部""
中文: ""trois"" - Русский: ""三""
中文: ""nuage"" - Русский: ""","[31784, 231]",云,"[15126, 23642, 1067, 274, 17184, 695, 9570, 9274, 29883]",cloud,nuage
"中文: ""vallée"" - Русский: ""谷""
中文: ""tribu"" - Русский: ""族""
中文: ""vertu"" - Русский: ""德""
中文: ""œil"" - Русский: ""目""
中文: ""sac"" - Русский: ""","[31473, 232]",包,"[2291, 23156, 19548, 9922, 289, 29890]",bag,sac
"中文: ""école"" - Русский: ""校""
中文: ""version"" - Русский: ""版""
中文: ""point"" - Русский: ""点""
中文: ""mille"" - Русский: ""千""
中文: ""bouche"" - Русский: ""","[30856, 232]",口,"[13394, 286, 21026, 4346, 29442, 2730, 29885]",mouth,bouche
"中文: ""champ"" - Русский: ""场""
中文: ""nord"" - Русский: ""北""
中文: ""fleur"" - Русский: ""花""
中文: ""tour"" - Русский: ""塔""
中文: ""sol"" - Русский: ""","[31181, 232]",土,"[22473, 577, 269, 578, 29879]",soil,sol
"中文: ""temps"" - Русский: ""时""
中文: ""porte"" - Русский: ""门""
中文: ""vallée"" - Русский: ""谷""
中文: ""rue"" - Русский: ""街""
中文: ""montagne"" - Русский: ""","[30329, 232]",山,"[14378, 16476, 286, 5766, 4346, 29442, 2730, 29885]",mountain,montagne
"中文: ""paire"" - Русский: ""双""
中文: ""gauche"" - Русский: ""左""
中文: ""été"" - Русский: ""夏""
中文: ""sept"" - Русский: ""七""
中文: ""cœur"" - Русский: ""","[30869, 232]",心,"[298, 23057, 540, 354, 29882, 8293, 5192]",heart,cœur
"中文: ""bande"" - Русский: ""条""
中文: ""un"" - Русский: ""一""
中文: ""jour"" - Русский: ""日""
中文: ""enfant"" - Русский: ""子""
中文: ""main"" - Русский: ""","[30880, 233]",手,"[3179, 298, 2350, 447, 5905, 5403, 1361, 29882]",hand,main
"中文: ""quatre"" - Русский: ""四""
中文: ""bois"" - Русский: ""木""
中文: ""rouge"" - Русский: ""红""
中文: ""gauche"" - Русский: ""左""
中文: ""jour"" - Русский: ""","[30325, 233]",日,"[29881, 3250, 1146, 270, 1388, 2462]",day,jour
"中文: ""source"" - Русский: ""源""
中文: ""neuf"" - Русский: ""九""
中文: ""main"" - Русский: ""手""
中文: ""ligne"" - Русский: ""线""
中文: ""étoile"" - Русский: ""","[30900, 233]",星,"[9523, 5810, 303, 269, 5173, 380, 29879, 8508]",star,étoile
"中文: ""loi"" - Русский: ""法""
中文: ""tribu"" - Русский: ""族""
中文: ""bouche"" - Русский: ""口""
中文: ""gauche"" - Русский: ""左""
中文: ""ressort"" - Русский: ""","[31031, 233]",春,"[805, 269, 4278, 15099, 6709, 29879, 1028, 7689]",spring,ressort
"中文: ""siège"" - Русский: ""座""
中文: ""sud"" - Русский: ""南""
中文: ""quatre"" - Русский: ""四""
中文: ""or"" - Русский: ""金""
中文: ""lune"" - Русский: ""","[30534, 233]",月,"[286, 4346, 18786, 2730, 29885]",moon,lune
"中文: ""bouche"" - Русский: ""口""
中文: ""mille"" - Русский: ""千""
中文: ""ménage"" - Русский: ""户""
中文: ""été"" - Русский: ""夏""
中文: ""bois"" - Русский: ""","[30710, 233]",木,"[827, 6115, 281, 29893, 8879, 8112]",wood,bois
"中文: ""forêt"" - Русский: ""林""
中文: ""cravate"" - Русский: ""结""
中文: ""six"" - Русский: ""六""
中文: ""dix"" - Русский: ""十""
中文: ""village"" - Русский: ""","[30402, 233]",村,"[4213, 3516, 1403, 5720, 29894, 11928, 21031, 325, 28765, 17191]",village,village
"中文: ""tête"" - Русский: ""头""
中文: ""génération"" - Русский: ""代""
中文: ""océan"" - Русский: ""洋""
中文: ""quatre"" - Русский: ""四""
中文: ""forêt"" - Русский: ""","[30853, 233]",林,"[29888, 1079, 363, 1181, 285, 1701, 13569, 26839, 1454]",forest,forêt
"中文: ""défaite"" - Русский: ""败""
中文: ""bande"" - Русский: ""条""
中文: ""bouche"" - Русский: ""口""
中文: ""sud"" - Русский: ""南""
中文: ""fruit"" - Русский: ""","[30801, 233]",果,"[29888, 1341, 15774, 285, 1424]",fruit,fruit
"中文: ""trois"" - Русский: ""三""
中文: ""montagne"" - Русский: ""山""
中文: ""milieu"" - Русский: ""中""
中文: ""tentative"" - Русский: ""试""
中文: ""grille"" - Русский: ""","[31168, 233]",格,"[867, 6856, 330, 29887, 629, 7720]",grid,grille
"中文: ""avancer"" - Русский: ""进""
中文: ""enfant"" - Русский: ""子""
中文: ""sept"" - Русский: ""七""
中文: ""groupe"" - Русский: ""群""
中文: ""chanson"" - Русский: ""","[31173, 233]",歌,"[577, 4823, 269, 1487, 21453, 1100, 578, 29879]",song,chanson
"中文: ""école"" - Русский: ""校""
中文: ""groupe"" - Русский: ""群""
中文: ""grille"" - Русский: ""格""
中文: ""pouvoir"" - Русский: ""力""
中文: ""étang"" - Русский: ""","[31853, 233]",池,"[1112, 2818, 772, 1129, 282, 29886, 12509]",pond,étang
"中文: ""roche"" - Русский: ""岩""
中文: ""maison"" - Русский: ""屋""
中文: ""visage"" - Русский: ""面""
中文: ""cheval"" - Русский: ""马""
中文: ""sable"" - Русский: ""","[31476, 233]",沙,"[872, 9753, 269, 29879, 28455, 11982, 4977]",sand,sable
"中文: ""œil"" - Русский: ""目""
中文: ""ligne"" - Русский: ""线""
中文: ""histoire"" - Русский: ""史""
中文: ""porte"" - Русский: ""门""
中文: ""loi"" - Русский: ""","[30545, 233]",法,"[29880, 301, 4307, 10653, 425, 433]",law,loi
"中文: ""six"" - Русский: ""六""
中文: ""ressort"" - Русский: ""春""
中文: ""main"" - Русский: ""手""
中文: ""école"" - Русский: ""校""
中文: ""onde"" - Русский: ""","[31529, 233]",波,"[11324, 10742, 2766, 281, 29893, 27766]",wave,onde
"中文: ""nuage"" - Русский: ""云""
中文: ""champ"" - Русский: ""场""
中文: ""neuf"" - Русский: ""九""
中文: ""quatre"" - Русский: ""四""
中文: ""océan"" - Русский: ""","[31534, 233]",洋,"[23474, 29877, 25802, 12954, 542, 288]",ocean,océan
"中文: ""forêt"" - Русский: ""林""
中文: ""été"" - Русский: ""夏""
中文: ""juge"" - Русский: ""判""
中文: ""filet"" - Русский: ""网""
中文: ""grotte"" - Русский: ""","[31886, 233]",洞,"[274, 29883, 5777, 18346, 24230, 1113]",cave,grotte
"中文: ""siège"" - Русский: ""座""
中文: ""supprimer"" - Русский: ""删""
中文: ""nord"" - Русский: ""北""
中文: ""pied"" - Русский: ""足""
中文: ""mer"" - Русский: ""","[30581, 233]",海,"[409, 269, 7205, 344, 29879]",sea,mer
"中文: ""bois"" - Русский: ""木""
中文: ""jour"" - Русский: ""日""
中文: ""cheval"" - Русский: ""马""
中文: ""structure"" - Русский: ""构""
中文: ""lac"" - Русский: ""","[31496, 233]",湖,"[18170, 29880, 24591, 301, 19437, 425, 433]",lake,lac
"中文: ""siège"" - Русский: ""座""
中文: ""village"" - Русский: ""村""
中文: ""machine"" - Русский: ""机""
中文: ""gauche"" - Русский: ""左""
中文: ""source"" - Русский: ""","[31193, 233]",源,"[577, 29879, 269, 578, 2752, 3669, 4993]",source,source
"中文: ""supprimer"" - Русский: ""删""
中文: ""champ"" - Русский: ""场""
中文: ""position"" - Русский: ""位""
中文: ""gare"" - Русский: ""站""
中文: ""point"" - Русский: ""","[30940, 234]",点,"[11899, 772, 1129, 3149, 282, 29886, 1298]",point,point
"中文: ""rouge"" - Русский: ""红""
中文: ""sac"" - Русский: ""包""
中文: ""visage"" - Русский: ""面""
中文: ""mot"" - Русский: ""字""
中文: ""version"" - Русский: ""","[30845, 234]",版,"[345, 3259, 1873, 29894, 874, 325, 1224, 1147, 2453, 369]",version,version
"中文: ""neuf"" - Русский: ""九""
中文: ""montagne"" - Русский: ""山""
中文: ""mille"" - Русский: ""千""
中文: ""bureau"" - Русский: ""局""
中文: ""ballon"" - Русский: ""","[31539, 234]",球,"[2291, 6411, 9922, 289, 2135, 5521, 8287, 29890]",ball,ballon
"中文: ""mer"" - Русский: ""海""
中文: ""océan"" - Русский: ""洋""
中文: ""mère"" - Русский: ""母""
中文: ""machine"" - Русский: ""机""
中文: ""gare"" - Русский: ""","[31433, 234]",站,"[23436, 9523, 19569, 6112, 303, 269, 5173, 380, 29879, 1002, 5073]",station,gare
