prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - English: ""five""
Deutsch: ""cœur"" - English: ""heart""
Deutsch: ""partie"" - English: ""part""
Deutsch: ""trois"" - English: ""three""
Deutsch: ""nuage"" - English: ""","[9570, 695, 29883, 274, 9274, 1067, 23642, 17184, 15126]",cloud,"[9570, 695, 29883, 274, 9274, 1067, 23642, 17184, 15126]",cloud,nuage
"Deutsch: ""vallée"" - English: ""valley""
Deutsch: ""tribu"" - English: ""tribe""
Deutsch: ""vertu"" - English: ""virtue""
Deutsch: ""œil"" - English: ""eye""
Deutsch: ""sac"" - English: ""","[19548, 9922, 289, 23156, 2291, 29890]",bag,"[19548, 9922, 289, 23156, 2291, 29890]",bag,sac
"Deutsch: ""école"" - English: ""school""
Deutsch: ""version"" - English: ""version""
Deutsch: ""point"" - English: ""point""
Deutsch: ""mille"" - English: ""thousand""
Deutsch: ""bouche"" - English: ""","[29442, 286, 4346, 13394, 2730, 29885, 21026]",mouth,"[29442, 286, 4346, 13394, 2730, 29885, 21026]",mouth,bouche
"Deutsch: ""champ"" - English: ""field""
Deutsch: ""nord"" - English: ""north""
Deutsch: ""fleur"" - English: ""flower""
Deutsch: ""tour"" - English: ""tower""
Deutsch: ""sol"" - English: ""","[22473, 577, 269, 29879, 578]",soil,"[22473, 577, 269, 29879, 578]",soil,sol
"Deutsch: ""temps"" - English: ""time""
Deutsch: ""porte"" - English: ""door""
Deutsch: ""vallée"" - English: ""valley""
Deutsch: ""rue"" - English: ""street""
Deutsch: ""montagne"" - English: ""","[14378, 29442, 286, 4346, 16476, 2730, 29885, 5766]",mountain,"[14378, 29442, 286, 4346, 16476, 2730, 29885, 5766]",mountain,montagne
"Deutsch: ""paire"" - English: ""pair""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""été"" - English: ""summer""
Deutsch: ""sept"" - English: ""seven""
Deutsch: ""cœur"" - English: ""","[5192, 354, 23057, 8293, 298, 29882, 540]",heart,"[5192, 354, 23057, 8293, 298, 29882, 540]",heart,cœur
"Deutsch: ""bande"" - English: ""strip""
Deutsch: ""un"" - English: ""one""
Deutsch: ""jour"" - English: ""day""
Deutsch: ""enfant"" - English: ""child""
Deutsch: ""main"" - English: ""","[2350, 1361, 5403, 3179, 298, 29882, 447, 5905]",hand,"[2350, 1361, 5403, 3179, 298, 29882, 447, 5905]",hand,main
"Deutsch: ""quatre"" - English: ""four""
Deutsch: ""bois"" - English: ""wood""
Deutsch: ""rouge"" - English: ""red""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""jour"" - English: ""","[2462, 270, 1146, 1388, 29881, 3250]",day,"[2462, 270, 1146, 1388, 29881, 3250]",day,jour
"Deutsch: ""source"" - English: ""source""
Deutsch: ""neuf"" - English: ""nine""
Deutsch: ""main"" - English: ""hand""
Deutsch: ""ligne"" - English: ""line""
Deutsch: ""étoile"" - English: ""","[5810, 8508, 380, 303, 269, 29879, 5173, 9523]",star,"[5810, 8508, 380, 303, 269, 29879, 5173, 9523]",star,étoile
"Deutsch: ""loi"" - English: ""law""
Deutsch: ""tribu"" - English: ""tribe""
Deutsch: ""bouche"" - English: ""mouth""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""ressort"" - English: ""","[6709, 269, 4278, 29879, 7689, 1028, 805, 15099]",spring,"[6709, 269, 4278, 29879, 7689, 1028, 805, 15099]",spring,ressort
"Deutsch: ""siège"" - English: ""seat""
Deutsch: ""sud"" - English: ""south""
Deutsch: ""quatre"" - English: ""four""
Deutsch: ""or"" - English: ""gold""
Deutsch: ""lune"" - English: ""","[286, 4346, 2730, 29885, 18786]",moon,"[286, 4346, 2730, 29885, 18786]",moon,lune
"Deutsch: ""bouche"" - English: ""mouth""
Deutsch: ""mille"" - English: ""thousand""
Deutsch: ""ménage"" - English: ""household""
Deutsch: ""été"" - English: ""summer""
Deutsch: ""bois"" - English: ""","[29893, 281, 827, 6115, 8112, 8879]",wood,"[29893, 281, 827, 6115, 8112, 8879]",wood,bois
"Deutsch: ""forêt"" - English: ""forest""
Deutsch: ""cravate"" - English: ""tie""
Deutsch: ""six"" - English: ""six""
Deutsch: ""dix"" - English: ""ten""
Deutsch: ""village"" - English: ""","[21031, 29894, 3516, 11928, 4213, 17191, 1403, 325, 5720, 28765]",village,"[21031, 29894, 3516, 11928, 4213, 17191, 1403, 325, 5720, 28765]",village,village
"Deutsch: ""tête"" - English: ""head""
Deutsch: ""génération"" - English: ""generation""
Deutsch: ""océan"" - English: ""ocean""
Deutsch: ""quatre"" - English: ""four""
Deutsch: ""forêt"" - English: ""","[29888, 1454, 26839, 1181, 1079, 13569, 285, 1701, 363]",forest,"[29888, 1454, 26839, 1181, 1079, 13569, 285, 1701, 363]",forest,forêt
"Deutsch: ""défaite"" - English: ""defeat""
Deutsch: ""bande"" - English: ""strip""
Deutsch: ""bouche"" - English: ""mouth""
Deutsch: ""sud"" - English: ""south""
Deutsch: ""fruit"" - English: ""","[29888, 1341, 1424, 285, 15774]",fruit,"[29888, 1341, 1424, 285, 15774]",fruit,fruit
"Deutsch: ""trois"" - English: ""three""
Deutsch: ""montagne"" - English: ""mountain""
Deutsch: ""milieu"" - English: ""middle""
Deutsch: ""tentative"" - English: ""attempt""
Deutsch: ""grille"" - English: ""","[867, 6856, 330, 7720, 29887, 629]",grid,"[867, 6856, 330, 7720, 29887, 629]",grid,grille
"Deutsch: ""avancer"" - English: ""advance""
Deutsch: ""enfant"" - English: ""child""
Deutsch: ""sept"" - English: ""seven""
Deutsch: ""groupe"" - English: ""group""
Deutsch: ""chanson"" - English: ""","[577, 21453, 1487, 4823, 269, 29879, 1100, 578]",song,"[577, 21453, 1487, 4823, 269, 29879, 1100, 578]",song,chanson
"Deutsch: ""école"" - English: ""school""
Deutsch: ""groupe"" - English: ""group""
Deutsch: ""grille"" - English: ""grid""
Deutsch: ""pouvoir"" - English: ""power""
Deutsch: ""étang"" - English: ""","[282, 1129, 1112, 772, 2818, 29886, 12509]",pond,"[282, 1129, 1112, 772, 2818, 29886, 12509]",pond,étang
"Deutsch: ""roche"" - English: ""rock""
Deutsch: ""maison"" - English: ""house""
Deutsch: ""visage"" - English: ""face""
Deutsch: ""cheval"" - English: ""horse""
Deutsch: ""sable"" - English: ""","[11982, 28455, 269, 872, 29879, 9753, 4977]",sand,"[11982, 28455, 269, 872, 29879, 9753, 4977]",sand,sable
"Deutsch: ""œil"" - English: ""eye""
Deutsch: ""ligne"" - English: ""line""
Deutsch: ""histoire"" - English: ""history""
Deutsch: ""porte"" - English: ""door""
Deutsch: ""loi"" - English: ""","[301, 4307, 10653, 433, 29880, 425]",law,"[301, 4307, 10653, 433, 29880, 425]",law,loi
"Deutsch: ""six"" - English: ""six""
Deutsch: ""ressort"" - English: ""spring""
Deutsch: ""main"" - English: ""hand""
Deutsch: ""école"" - English: ""school""
Deutsch: ""onde"" - English: ""","[29893, 281, 27766, 10742, 11324, 2766]",wave,"[29893, 281, 27766, 10742, 11324, 2766]",wave,onde
"Deutsch: ""nuage"" - English: ""cloud""
Deutsch: ""champ"" - English: ""field""
Deutsch: ""neuf"" - English: ""nine""
Deutsch: ""quatre"" - English: ""four""
Deutsch: ""océan"" - English: ""","[25802, 542, 12954, 29877, 288, 23474]",ocean,"[25802, 542, 12954, 29877, 288, 23474]",ocean,océan
"Deutsch: ""forêt"" - English: ""forest""
Deutsch: ""été"" - English: ""summer""
Deutsch: ""juge"" - English: ""judge""
Deutsch: ""filet"" - English: ""net""
Deutsch: ""grotte"" - English: ""","[24230, 29883, 274, 5777, 18346, 1113]",cave,"[24230, 29883, 274, 5777, 18346, 1113]",cave,grotte
"Deutsch: ""siège"" - English: ""seat""
Deutsch: ""supprimer"" - English: ""delete""
Deutsch: ""nord"" - English: ""north""
Deutsch: ""pied"" - English: ""foot""
Deutsch: ""mer"" - English: ""","[7205, 269, 29879, 344, 409]",sea,"[7205, 269, 29879, 344, 409]",sea,mer
"Deutsch: ""bois"" - English: ""wood""
Deutsch: ""jour"" - English: ""day""
Deutsch: ""cheval"" - English: ""horse""
Deutsch: ""structure"" - English: ""structure""
Deutsch: ""lac"" - English: ""","[301, 19437, 24591, 18170, 433, 29880, 425]",lake,"[301, 19437, 24591, 18170, 433, 29880, 425]",lake,lac
"Deutsch: ""siège"" - English: ""seat""
Deutsch: ""village"" - English: ""village""
Deutsch: ""machine"" - English: ""machine""
Deutsch: ""gauche"" - English: ""left""
Deutsch: ""source"" - English: ""","[577, 2752, 4993, 269, 3669, 29879, 578]",source,"[577, 2752, 4993, 269, 3669, 29879, 578]",source,source
