prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""group"" - Русский: ""группа""
English: ""mountain"" - Русский: ""гора""
English: ""snow"" - Русский: ""снег""
English: ""color"" - Русский: ""цвет""
English: ""book"" - Русский: ""","[1186, 29951, 13024, 211]",книга,"[29890, 2909, 3143, 833, 1045, 289]",book,book
"English: ""painting"" - Русский: ""картина""
English: ""machine"" - Русский: ""машина""
English: ""city"" - Русский: ""город""
English: ""example"" - Русский: ""пример""
English: ""cloud"" - Русский: ""","[1604, 4389, 614, 5055, 29904, 211]",облако,"[274, 9570, 15126, 1067, 29883, 695, 9274, 23642, 17184]",cloud,cloud
"English: ""position"" - Русский: ""позиция""
English: ""moon"" - Русский: ""луна""
English: ""dance"" - Русский: ""танец""
English: ""seat"" - Русский: ""сиденье""
English: ""bag"" - Русский: ""","[29935, 3404, 2937, 531, 212]",сумка,"[29890, 9922, 23156, 19548, 2291, 289]",bag,bag
"English: ""office"" - Русский: ""офис""
English: ""item"" - Русский: ""предмет""
English: ""seat"" - Русский: ""сиденье""
English: ""thousand"" - Русский: ""тысяча""
English: ""mouth"" - Русский: ""","[1561, 576, 8201, 29927, 212]",рот,"[2730, 286, 29442, 29885, 13394, 4346, 21026]",mouth,mouth
"English: ""item"" - Русский: ""предмет""
English: ""kind"" - Русский: ""вид""
English: ""language"" - Русский: ""язык""
English: ""power"" - Русский: ""власть""
English: ""soil"" - Русский: ""","[1268, 733, 29964, 18752, 469, 211]",почва,"[269, 577, 22473, 29879, 578]",soil,soil
"English: ""sound"" - Русский: ""звук""
English: ""middle"" - Русский: ""середина""
English: ""three"" - Русский: ""три""
English: ""thousand"" - Русский: ""тысяча""
English: ""mountain"" - Русский: ""","[24856, 17310, 1084, 29969, 1214, 588, 211]",гора,"[2730, 286, 5766, 29442, 16476, 29885, 14378, 4346]",mountain,mountain
"English: ""shop"" - Русский: ""магазин""
English: ""virtue"" - Русский: ""добродетель""
English: ""law"" - Русский: ""закон""
English: ""bridge"" - Русский: ""мост""
English: ""heart"" - Русский: ""","[10182, 29935, 1502, 14315, 531, 1586, 212]",сердце,"[298, 354, 23057, 8293, 5192, 540, 29882]",heart,heart
"English: ""red"" - Русский: ""красный""
English: ""exchange"" - Русский: ""биржа""
English: ""fruit"" - Русский: ""фрукт""
English: ""middle"" - Русский: ""середина""
English: ""hand"" - Русский: ""","[1086, 11218, 8201, 5368, 29927, 212]",рука,"[298, 1361, 5905, 5403, 447, 3179, 2350, 29882]",hand,hand
"English: ""kind"" - Русский: ""вид""
English: ""bridge"" - Русский: ""мост""
English: ""pair"" - Русский: ""пара""
English: ""rice"" - Русский: ""рис""
English: ""star"" - Русский: ""","[754, 29972, 27643, 211]",звезда,"[380, 5810, 5173, 269, 8508, 303, 29879, 9523]",star,star
"English: ""five"" - Русский: ""пять""
English: ""power"" - Русский: ""власть""
English: ""delete"" - Русский: ""удалить""
English: ""water"" - Русский: ""вода""
English: ""spring"" - Русский: ""","[21550, 29964, 12781, 469, 211]",пружина,"[4278, 15099, 7689, 29879, 269, 1028, 6709, 805]",spring,spring
"English: ""south"" - Русский: ""юг""
English: ""machine"" - Русский: ""машина""
English: ""seat"" - Русский: ""сиденье""
English: ""friend"" - Русский: ""друг""
English: ""moon"" - Русский: ""","[16050, 1844, 29944, 211]",луна,"[2730, 18786, 286, 29885, 4346]",moon,moon
"English: ""lake"" - Русский: ""озеро""
English: ""thousand"" - Русский: ""тысяча""
English: ""painting"" - Русский: ""картина""
English: ""color"" - Русский: ""цвет""
English: ""village"" - Русский: ""","[10247, 2263, 6620, 1216, 19792, 20229, 662, 29957, 211]",деревня,"[325, 29894, 11928, 17191, 21031, 5720, 4213, 3516, 1403, 28765]",village,village
"English: ""snow"" - Русский: ""снег""
English: ""middle"" - Русский: ""середина""
English: ""mouth"" - Русский: ""рот""
English: ""sand"" - Русский: ""песок""
English: ""forest"" - Русский: ""","[4674, 753, 29944, 211]",лес,"[1181, 285, 1454, 1701, 1079, 29888, 26839, 13569, 363]",forest,forest
"English: ""ocean"" - Русский: ""океан""
English: ""tie"" - Русский: ""галстук""
English: ""example"" - Русский: ""пример""
English: ""speed"" - Русский: ""скорость""
English: ""fruit"" - Русский: ""","[30011, 23692, 1606, 212]",фрукт,"[285, 1341, 15774, 29888, 1424]",fruit,fruit
"English: ""six"" - Русский: ""шесть""
English: ""kind"" - Русский: ""вид""
English: ""office"" - Русский: ""офис""
English: ""friend"" - Русский: ""друг""
English: ""grid"" - Русский: ""","[29935, 1502, 531, 1586, 212]",сетка,"[6856, 330, 29887, 629, 867, 7720]",grid,grid
"English: ""part"" - Русский: ""часть""
English: ""star"" - Русский: ""звезда""
English: ""four"" - Русский: ""четыре""
English: ""seat"" - Русский: ""сиденье""
English: ""song"" - Русский: ""","[2100, 29964, 6414, 15536, 469, 211]",песня,"[269, 21453, 577, 1100, 4823, 29879, 1487, 578]",song,song
"English: ""beauty"" - Русский: ""красота""
English: ""book"" - Русский: ""книга""
English: ""sea"" - Русский: ""море""
English: ""fire"" - Русский: ""костер""
English: ""water"" - Русский: ""","[8160, 984, 29942, 490, 1786, 211]",вода,"[4094, 29893, 11324, 2766, 13405, 16699, 281]",water,water
"English: ""head"" - Русский: ""голова""
English: ""attempt"" - Русский: ""попытка""
English: ""two"" - Русский: ""два""
English: ""color"" - Русский: ""цвет""
English: ""pond"" - Русский: ""","[21550, 29964, 12781, 469, 211]",пруд,"[772, 29886, 2818, 282, 1112, 1129, 12509]",pond,pond
"English: ""sea"" - Русский: ""море""
English: ""delete"" - Русский: ""удалить""
English: ""face"" - Русский: ""лицо""
English: ""city"" - Русский: ""город""
English: ""sand"" - Русский: ""","[2100, 29964, 6414, 15536, 469, 211]",песок,"[11982, 4977, 269, 872, 29879, 9753, 28455]",sand,sand
"English: ""person"" - Русский: ""человек""
English: ""hundred"" - Русский: ""сотня""
English: ""south"" - Русский: ""юг""
English: ""four"" - Русский: ""четыре""
English: ""river"" - Русский: ""","[1909, 8201, 587, 29927, 212]",река,"[364, 9050, 29878, 374, 3511, 1150, 8580, 10107, 4401]",river,river
"English: ""thousand"" - Русский: ""тысяча""
English: ""two"" - Русский: ""два""
English: ""house"" - Русский: ""дом""
English: ""song"" - Русский: ""песня""
English: ""law"" - Русский: ""","[754, 1077, 29972, 1902, 211]",закон,"[425, 29880, 301, 4307, 433, 10653]",law,law
"English: ""seven"" - Русский: ""семь""
English: ""hundred"" - Русский: ""сотня""
English: ""sand"" - Русский: ""песок""
English: ""door"" - Русский: ""дверь""
English: ""wave"" - Русский: ""","[984, 29942, 490, 1786, 211]",волна,"[29893, 27766, 11324, 2766, 10742, 281]",wave,wave
"English: ""lake"" - Русский: ""озеро""
English: ""word"" - Русский: ""слово""
English: ""village"" - Русский: ""деревня""
English: ""six"" - Русский: ""шесть""
English: ""ocean"" - Русский: ""","[6752, 614, 29904, 26242, 211]",океан,"[12954, 29877, 542, 288, 25802, 23474]",ocean,ocean
"English: ""hundred"" - Русский: ""сотня""
English: ""field"" - Русский: ""поле""
English: ""speed"" - Русский: ""скорость""
English: ""strip"" - Русский: ""полоса""
English: ""cave"" - Русский: ""","[2100, 29964, 6414, 469, 211]",пещера,"[274, 5777, 29883, 18346, 1113, 24230]",cave,cave
"English: ""square"" - Русский: ""квадрат""
English: ""ten"" - Русский: ""десять""
English: ""generation"" - Русский: ""поколение""
English: ""foot"" - Русский: ""нога""
English: ""sea"" - Русский: ""","[757, 2569, 15256, 12434, 1630, 29959, 211]",море,"[7205, 409, 269, 344, 29879]",sea,sea
"English: ""point"" - Русский: ""точка""
English: ""structure"" - Русский: ""структура""
English: ""ocean"" - Русский: ""океан""
English: ""head"" - Русский: ""голова""
English: ""lake"" - Русский: ""","[29495, 614, 29904, 211]",озеро,"[425, 24591, 29880, 19437, 301, 433, 18170]",lake,lake
"English: ""face"" - Русский: ""лицо""
English: ""forest"" - Русский: ""лес""
English: ""defeat"" - Русский: ""поражение""
English: ""four"" - Русский: ""четыре""
English: ""source"" - Русский: ""","[29917, 606, 9971, 11452, 7874, 211]",источник,"[3669, 4993, 2752, 269, 577, 29879, 578]",source,source
"English: ""valley"" - Русский: ""долина""
English: ""generation"" - Русский: ""поколение""
English: ""position"" - Русский: ""позиция""
English: ""speed"" - Русский: ""скорость""
English: ""fire"" - Русский: ""","[1186, 551, 1046, 29951, 211]",костер,"[3974, 28034, 285, 8696, 13734, 5713, 7241, 29888]",fire,fire
"English: ""cave"" - Русский: ""пещера""
English: ""spring"" - Русский: ""пружина""
English: ""history"" - Русский: ""история""
English: ""speech"" - Русский: ""речь""
English: ""point"" - Русский: ""","[29932, 702, 1937, 2721, 212]",точка,"[1298, 772, 11899, 29886, 282, 3149, 1129]",point,point
"English: ""city"" - Русский: ""город""
English: ""tower"" - Русский: ""башня""
English: ""defeat"" - Русский: ""поражение""
English: ""tribe"" - Русский: ""племя""
English: ""version"" - Русский: ""","[3531, 3340, 29942, 8060, 1521, 490, 211]",версия,"[325, 29894, 369, 2453, 1147, 345, 874, 3259, 1873, 1224]",version,version
"English: ""friend"" - Русский: ""друг""
English: ""star"" - Русский: ""звезда""
English: ""painting"" - Русский: ""картина""
English: ""east"" - Русский: ""восток""
English: ""ball"" - Русский: ""","[757, 27693, 5010, 29959, 211]",мяч,"[6411, 29890, 9922, 5521, 2135, 2291, 8287, 289]",ball,ball
"English: ""position"" - Русский: ""позиция""
English: ""sea"" - Русский: ""море""
English: ""field"" - Русский: ""поле""
English: ""mother"" - Русский: ""мать""
English: ""painting"" - Русский: ""","[1186, 15266, 10766, 1787, 642, 29951, 211]",картина,"[6788, 29886, 282, 3300, 20413, 10675, 3274]",painting,painting
"English: ""bridge"" - Русский: ""мост""
English: ""head"" - Русский: ""голова""
English: ""nine"" - Русский: ""девять""
English: ""child"" - Русский: ""ребенок""
English: ""rice"" - Русский: ""","[641, 19625, 12591, 8201, 29927, 212]",рис,"[9597, 364, 11674, 2200, 19408, 29878, 374, 10107]",rice,rice
"English: ""machine"" - Русский: ""машина""
English: ""bridge"" - Русский: ""мост""
English: ""heart"" - Русский: ""сердце""
English: ""horse"" - Русский: ""лошадь""
English: ""red"" - Русский: ""","[1186, 6697, 3360, 29951, 211]",красный,"[364, 337, 1127, 29878, 276, 2654]",red,red
"English: ""pair"" - Русский: ""пара""
English: ""hundred"" - Русский: ""сотня""
English: ""door"" - Русский: ""дверь""
English: ""painting"" - Русский: ""картина""
English: ""line"" - Русский: ""","[644, 3550, 8279, 29944, 211]",линия,"[1915, 1220, 6276, 29880, 619, 301, 1196, 492]",line,line
"English: ""sand"" - Русский: ""песок""
English: ""horse"" - Русский: ""лошадь""
English: ""heart"" - Русский: ""сердце""
English: ""gold"" - Русский: ""золото""
English: ""net"" - Русский: ""","[29935, 1502, 531, 1586, 212]",сетка,"[29876, 302, 7787, 1212, 484, 452]",net,net
"English: ""north"" - Русский: ""север""
English: ""house"" - Русский: ""дом""
English: ""cave"" - Русский: ""пещера""
English: ""speech"" - Русский: ""речь""
English: ""flower"" - Русский: ""","[3716, 29996, 212]",цветок,"[285, 4972, 5685, 28149, 1579, 29888, 1731, 1652]",flower,flower
"English: ""return"" - Русский: ""возврат""
English: ""position"" - Русский: ""позиция""
English: ""nine"" - Русский: ""девять""
English: ""talent"" - Русский: ""талант""
English: ""tea"" - Русский: ""","[3655, 1282, 29981, 19424, 2493, 212]",чай,"[29873, 23429, 371, 734, 260]",tea,tea
"English: ""face"" - Русский: ""лицо""
English: ""sound"" - Русский: ""звук""
English: ""tribe"" - Русский: ""племя""
English: ""mother"" - Русский: ""мать""
English: ""foot"" - Русский: ""","[18211, 4228, 29921, 570, 6968, 211]",нога,"[1181, 285, 1701, 6661, 5431, 3661, 29888, 7953]",foot,foot
"English: ""village"" - Русский: ""деревня""
English: ""language"" - Русский: ""язык""
English: ""door"" - Русский: ""дверь""
English: ""office"" - Русский: ""офис""
English: ""gold"" - Русский: ""","[25687, 754, 4734, 29972, 26467, 211]",золото,"[748, 330, 15192, 29887, 7684, 1484]",gold,gold
"English: ""ball"" - Русский: ""мяч""
English: ""street"" - Русский: ""улица""
English: ""power"" - Русский: ""власть""
English: ""ground"" - Русский: ""земля""
English: ""door"" - Русский: ""","[20880, 662, 29957, 211]",дверь,"[29881, 270, 1867, 3050, 437, 17433]",door,door
"English: ""village"" - Русский: ""деревня""
English: ""judge"" - Русский: ""судья""
English: ""cloud"" - Русский: ""облако""
English: ""mouth"" - Русский: ""рот""
English: ""snow"" - Русский: ""","[29935, 531, 212]",снег,"[269, 5807, 15007, 29879, 16586]",snow,snow
