prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""线"" - English: ""line""
中文: ""头"" - English: ""head""
中文: ""八"" - English: ""eight""
中文: ""友"" - English: ""friend""
中文: ""进"" - English: ""","[594, 6564, 17263, 328, 3061, 29874, 263]",advance,"[31174, 235]",进,进
"中文: ""谷"" - English: ""valley""
中文: ""桥"" - English: ""bridge""
中文: ""六"" - English: ""six""
中文: ""母"" - English: ""mother""
中文: ""试"" - English: ""","[4218, 1131, 271, 21609, 1098, 29874, 263, 15127, 472]",attempt,"[31787, 235]",试,试
"中文: ""街"" - English: ""street""
中文: ""尾"" - English: ""tail""
中文: ""画"" - English: ""painting""
中文: ""色"" - English: ""color""
中文: ""包"" - English: ""","[29890, 23156, 2291, 289, 19548, 9922]",bag,"[31473, 232]",包,包
"中文: ""四"" - English: ""four""
中文: ""起"" - English: ""rise""
中文: ""台"" - English: ""platform""
中文: ""布"" - English: ""cloth""
中文: ""球"" - English: ""","[29890, 5521, 2291, 6411, 289, 9922, 8287, 2135]",ball,"[31539, 234]",球,球
"中文: ""位"" - English: ""position""
中文: ""方"" - English: ""square""
中文: ""德"" - English: ""virtue""
中文: ""校"" - English: ""school""
中文: ""美"" - English: ""","[29890, 6562, 367, 915, 15409, 289]",beauty,"[30630, 234]",美,美
"中文: ""春"" - English: ""spring""
中文: ""代"" - English: ""generation""
中文: ""千"" - English: ""thousand""
中文: ""起"" - English: ""rise""
中文: ""利"" - English: ""","[1785, 13982, 7795, 3856, 29890, 367, 915, 289, 14169]",benefit,"[31107, 232]",利,利
"中文: ""画"" - English: ""painting""
中文: ""手"" - English: ""hand""
中文: ""地"" - English: ""ground""
中文: ""局"" - English: ""office""
中文: ""书"" - English: ""","[29890, 2909, 1045, 289, 3143, 833]",book,"[31900, 231]",书,书
"中文: ""会"" - English: ""meeting""
中文: ""阳"" - English: ""sun""
中文: ""九"" - English: ""nine""
中文: ""书"" - English: ""book""
中文: ""桥"" - English: ""","[19515, 29890, 1506, 12945, 289, 18419, 28635, 1182]",bridge,"[31749, 233]",桥,桥
"中文: ""东"" - English: ""east""
中文: ""校"" - English: ""school""
中文: ""头"" - English: ""head""
中文: ""种"" - English: ""kind""
中文: ""洞"" - English: ""","[29883, 24230, 1113, 5777, 18346, 274]",cave,"[31886, 233]",洞,洞
"中文: ""村"" - English: ""village""
中文: ""方"" - English: ""square""
中文: ""木"" - English: ""wood""
中文: ""种"" - English: ""kind""
中文: ""子"" - English: ""","[29883, 18558, 2278, 521, 4161, 274, 305, 5145]",child,"[30319, 232]",子,子
"中文: ""败"" - English: ""defeat""
中文: ""店"" - English: ""shop""
中文: ""位"" - English: ""position""
中文: ""日"" - English: ""day""
中文: ""城"" - English: ""","[29883, 4272, 4583, 455, 20752, 274, 7537, 12690]",city,"[30626, 232]",城,城
"中文: ""三"" - English: ""three""
中文: ""花"" - English: ""flower""
中文: ""茶"" - English: ""tea""
中文: ""会"" - English: ""meeting""
中文: ""布"" - English: ""","[29883, 15126, 695, 1067, 274, 17184, 13950]",cloth,"[31454, 232]",布,布
"中文: ""林"" - English: ""forest""
中文: ""源"" - English: ""source""
中文: ""十"" - English: ""ten""
中文: ""火"" - English: ""fire""
中文: ""云"" - English: ""","[29883, 15126, 9274, 695, 1067, 9570, 274, 17184, 23642]",cloud,"[31784, 231]",云,云
"中文: ""波"" - English: ""wave""
中文: ""谷"" - English: ""valley""
中文: ""四"" - English: ""four""
中文: ""手"" - English: ""hand""
中文: ""色"" - English: ""","[29883, 2927, 1302, 2780, 274, 10965, 1111, 784, 1054]",color,"[31085, 235]",色,色
"中文: ""三"" - English: ""three""
中文: ""进"" - English: ""advance""
中文: ""机"" - English: ""machine""
中文: ""史"" - English: ""history""
中文: ""舞"" - English: ""","[17948, 1388, 270, 6025, 18386, 29881, 1146]",dance,"[31939, 235]",舞,舞
"中文: ""族"" - English: ""tribe""
中文: ""口"" - English: ""mouth""
中文: ""包"" - English: ""bag""
中文: ""球"" - English: ""ball""
中文: ""日"" - English: ""","[1388, 270, 2462, 3250, 29881, 1146]",day,"[30325, 233]",日,日
"中文: ""面"" - English: ""face""
中文: ""位"" - English: ""position""
中文: ""三"" - English: ""three""
中文: ""种"" - English: ""kind""
中文: ""败"" - English: ""","[822, 1753, 20653, 311, 8686, 270, 316, 29881]",defeat,"[31955, 235]",败,败
"中文: ""部"" - English: ""part""
中文: ""方"" - English: ""square""
中文: ""色"" - English: ""color""
中文: ""位"" - English: ""position""
中文: ""删"" - English: ""","[311, 270, 316, 5217, 628, 8143, 29881, 7374, 6144]",delete,"[31916, 232]",删,删
"中文: ""花"" - English: ""flower""
中文: ""户"" - English: ""household""
中文: ""米"" - English: ""rice""
中文: ""头"" - English: ""head""
中文: ""门"" - English: ""","[270, 1867, 17433, 437, 3050, 29881]",door,"[31649, 236]",门,门
"中文: ""百"" - English: ""hundred""
中文: ""机"" - English: ""machine""
中文: ""水"" - English: ""water""
中文: ""方"" - English: ""square""
中文: ""东"" - English: ""","[23027, 11248, 29872, 9755, 2240, 321]",east,"[30979, 231]",东,东
"中文: ""机"" - English: ""machine""
中文: ""火"" - English: ""fire""
中文: ""七"" - English: ""seven""
中文: ""口"" - English: ""mouth""
中文: ""八"" - English: ""","[9475, 10096, 29319, 29872, 15761, 321]",eight,"[31044, 232]",八,八
"中文: ""目"" - English: ""eye""
中文: ""头"" - English: ""head""
中文: ""星"" - English: ""star""
中文: ""池"" - English: ""pond""
中文: ""例"" - English: ""","[4392, 1342, 429, 29872, 735, 4773, 321]",example,"[31507, 231]",例,例
"中文: ""五"" - English: ""five""
中文: ""删"" - English: ""delete""
中文: ""茶"" - English: ""tea""
中文: ""双"" - English: ""pair""
中文: ""交"" - English: ""","[6543, 14523, 429, 5566, 29872, 735, 321]",exchange,"[31398, 231]",交,交
"中文: ""位"" - English: ""position""
中文: ""雪"" - English: ""snow""
中文: ""败"" - English: ""defeat""
中文: ""中"" - English: ""middle""
中文: ""目"" - English: ""","[10977, 29872, 1032, 321]",eye,"[30895, 234]",目,目
"中文: ""子"" - English: ""child""
中文: ""代"" - English: ""generation""
中文: ""条"" - English: ""strip""
中文: ""河"" - English: ""river""
中文: ""面"" - English: ""","[17470, 2161, 2258, 4024, 5444, 285, 3700, 29888]",face,"[30806, 236]",面,面
"中文: ""夏"" - English: ""summer""
中文: ""目"" - English: ""eye""
中文: ""局"" - English: ""office""
中文: ""谷"" - English: ""valley""
中文: ""场"" - English: ""","[7241, 1746, 5713, 29607, 2671, 285, 29888]",field,"[31632, 232]",场,场
"中文: ""回"" - English: ""return""
中文: ""结"" - English: ""tie""
中文: ""位"" - English: ""position""
中文: ""户"" - English: ""household""
中文: ""火"" - English: ""","[28034, 7241, 13734, 5713, 3974, 285, 8696, 29888]",fire,"[31313, 234]",火,火
"中文: ""米"" - English: ""rice""
中文: ""代"" - English: ""generation""
中文: ""人"" - English: ""person""
中文: ""利"" - English: ""benefit""
中文: ""五"" - English: ""","[20818, 7241, 285, 5713, 5320, 29888]",five,"[30904, 231]",五,五
"中文: ""书"" - English: ""book""
中文: ""方"" - English: ""square""
中文: ""条"" - English: ""strip""
中文: ""项"" - English: ""item""
中文: ""花"" - English: ""","[1652, 1579, 4972, 1731, 28149, 5685, 285, 29888]",flower,"[30830, 235]",花,花
"中文: ""北"" - English: ""north""
中文: ""星"" - English: ""star""
中文: ""场"" - English: ""field""
中文: ""中"" - English: ""middle""
中文: ""足"" - English: ""","[1701, 5431, 6661, 3661, 7953, 1181, 285, 29888]",foot,"[31722, 235]",足,足
"中文: ""门"" - English: ""door""
中文: ""心"" - English: ""heart""
中文: ""塔"" - English: ""tower""
中文: ""发"" - English: ""hair""
中文: ""林"" - English: ""","[1701, 29888, 363, 1181, 1079, 26839, 1454, 285, 13569]",forest,"[30853, 233]",林,林
"中文: ""湖"" - English: ""lake""
中文: ""七"" - English: ""seven""
中文: ""山"" - English: ""mountain""
中文: ""百"" - English: ""hundred""
中文: ""四"" - English: ""","[1701, 12584, 17823, 1181, 3023, 285, 29888]",four,"[30928, 232]",四,四
"中文: ""美"" - English: ""beauty""
中文: ""东"" - English: ""east""
中文: ""色"" - English: ""color""
中文: ""人"" - English: ""person""
中文: ""友"" - English: ""","[1424, 1341, 5121, 18326, 3484, 7932, 285, 29888]",friend,"[31373, 232]",友,友
"中文: ""进"" - English: ""advance""
中文: ""左"" - English: ""left""
中文: ""语"" - English: ""language""
中文: ""河"" - English: ""river""
中文: ""果"" - English: ""","[1424, 29888, 1341, 285, 15774]",fruit,"[30801, 233]",果,果
"中文: ""歌"" - English: ""song""
中文: ""马"" - English: ""horse""
中文: ""六"" - English: ""six""
中文: ""站"" - English: ""station""
中文: ""代"" - English: ""","[4738, 29887, 18530, 1885, 2531, 12623, 479, 1737, 330, 1176]",generation,"[30690, 231]",代,代
"中文: ""结"" - English: ""tie""
中文: ""子"" - English: ""child""
中文: ""场"" - English: ""field""
中文: ""法"" - English: ""law""
中文: ""金"" - English: ""","[7684, 1484, 330, 15192, 29887, 748]",gold,"[30659, 236]",金,金
