prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - Deutsch: ""五""
English: ""heart"" - Deutsch: ""心""
English: ""part"" - Deutsch: ""部""
English: ""three"" - Deutsch: ""三""
English: ""cloud"" - Deutsch: """,[31784],云,"[274, 17184, 1067, 23642, 9274, 9570, 15126, 695, 29883]",cloud,cloud
"English: ""valley"" - Deutsch: ""谷""
English: ""tribe"" - Deutsch: ""族""
English: ""virtue"" - Deutsch: ""德""
English: ""eye"" - Deutsch: ""目""
English: ""bag"" - Deutsch: """,[31473],包,"[29890, 9922, 19548, 289, 2291, 23156]",bag,bag
"English: ""school"" - Deutsch: ""校""
English: ""version"" - Deutsch: ""版""
English: ""point"" - Deutsch: ""点""
English: ""thousand"" - Deutsch: ""千""
English: ""mouth"" - Deutsch: """,[30856],口,"[21026, 29885, 13394, 4346, 2730, 286, 29442]",mouth,mouth
"English: ""field"" - Deutsch: ""场""
English: ""north"" - Deutsch: ""北""
English: ""flower"" - Deutsch: ""花""
English: ""tower"" - Deutsch: ""塔""
English: ""soil"" - Deutsch: """,[31181],土,"[269, 29879, 577, 22473, 578]",soil,soil
"English: ""time"" - Deutsch: ""时""
English: ""door"" - Deutsch: ""门""
English: ""valley"" - Deutsch: ""谷""
English: ""street"" - Deutsch: ""街""
English: ""mountain"" - Deutsch: """,[30329],山,"[5766, 29885, 4346, 2730, 286, 29442, 14378, 16476]",mountain,mountain
"English: ""pair"" - Deutsch: ""双""
English: ""left"" - Deutsch: ""左""
English: ""summer"" - Deutsch: ""夏""
English: ""seven"" - Deutsch: ""七""
English: ""heart"" - Deutsch: """,[30869],心,"[8293, 29882, 354, 23057, 298, 540, 5192]",heart,heart
"English: ""strip"" - Deutsch: ""条""
English: ""one"" - Deutsch: ""一""
English: ""day"" - Deutsch: ""日""
English: ""child"" - Deutsch: ""子""
English: ""hand"" - Deutsch: """,[30880],手,"[29882, 5403, 298, 2350, 5905, 3179, 447, 1361]",hand,hand
"English: ""four"" - Deutsch: ""四""
English: ""wood"" - Deutsch: ""木""
English: ""red"" - Deutsch: ""红""
English: ""left"" - Deutsch: ""左""
English: ""day"" - Deutsch: """,[30325],日,"[270, 1388, 3250, 29881, 1146, 2462]",day,day
"English: ""source"" - Deutsch: ""源""
English: ""nine"" - Deutsch: ""九""
English: ""hand"" - Deutsch: ""手""
English: ""line"" - Deutsch: ""线""
English: ""star"" - Deutsch: """,[30900],星,"[5810, 380, 303, 8508, 9523, 269, 29879, 5173]",star,star
"English: ""law"" - Deutsch: ""法""
English: ""tribe"" - Deutsch: ""族""
English: ""mouth"" - Deutsch: ""口""
English: ""left"" - Deutsch: ""左""
English: ""spring"" - Deutsch: """,[31031],春,"[805, 1028, 7689, 269, 29879, 15099, 4278, 6709]",spring,spring
