prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""example"" - Français: ""exemple""
English: ""eight"" - Français: ""huit""
English: ""left"" - Français: ""gauche""
English: ""ocean"" - Français: ""océan""
English: ""cloud"" - Français: ""","[29876, 4948, 302, 3433]",nuage,"[9274, 29883, 274, 15126, 23642, 9570, 1067, 17184, 695]",cloud,cloud
"English: ""city"" - Français: ""ville""
English: ""four"" - Français: ""quatre""
English: ""delete"" - Français: ""supprimer""
English: ""time"" - Français: ""temps""
English: ""bag"" - Français: ""","[269, 29879, 4977, 7067, 872]",sac,"[23156, 29890, 289, 2291, 9922, 19548]",bag,bag
"English: ""dance"" - Français: ""danse""
English: ""tea"" - Français: ""thé""
English: ""tail"" - Français: ""queue""
English: ""attempt"" - Français: ""tentative""
English: ""mouth"" - Français: ""","[29890, 833, 289, 16380, 1045]",bouche,"[29442, 286, 13394, 4346, 29885, 2730, 21026]",mouth,mouth
"English: ""light"" - Français: ""lumière""
English: ""head"" - Français: ""tête""
English: ""cloud"" - Français: ""nuage""
English: ""soil"" - Français: ""sol""
English: ""heart"" - Français: ""","[29883, 274]",cœur,"[5192, 23057, 354, 8293, 540, 29882, 298]",heart,heart
"English: ""sound"" - Français: ""son""
English: ""middle"" - Français: ""milieu""
English: ""seat"" - Français: ""siège""
English: ""foot"" - Français: ""pied""
English: ""hand"" - Français: ""","[24402, 286, 29885, 1667, 5530, 3396, 611, 655]",main,"[5905, 5403, 447, 29882, 2350, 3179, 298, 1361]",hand,hand
"English: ""ground"" - Français: ""sol""
English: ""judge"" - Français: ""juge""
English: ""hand"" - Français: ""main""
English: ""grid"" - Français: ""grille""
English: ""day"" - Français: ""","[8694, 432, 8121, 2958, 2212, 29926, 20551]",jour,"[29881, 270, 3250, 2462, 1388, 1146]",day,day
"English: ""office"" - Français: ""bureau""
English: ""bridge"" - Français: ""pont""
English: ""mother"" - Français: ""mère""
English: ""three"" - Français: ""trois""
English: ""star"" - Français: ""","[29948, 2852, 1893, 904]",étoile,"[380, 269, 9523, 5810, 303, 29879, 5173, 8508]",star,star
"English: ""door"" - Français: ""porte""
English: ""horse"" - Français: ""cheval""
English: ""hand"" - Français: ""main""
English: ""speech"" - Français: ""discours""
English: ""spring"" - Français: ""","[620, 18475, 29878, 276, 1253, 364, 337, 690]",ressort,"[7689, 269, 29879, 6709, 1028, 805, 4278, 15099]",spring,spring
"English: ""virtue"" - Français: ""vertu""
English: ""field"" - Français: ""champ""
English: ""sea"" - Français: ""mer""
English: ""mouth"" - Français: ""bouche""
English: ""moon"" - Français: ""","[6092, 301, 29880, 8092, 25081]",lune,"[286, 18786, 4346, 29885, 2730]",moon,moon
"English: ""spring"" - Français: ""ressort""
English: ""generation"" - Français: ""génération""
English: ""power"" - Français: ""pouvoir""
English: ""house"" - Français: ""maison""
English: ""wood"" - Français: ""","[29890, 833, 289, 23734, 1045]",bois,"[8879, 281, 827, 6115, 29893, 8112]",wood,wood
"English: ""moon"" - Français: ""lune""
English: ""tie"" - Français: ""cravate""
English: ""heart"" - Français: ""cœur""
English: ""bridge"" - Français: ""pont""
English: ""song"" - Français: ""","[10329, 29883, 274, 305, 521, 25875, 5815, 5083]",chanson,"[269, 578, 29879, 1100, 577, 1487, 21453, 4823]",song,song
"English: ""line"" - Français: ""ligne""
English: ""strip"" - Français: ""bande""
English: ""hand"" - Français: ""main""
English: ""advance"" - Français: ""avancer""
English: ""pond"" - Français: ""","[2852, 29948, 28899, 1893, 904]",étang,"[29886, 12509, 2818, 282, 1129, 772, 1112]",pond,pond
"English: ""household"" - Français: ""ménage""
English: ""strip"" - Français: ""bande""
English: ""tail"" - Français: ""queue""
English: ""middle"" - Français: ""milieu""
English: ""wave"" - Français: ""","[13469, 898, 265, 373, 16504, 288, 29877]",onde,"[281, 27766, 2766, 29893, 11324, 10742]",wave,wave
"English: ""left"" - Français: ""gauche""
English: ""square"" - Français: ""carré""
English: ""one"" - Français: ""un""
English: ""color"" - Français: ""couleur""
English: ""cave"" - Français: ""","[867, 629, 4071, 17170, 29887, 330]",grotte,"[29883, 274, 18346, 5777, 1113, 24230]",cave,cave
"English: ""door"" - Français: ""porte""
English: ""grid"" - Français: ""grille""
English: ""east"" - Français: ""est""
English: ""rise"" - Français: ""hausse""
English: ""sea"" - Français: ""","[286, 29885, 592, 1050, 1004, 2778]",mer,"[269, 7205, 29879, 409, 344]",sea,sea
"English: ""school"" - Français: ""école""
English: ""seat"" - Français: ""siège""
English: ""valley"" - Français: ""vallée""
English: ""city"" - Français: ""ville""
English: ""station"" - Français: ""","[7171, 10364, 24816, 3249, 29887, 330, 5397]",gare,"[380, 19569, 269, 9523, 303, 29879, 5073, 5173, 6112, 23436, 1002]",station,station
