prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - Français: ""五""
中文: ""cœur"" - Français: ""心""
中文: ""partie"" - Français: ""部""
中文: ""trois"" - Français: ""三""
中文: ""nuage"" - Français: """,[31784],云,"[17184, 15126, 1067, 9570, 695, 274, 23642, 29883, 9274]",cloud,nuage
"中文: ""vallée"" - Français: ""谷""
中文: ""tribu"" - Français: ""族""
中文: ""vertu"" - Français: ""德""
中文: ""œil"" - Français: ""目""
中文: ""sac"" - Français: """,[31473],包,"[19548, 2291, 29890, 289, 9922, 23156]",bag,sac
"中文: ""école"" - Français: ""校""
中文: ""version"" - Français: ""版""
中文: ""point"" - Français: ""点""
中文: ""mille"" - Français: ""千""
中文: ""bouche"" - Français: """,[30856],口,"[4346, 2730, 286, 29442, 21026, 29885, 13394]",mouth,bouche
"中文: ""champ"" - Français: ""场""
中文: ""nord"" - Français: ""北""
中文: ""fleur"" - Français: ""花""
中文: ""tour"" - Français: ""塔""
中文: ""sol"" - Français: """,[31181],土,"[578, 29879, 22473, 269, 577]",soil,sol
"中文: ""temps"" - Français: ""时""
中文: ""porte"" - Français: ""门""
中文: ""vallée"" - Français: ""谷""
中文: ""rue"" - Français: ""街""
中文: ""montagne"" - Français: """,[30329],山,"[4346, 5766, 2730, 286, 29442, 14378, 29885, 16476]",mountain,montagne
"中文: ""paire"" - Français: ""双""
中文: ""gauche"" - Français: ""左""
中文: ""été"" - Français: ""夏""
中文: ""sept"" - Français: ""七""
中文: ""cœur"" - Français: """,[30869],心,"[5192, 540, 29882, 298, 23057, 8293, 354]",heart,cœur
"中文: ""bande"" - Français: ""条""
中文: ""un"" - Français: ""一""
中文: ""jour"" - Français: ""日""
中文: ""enfant"" - Français: ""子""
中文: ""main"" - Français: """,[30880],手,"[29882, 298, 2350, 5905, 5403, 1361, 447, 3179]",hand,main
"中文: ""quatre"" - Français: ""四""
中文: ""bois"" - Français: ""木""
中文: ""rouge"" - Français: ""红""
中文: ""gauche"" - Français: ""左""
中文: ""jour"" - Français: """,[30325],日,"[1146, 270, 2462, 29881, 1388, 3250]",day,jour
"中文: ""source"" - Français: ""源""
中文: ""neuf"" - Français: ""九""
中文: ""main"" - Français: ""手""
中文: ""ligne"" - Français: ""线""
中文: ""étoile"" - Français: """,[30900],星,"[5173, 29879, 303, 5810, 380, 9523, 269, 8508]",star,étoile
"中文: ""loi"" - Français: ""法""
中文: ""tribu"" - Français: ""族""
中文: ""bouche"" - Français: ""口""
中文: ""gauche"" - Français: ""左""
中文: ""ressort"" - Français: """,[31031],春,"[29879, 1028, 7689, 805, 15099, 6709, 269, 4278]",spring,ressort
