prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""Streifen"" - English: ""strip""
Deutsch: ""Haus"" - English: ""house""
Deutsch: ""Berg"" - English: ""mountain""
Deutsch: ""eins"" - English: ""one""
Deutsch: ""Buch"" - English: ""","[67, 3305, 2399]",book,"[67, 3305, 2399]",book,Buch
"Deutsch: ""Plattform"" - English: ""platform""
Deutsch: ""vier"" - English: ""four""
Deutsch: ""Gitter"" - English: ""grid""
Deutsch: ""Wasser"" - English: ""water""
Deutsch: ""Wolke"" - English: ""","[498, 68, 45679, 18534]",cloud,"[498, 68, 45679, 18534]",cloud,Wolke
"Deutsch: ""Freund"" - English: ""friend""
Deutsch: ""See"" - English: ""lake""
Deutsch: ""Meer"" - English: ""sea""
Deutsch: ""Paar"" - English: ""pair""
Deutsch: ""Tasche"" - English: ""","[67, 5830, 22738]",bag,"[67, 5830, 22738]",bag,Tasche
"Deutsch: ""Kopf"" - English: ""head""
Deutsch: ""Mitte"" - English: ""middle""
Deutsch: ""Bahnhof"" - English: ""station""
Deutsch: ""Kind"" - English: ""child""
Deutsch: ""Mund"" - English: ""","[6972, 19845, 78]",mouth,"[6972, 19845, 78]",mouth,Mund
"Deutsch: ""Provinz"" - English: ""province""
Deutsch: ""Netz"" - English: ""net""
Deutsch: ""Schwanz"" - English: ""tail""
Deutsch: ""neun"" - English: ""nine""
Deutsch: ""Boden"" - English: ""","[84, 601]",soil,"[84, 601]",soil,Boden
"Deutsch: ""Bahnhof"" - English: ""station""
Deutsch: ""Meer"" - English: ""sea""
Deutsch: ""Punkt"" - English: ""point""
Deutsch: ""sechs"" - English: ""six""
Deutsch: ""Berg"" - English: ""","[6972, 16285, 78]",mountain,"[6972, 16285, 78]",mountain,Berg
"Deutsch: ""Provinz"" - English: ""province""
Deutsch: ""Netz"" - English: ""net""
Deutsch: ""Herz"" - English: ""heart""
Deutsch: ""Rede"" - English: ""speech""
Deutsch: ""Tuch"" - English: ""","[498, 45313, 68, 45679]",cloth,"[498, 45313, 68, 45679]",cloth,Tuch
"Deutsch: ""Schnee"" - English: ""snow""
Deutsch: ""Feder"" - English: ""spring""
Deutsch: ""Version"" - English: ""version""
Deutsch: ""Beispiel"" - English: ""example""
Deutsch: ""Herz"" - English: ""","[21071, 73, 14387, 248]",heart,"[21071, 73, 14387, 248]",heart,Herz
"Deutsch: ""Höhle"" - English: ""cave""
Deutsch: ""neun"" - English: ""nine""
Deutsch: ""Tuch"" - English: ""cloth""
Deutsch: ""Ball"" - English: ""ball""
Deutsch: ""Hand"" - English: ""","[73, 5582, 4608, 3227]",hand,"[73, 5582, 4608, 3227]",hand,Hand
"Deutsch: ""Generation"" - English: ""generation""
Deutsch: ""Teich"" - English: ""pond""
Deutsch: ""löschen"" - English: ""delete""
Deutsch: ""Gegenstand"" - English: ""item""
Deutsch: ""Tag"" - English: ""","[69, 1473, 1201]",day,"[69, 1473, 1201]",day,Tag
