prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - English: ""five""
中文: ""cœur"" - English: ""heart""
中文: ""partie"" - English: ""part""
中文: ""trois"" - English: ""three""
中文: ""nuage"" - English: ""","[9570, 15126, 274, 9274, 695, 1067, 17184, 29883, 23642]",cloud,"[9570, 15126, 274, 9274, 695, 1067, 17184, 29883, 23642]",cloud,nuage
"中文: ""vallée"" - English: ""valley""
中文: ""tribu"" - English: ""tribe""
中文: ""vertu"" - English: ""virtue""
中文: ""œil"" - English: ""eye""
中文: ""sac"" - English: ""","[2291, 23156, 9922, 289, 29890, 19548]",bag,"[2291, 23156, 9922, 289, 29890, 19548]",bag,sac
"中文: ""école"" - English: ""school""
中文: ""version"" - English: ""version""
中文: ""point"" - English: ""point""
中文: ""mille"" - English: ""thousand""
中文: ""bouche"" - English: ""","[21026, 4346, 29442, 29885, 286, 2730, 13394]",mouth,"[21026, 4346, 29442, 29885, 286, 2730, 13394]",mouth,bouche
"中文: ""champ"" - English: ""field""
中文: ""nord"" - English: ""north""
中文: ""fleur"" - English: ""flower""
中文: ""tour"" - English: ""tower""
中文: ""sol"" - English: ""","[22473, 269, 577, 29879, 578]",soil,"[22473, 269, 577, 29879, 578]",soil,sol
"中文: ""temps"" - English: ""time""
中文: ""porte"" - English: ""door""
中文: ""vallée"" - English: ""valley""
中文: ""rue"" - English: ""street""
中文: ""montagne"" - English: ""","[4346, 5766, 29442, 286, 2730, 29885, 16476, 14378]",mountain,"[4346, 5766, 29442, 286, 2730, 29885, 16476, 14378]",mountain,montagne
"中文: ""paire"" - English: ""pair""
中文: ""gauche"" - English: ""left""
中文: ""été"" - English: ""summer""
中文: ""sept"" - English: ""seven""
中文: ""cœur"" - English: ""","[23057, 29882, 540, 5192, 8293, 298, 354]",heart,"[23057, 29882, 540, 5192, 8293, 298, 354]",heart,cœur
"中文: ""bande"" - English: ""strip""
中文: ""un"" - English: ""one""
中文: ""jour"" - English: ""day""
中文: ""enfant"" - English: ""child""
中文: ""main"" - English: ""","[1361, 2350, 29882, 5403, 3179, 5905, 298, 447]",hand,"[1361, 2350, 29882, 5403, 3179, 5905, 298, 447]",hand,main
"中文: ""quatre"" - English: ""four""
中文: ""bois"" - English: ""wood""
中文: ""rouge"" - English: ""red""
中文: ""gauche"" - English: ""left""
中文: ""jour"" - English: ""","[2462, 1146, 3250, 270, 29881, 1388]",day,"[2462, 1146, 3250, 270, 29881, 1388]",day,jour
"中文: ""source"" - English: ""source""
中文: ""neuf"" - English: ""nine""
中文: ""main"" - English: ""hand""
中文: ""ligne"" - English: ""line""
中文: ""étoile"" - English: ""","[9523, 5173, 380, 8508, 5810, 269, 29879, 303]",star,"[9523, 5173, 380, 8508, 5810, 269, 29879, 303]",star,étoile
"中文: ""loi"" - English: ""law""
中文: ""tribu"" - English: ""tribe""
中文: ""bouche"" - English: ""mouth""
中文: ""gauche"" - English: ""left""
中文: ""ressort"" - English: ""","[1028, 4278, 805, 15099, 269, 7689, 29879, 6709]",spring,"[1028, 4278, 805, 15099, 269, 7689, 29879, 6709]",spring,ressort
"中文: ""siège"" - English: ""seat""
中文: ""sud"" - English: ""south""
中文: ""quatre"" - English: ""four""
中文: ""or"" - English: ""gold""
中文: ""lune"" - English: ""","[4346, 29885, 286, 2730, 18786]",moon,"[4346, 29885, 286, 2730, 18786]",moon,lune
"中文: ""bouche"" - English: ""mouth""
中文: ""mille"" - English: ""thousand""
中文: ""ménage"" - English: ""household""
中文: ""été"" - English: ""summer""
中文: ""bois"" - English: ""","[827, 8879, 6115, 8112, 281, 29893]",wood,"[827, 8879, 6115, 8112, 281, 29893]",wood,bois
"中文: ""forêt"" - English: ""forest""
中文: ""cravate"" - English: ""tie""
中文: ""six"" - English: ""six""
中文: ""dix"" - English: ""ten""
中文: ""village"" - English: ""","[325, 4213, 3516, 17191, 21031, 11928, 28765, 29894, 5720, 1403]",village,"[325, 4213, 3516, 17191, 21031, 11928, 28765, 29894, 5720, 1403]",village,village
"中文: ""tête"" - English: ""head""
中文: ""génération"" - English: ""generation""
中文: ""océan"" - English: ""ocean""
中文: ""quatre"" - English: ""four""
中文: ""forêt"" - English: ""","[285, 13569, 29888, 1181, 363, 26839, 1079, 1454, 1701]",forest,"[285, 13569, 29888, 1181, 363, 26839, 1079, 1454, 1701]",forest,forêt
"中文: ""défaite"" - English: ""defeat""
中文: ""bande"" - English: ""strip""
中文: ""bouche"" - English: ""mouth""
中文: ""sud"" - English: ""south""
中文: ""fruit"" - English: ""","[285, 29888, 1341, 15774, 1424]",fruit,"[285, 29888, 1341, 15774, 1424]",fruit,fruit
"中文: ""trois"" - English: ""three""
中文: ""montagne"" - English: ""mountain""
中文: ""milieu"" - English: ""middle""
中文: ""tentative"" - English: ""attempt""
中文: ""grille"" - English: ""","[867, 629, 6856, 29887, 7720, 330]",grid,"[867, 629, 6856, 29887, 7720, 330]",grid,grille
"中文: ""avancer"" - English: ""advance""
中文: ""enfant"" - English: ""child""
中文: ""sept"" - English: ""seven""
中文: ""groupe"" - English: ""group""
中文: ""chanson"" - English: ""","[1487, 1100, 21453, 269, 577, 29879, 4823, 578]",song,"[1487, 1100, 21453, 269, 577, 29879, 4823, 578]",song,chanson
"中文: ""école"" - English: ""school""
中文: ""groupe"" - English: ""group""
中文: ""grille"" - English: ""grid""
中文: ""pouvoir"" - English: ""power""
中文: ""étang"" - English: ""","[282, 29886, 2818, 12509, 1112, 1129, 772]",pond,"[282, 29886, 2818, 12509, 1112, 1129, 772]",pond,étang
"中文: ""roche"" - English: ""rock""
中文: ""maison"" - English: ""house""
中文: ""visage"" - English: ""face""
中文: ""cheval"" - English: ""horse""
中文: ""sable"" - English: ""","[11982, 9753, 4977, 872, 28455, 269, 29879]",sand,"[11982, 9753, 4977, 872, 28455, 269, 29879]",sand,sable
"中文: ""œil"" - English: ""eye""
中文: ""ligne"" - English: ""line""
中文: ""histoire"" - English: ""history""
中文: ""porte"" - English: ""door""
中文: ""loi"" - English: ""","[4307, 10653, 433, 425, 29880, 301]",law,"[4307, 10653, 433, 425, 29880, 301]",law,loi
"中文: ""six"" - English: ""six""
中文: ""ressort"" - English: ""spring""
中文: ""main"" - English: ""hand""
中文: ""école"" - English: ""school""
中文: ""onde"" - English: ""","[11324, 10742, 27766, 281, 2766, 29893]",wave,"[11324, 10742, 27766, 281, 2766, 29893]",wave,onde
"中文: ""nuage"" - English: ""cloud""
中文: ""champ"" - English: ""field""
中文: ""neuf"" - English: ""nine""
中文: ""quatre"" - English: ""four""
中文: ""océan"" - English: ""","[12954, 25802, 23474, 29877, 288, 542]",ocean,"[12954, 25802, 23474, 29877, 288, 542]",ocean,océan
"中文: ""forêt"" - English: ""forest""
中文: ""été"" - English: ""summer""
中文: ""juge"" - English: ""judge""
中文: ""filet"" - English: ""net""
中文: ""grotte"" - English: ""","[18346, 274, 24230, 5777, 1113, 29883]",cave,"[18346, 274, 24230, 5777, 1113, 29883]",cave,grotte
"中文: ""siège"" - English: ""seat""
中文: ""supprimer"" - English: ""delete""
中文: ""nord"" - English: ""north""
中文: ""pied"" - English: ""foot""
中文: ""mer"" - English: ""","[7205, 344, 269, 409, 29879]",sea,"[7205, 344, 269, 409, 29879]",sea,mer
"中文: ""bois"" - English: ""wood""
中文: ""jour"" - English: ""day""
中文: ""cheval"" - English: ""horse""
中文: ""structure"" - English: ""structure""
中文: ""lac"" - English: ""","[433, 425, 29880, 19437, 24591, 301, 18170]",lake,"[433, 425, 29880, 19437, 24591, 301, 18170]",lake,lac
"中文: ""siège"" - English: ""seat""
中文: ""village"" - English: ""village""
中文: ""machine"" - English: ""machine""
中文: ""gauche"" - English: ""left""
中文: ""source"" - English: ""","[29879, 4993, 269, 577, 3669, 2752, 578]",source,"[29879, 4993, 269, 577, 3669, 2752, 578]",source,source
"中文: ""supprimer"" - English: ""delete""
中文: ""champ"" - English: ""field""
中文: ""position"" - English: ""position""
中文: ""gare"" - English: ""station""
中文: ""point"" - English: ""","[282, 3149, 1298, 11899, 29886, 1129, 772]",point,"[282, 3149, 1298, 11899, 29886, 1129, 772]",point,point
"中文: ""rouge"" - English: ""red""
中文: ""sac"" - English: ""bag""
中文: ""visage"" - English: ""face""
中文: ""mot"" - English: ""word""
中文: ""version"" - English: ""","[325, 345, 1873, 874, 3259, 1147, 1224, 29894, 2453, 369]",version,"[325, 345, 1873, 874, 3259, 1147, 1224, 29894, 2453, 369]",version,version
"中文: ""neuf"" - English: ""nine""
中文: ""montagne"" - English: ""mountain""
中文: ""mille"" - English: ""thousand""
中文: ""bureau"" - English: ""office""
中文: ""ballon"" - English: ""","[2291, 9922, 8287, 6411, 289, 29890, 5521, 2135]",ball,"[2291, 9922, 8287, 6411, 289, 29890, 5521, 2135]",ball,ballon
"中文: ""mer"" - English: ""sea""
中文: ""océan"" - English: ""ocean""
中文: ""mère"" - English: ""mother""
中文: ""machine"" - English: ""machine""
中文: ""gare"" - English: ""","[1002, 19569, 9523, 5173, 380, 5073, 6112, 23436, 269, 29879, 303]",station,"[1002, 19569, 9523, 5173, 380, 5073, 6112, 23436, 269, 29879, 303]",station,gare
"中文: ""bande"" - English: ""strip""
中文: ""sol"" - English: ""ground""
中文: ""bureau"" - English: ""office""
中文: ""nuage"" - English: ""cloud""
中文: ""riz"" - English: ""","[2200, 374, 19408, 9597, 364, 10107, 29878, 11674]",rice,"[2200, 374, 19408, 9597, 364, 10107, 29878, 11674]",rice,riz
"中文: ""structure"" - English: ""structure""
中文: ""fleur"" - English: ""flower""
中文: ""bourse"" - English: ""exchange""
中文: ""cœur"" - English: ""heart""
中文: ""rouge"" - English: ""","[276, 1127, 364, 2654, 29878, 337]",red,"[276, 1127, 364, 2654, 29878, 337]",red,rouge
"中文: ""enfant"" - English: ""child""
中文: ""sept"" - English: ""seven""
中文: ""quatre"" - English: ""four""
中文: ""vertu"" - English: ""virtue""
中文: ""ligne"" - English: ""","[6276, 1220, 492, 1915, 301, 29880, 1196, 619]",line,"[6276, 1220, 492, 1915, 301, 29880, 1196, 619]",line,ligne
"中文: ""ménage"" - English: ""household""
中文: ""pouvoir"" - English: ""power""
中文: ""ville"" - English: ""city""
中文: ""loi"" - English: ""law""
中文: ""filet"" - English: ""","[7787, 1212, 29876, 484, 452, 302]",net,"[7787, 1212, 29876, 484, 452, 302]",net,filet
"中文: ""vertu"" - English: ""virtue""
中文: ""siège"" - English: ""seat""
中文: ""neige"" - English: ""snow""
中文: ""supprimer"" - English: ""delete""
中文: ""fleur"" - English: ""","[285, 28149, 5685, 29888, 1652, 1731, 4972, 1579]",flower,"[285, 28149, 5685, 29888, 1652, 1731, 4972, 1579]",flower,fleur
"中文: ""mille"" - English: ""thousand""
中文: ""bureau"" - English: ""office""
中文: ""fleur"" - English: ""flower""
中文: ""vallée"" - English: ""valley""
中文: ""thé"" - English: ""","[260, 29873, 23429, 734, 371]",tea,"[260, 29873, 23429, 734, 371]",tea,thé
