prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""main"" - Русский: ""рука""
Français: ""mer"" - Русский: ""море""
Français: ""rouge"" - Русский: ""красный""
Français: ""bouche"" - Русский: ""рот""
Français: ""tentative"" - Русский: ""","[469, 29964, 733, 1268, 211]",попытка,"[31787, 235]",试,tentative
"Français: ""rue"" - Русский: ""улица""
Français: ""exemple"" - Русский: ""пример""
Français: ""talent"" - Русский: ""талант""
Français: ""visage"" - Русский: ""лицо""
Français: ""sac"" - Русский: ""","[3404, 2937, 531, 29935, 212]",сумка,"[31473, 232]",包,sac
"Français: ""or"" - Русский: ""золото""
Français: ""montagne"" - Русский: ""гора""
Français: ""village"" - Русский: ""деревня""
Français: ""rouge"" - Русский: ""красный""
Français: ""ballon"" - Русский: ""","[757, 27693, 29959, 5010, 211]",мяч,"[31539, 234]",球,ballon
"Français: ""bande"" - Русский: ""полоса""
Français: ""carré"" - Русский: ""квадрат""
Français: ""province"" - Русский: ""провинция""
Français: ""ligne"" - Русский: ""линия""
Français: ""beauté"" - Русский: ""","[29951, 6697, 1186, 3360, 211]",красота,"[30630, 234]",美,beauté
"Français: ""visage"" - Русский: ""лицо""
Français: ""chanson"" - Русский: ""песня""
Français: ""milieu"" - Русский: ""середина""
Français: ""soleil"" - Русский: ""солнце""
Français: ""pont"" - Русский: ""","[2569, 757, 29959, 1630, 211]",мост,"[31749, 233]",桥,pont
"Français: ""six"" - Русский: ""шесть""
Français: ""histoire"" - Русский: ""история""
Français: ""cœur"" - Русский: ""сердце""
Français: ""soleil"" - Русский: ""солнце""
Français: ""grotte"" - Русский: ""","[2100, 469, 29964, 6414, 211]",пещера,"[31886, 233]",洞,grotte
"Français: ""beauté"" - Русский: ""красота""
Français: ""village"" - Русский: ""деревня""
Français: ""loi"" - Русский: ""закон""
Français: ""été"" - Русский: ""лето""
Français: ""enfant"" - Русский: ""","[8201, 29927, 587, 1909, 212]",ребенок,"[30319, 232]",子,enfant
"Français: ""champ"" - Русский: ""поле""
Français: ""pouvoir"" - Русский: ""власть""
Français: ""sable"" - Русский: ""песок""
Français: ""bande"" - Русский: ""полоса""
Français: ""ville"" - Русский: ""","[12816, 19051, 9546, 1214, 29969, 588, 24856, 17310, 1084, 211]",город,"[30626, 232]",城,ville
"Français: ""province"" - Русский: ""провинция""
Français: ""point"" - Русский: ""точка""
Français: ""défaite"" - Русский: ""поражение""
Français: ""neige"" - Русский: ""снег""
Français: ""nuage"" - Русский: ""","[4389, 29904, 1604, 614, 5055, 211]",облако,"[31784, 231]",云,nuage
"Français: ""bureau"" - Русский: ""офис""
Français: ""retour"" - Русский: ""возврат""
Français: ""enfant"" - Русский: ""ребенок""
Français: ""sol"" - Русский: ""земля""
Français: ""couleur"" - Русский: ""","[3716, 29996, 212]",цвет,"[31085, 235]",色,couleur
"Français: ""sol"" - Русский: ""почва""
Français: ""milieu"" - Русский: ""середина""
Français: ""ballon"" - Русский: ""мяч""
Français: ""exemple"" - Русский: ""пример""
Français: ""danse"" - Русский: ""","[1937, 29932, 676, 7951, 1710, 20395, 212]",танец,"[31939, 235]",舞,danse
"Français: ""source"" - Русский: ""источник""
Français: ""couleur"" - Русский: ""цвет""
Français: ""vitesse"" - Русский: ""скорость""
Français: ""dix"" - Русский: ""десять""
Français: ""défaite"" - Русский: ""","[21463, 469, 29964, 20263, 733, 1268, 28227, 211]",поражение,"[31955, 235]",败,défaite
"Français: ""onde"" - Русский: ""волна""
Français: ""océan"" - Русский: ""океан""
Français: ""sud"" - Русский: ""юг""
Français: ""point"" - Русский: ""точка""
Français: ""supprimer"" - Русский: ""","[863, 29960, 19871, 212]",удалить,"[31916, 232]",删,supprimer
"Français: ""supprimer"" - Русский: ""удалить""
Français: ""carré"" - Русский: ""квадрат""
Français: ""son"" - Русский: ""звук""
Français: ""machine"" - Русский: ""машина""
Français: ""porte"" - Русский: ""","[662, 29957, 20880, 211]",дверь,"[31649, 236]",门,porte
"Français: ""tribu"" - Русский: ""племя""
Français: ""grille"" - Русский: ""сетка""
Français: ""neuf"" - Русский: ""девять""
Français: ""sud"" - Русский: ""юг""
Français: ""est"" - Русский: ""","[1786, 29942, 25896, 26170, 490, 984, 16335, 211]",восток,"[30979, 231]",东,est
"Français: ""bureau"" - Русский: ""офис""
Français: ""vitesse"" - Русский: ""скорость""
Français: ""tour"" - Русский: ""башня""
Français: ""réunion"" - Русский: ""собрание""
Français: ""huit"" - Русский: ""","[1786, 29942, 490, 984, 16335, 211]",восемь,"[31044, 232]",八,huit
"Français: ""ville"" - Русский: ""город""
Français: ""loi"" - Русский: ""закон""
Français: ""main"" - Русский: ""рука""
Français: ""visage"" - Русский: ""лицо""
Français: ""exemple"" - Русский: ""","[7104, 21550, 469, 29964, 25390, 12781, 1695, 211]",пример,"[31507, 231]",例,exemple
"Français: ""champ"" - Русский: ""поле""
Français: ""forêt"" - Русский: ""лес""
Français: ""pont"" - Русский: ""мост""
Français: ""beauté"" - Русский: ""красота""
Français: ""bourse"" - Русский: ""","[29975, 2384, 836, 5660, 211]",биржа,"[31398, 231]",交,bourse
"Français: ""danse"" - Русский: ""танец""
Français: ""discours"" - Русский: ""речь""
Français: ""source"" - Русский: ""источник""
Français: ""été"" - Русский: ""лето""
Français: ""visage"" - Русский: ""","[3550, 644, 29944, 211]",лицо,"[30806, 236]",面,visage
"Français: ""paire"" - Русский: ""пара""
Français: ""structure"" - Русский: ""структура""
Français: ""enfant"" - Русский: ""ребенок""
Français: ""ballon"" - Русский: ""мяч""
Français: ""champ"" - Русский: ""","[469, 29964, 733, 29235, 9518, 1268, 7372, 211]",поле,"[31632, 232]",场,champ
"Français: ""source"" - Русский: ""источник""
Français: ""bande"" - Русский: ""полоса""
Français: ""nord"" - Русский: ""север""
Français: ""enfant"" - Русский: ""ребенок""
Français: ""cinq"" - Русский: ""","[469, 29964, 24200, 211]",пять,"[30904, 231]",五,cinq
"Français: ""partie"" - Русский: ""часть""
Français: ""tête"" - Русский: ""голова""
Français: ""queue"" - Русский: ""хвост""
Français: ""genre"" - Русский: ""вид""
Français: ""fleur"" - Русский: ""","[3716, 29996, 212]",цветок,"[30830, 235]",花,fleur
"Français: ""vitesse"" - Русский: ""скорость""
Français: ""réunion"" - Русский: ""собрание""
Français: ""couleur"" - Русский: ""цвет""
Français: ""bande"" - Русский: ""полоса""
Français: ""pied"" - Русский: ""","[18211, 570, 6968, 4228, 29921, 211]",нога,"[31722, 235]",足,pied
"Français: ""tribu"" - Русский: ""племя""
Français: ""juge"" - Русский: ""судья""
Français: ""neuf"" - Русский: ""девять""
Français: ""or"" - Русский: ""золото""
Français: ""forêt"" - Русский: ""","[4674, 753, 29944, 211]",лес,"[30853, 233]",林,forêt
"Français: ""paire"" - Русский: ""пара""
Français: ""grotte"" - Русский: ""пещера""
Français: ""école"" - Русский: ""школа""
Français: ""talent"" - Русский: ""талант""
Français: ""quatre"" - Русский: ""","[29981, 24998, 2493, 1093, 2950, 212]",четыре,"[30928, 232]",四,quatre
"Français: ""beauté"" - Русский: ""красота""
Français: ""visage"" - Русский: ""лицо""
Français: ""personne"" - Русский: ""человек""
Français: ""pouvoir"" - Русский: ""власть""
Français: ""fruit"" - Русский: ""","[23692, 1606, 30011, 212]",фрукт,"[30801, 233]",果,fruit
"Français: ""deux"" - Русский: ""два""
Français: ""village"" - Русский: ""деревня""
Français: ""province"" - Русский: ""провинция""
Français: ""tour"" - Русский: ""башня""
Français: ""génération"" - Русский: ""","[469, 29964, 733, 1268, 211]",поколение,"[30690, 231]",代,génération
"Français: ""bande"" - Русский: ""полоса""
Français: ""vitesse"" - Русский: ""скорость""
Français: ""vertu"" - Русский: ""добродетель""
Français: ""genre"" - Русский: ""вид""
Français: ""or"" - Русский: ""","[4734, 29972, 26467, 754, 25687, 211]",золото,"[30659, 236]",金,or
"Français: ""tribu"" - Русский: ""племя""
Français: ""groupe"" - Русский: ""группа""
Français: ""océan"" - Русский: ""океан""
Français: ""tour"" - Русский: ""башня""
Français: ""grille"" - Русский: ""","[531, 29935, 1502, 1586, 212]",сетка,"[31168, 233]",格,grille
"Français: ""bourse"" - Русский: ""биржа""
Français: ""pouvoir"" - Русский: ""власть""
Français: ""rue"" - Русский: ""улица""
Français: ""couleur"" - Русский: ""цвет""
Français: ""sol"" - Русский: ""","[4791, 12639, 20117, 29972, 754, 24263, 211]",земля,"[30533, 232]",地,sol
"Français: ""thé"" - Русский: ""чай""
Français: ""grille"" - Русский: ""сетка""
Français: ""position"" - Русский: ""позиция""
Français: ""discours"" - Русский: ""речь""
Français: ""groupe"" - Русский: ""","[1214, 29969, 10841, 6148, 211]",группа,"[31829, 234]",群,groupe
"Français: ""maison"" - Русский: ""дом""
Français: ""sac"" - Русский: ""сумка""
Français: ""étoile"" - Русский: ""звезда""
Français: ""milieu"" - Русский: ""середина""
Français: ""main"" - Русский: ""","[5368, 11218, 8201, 29927, 1086, 212]",рука,"[30880, 233]",手,main
"Français: ""supprimer"" - Русский: ""удалить""
Français: ""queue"" - Русский: ""хвост""
Français: ""position"" - Русский: ""позиция""
Français: ""six"" - Русский: ""шесть""
Français: ""tête"" - Русский: ""","[19311, 27187, 1214, 29969, 588, 1084, 211]",голова,"[31584, 232]",头,tête
