prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""five"" - Français: ""五""
English: ""heart"" - Français: ""心""
English: ""part"" - Français: ""部""
English: ""three"" - Français: ""三""
English: ""cloud"" - Français: """,[31784],云,"[15126, 695, 274, 1067, 9274, 23642, 29883, 17184, 9570]",cloud,cloud
"English: ""valley"" - Français: ""谷""
English: ""tribe"" - Français: ""族""
English: ""virtue"" - Français: ""德""
English: ""eye"" - Français: ""目""
English: ""bag"" - Français: """,[31473],包,"[29890, 9922, 2291, 289, 19548, 23156]",bag,bag
"English: ""school"" - Français: ""校""
English: ""version"" - Français: ""版""
English: ""point"" - Français: ""点""
English: ""thousand"" - Français: ""千""
English: ""mouth"" - Français: """,[30856],口,"[29885, 2730, 29442, 4346, 21026, 286, 13394]",mouth,mouth
"English: ""field"" - Français: ""场""
English: ""north"" - Français: ""北""
English: ""flower"" - Français: ""花""
English: ""tower"" - Français: ""塔""
English: ""soil"" - Français: """,[31181],土,"[29879, 22473, 577, 578, 269]",soil,soil
"English: ""time"" - Français: ""时""
English: ""door"" - Français: ""门""
English: ""valley"" - Français: ""谷""
English: ""street"" - Français: ""街""
English: ""mountain"" - Français: """,[30329],山,"[29885, 2730, 29442, 4346, 16476, 5766, 286, 14378]",mountain,mountain
"English: ""pair"" - Français: ""双""
English: ""left"" - Français: ""左""
English: ""summer"" - Français: ""夏""
English: ""seven"" - Français: ""七""
English: ""heart"" - Français: """,[30869],心,"[5192, 29882, 540, 298, 8293, 354, 23057]",heart,heart
"English: ""strip"" - Français: ""条""
English: ""one"" - Français: ""一""
English: ""day"" - Français: ""日""
English: ""child"" - Français: ""子""
English: ""hand"" - Français: """,[30880],手,"[5403, 29882, 447, 3179, 298, 5905, 2350, 1361]",hand,hand
"English: ""four"" - Français: ""四""
English: ""wood"" - Français: ""木""
English: ""red"" - Français: ""红""
English: ""left"" - Français: ""左""
English: ""day"" - Français: """,[30325],日,"[1146, 29881, 1388, 3250, 2462, 270]",day,day
"English: ""source"" - Français: ""源""
English: ""nine"" - Français: ""九""
English: ""hand"" - Français: ""手""
English: ""line"" - Français: ""线""
English: ""star"" - Français: """,[30900],星,"[29879, 5810, 8508, 9523, 5173, 269, 380, 303]",star,star
"English: ""law"" - Français: ""法""
English: ""tribe"" - Français: ""族""
English: ""mouth"" - Français: ""口""
English: ""left"" - Français: ""左""
English: ""spring"" - Français: """,[31031],春,"[29879, 15099, 7689, 6709, 805, 1028, 4278, 269]",spring,spring
"English: ""seat"" - Français: ""座""
English: ""south"" - Français: ""南""
English: ""four"" - Français: ""四""
English: ""gold"" - Français: ""金""
English: ""moon"" - Français: """,[30534],月,"[29885, 2730, 18786, 4346, 286]",moon,moon
"English: ""mouth"" - Français: ""口""
English: ""thousand"" - Français: ""千""
English: ""household"" - Français: ""户""
English: ""summer"" - Français: ""夏""
English: ""wood"" - Français: """,[30710],木,"[827, 8112, 281, 29893, 8879, 6115]",wood,wood
"English: ""forest"" - Français: ""林""
English: ""tie"" - Français: ""结""
English: ""six"" - Français: ""六""
English: ""ten"" - Français: ""十""
English: ""village"" - Français: """,[30402],村,"[29894, 17191, 28765, 21031, 4213, 11928, 325, 1403, 5720, 3516]",village,village
"English: ""head"" - Français: ""头""
English: ""generation"" - Français: ""代""
English: ""ocean"" - Français: ""洋""
English: ""four"" - Français: ""四""
English: ""forest"" - Français: """,[30853],林,"[13569, 285, 1181, 1079, 363, 29888, 1454, 1701, 26839]",forest,forest
"English: ""defeat"" - Français: ""败""
English: ""strip"" - Français: ""条""
English: ""mouth"" - Français: ""口""
English: ""south"" - Français: ""南""
English: ""fruit"" - Français: """,[30801],果,"[1341, 285, 15774, 29888, 1424]",fruit,fruit
"English: ""three"" - Français: ""三""
English: ""mountain"" - Français: ""山""
English: ""middle"" - Français: ""中""
English: ""attempt"" - Français: ""试""
English: ""grid"" - Français: """,[31168],格,"[6856, 629, 7720, 29887, 330, 867]",grid,grid
"English: ""advance"" - Français: ""进""
English: ""child"" - Français: ""子""
English: ""seven"" - Français: ""七""
English: ""group"" - Français: ""群""
English: ""song"" - Français: """,[31173],歌,"[29879, 4823, 1487, 21453, 577, 578, 269, 1100]",song,song
"English: ""school"" - Français: ""校""
English: ""group"" - Français: ""群""
English: ""grid"" - Français: ""格""
English: ""power"" - Français: ""力""
English: ""pond"" - Français: """,[31853],池,"[1129, 772, 12509, 1112, 29886, 2818, 282]",pond,pond
"English: ""rock"" - Français: ""岩""
English: ""house"" - Français: ""屋""
English: ""face"" - Français: ""面""
English: ""horse"" - Français: ""马""
English: ""sand"" - Français: """,[31476],沙,"[29879, 28455, 11982, 9753, 872, 4977, 269]",sand,sand
"English: ""eye"" - Français: ""目""
English: ""line"" - Français: ""线""
English: ""history"" - Français: ""史""
English: ""door"" - Français: ""门""
English: ""law"" - Français: """,[30545],法,"[425, 301, 433, 4307, 29880, 10653]",law,law
"English: ""six"" - Français: ""六""
English: ""spring"" - Français: ""春""
English: ""hand"" - Français: ""手""
English: ""school"" - Français: ""校""
English: ""wave"" - Français: """,[31529],波,"[10742, 281, 29893, 27766, 11324, 2766]",wave,wave
"English: ""cloud"" - Français: ""云""
English: ""field"" - Français: ""场""
English: ""nine"" - Français: ""九""
English: ""four"" - Français: ""四""
English: ""ocean"" - Français: """,[31534],洋,"[29877, 12954, 288, 542, 25802, 23474]",ocean,ocean
"English: ""forest"" - Français: ""林""
English: ""summer"" - Français: ""夏""
English: ""judge"" - Français: ""判""
English: ""net"" - Français: ""网""
English: ""cave"" - Français: """,[31886],洞,"[1113, 18346, 274, 24230, 29883, 5777]",cave,cave
"English: ""seat"" - Français: ""座""
English: ""delete"" - Français: ""删""
English: ""north"" - Français: ""北""
English: ""foot"" - Français: ""足""
English: ""sea"" - Français: """,[30581],海,"[29879, 7205, 344, 269, 409]",sea,sea
"English: ""wood"" - Français: ""木""
English: ""day"" - Français: ""日""
English: ""horse"" - Français: ""马""
English: ""structure"" - Français: ""构""
English: ""lake"" - Français: """,[31496],湖,"[18170, 425, 19437, 301, 433, 24591, 29880]",lake,lake
"English: ""seat"" - Français: ""座""
English: ""village"" - Français: ""村""
English: ""machine"" - Français: ""机""
English: ""left"" - Français: ""左""
English: ""source"" - Français: """,[31193],源,"[29879, 3669, 2752, 577, 578, 269, 4993]",source,source
"English: ""delete"" - Français: ""删""
English: ""field"" - Français: ""场""
English: ""position"" - Français: ""位""
English: ""station"" - Français: ""站""
English: ""point"" - Français: """,[30940],点,"[1129, 1298, 772, 3149, 11899, 29886, 282]",point,point
"English: ""red"" - Français: ""红""
English: ""bag"" - Français: ""包""
English: ""face"" - Français: ""面""
English: ""word"" - Français: ""字""
English: ""version"" - Français: """,[30845],版,"[29894, 874, 1224, 345, 369, 3259, 325, 1147, 1873, 2453]",version,version
"English: ""nine"" - Français: ""九""
English: ""mountain"" - Français: ""山""
English: ""thousand"" - Français: ""千""
English: ""office"" - Français: ""局""
English: ""ball"" - Français: """,[31539],球,"[8287, 29890, 289, 9922, 2135, 2291, 5521, 6411]",ball,ball
"English: ""sea"" - Français: ""海""
English: ""ocean"" - Français: ""洋""
English: ""mother"" - Français: ""母""
English: ""machine"" - Français: ""机""
English: ""station"" - Français: """,[31433],站,"[29879, 1002, 19569, 5073, 9523, 6112, 23436, 5173, 269, 380, 303]",station,station
"English: ""strip"" - Français: ""条""
English: ""ground"" - Français: ""地""
English: ""office"" - Français: ""局""
English: ""cloud"" - Français: ""云""
English: ""rice"" - Français: """,[31902],米,"[9597, 2200, 11674, 19408, 29878, 374, 364, 10107]",rice,rice
"English: ""structure"" - Français: ""构""
English: ""flower"" - Français: ""花""
English: ""exchange"" - Français: ""交""
English: ""heart"" - Français: ""心""
English: ""red"" - Français: """,[31869],红,"[276, 2654, 337, 1127, 29878, 364]",red,red
"English: ""child"" - Français: ""子""
English: ""seven"" - Français: ""七""
English: ""four"" - Français: ""四""
English: ""virtue"" - Français: ""德""
English: ""line"" - Français: """,[31532],线,"[1196, 301, 1220, 492, 29880, 619, 1915, 6276]",line,line
"English: ""household"" - Français: ""户""
English: ""power"" - Français: ""力""
English: ""city"" - Français: ""城""
English: ""law"" - Français: ""法""
English: ""net"" - Français: """,[31222],网,"[452, 7787, 484, 302, 1212, 29876]",net,net
"English: ""virtue"" - Français: ""德""
English: ""seat"" - Français: ""座""
English: ""snow"" - Français: ""雪""
English: ""delete"" - Français: ""删""
English: ""flower"" - Français: """,[30830],花,"[5685, 4972, 285, 1731, 28149, 1652, 29888, 1579]",flower,flower
"English: ""thousand"" - Français: ""千""
English: ""office"" - Français: ""局""
English: ""flower"" - Français: ""花""
English: ""valley"" - Français: ""谷""
English: ""tea"" - Français: """,[31954],茶,"[734, 371, 260, 23429, 29873]",tea,tea
"English: ""square"" - Français: ""方""
English: ""four"" - Français: ""四""
English: ""time"" - Français: ""时""
English: ""flower"" - Français: ""花""
English: ""foot"" - Français: """,[31722],足,"[7953, 285, 1181, 29888, 6661, 1701, 5431, 3661]",foot,foot
"English: ""two"" - Français: ""二""
English: ""square"" - Français: ""方""
English: ""light"" - Français: ""光""
English: ""person"" - Français: ""人""
English: ""gold"" - Français: """,[30659],金,"[7684, 15192, 29887, 748, 330, 1484]",gold,gold
"English: ""head"" - Français: ""头""
English: ""moon"" - Français: ""月""
English: ""group"" - Français: ""群""
English: ""mountain"" - Français: ""山""
English: ""door"" - Français: """,[31649],门,"[1867, 29881, 437, 17433, 270, 3050]",door,door
"English: ""sea"" - Français: ""海""
English: ""street"" - Français: ""街""
English: ""tie"" - Français: ""结""
English: ""meeting"" - Français: ""会""
English: ""snow"" - Français: """,[31731],雪,"[29879, 16586, 5807, 269, 15007]",snow,snow
"English: ""word"" - Français: ""字""
English: ""soil"" - Français: ""土""
English: ""child"" - Français: ""子""
English: ""street"" - Français: ""街""
English: ""horse"" - Français: """,[31530],马,"[2015, 10435, 5089, 4029, 29882, 11231, 298, 1251]",horse,horse
"English: ""school"" - Français: ""校""
English: ""four"" - Français: ""四""
English: ""advance"" - Français: ""进""
English: ""province"" - Français: ""省""
English: ""one"" - Français: """,[30287],一,"[29877, 650, 697, 288, 265, 373]",one,one
"English: ""city"" - Français: ""城""
English: ""head"" - Français: ""头""
English: ""net"" - Français: ""网""
English: ""house"" - Français: ""屋""
English: ""two"" - Français: """,[30685],二,"[1023, 7516, 10184, 3252, 260, 29873]",two,two
"English: ""heart"" - Français: ""心""
English: ""household"" - Français: ""户""
English: ""strip"" - Français: ""条""
English: ""talent"" - Français: ""才""
English: ""three"" - Français: """,[30457],三,"[386, 2211, 12455, 1468, 260, 29873, 17536, 266]",three,three
"English: ""wave"" - Français: ""波""
English: ""head"" - Français: ""头""
English: ""point"" - Français: ""点""
English: ""horse"" - Français: ""马""
English: ""four"" - Français: """,[30928],四,"[285, 1181, 29888, 3023, 1701, 12584, 17823]",four,four
"English: ""flower"" - Français: ""花""
English: ""north"" - Français: ""北""
English: ""bridge"" - Français: ""桥""
English: ""power"" - Français: ""力""
English: ""five"" - Français: """,[30904],五,"[7241, 285, 5713, 29888, 20818, 5320]",five,five
"English: ""ball"" - Français: ""球""
English: ""judge"" - Français: ""判""
English: ""net"" - Français: ""网""
English: ""rise"" - Français: ""起""
English: ""six"" - Français: """,[31304],六,"[29879, 1354, 4832, 1039, 28319, 269]",six,six
"English: ""hand"" - Français: ""手""
English: ""group"" - Français: ""群""
English: ""two"" - Français: ""二""
English: ""beauty"" - Français: ""美""
English: ""seven"" - Français: """,[31425],七,"[29879, 9881, 344, 269, 409]",seven,seven
"English: ""delete"" - Français: ""删""
English: ""virtue"" - Français: ""德""
English: ""ocean"" - Français: ""洋""
English: ""point"" - Français: ""点""
English: ""eight"" - Français: """,[31044],八,"[321, 29872, 9475, 10096, 29319, 15761]",eight,eight
"English: ""rise"" - Français: ""起""
English: ""province"" - Français: ""省""
English: ""gold"" - Français: ""金""
English: ""street"" - Français: ""街""
English: ""nine"" - Français: """,[31321],九,"[14183, 1240, 17081, 6836, 302, 29876]",nine,nine
"English: ""snow"" - Français: ""雪""
English: ""left"" - Français: ""左""
English: ""sun"" - Français: ""阳""
English: ""fruit"" - Français: ""果""
English: ""ten"" - Français: """,[30802],十,"[734, 371, 841, 3006, 260, 29873]",ten,ten
"English: ""flower"" - Français: ""花""
English: ""station"" - Français: ""站""
English: ""sand"" - Français: ""沙""
English: ""color"" - Français: ""色""
English: ""head"" - Français: """,[31584],头,"[2813, 2343, 29882, 540, 298, 354]",head,head
"English: ""foot"" - Français: ""足""
English: ""person"" - Français: ""人""
English: ""nine"" - Français: ""九""
English: ""station"" - Français: ""站""
English: ""strip"" - Français: """,[31217],条,"[29879, 710, 10076, 17820, 17010, 269, 851, 380, 303]",strip,strip
"English: ""mouth"" - Français: ""口""
English: ""kind"" - Français: ""种""
English: ""house"" - Français: ""屋""
English: ""word"" - Français: ""字""
English: ""street"" - Français: """,[30813],街,"[29879, 29352, 710, 12243, 11952, 269, 851, 13045, 380, 303]",street,street
