prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""cinq"" - Deutsch: ""五""
中文: ""cœur"" - Deutsch: ""心""
中文: ""partie"" - Deutsch: ""部""
中文: ""trois"" - Deutsch: ""三""
中文: ""nuage"" - Deutsch: """,[31784],云,"[3433, 29876, 4948, 302]",nuage,nuage
"中文: ""vallée"" - Deutsch: ""谷""
中文: ""tribu"" - Deutsch: ""族""
中文: ""vertu"" - Deutsch: ""德""
中文: ""œil"" - Deutsch: ""目""
中文: ""sac"" - Deutsch: """,[31473],包,"[4977, 269, 29879, 7067, 872]",sac,sac
"中文: ""école"" - Deutsch: ""校""
中文: ""version"" - Deutsch: ""版""
中文: ""point"" - Deutsch: ""点""
中文: ""mille"" - Deutsch: ""千""
中文: ""bouche"" - Deutsch: """,[30856],口,"[1045, 29890, 833, 289, 16380]",bouche,bouche
"中文: ""champ"" - Deutsch: ""场""
中文: ""nord"" - Deutsch: ""北""
中文: ""fleur"" - Deutsch: ""花""
中文: ""tour"" - Deutsch: ""塔""
中文: ""sol"" - Deutsch: """,[31181],土,"[2929, 269, 899, 29879, 578, 577]",sol,sol
"中文: ""temps"" - Deutsch: ""时""
中文: ""porte"" - Deutsch: ""门""
中文: ""vallée"" - Deutsch: ""谷""
中文: ""rue"" - Deutsch: ""街""
中文: ""montagne"" - Deutsch: """,[30329],山,"[29885, 2730, 7629, 286, 4346, 14132, 3712, 1601]",montagne,montagne
"中文: ""paire"" - Deutsch: ""双""
中文: ""gauche"" - Deutsch: ""左""
中文: ""été"" - Deutsch: ""夏""
中文: ""sept"" - Deutsch: ""七""
中文: ""cœur"" - Deutsch: """,[30869],心,"[274, 29883]",cœur,cœur
"中文: ""bande"" - Deutsch: ""条""
中文: ""un"" - Deutsch: ""一""
中文: ""jour"" - Deutsch: ""日""
中文: ""enfant"" - Deutsch: ""子""
中文: ""main"" - Deutsch: """,[30880],手,"[5530, 29885, 611, 286, 24402, 3396, 1667, 655]",main,main
"中文: ""quatre"" - Deutsch: ""四""
中文: ""bois"" - Deutsch: ""木""
中文: ""rouge"" - Deutsch: ""红""
中文: ""gauche"" - Deutsch: ""左""
中文: ""jour"" - Deutsch: """,[30325],日,"[2212, 29926, 2958, 8121, 8694, 20551, 432]",jour,jour
"中文: ""source"" - Deutsch: ""源""
中文: ""neuf"" - Deutsch: ""九""
中文: ""main"" - Deutsch: ""手""
中文: ""ligne"" - Deutsch: ""线""
中文: ""étoile"" - Deutsch: """,[30900],星,"[1893, 29948, 904, 2852]",étoile,étoile
"中文: ""loi"" - Deutsch: ""法""
中文: ""tribu"" - Deutsch: ""族""
中文: ""bouche"" - Deutsch: ""口""
中文: ""gauche"" - Deutsch: ""左""
中文: ""ressort"" - Deutsch: """,[31031],春,"[276, 690, 364, 29878, 337, 1253, 18475, 620]",ressort,ressort
"中文: ""siège"" - Deutsch: ""座""
中文: ""sud"" - Deutsch: ""南""
中文: ""quatre"" - Deutsch: ""四""
中文: ""or"" - Deutsch: ""金""
中文: ""lune"" - Deutsch: """,[30534],月,"[301, 8092, 29880, 6092, 25081]",lune,lune
"中文: ""bouche"" - Deutsch: ""口""
中文: ""mille"" - Deutsch: ""千""
中文: ""ménage"" - Deutsch: ""户""
中文: ""été"" - Deutsch: ""夏""
中文: ""bois"" - Deutsch: """,[30710],木,"[1045, 29890, 23734, 833, 289]",bois,bois
"中文: ""forêt"" - Deutsch: ""林""
中文: ""cravate"" - Deutsch: ""结""
中文: ""six"" - Deutsch: ""六""
中文: ""dix"" - Deutsch: ""十""
中文: ""village"" - Deutsch: """,[30402],村,"[21031, 1403, 325, 4213, 28765, 11928, 29894, 5720, 17191, 3516]",village,village
"中文: ""tête"" - Deutsch: ""头""
中文: ""génération"" - Deutsch: ""代""
中文: ""océan"" - Deutsch: ""洋""
中文: ""quatre"" - Deutsch: ""四""
中文: ""forêt"" - Deutsch: """,[30853],林,"[1181, 363, 285, 1454, 1701, 29888]",forêt,forêt
"中文: ""défaite"" - Deutsch: ""败""
中文: ""bande"" - Deutsch: ""条""
中文: ""bouche"" - Deutsch: ""口""
中文: ""sud"" - Deutsch: ""南""
中文: ""fruit"" - Deutsch: """,[30801],果,"[285, 1424, 1341, 15774, 29888]",fruit,fruit
"中文: ""trois"" - Deutsch: ""三""
中文: ""montagne"" - Deutsch: ""山""
中文: ""milieu"" - Deutsch: ""中""
中文: ""tentative"" - Deutsch: ""试""
中文: ""grille"" - Deutsch: """,[31168],格,"[29887, 629, 867, 330]",grille,grille
"中文: ""avancer"" - Deutsch: ""进""
中文: ""enfant"" - Deutsch: ""子""
中文: ""sept"" - Deutsch: ""七""
中文: ""groupe"" - Deutsch: ""群""
中文: ""chanson"" - Deutsch: """,[31173],歌,"[5083, 274, 5815, 25875, 521, 305, 10329, 29883]",chanson,chanson
"中文: ""école"" - Deutsch: ""校""
中文: ""groupe"" - Deutsch: ""群""
中文: ""grille"" - Deutsch: ""格""
中文: ""pouvoir"" - Deutsch: ""力""
中文: ""étang"" - Deutsch: """,[31853],池,"[28899, 1893, 29948, 904, 2852]",étang,étang
"中文: ""roche"" - Deutsch: ""岩""
中文: ""maison"" - Deutsch: ""屋""
中文: ""visage"" - Deutsch: ""面""
中文: ""cheval"" - Deutsch: ""马""
中文: ""sable"" - Deutsch: """,[31476],沙,"[4977, 15296, 269, 29879, 872]",sable,sable
"中文: ""œil"" - Deutsch: ""目""
中文: ""ligne"" - Deutsch: ""线""
中文: ""histoire"" - Deutsch: ""史""
中文: ""porte"" - Deutsch: ""门""
中文: ""loi"" - Deutsch: """,[30545],法,"[301, 417, 29880, 24228, 658]",loi,loi
"中文: ""six"" - Deutsch: ""六""
中文: ""ressort"" - Deutsch: ""春""
中文: ""main"" - Deutsch: ""手""
中文: ""école"" - Deutsch: ""校""
中文: ""onde"" - Deutsch: """,[31529],波,"[265, 373, 13469, 898, 29877, 288, 16504]",onde,onde
"中文: ""nuage"" - Deutsch: ""云""
中文: ""champ"" - Deutsch: ""场""
中文: ""neuf"" - Deutsch: ""九""
中文: ""quatre"" - Deutsch: ""四""
中文: ""océan"" - Deutsch: """,[31534],洋,"[542, 12954, 29877, 288]",océan,océan
"中文: ""forêt"" - Deutsch: ""林""
中文: ""été"" - Deutsch: ""夏""
中文: ""juge"" - Deutsch: ""判""
中文: ""filet"" - Deutsch: ""网""
中文: ""grotte"" - Deutsch: """,[31886],洞,"[29887, 4071, 629, 17170, 867, 330]",grotte,grotte
"中文: ""siège"" - Deutsch: ""座""
中文: ""supprimer"" - Deutsch: ""删""
中文: ""nord"" - Deutsch: ""北""
中文: ""pied"" - Deutsch: ""足""
中文: ""mer"" - Deutsch: """,[30581],海,"[1004, 29885, 2778, 592, 286, 1050]",mer,mer
"中文: ""bois"" - Deutsch: ""木""
中文: ""jour"" - Deutsch: ""日""
中文: ""cheval"" - Deutsch: ""马""
中文: ""structure"" - Deutsch: ""构""
中文: ""lac"" - Deutsch: """,[31496],湖,"[301, 29880, 433, 425, 4620, 24011]",lac,lac
"中文: ""siège"" - Deutsch: ""座""
中文: ""village"" - Deutsch: ""村""
中文: ""machine"" - Deutsch: ""机""
中文: ""gauche"" - Deutsch: ""左""
中文: ""source"" - Deutsch: """,[31193],源,"[3669, 2752, 4993, 269, 29879, 578, 577]",source,source
"中文: ""supprimer"" - Deutsch: ""删""
中文: ""champ"" - Deutsch: ""场""
中文: ""position"" - Deutsch: ""位""
中文: ""gare"" - Deutsch: ""站""
中文: ""point"" - Deutsch: """,[30940],点,"[282, 1298, 11899, 772, 29886, 3149, 1129]",point,point
"中文: ""rouge"" - Deutsch: ""红""
中文: ""sac"" - Deutsch: ""包""
中文: ""visage"" - Deutsch: ""面""
中文: ""mot"" - Deutsch: ""字""
中文: ""version"" - Deutsch: """,[30845],版,"[369, 3259, 1224, 325, 1873, 874, 345, 29894, 1147, 2453]",version,version
"中文: ""neuf"" - Deutsch: ""九""
中文: ""montagne"" - Deutsch: ""山""
中文: ""mille"" - Deutsch: ""千""
中文: ""bureau"" - Deutsch: ""局""
中文: ""ballon"" - Deutsch: """,[31539],球,"[8287, 2291, 29890, 9922, 6411, 2135, 289, 5521]",ballon,ballon
"中文: ""mer"" - Deutsch: ""海""
中文: ""océan"" - Deutsch: ""洋""
中文: ""mère"" - Deutsch: ""母""
中文: ""machine"" - Deutsch: ""机""
中文: ""gare"" - Deutsch: """,[31433],站,"[10364, 29887, 7171, 3249, 24816, 5397, 330]",gare,gare
"中文: ""bande"" - Deutsch: ""条""
中文: ""sol"" - Deutsch: ""地""
中文: ""bureau"" - Deutsch: ""局""
中文: ""nuage"" - Deutsch: ""云""
中文: ""riz"" - Deutsch: """,[31902],米,"[364, 29878, 10107, 7485, 374]",riz,riz
"中文: ""structure"" - Deutsch: ""构""
中文: ""fleur"" - Deutsch: ""花""
中文: ""bourse"" - Deutsch: ""交""
中文: ""cœur"" - Deutsch: ""心""
中文: ""rouge"" - Deutsch: """,[31869],红,"[696, 364, 29878, 16053, 307, 27537]",rouge,rouge
"中文: ""enfant"" - Deutsch: ""子""
中文: ""sept"" - Deutsch: ""七""
中文: ""quatre"" - Deutsch: ""四""
中文: ""vertu"" - Deutsch: ""德""
中文: ""ligne"" - Deutsch: """,[31532],线,"[301, 619, 7330, 29880, 14172, 3473, 492]",ligne,ligne
"中文: ""ménage"" - Deutsch: ""户""
中文: ""pouvoir"" - Deutsch: ""力""
中文: ""ville"" - Deutsch: ""城""
中文: ""loi"" - Deutsch: ""法""
中文: ""filet"" - Deutsch: """,[31222],网,"[1777, 7241, 5713, 285, 977, 934, 1445, 29888]",filet,filet
"中文: ""vertu"" - Deutsch: ""德""
中文: ""siège"" - Deutsch: ""座""
中文: ""neige"" - Deutsch: ""雪""
中文: ""supprimer"" - Deutsch: ""删""
中文: ""fleur"" - Deutsch: """,[30830],花,"[285, 1579, 9115, 29888, 1652]",fleur,fleur
"中文: ""mille"" - Deutsch: ""千""
中文: ""bureau"" - Deutsch: ""局""
中文: ""fleur"" - Deutsch: ""花""
中文: ""vallée"" - Deutsch: ""谷""
中文: ""thé"" - Deutsch: """,[31954],茶,"[266, 260, 29873, 13219, 386]",thé,thé
"中文: ""carré"" - Deutsch: ""方""
中文: ""quatre"" - Deutsch: ""四""
中文: ""temps"" - Deutsch: ""时""
中文: ""fleur"" - Deutsch: ""花""
中文: ""pied"" - Deutsch: """,[31722],足,"[282, 15957, 1631, 12343, 29886, 2930, 5036]",pied,pied
"中文: ""deux"" - Deutsch: ""二""
中文: ""carré"" - Deutsch: ""方""
中文: ""lumière"" - Deutsch: ""光""
中文: ""personne"" - Deutsch: ""人""
中文: ""or"" - Deutsch: """,[30659],金,"[288, 29877, 272, 470]",or,or
